igroup,country,Npop_1,Npop_2,Npop_3,Npop_4,Npop_5,Npop_6,Npop_7,Npop_8,Npop_9,Npop_10,Npop_11,Npop_12,Npop_13,Npop_14,Npop_15,Npop_16,Npop_17,Npop_18,Npop_19,Npop_20,Npop_21,NNs_1,NNs_2,NNs_3,NNs_4,NNs_5,NNs_6,NNs_7,NNs_8,NNs_9,NNs_10,NNs_11,NNs_12,NNs_13,NNs_14,NNs_15,NNs_16,NNs_17,NNs_18,NNs_19,NNs_20,NNs_21,NNs_22,NNs_23,NNs_24,NNs_25,NNs_26,NNs_27,NNs_28,NNs_29,NNs_30,NNs_31,NNs_32,NNs_33,NNs_34,NNs_35,NNs_36,NNs_37,NNs_38,NNs_39,NNs_40,NNs_41,NNs_42,NNs_43,NNs_44,NNs_45,matAL_1,matAL_2,matAL_3,matAL_4,matAL_5,matAL_6,matAL_7,matAL_8,matAL_9,matAL_10,matAL_11,matAL_12,matAL_13,matAL_14,matAL_15,matAL_16,matAHT_1,matAHT_2,matAHT_3,matAHT_4,matAHT_5,matAHT_6,matAHT_7,matAHT_8,matAHT_9,matAHT_10,matAHT_11,matAHT_12,matAHT_13,matAHT_14,matAHT_15,matAHT_16,matAS_1,matAS_2,matAS_3,matAS_4,matAS_5,matAS_6,matAS_7,matAS_8,matAS_9,matAS_10,matAS_11,matAS_12,matAS_13,matAS_14,matAS_15,matAS_16,workp,obj_1,obj_2,obj_3,obj_4,obj_5,obj_6,obj_7,obj_8,obj_9,obj_10,obj_11,obj_12,obj_13,obj_14,obj_15,obj_16,obj_17,obj_18,obj_19,obj_20,obj_21,obj_22,obj_23,obj_24,obj_25,obj_26,obj_27,obj_28,obj_29,obj_30,obj_31,obj_32,obj_33,obj_34,obj_35,obj_36,obj_37,obj_38,obj_39,obj_40,obj_41,obj_42,obj_43,obj_44,obj_45,wfh_1,wfh_2,wfh_3,wfh_4,wfh_5,wfh_6,wfh_7,wfh_8,wfh_9,wfh_10,wfh_11,wfh_12,wfh_13,wfh_14,wfh_15,wfh_16,wfh_17,wfh_18,wfh_19,wfh_20,wfh_21,wfh_22,wfh_23,wfh_24,wfh_25,wfh_26,wfh_27,wfh_28,wfh_29,wfh_30,wfh_31,wfh_32,wfh_33,wfh_34,wfh_35,wfh_36,wfh_37,wfh_38,wfh_39,wfh_40,wfh_41,wfh_42,wfh_43,wfh_44,wfh_45,t_vax,arate,puptake,Hmax,t_tit,trate,Tres,sdl,sdb,sdc,la_1,la_2,la_3,la_4,la_5,la_6,la_7,la_8,la_9,la_10,la_11,la_12,la_13,la_14,la_15,la_16,la_17,la_18
LLMIC,Afghanistan,5639000,5402000,5116000,4519000,3795000,2984000,2394000,1988000,1593000,1254000,995000,779000,590000,431000,300000,159000,73000,25000,6000,1000,0,2946719,2467,6022,6869,0,58266,428941,659,0,0,0,0,0,1428,0,14176,0,0,0,0,0,22588,5311,0,661795,716541,389941,0,0,0,0,27308,429,3589,0,6026,16256,997,47351,475692,271712,77554,1853,448821,60010,0.66307,0.837983915009643,1.09498482470071,0.776643095477387,3.25356,3.48270104542129,2.69182412655754,2.5317379798995,3.57073,2.63182481944537,2.13830220437332,2.30869513567839,0.07516,0.0668850761455077,0.0485007152455412,0.115286422110553,1.72123,0.391631646605041,0.114205090398241,0.00770228140703518,1.45787,6.29749610826628,0.811157313095529,0.0351234974874372,6.4135,4.96302629247855,4.32416828487662,0.486229336683417,0.78915,0.482239825763118,0.211784472880528,0.16284440201005,1.30996,0.296390527365831,0.0193452791351087,0.000359527638190955,0.23777,6.51338423422225,0.153980611409724,0.0060643216080402,0.5924,1.3724142581632,0.150829458832152,0.0120030251256281,0.00317,0.0131146684844051,0.00140870816027364,0.00611196984924623,6.8798389806967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0144389763872885,0.0148453828872345,0.0148453828872345,0.0192742900855104,0.0167296312051663,0.0116079856547096,0.0116079856547096,0.0116079856547096,0.0116079856547096,0.0116079856547096,0.00426034086591191,0.0518122104874425,0.0518122104874425,0.0518122104874425,0.0340180713477584,0.0340180713477584,0.0449448642894902,0.0168751062591243,0.0368698442309027,0,0.0134275783931045,0.0106543158565407,0.0207452045199743,0.0207452045199743,559.951381642211,56.1620583128338,0.195067914438503,5.85,115.229885057471,5.65960099750623,17.5287356321839,0.578569999999305,9999.99999999259,0.0615876736069097,65.265,62.19,57.33,52.43,47.76,43.22,38.73,34.295,30,25.905,22.04,18.47,15.225,12.34,9.765,7.56,5.695,4.135
UMIC,Albania,169000,165000,167000,208000,236000,246000,216000,161000,156000,175000,189000,203000,181000,137000,105000,84000,52000,23000,7000,1000,0,456936,3618,1852,5655,0,21850,74400,1291,3882,1051,970,0,1113,6478,1632,11965,0,558,516,0,0,12157,9046,10738,89067,149950,26435,1016,1606,6683,2474,73162,5561,5872,2248,13035,992,15950,38230,70688,59003,37424,8948,23178,6636,0.44375,0.200041648148148,0.591688740782757,0.558941515892421,0.83722,1.45601966666667,1.46634308564946,2.3283466992665,1.77039,1.51032744444444,2.12854472490074,2.76965442542787,0.04112,0.0430421111111111,0.0798441066364152,0.429740391198044,0.6825,0.156231722222222,0.108499217243335,0.0357079706601467,0.57808,3.27280403703704,0.583281060692002,0.158506356968215,2.54307,2.43587651851852,4.2908455530346,2.12735481662592,0.31291,0.2079385,0.321323573454339,0.773444865525672,1.96991,0.313564425925926,0.0209430346001134,2.00977995110024e-05,0.35756,8.67716283333333,0.186415144639819,0.00033161369193154,0.89085,1.79779125925926,0.210504849688032,0.000646479217603912,0.00477,0.0160874074074074,0.00180766874645491,0.00033161369193154,7.0359967591501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.033532129104253,0.0344759408302003,0.0344759408302003,0.044761343616376,0.038851795195956,0.02695762242237,0.02695762242237,0.02695762242237,0.02695762242237,0.02695762242237,0.00989393542257263,0.120325269925032,0.120325269925032,0.120325269925032,0.0790013315150895,0.0790013315150895,0.104376996783173,0.0391896368933121,0.0856241012965947,0,0.0311833249226341,0.0247428824063686,0.0481772985563103,0.0481772985563103,409.074365134254,122.509591531616,0.667159893048128,43.35,42.816091954023,77.4267234165379,19.8275862068966,,,,77.77,73.855,68.925,63.99,59.14,54.255,49.365,44.435,39.56,34.81,30.11,25.565,21.08,16.805,12.52,8.63,5.19,2.405
LLMIC,Algeria,5025000,4508000,3620000,2846000,3106000,3654000,3724000,3470000,2899000,2350000,2005000,1678000,1347000,1084000,680000,500000,334000,164000,49000,10000,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53296,0.369064053216694,0.59777670243057,0.365800581148122,1.68933,1.78226211226535,1.59199781455041,1.41311199858257,3.16761,2.01209524147986,1.63130975034044,1.62280671155209,0.07918,0.067352950610534,0.0630504782734288,0.191083614457831,1.35803,0.306785726262074,0.121421675813973,0.0173262934089298,1.15025,3.97863410242391,0.577216354557834,0.073394642097803,5.06019,3.31584124111536,4.2110204869393,1.02145642097803,0.62263,0.342769190814653,0.266636205587422,0.348108618001417,1.86382,0.415387351922726,0.0164131044443527,4.99362154500354e-05,0.33829,7.2406971824312,0.162955543680106,0.000833550673281361,0.84288,1.58344663386186,0.18556798415384,0.00165173635719348,0.00451,0.0160151740477492,0.00139951718730657,0.000841233167965982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,503.623546251628,72.6152105407615,0.235739037433155,28.5,23.2360352633108,0.721508383655572,20.6896551724138,,,,77.71,73.965,69.085,64.195,59.35,54.545,49.74,44.955,40.215,35.52,30.91,26.42,22.075,17.98,14.085,10.435,7.245,4.52
HIC,Andorra,3287,3993,4487,4605,3930,3897,4024,5925,7763,8284,8023,7305,5824,4558,3677,2532,1629,1152,673,195,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.615235179852482,0.127061320665569,0.264342559499799,0.125231235002022,0.495916116731924,1.6637177846017,1.01750916257566,0.598598630257029,1.36243395444566,1.57216755217065,2.046357354176,1.13745287627583,0.0260019430666162,0.0319073818622935,0.0728424355397689,0.500972783742882,0.327483569143872,0.0929972468235335,0.0725677699093708,0.0231951276293149,0.336238660477339,2.00546637960717,0.390732305320271,0.119547199263188,1.75110178479831,1.85151346742851,4.26438529672669,1.90339806002385,0.141972675799136,0.115406031311112,0.247923717147331,0.461206849976365,0.321884787971652,0.0175183987258451,0.0301668136645832,0.0005301715804249,0.0590199941290361,6.51667068329715,0.791435353596578,0.0305987443698585,0.146140894031954,0.564674218194677,0.317242429302864,0.047537253296609,0.000778963349507862,0.00107364380639763,0.00230341082682606,0.0184819482406699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432.886827900164,357.770103668644,1.06067219251337,47.5,21.4804070468178,526.747214819827,21.264367816092,,,,,,,,,,,,,,,,,,,,,
LLMIC,Angola,5670000,4975000,4192000,3392000,2786000,2352000,1972000,1595000,1285000,1032000,762000,658000,453000,291000,207000,116000,60000,20000,5000,1000,0,4831871,69327,12319,9015,22266,32212,17632,9438,982,433,1396,219,1517,6410,6168,28784,552,782,2069,0,2120,14446,11518,6321,416862,1642726,168314,1743,4203,25053,1254,47770,8435,11339,4560,29925,791,20741,273914,490433,166228,59612,13844,103968,170361,0.43323,0.678740888605781,0.785933335401318,0.272214142857143,1.9261,1.87630541285134,1.48694500891819,0.9801772,1.84889,1.44503028027709,0.886191989143079,0.723297342857143,0.02302,0.0314689879767497,0.0183313051570376,0.107053442857143,2.08273,0.445579846325344,0.105146259015122,0.00616445714285714,1.76406,6.13039199697428,0.697870441256301,0.0280578857142857,7.7605,5.02675077713194,3.890212,0.386991614285714,0.95489,0.510560780316904,0.194612096161303,0.130786728571429,0.81103,0.293119875786289,0.0217758464521132,0.000823114285714286,0.14721,3.91180309658412,0.152618582396278,0.0137934,0.36678,0.890792981129071,0.139814877859635,0.0273082714285714,0.00196,0.00981711362369615,0.00156556107018224,0.0139014857142857,10.3534952907316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.0484632256213736,0.049827295301425,0.049827295301425,0.0646925546556221,0.0561516183634818,0.0389612402364697,0.0389612402364697,0.0389612402364697,0.0389612402364697,0.0389612402364697,0.0142994804528121,0.173903383414742,0.173903383414742,0.173903383414742,0.114178832537034,0.114178832537034,0.150853705980236,0.0566398933057729,0.123750571485123,0,0.0450685522130637,0.0357603267258944,0.0696295568498993,0.0696295568498993,581.602526516841,113.842596464405,0.322299465240642,12,44.4720597584583,6.63679295430755,24.1379310344828,0.471426666636881,9.37598511240602,0.0100373322334949,65.485,63.155,58.785,54.135,49.47,44.925,40.475,36.17,31.995,27.985,24.105,20.435,16.965,13.83,10.97,8.54,6.43,4.76
HIC,Antigua and Barbuda,7000,7000,7000,7000,8000,7000,7000,7000,7000,7000,7000,6000,4000,3000,2000,2000,1000,1000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.581031753761873,0.287935492593005,0.463631671699826,0.301092146067169,1.25246420137846,2.00173612406676,1.37691995265374,1.39534286011644,2.62760950082664,2.05290022169071,1.68364696046041,1.68607885048438,0.0525268479098847,0.0523390386893126,0.0559546490094768,0.261974024449422,1.62393225237121,0.393829089302155,0.166352595776396,0.0293375714407003,1.34447297104729,6.05518174912838,0.768657562604382,0.119287165216075,3.44733535622258,2.99145851721761,3.62718847881988,0.849462878606687,0.179381563665645,0.117318468456858,0.0963189818020188,0.149633159318137,0.32188773768204,0.0190845619416089,0.0254008216230199,0.000559950225630864,0.059314015597949,6.61206859100691,0.702436921880633,0.0349474428139636,0.146380186431973,0.552791834221514,0.364620836003095,0.0470494038702859,0.000779343274432099,0.00137067075252457,0.002191126569489,0.0178831324481169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.304028820242,192.304379473033,0.964289304812834,43.35,72.9752285332928,67.1675831976765,,,,,75.87,71.93,66.975,62.04,57.175,52.405,47.66,42.89,38.185,33.515,28.97,24.625,20.56,16.83,13.26,10.055,7.235,5.13
UMIC,Argentina,3742000,3689000,3583000,3527000,3487000,3503000,3276000,3118000,3035000,2561000,2268000,2098000,1859000,1619000,1301000,933000,622000,362000,153000,40000,4000,1530223,23034,71526,13032,11012,543109,347121,64353,150022,19397,111632,45259,106177,86578,47684,328533,46572,39602,42632,112845,23034,217607,111329,153659,1776723,3068729,830121,48290,12224,107692,49199,701011,91427,50714,21720,275394,54149,728288,761323,1620640,2172134,1369492,221749,841941,1734596,0.39751,0.290651202889156,0.50301313072803,0.406637842669845,1.21457,1.62894932401148,1.37270351596905,1.73531456893127,2.35981,1.80895326326512,1.61146761396548,2.10924849821216,0.05397,0.0573990387998889,0.0627924495139853,0.29684612435439,0.97659,0.227155500509306,0.109135842094822,0.0258138200238379,0.82717,3.96269053338272,0.584318190835152,0.117480828367104,3.63891,3.06450298453561,4.05619514739139,1.56226409614621,0.44775,0.286784643948514,0.271391050585201,0.574414682161303,1.95335,0.362553177146032,0.0249161317198968,0.000106132300357569,0.35454,9.6081593091953,0.256663913905971,0.00179781684545093,0.88335,1.99685082970645,0.313722067446935,0.00355382399682161,0.00473,0.0180672395592184,0.0024820035707201,0.00181389749702026,6.58114434132646,69.4488936826476,4.56390236969928,35.6988579376755,7.9885293829421,2.85569288093254,47.6204435172276,9.21246476485775,2.352188518991,10.3095273662376,4.19876203828662,13.6234631550573,6.85066111832153,7.14450879671592,7.32461655170945,11.9741170080918,7.2369078272725,2.59936765149513,2.89462242172541,8.24673073482735,7.7171951739219,0.488260867052767,4.67600068595827,26.4505123310026,8.60225593869479,49.8124580822334,157.796437813093,32.2029382714144,1.04945599426567,1.4772119123753,8.33162527559253,1.65661612145089,24.7730243473194,9.92726741748832,12.9595503238247,3.3029135694386,50.7078375204695,42.8004504333969,32.5329013069299,47.0261817318713,85.3281595659377,61.0844362642177,62.3301815695896,4.66005364515155,22.9377075627109,8.02558280128712,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0507081168925205,0.0521353723815791,0.0521353723815791,0.067689213449843,0.0587526478308509,0.040765984906237,0.040765984906237,0.040765984906237,0.040765984906237,0.040765984906237,0.0149618544165521,0.181958856042599,0.181958856042599,0.181958856042599,0.119467771959157,0.119467771959157,0.157841482039984,0.0592635404206844,0.129482888601131,0,0.0471561969822495,0.037416800150662,0.0728549051914927,0.0728549051914927,459.621593589679,310.406966764273,1.26556256684492,74.85,35.6321838482408,96.1458574327896,20.4022988505747,0.26857333333331,1001.51215176371,0.0270850192061571,76.14,72.215,67.27,62.335,57.53,52.79,48.03,43.275,38.575,33.935,29.42,25.07,20.96,17.155,13.65,10.505,7.615,5.16
UMIC,Armenia,208000,213000,193000,169000,186000,244000,267000,228000,184000,161000,170000,205000,190000,122000,77000,46000,62000,21000,10000,2000,0,416050,2279,0,12773,4132,47066,10488,1415,1757,0,607,2482,1098,1518,524,4663,0,639,0,0,0,17659,24764,7319,61123,115368,40924,0,2741,804,4724,18892,6829,6772,8051,17749,2964,15858,10875,93715,110099,48818,23084,33477,4624,0.37162,0.246647060869565,0.639337013623978,0.432926,1.02624,1.42489335652174,1.62616453950954,1.72487514705882,2.08284,1.58017754782609,1.95224895367847,2.05109855882353,0.04764,0.0504882608695652,0.0822165994550409,0.294340823529412,0.81713,0.20398187826087,0.117865171662125,0.026467,0.6921,3.12585292173913,0.516126670299727,0.113437323529412,3.04472,2.49259652173913,4.27605582561308,1.58187779411765,0.37463,0.24540932173913,0.333965356948229,0.533961735294118,0.90494,0.328596243478261,0.0204209591280654,2.15294117647059e-05,0.16426,8.27349820869565,0.166221460490463,0.000373176470588235,0.40923,1.7232551826087,0.180687923705722,0.000742764705882353,0.00219,0.015842852173913,0.00188068664850136,0.000376764705882353,6.84216684223498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.115464607496861,0.118714530880748,0.118714530880748,0.154131309575611,0.133782357478771,0.0928259366522817,0.0928259366522817,0.0928259366522817,0.0928259366522817,0.0928259366522817,0.0340687991095007,0.41432830049809,0.41432830049809,0.41432830049809,0.272033359610387,0.272033359610387,0.359411981499903,0.134945682326412,0.294838219718914,0,0.107376729984686,0.0851996959844098,0.16589381636843,0.16589381636843,588.499411021793,183.928523765883,0.509693582887701,128.94,21.8390800715785,109.280289445676,,,,,75.645,71.74,66.815,61.87,56.975,52.105,47.24,42.4,37.62,33.01,28.5,24.235,20.195,16.34,13.07,9.875,7.975,5.39
HIC,Aruba,6000,6000,7000,7000,8000,7000,5000,6000,7000,8000,8000,9000,7000,6000,4000,3000,2000,1000,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.495684203231,345.724457863769,1.18790374331551,,,,22.1264367816092,0.306669999896715,1.12734117998931,0.0042124316276701,,,,,,,,,,,,,,,,,,
HIC,Australia,1655000,1625000,1578000,1502000,1609000,1793000,1867000,1795000,1616000,1666000,1553000,1541000,1391000,1214000,1045000,724000,504000,321000,154000,46000,4000,331714,10730,110740,113170,65189,224517,35631,47879,45956,8604,31481,18322,30266,30367,52435,69643,38263,21966,59115,33101,32696,195972,79259,73591,1199314,1783483,319770,66707,62051,151331,89280,899587,91912,90495,270878,418059,166920,823060,567062,859198,1059016,1686004,277154,268246,0,0.659867910795608,0.172916924670425,0.342797780598407,0.214073644812355,0.813248433466757,1.8094121676031,0.973056932628566,1.03989506110071,2.17490611270371,1.68113880502093,1.85288844396463,1.46215246391486,0.0203237082666675,0.0200684356155373,0.042965338906271,0.638385974253386,0.779385287021298,0.184189473461105,0.110690288996942,0.0400839471329812,0.626571902961844,2.93376040707716,0.506566923930863,0.167821311527152,2.39414788229048,2.03398583509591,3.58347930727576,1.91842540710993,0.254881130780911,0.163062575737449,0.239608113201268,0.614442066170879,1.16411377731986,0.112440010143934,0.0671122136376562,0.00059665356699601,0.339400122867835,5.16190779330612,0.668697911912854,0.031705003408904,0.405606318863381,0.46088001635196,0.318243532067301,0.0482968788716941,0.0009147924932027,0.00122813413764126,0.00243883635936927,0.018370635666423,6.10763612688111,70.8043775138343,7.66412783349498,195.648204244065,148.602060872734,14.7165923614981,49.3576149874893,4.45055322411678,9.34680421788076,9.8521960431624,9.76252111653669,9.79892645988325,8.13659423795583,8.71693824071568,13.2611816866802,12.3804936013113,20.0521166525541,10.6777407408152,4.44171957462828,9.86504498787295,6.71036137508477,8.65215814446665,17.0877580332909,56.5832725827367,37.7162033933828,282.394106848469,291.051618719899,50.5873660708282,24.5720006408382,19.4385795426253,67.2152389580206,12.313304327929,86.2817344767363,22.6205671629234,39.707789823518,78.2382950879319,327.440365512873,401.636864430292,189.454477520883,145.553113367459,194.997458731745,176.314290063561,264.348567061546,50.2977294421445,47.1671376006886,0,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0866065461528589,0.0890442164107996,0.0890442164107996,0.115609282062676,0.100346142152161,0.0696259567424311,0.0696259567424311,0.0696259567424311,0.0696259567424311,0.0696259567424311,0.0255539865107988,0.310775257089053,0.310775257089053,0.310775257089053,0.20404408090899,0.20404408090899,0.269584169889532,0.10121871730131,0.221149323912154,0,0.0805400713063928,0.0639057418757862,0.124431986348518,0.124431986348518,506.471847714713,395.408950130703,1.29088609625668,57.6,19.2528726497995,256.649010741798,21.8390804597701,0.555709999999968,158.515557702447,0.00440002229075445,82.285,78.325,73.355,68.385,63.48,58.595,53.72,48.865,44.055,39.305,34.63,30.05,25.6,21.28,17.125,13.225,9.685,6.62
