country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,820.344668698829,4656.40644758404,540111.430545424,249590.430373997,5563.84407999755,25677.6647401817,133916.112676987,11736.1449634223,64091.1195500236,103848.590316479,71408.1778252943,21228.4642403406,52801.709217766,60077.1707619241,534963.148697829
2,3650,1024.41163973257,7543.30755497266,219932.999827613,15660.1443121903,1859.64695407017,211.207322203633,47408.5722177476,7139.82957633983,35014.7586620948,42264.9749230401,26448.3444825599,5821.11131758915,37512.7555469072,34701.6964685861,166599.00988859
3,1805.70843164495,555.902173679796,6088.39541294025,800387.631556198,234158.079459555,4066.6183496932,115.467996850284,29268.5336942236,3529.5693769084,14889.7832327618,16307.2204912586,10167.0426260331,2957.86967747777,19856.4627857983,11992.1536683394,56595.9881764617
4,3178.64086679612,1151.62342737727,4768.89109092089,417395.403810125,362202.629107887,4419.78591449293,486.970180542037,19999.1469259377,16097.1993751777,20196.5447139991,41054.9551955071,123780.235734439,2784.26032806491,35667.5807433916,33443.0356462829,102862.158578538
5,3650,1120.79147990154,25420.5406164568,3502806.00889794,1204787.99647044,16956.4357240977,1418.79198914203,279478.973635383,23451.692605128,92276.163361252,168138.432732595,77579.4414250866,52638.039745989,274808.095744519,174411.275475827,716355.061150188
6,3650,267.420304521046,645.523507604201,43643.8101855403,44183.3619844962,143.821664232736,32.196792467929,28561.7256025339,9312.79578443539,9708.49975305861,26838.050761124,26953.7855960999,1511.61310421003,18539.8911613635,17684.4971098511,74176.2369691098
7,3650,1130.50636244054,18851.1633564664,1483363.73843797,74989.9387834332,356.034401985081,0,44554.0141928089,6530.93836756515,41570.7719263993,118667.647582884,67821.0901823063,19383.9682356302,193922.096386719,74175.4602421607,471650.369979041
8,1905.88434939913,662.925017211243,7554.07922231352,733499.603771118,471842.821177149,3899.28733536682,96.8603394054953,75452.251389742,4509.74250868188,35212.9739885514,73865.1637548366,50237.9871515239,12075.9979465601,68234.8999275461,63916.9979360326,345004.584921349
9,1760.97069756746,585.144482475477,8225.95529003201,243380.864756439,16176.4427205186,976.935969952383,36.6122560586964,18654.8805397362,752.736081374314,10215.3587963523,17920.8573787392,23432.5902229328,3475.10418588853,14686.2076874723,16107.3199689226,68913.275003507
10,3650,857.302569068133,1629.70198242501,164160.781070955,152559.893919217,1976.80498728371,1314.98019312287,37684.849260103,2346.98722120666,23106.177789439,62236.9956491765,39798.3230398337,6797.99439286653,80512.7820459271,30528.5867071141,192416.433177714
