country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,1007.30301294296,5937.87367178555,99856.9263975141,66456.2514337319,3781.13929934069,16459.7019159811,98520.3823973846,8362.81483186804,48788.4809572781,75576.7679465529,53063.5462647482,14062.6530166177,33768.6871992895,40587.8018680605,405074.299575529
2,3650,1217.58995786457,8368.76856010776,101113.767624364,13580.2395615263,1856.57461968118,203.84671877465,43389.4018720316,5872.01423274519,31545.3219325832,41506.2943306982,22253.0043107952,5712.12956768582,32179.8003251902,32618.2365904705,178843.71854875
3,1557.38362596121,646.685979937166,10288.2142953259,124127.74923286,48203.4476193851,2412.85651685743,59.3191703844939,21184.2841343236,2277.20105401965,11460.8124620431,11635.1457276779,7361.4134836293,1620.52923573129,12479.66614041,7309.57358973087,50018.2736744328
4,1469.76144320142,1362.58880375299,9148.1146691373,148066.173822054,125880.684787104,3394.83005005927,335.436813782336,16875.8231399874,12394.4681761728,17511.7284150021,35767.0168432479,102905.84268055,2014.01158858109,27780.207462374,22782.4952068488,105358.631440761
5,3650,1259.21845851243,10036.1070023798,271628.87156068,193119.794755397,5474.86450740019,383.306911844384,136021.742269066,9347.14734913058,47917.6968758812,73271.4603293046,46607.8973179077,15662.4325555039,87100.9243750968,60044.1639444312,383696.2742372
6,3650,361.920463740564,2836.38666365664,25333.1121889305,12488.403242949,172.681114012126,38.0750568486461,29609.8770499031,8855.41535678688,9869.30617039181,29953.1361740449,25550.0144853937,1800.43934378633,18552.3522912625,19173.0769636438,91382.4180942497
7,3650,1404.06827236936,6015.33398140403,121232.62432776,7811.62859949327,196.038399016674,0,28813.1202864903,3400.983620472,29226.6533559216,78332.9351216051,46490.1111573212,9817.56705937122,76665.7401965777,38382.8778311704,367970.085987799
8,1554.00340567939,743.505316739496,6477.33222061106,126251.367726553,105180.137281647,2621.37696972108,61.3807694675345,54601.1312340155,3174.75049653287,26305.5867890928,53771.693397953,36483.6841517333,7907.33305775487,43855.6350601482,43197.9681731157,258878.543451299
9,1292.39650435926,667.305043588663,4583.73098346983,56308.3758285797,10764.2681104227,921.054539219585,32.5300132151019,17434.76589599,631.985712278722,9754.19467779362,17918.6862874448,19337.760609407,3189.85437960448,12902.8876209738,14762.5854049113,75006.9929951529
10,3650,965.490675861193,6247.65403280604,112830.666509846,101297.54642898,2439.38102040042,1577.54503080615,40824.2857186675,2300.75162906511,25430.6417944389,75937.5043945118,35517.3833597728,8266.368132243,81997.1229236377,35829.6759925702,249710.614273496
11,1406.30838596362,754.150099038969,18439.0837097651,511619.273668881,979226.864427527,5896.41089859473,1116.38417703499,36674.8036194846,5223.56862046237,37205.4274433711,82180.6866905125,41509.2736501269,8509.6980059553,45324.8149056675,44173.2138953695,292301.248087634
12,1783.4830626118,861.396872309486,21681.2830614671,461455.201572871,266107.3534048,21653.7590094568,1261.57631323075,147364.185481697,20331.7564181771,124175.852664401,236719.760440897,77696.9873568874,20649.7590928363,75997.8007620646,95513.2578988087,828138.622104114
13,1354.34320240605,2104.83431316687,13425.1634646498,223729.154613515,178602.109939448,1929.36105290815,124.30194021969,132115.87219653,3667.11981331314,59529.1996284074,203820.527128414,96940.2346506275,12661.8564135231,59746.1712179313,97401.2433536767,604542.230547894
14,1144.61367715203,1474.7080848564,8370.43434510378,205880.689191527,19972.9718868132,3303.25562949248,10762.395233165,89347.0832113074,8982.31343998091,78407.6097079063,250731.469791012,47332.6570708622,19757.1963287544,127480.078596218,132055.748096281,864330.893098796
15,1202.43332423869,1125.61391429705,18817.1231087479,458195.252148728,36552.3183129855,2829.30715056889,7622.46269095561,67392.5843166799,4183.54409173072,40396.3123105014,130880.791599386,39265.938969567,10841.8660005603,59207.0200088339,61320.8406186376,434495.601577945
16,2577.13707425434,421.240483720493,15431.1202246814,339069.579573944,92591.613386989,3208.36559320318,582.422203686642,70434.1375513576,4177.39781828864,33369.0569478053,39216.3739698873,21867.1852320249,4829.21765039754,24289.1335151873,20349.8534629009,188569.443688912
17,1637.01132644882,459.821450489074,3413.6603007755,56954.4705116693,57161.0355377695,827.213377424415,18.4240824352631,12438.4414188129,928.555714902476,12674.0376580852,35911.7488976925,20843.3888550107,2600.39686814229,42323.3019085633,20801.6748421876,93018.4970109107
18,3650,641.699228001386,4574.4869147312,80029.2664187787,48640.779679819,1282.58865819373,1483.73691050801,66248.2849651031,7778.90427253508,79946.557201632,45297.7536067663,69791.2920959073,8888.04798254824,44003.7745515512,73333.3474229451,299302.687061329
19,3650,878.378817688079,4838.25118877573,109276.651479093,158415.12307412,1797.17376324186,53.5433142289463,19358.7415661792,1622.83702466719,17163.8595189877,56099.2822317196,54399.869131337,7646.29831629477,51841.5108483478,40406.1926877437,220701.147329971
20,1829.53145318237,652.987632609628,8715.26800140102,101177.552278141,68541.5409473554,2444.06192759457,166.264041907196,16672.2727538714,9939.45627249074,8545.35023454065,86148.1934776236,18294.3674699864,3184.17630050135,12280.5543373886,16289.6160247175,132110.071518447
21,2613.17934368684,351.878201581581,8277.18007990635,190269.13777727,163079.338081958,1051.75395618952,48.4912086623629,12735.1496276177,906.314396027223,7827.01541866054,22623.9599859936,7770.02620453639,1577.43799549632,13276.7056636024,20894.4775775838,49247.9314664163
22,1334.77294638645,528.550422692265,9621.58291476971,193413.130120831,130666.993066076,740.374399319253,1031.06250908664,20349.9676318461,1194.58521047477,18374.5156285787,55305.8230523915,19146.5803149793,3960.12274553028,19940.9164989092,17616.4784559415,122659.963047204
23,1343.52533595853,1338.66229500144,17591.2822669163,344967.392733886,464500.953646698,4139.82860347614,1877.18158272553,33699.0313918229,9338.99078812758,83710.7746790935,109874.824492338,37478.2717687746,8685.29828023924,65078.9309853909,66686.8171764036,393414.037906874
24,2136.52721547572,735.163197886837,8375.31792686004,135480.162291933,37972.8900813047,6423.63623977703,365.757558369335,25891.0112172427,5258.20652238885,16034.5431546941,41146.7759016055,16548.2960077188,1642.93207001239,14454.9151020597,12575.016041674,69813.9260886183
25,1741.8516688729,559.601025565349,3165.63443837941,53578.287600025,6799.52442789644,462.553534529092,65.0795794780907,9807.15447762189,2074.82870515789,4249.84845234693,28625.5031293528,16302.3619557128,1348.16821142956,9656.33369399733,16307.5943260955,57783.8057885312
26,1872.75691230702,682.933115906297,4580.37898216735,56564.4985256567,49310.3944135021,536.437484316044,1116.06797377736,21710.7727606328,2761.5773504498,65314.6664499252,58259.9499042298,31191.0039157865,4124.74246377098,30757.750879782,61628.607974152,199818.81211396
27,1564.89990517085,1416.56027812059,21520.4130764546,278033.424812747,140043.237333769,5248.39389931043,507.159641439058,23510.5945429685,15634.951054433,23949.4423034759,52964.1506929332,121415.131565024,3084.43585838181,36050.5260146888,32578.2230947246,170254.654559164
28,2830.36335277869,436.195656205842,2224.95277133181,22837.752998053,3519.60799210729,5552.48960532689,150.795474225174,26022.9898535191,2462.5913167514,18580.6317811497,70978.7083171996,11215.5596865798,3502.82435592137,23672.7084286896,40650.9989677366,194737.715021405
29,1702.07733677537,1155.48501888624,13116.4870132985,137679.732631968,32869.3384465821,1134.70281255086,1285.07328343602,9439.97664926351,4129.66632374751,23809.1874305147,44048.3692263717,100566.249788829,1391.42829942917,29070.4114204356,14327.5088130395,69149.8199606499
30,1866.92823835246,442.589020757017,11558.6845113666,662773.568177455,435389.166084108,1409.33163787128,199.897850971036,25679.1860382031,2505.73502033299,16580.9913578199,73523.922340128,35478.0884530796,8645.18247102119,51958.2409435978,87635.1509406631,184829.136457898
31,1724.38990836222,374.23656726337,2791.30142725085,32845.3412000737,20403.5131664129,727.073829863678,44.8463128302523,11921.2762861798,913.977895382286,5761.51340499232,26134.0476214172,5944.19411527672,1186.8748973688,10250.1968848979,8423.09400862027,43294.365066666
32,1914.83131254239,625.439486620888,2813.73534616488,32817.5227730519,25059.7055017728,781.403708704484,40.560374843035,13615.6591313758,2059.39413305039,8403.61072407259,19485.2757701431,10947.9583873463,1426.72918550737,11636.2840928256,8866.1829063656,41918.8316681966
33,2727.13415868474,857.088452628768,5440.89831933944,80317.3868767508,98778.8618487428,32679.2817526967,5746.29678756742,314253.577914291,18575.4977485555,104012.862807918,220493.161247745,78675.0606094417,29033.1045094558,114624.835611463,86364.6303647875,983297.984022862
