country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,129.910735229548,1339.11631060034,40342.2524694856,1670639.70702313,902151.854641842,267.972955865074,1674.54007816939,3312.1979339393,670.348367240166,1099.28275605181,1819.05465711186,1454.39512107207,1170.87094940462,3770.85317870447,2317.35609863234,3898.66731604802
2,124.810052280767,2068.6431279098,29351.980409958,433227.27553151,107036.74789372,293.729475155403,44.468462709995,2622.86666741194,643.208768226588,1231.98223678154,2078.80434463784,805.094726812181,1039.48486653942,6201.9974942141,3182.25010284342,4984.99731244106
3,125.866337081471,662.19844077838,21225.8799160804,1044206.51762487,374392.643587996,516.145881039347,17.1848699155929,1710.57258004067,314.074553650026,602.783502191135,875.060944774703,483.887402287227,398.331385291703,1814.04784157112,1004.77891206777,1587.09883442032
4,128.502430956553,1390.91742563887,27199.6934649006,589298.675209001,707414.003810267,763.840903842756,102.650289576178,1301.13157164402,1510.34625524936,851.914004646167,2132.93678217086,2303.12364135574,523.044122273014,3064.10633705049,4737.44213641996,4543.24919484703
5,127.078484929508,1649.4130142667,46580.8862047003,1355231.67589461,1015942.70000772,522.875668998741,49.949876368624,5087.08934832247,716.032635782026,1296.41549699537,2429.79476757664,1052.70593762788,1719.97196744416,8768.23793234264,3671.85308714482,6133.77581170083
6,128.48634009431,895.333251348965,25673.5389836166,1250886.78226241,723468.717216993,33.1359390173229,10.653984662987,1729.01129731743,822.619883021592,355.797548949475,1520.63976489248,732.494883451597,409.881814400272,3239.3617564615,2043.55980908186,2378.30132724328
7,134.412003297556,2130.6107277554,26087.8625608351,472817.622976136,40380.5142126595,15.9213472397777,0,1133.98136657408,305.166557556089,731.640726945027,2156.11335751933,1164.66214795837,947.976879295279,10981.1027680149,2447.23872089088,5220.26222994768
8,133.863963755997,1076.84344495845,12521.8975317367,276358.552001401,318340.469588291,204.336606547393,6.94221863830264,1904.91526171157,222.01300974351,573.841819252096,1233.0751172931,1040.65671511215,732.766595951178,4637.77960082026,2189.05123596903,3444.05289687252
9,133.46928896889,672.287314103391,8512.34438687032,125771.319567474,34127.7687292594,105.975345609022,5.2810626363861,799.225744878748,64.2515854132705,316.278327714109,646.349518430208,342.092423748151,427.262380498434,1320.5107215743,1226.1694887617,1459.75140621172
10,134.113660996646,1309.45682734031,33765.2418123556,1150899.22248167,960369.939807084,260.434615859549,241.650343723375,1836.27436701448,227.634786002068,799.811808136732,2990.6246470314,902.980256424761,1041.81484846818,6687.11202385133,2565.55736597872,4255.3627663938
11,132.804964686947,1043.34925763397,40899.5154056404,2296225.77299386,1577014.25217142,582.049424111678,154.3451166431,1697.75665876529,462.745689326546,1090.31145302967,2671.94172032098,935.017996683796,984.7150391924,7888.66868891929,3279.67566796242,4335.95917002567
12,129.67302889622,973.545966434524,38182.3221699907,3060138.83046961,1464733.58511529,832.608529221028,71.7671523611593,2828.32709434821,1194.66120700304,1629.16399226062,2865.4417665315,1260.97515329274,948.702962577596,4557.57120879205,3058.99424889491,3729.00520438987
13,124.837487797051,2801.0428289096,21566.0419837971,402420.76113504,371609.628985672,131.15494087926,12.3706333296155,3697.01495790625,260.836893763532,1214.62492739535,5450.61658993783,2642.25493873861,1027.8586968619,5688.60537658583,6804.40862409299,6978.62711189012
