country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,267.56372201385,3261.30692654544,248658.856870122,87350.343051721,5302.59913701648,25286.5968813284,65373.1403239624,4436.10316214595,29107.9933167103,37899.576822253,50893.4682763119,18408.4435697067,38958.0231302533,40359.7170823914,164256.362180211
2,3650,333.649227265853,3706.6049031029,161404.160072435,14532.9390513242,233.943862119458,38.2891451127472,2258.39429383626,553.82627651385,1017.94706121243,2273.8282991319,880.683706387106,899.467983128952,5983.5490693194,3935.16811704762,3058.67061214915
3,1873.90738758059,179.429010533676,2138.01626437653,85266.5511197556,42306.1276301443,10836.0753876445,258.045166810556,47482.9812510432,2844.95131294564,23761.8753493813,29454.3140465942,20008.4056162825,6623.63219272558,31449.8473871134,21142.9225802349,141667.010176752
4,1848.52615030481,444.674590358416,6699.90605289816,370400.30451539,127531.571819609,924.425163013395,131.806346290583,1670.69571074568,1939.3329456639,1061.48089217309,3300.99905750994,3564.40463008841,675.77536184662,4246.45813652825,8028.24503440365,3604.72339463135
5,3650,424.823609550988,5979.14207226622,593366.824191094,219449.321538976,13750.8480205177,1024.16533430282,116088.380486158,5463.84653957935,38417.466130526,51067.8160824351,46264.136224164,35904.1635967238,145963.896589574,91221.2524863713,200221.601371754
6,3650,0.168138320150739,4.1539160858202,173.596954930729,164.866702766231,0.0530694458322898,0.018303854220907,2.97049148590801,1.41289856433409,0.592743306323284,3.74798859083701,1.81178700095772,0.704197220150641,6.38123047854717,6.09839091536762,3.16329844605366
7,3650,291.248340180806,2581.81562305297,147195.802541238,5735.783366909,284.493450883424,0,18026.3662553836,1541.33280463471,15662.8230567967,34851.6898723237,34922.3273758641,12994.7598711876,85558.3169143169,33814.7038788055,128089.925289709
8,3007.81915016698,220.49547543288,3746.9644343252,251076.882024426,133215.53532162,374.021404655787,13.5923194148804,3729.67462485376,434.492920792558,1084.89670638667,3137.09855196868,2655.70755906205,1405.51758170618,9871.06796867966,6324.76314278973,3183.84423108725
9,1475.81068563973,194.954788364503,2453.37709990066,121645.325757731,10071.6370760522,1203.93364381763,47.0241612998966,7921.9178166841,229.626432442494,4048.63748916438,6405.14088748048,6418.11794949093,3878.44485008732,11291.0423314694,11716.5148388434,19490.5256231094
10,3650,270.293032257305,2927.48464962161,187712.618094146,88852.1192358531,245.654800262654,246.572331589071,1873.67601111427,232.268578645743,784.226010874541,4022.2102049995,1214.72565285642,1072.25303769252,7527.75271362456,4032.62605322088,2989.55108758443
11,2035.95017934758,225.04233480462,4275.4689114727,371652.054510645,445303.292471711,13805.4476677808,2603.0691247516,57420.1877556247,5396.69389314638,52690.5164433878,124177.798481128,44000.8847765412,18677.5331925874,76217.138684945,78374.4396491484,458965.817474178
12,2087.51732521872,273.635789668059,3720.70583376633,239283.833729378,234921.388231315,17823.0796363985,1096.77976000533,83898.9184755402,11141.3572423616,68802.5695079713,120433.834074524,54290.2729656672,16213.4284270093,57243.157369669,63853.207426671,389866.250707384
13,1610.47361317348,713.215707983318,8822.75457946631,571057.573793032,321159.295163304,1114.94941517476,81.4093252348092,37076.1376741643,1078.86409009631,16413.5889545058,56819.4504584852,40048.7572883425,7204.69964288092,31114.7435664789,47246.1148210087,139835.79353162
14,2488.01527314141,456.105962414513,4658.27406566543,352603.015420049,35347.0034500259,3445.60090036817,12148.4558573808,54275.8579797588,4658.03947471102,45160.1425415191,130717.81363771,35568.0421700932,19506.1528950142,117280.44206577,100153.435996008,395461.758537412
15,2550.12960206523,267.089877800201,3467.75471621259,316334.888273881,24260.8430901455,4578.59351605401,13387.5138509456,46297.4698483983,2001.5257765564,25001.011498344,68451.7141531004,30864.7050608403,16127.0153107196,73622.1489276875,63331.3832550525,180328.935320131
16,2934.02772884838,114.36497825565,5321.78124881189,297735.321316731,110339.085196995,7506.80774401411,1352.13934790893,115821.285338933,4973.87887931497,51468.8154971454,63804.1370843571,40431.9426834547,10622.3104083304,43288.3660962015,37181.0560652178,316649.129797126
17,2290.59476077908,140.476653207992,1847.60262425614,108344.991680688,73360.6260416242,2984.97629719673,71.94331862426,12169.0688752656,455.701071594652,9881.22617837097,19875.968095243,20400.4431267281,8366.49942127143,67780.394823029,38573.6743242847,31193.3551162396
18,3650,109.240819934096,1838.75414591342,107973.543135926,42352.7257914416,92.9305979372028,168.444722358326,2046.62490881104,608.167311506134,1806.2253731787,1674.05235981151,1295.74186778203,805.474689448644,4108.21688292329,4128.64515372828,1812.31240292471
19,3650,302.229412164121,3071.46291048744,238039.928745843,206327.960902971,3328.67229492522,108.230613684133,13168.1421674673,784.752691300339,10047.9264421644,25070.6342877576,66990.299543932,12907.8358696921,64077.0261865186,43725.9735756544,63211.5818131235
