country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,306.674763680579,968.804037216868,85302.3262059776,38239.5745038559,2026.58577648367,8926.96145122311,58114.4513357753,5802.48902387091,29988.4879943879,42085.0673041629,32705.4990626344,7599.33792542275,20976.1853643608,24213.8881694446,213944.154644661
2,3650,333.310605834365,3699.82018377691,160986.75810909,14469.6258814979,1320.77470660411,147.297531083843,34681.9700569215,5158.17424967927,25769.268554049,31062.104867553,19486.0877547709,4104.98496429215,26532.7647479954,25284.5342722815,124262.148878185
3,1922.62608996656,214.743969273697,4418.55196122998,95401.141671034,58338.6620120024,4509.34943668266,103.815197975882,35097.7189914869,3017.44980306661,18670.964079526,22440.1503530864,12079.1411187685,2947.07334224041,18808.5683594416,12577.4926066641,107592.879118817
4,1847.72844651577,446.233409610851,6771.38862380709,374903.908702913,128850.022581137,2892.0256494212,305.231389240618,14904.2966997466,11894.9313835984,15468.2134848623,30411.2253072349,99506.1006097287,1785.38382101613,26353.5024682144,22497.8489068441,78613.0490763594
5,3650,504.965102019399,1892.49866651443,200363.954981882,64140.6171760952,10251.1272188138,673.958275652405,218856.945744687,12383.3228237154,80209.3238157822,141725.435596241,60882.9955674865,28611.822889002,132955.442826716,108488.637174355,818202.14208892
6,3650,0.0963656496202814,1.88358365705609,89.6040956056761,87.9504212255361,177.64411231827,37.4171526226399,32035.7268537291,9436.44939341805,10781.8600358516,32318.0367627077,27867.4116027489,1810.04668747224,18898.9282266977,19883.6488898562,99579.7916736132
7,3650,369.25857404307,3072.49651252394,150139.680505388,5049.24802599488,241.519520858208,0,35172.3745587122,3607.9148027376,34579.744260385,98072.2926545608,50033.529291225,12036.4876808,86673.0823903281,46592.0181793869,473184.664629517
8,1978.18512175605,250.599005824522,3183.91478153446,163991.009345884,52627.3066683104,2484.1480953506,57.5758892447805,52455.0212831768,3010.63767953325,25340.7013060211,52019.0219582216,35229.8150361751,7481.26677156865,41348.1048530195,41702.6940048028,250631.035136989
9,1644.26636929046,261.981419104361,5012.59548152558,212739.919935088,13081.4775432306,971.337893671845,35.7541317347198,17455.0985180368,662.677902939717,9647.98977824033,17874.8912865243,18964.1441869534,3430.42458778767,13590.8894810402,15494.3919276731,72074.072549482
10,3650,261.184191122196,2859.44228767403,180258.184490156,83739.572621493,5134.29348156106,3204.84442105341,73855.0134071762,3510.59818490337,47109.540565698,160009.704397188,45109.8073547912,17116.6052258626,134626.723135573,72798.3637625968,555893.739811187
11,1961.72761127601,302.538028926751,9026.79160395648,475710.081563487,360925.49336248,8601.44484001917,1560.33825958177,52391.7473749308,6247.02956403749,51406.7093039145,122435.946105307,46476.6853952843,12221.4280345603,56269.8465156084,62378.0190665801,462695.11832328
12,3650,283.749565918653,7459.92984922196,506904.12071234,269179.304298495,5688.61912862869,393.361466904535,43424.3120600714,11001.4758509631,39351.2458779579,60939.3642264399,28270.5919853877,5952.77835758382,33186.2185616492,32823.7106393593,157106.358416907
13,1909.95467844272,892.569669360393,6030.24367313036,182510.464891775,59076.2485171478,1982.08414531649,125.787905763916,138606.137961751,3771.42987004575,62608.9030036044,214065.605055056,101840.421636202,12952.380318105,60767.0289713295,100605.329385291,639391.424894447
14,2856.05463981755,486.825208984263,9982.24537003402,602847.521390345,47595.6811904358,1455.90331070171,5098.82934520883,43672.3837104088,5767.32035284151,38917.13532857,111810.148271852,31152.5248340735,9054.4199572372,73041.7770481377,66283.9254936082,336829.505792294
