country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,217567.590372152,105451.727630562,596557.495595467,41272.8750057677,566.955659862517,59561.4050577801,24722.7746984673,6094.44955272318,11001.7163137619,18185.0021433342,17674.7306359015,2671.03950639379,19155.7289417632,12489.1740398711,725449.287634271
2,3650,256953.25847042,183931.032449898,320991.851538275,3668.7240324191,203.053273546682,33.4242890194234,1971.45231043221,483.455933231071,886.471790203576,2054.27127575167,795.739123009812,786.30029924536,5302.10425944181,3649.61252333777,5322.37139748809
3,3210.21925759233,180125.222050281,93296.8478162229,401597.939915866,42098.9623517696,1354.98356875387,303.937678282281,18530.7579604264,3332.93302970246,6785.91602240288,11843.6459824926,9695.42313641541,1162.55178227454,17857.3582988081,7873.98353898498,335329.947838541
4,2514.69156585752,475367.902337525,415586.303471215,852297.565797428,76463.4329798917,1435.09938068297,206.617917571728,2618.96091019219,3040.07350235352,1658.34249948949,5542.30803449599,5984.55686018283,1064.3089457049,6834.37244998838,14203.0280946886,12551.9375699417
5,3650,398759.234337495,262761.576351257,1786973.93812449,94940.5031046532,2527.78843492888,264.208979831219,47506.4530590361,11265.8704072953,20223.5202835004,39456.2555753862,33552.8787365043,8844.29948108088,92969.7353435584,34714.5557271982,1403881.10584225
6,3650,52.3437101122925,114.314396906373,327.17217266645,49.7477691013649,0.0600362768078193,0.0207359989677473,3.36519880687946,1.60071895557994,0.671104701041182,4.2538176009258,2.05505778041368,0.80075174999634,7.26887883240038,6.94628164219502,6.28776365558993
7,3650,214579.135927973,126829.088643334,948821.317402535,2140.36784481729,44.5113060844342,0,9117.6916956863,2885.66208086919,10037.7969000984,33331.493156852,37483.4412487698,2994.46840568479,69820.191904122,21473.9506570583,1068860.54559543
8,2018.8587297837,170220.13293176,251292.085061527,1041192.45969462,69527.7833478256,505.251525469185,18.4502701608005,5062.67564350346,589.78072299718,1471.45085379244,4466.88670997436,3782.89063140704,1913.9521398557,13635.4410722331,9310.21508936609,7946.78316837577
9,1700.34178561747,152926.542264885,173740.650563752,633897.765438909,6723.26413386297,398.332275949394,20.460128976458,3096.39611332369,248.880532054137,1204.95537460706,2799.06938457672,1484.7395338533,1638.17255862916,5236.43924190814,5565.40973738243,3582.01130779862
10,3650,214372.929880996,197165.2446882,691515.459317698,37523.5461812114,391.971997905439,394.279202522169,2996.08426738744,371.410739518341,1253.62709673625,6576.71314086978,1985.81017335451,1719.15498969149,12140.8969321824,6711.89520557463,8596.64158107734
11,1880.97019215362,200084.966768609,255814.759294615,1443013.78270067,351118.104333845,1334.52714044501,5643.91785033959,15166.2676486586,5226.16185466516,12740.4131685065,37981.4895775617,37162.9177302929,2395.63893808492,40946.2850458287,20532.9677144316,932046.418836223
12,2079.18811729076,953501.325329203,487063.893756466,1786023.06953027,352439.435918958,1848.11850291275,183.2689254562,19970.3123234505,8251.51055470044,17011.4724933954,35275.5384181266,21329.42824181,2392.77795165459,27500.7712469448,19313.4679417341,810800.87042574
13,1808.87955726732,520587.417811673,601181.087720501,2410114.95933452,194337.318562197,461.857123168484,46.7598401507058,13974.3717124495,985.50263221579,4430.8720342139,27226.0921507284,13297.1160282936,3813.13992443808,23595.7871500367,39158.1132291443,18421.9402276628
