country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,43877.44177278,79077.8596682989,357223.140473309,34366.3948018898,2981.2757136272,14255.6629912812,39766.4147011804,2827.37685367498,17808.7229296716,24664.4621851391,29626.6588440489,10530.0685920798,22988.0976748907,24410.4518052865,110186.538536407
2,3650,10375.2334740248,65466.3233418006,288757.582259619,6749.79615744666,5389.32775800534,621.781257193357,42077.1622384583,3069.52753002389,26222.1180226621,32370.8181248822,25382.5466138189,14920.5146990418,53437.6737421341,53411.7093009382,116777.779894115
3,2052.59692604995,338697.483320727,388096.245886941,1271977.31603791,209413.384751223,8182.22417326386,215.025763621628,31045.479349758,2375.22138035527,14530.8754588371,18630.9006184908,14040.7254288086,5290.49438110679,25125.8438267908,17292.1404502564,73610.9681915785
4,2132.30200449941,280028.114279664,306872.635977094,1452378.42671434,366789.995733718,1214.57178570619,177.361130007898,2248.11996915487,2609.59089313501,1414.03702322348,5073.03684046748,5478.06523052355,915.92828005995,6016.92564270676,13672.0706770603,6227.13617241586
5,3650,187187.977645575,302920.523868432,1573533.89216153,121966.346769984,11118.5506164366,854.115104050268,105013.431920225,6055.49202602275,34354.6571530805,52570.1763071053,38418.5325065793,30309.4950121709,130573.937210989,84045.4590397311,210635.534361465
6,3650,214.581220326662,1959.22180184575,5576.80463136548,1466.32444739228,1.20965347832981,0.417689501562791,67.7858932425451,32.2487231743393,13.5342117948899,85.7561793790239,41.3458488452286,16.3345892065556,148.446478772395,141.381916250285,96.7105808054684
7,3650,8667.18871127686,41404.8709813083,115484.9923317,302.713938672025,5.79520362125327,0,481.40947194082,129.55245620209,288.889827179538,1607.14337944036,868.126461833905,414.445272581053,6375.36970884884,2329.97356879601,2437.30366701672
8,2787.52533104621,91963.3064975423,388194.03573385,885573.867712276,110106.010924334,3903.45481121996,102.027022292333,34084.1054300628,1404.08375671516,13590.4850018221,26400.2758752075,33818.79014304,11153.2400909731,50600.697740925,42438.5658997062,99890.8348802205
9,2060.4707854071,98512.9669325482,279225.931639141,325672.979842713,4391.68461185133,207.378191733448,10.7484541626674,1626.65014144416,130.762838149488,631.693505585564,1568.38035576329,830.985521439571,871.893668456493,2830.02388558131,3260.81385834933,4465.08414086942
10,3650,83707.8051797236,336337.545545897,597198.900847688,86430.2726071695,156.588861898388,157.701383824361,1198.35545978317,148.554809266718,502.308980208436,2757.68532022007,832.647270100316,691.250017920065,4936.29361860606,2922.77381568442,5379.77179093311
