country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1933.50286835736,481.174551700346,4495.55900492075,106022.156839663,29505.5468659036,8152.98551784676,1360.69215205029,15770.9234527353,478.382374303411,10055.605667738,17706.8706406006,56086.414269444,4423.49462587926,12105.6431516247,16069.4612319493,48932.4618191103
2,1828.08579449962,152.121520317993,2019.45514750447,187058.776185264,91847.9006711306,2443.28406424943,226.070545589893,15876.4362856196,1773.4229482677,10484.5253164464,38628.4089945432,13289.4535990286,3621.3990098369,15850.7480077541,20710.1144943968,222919.738355406
3,1454.12729255268,295.712120442015,9023.69729550308,2223082.72197226,420217.13799256,9072.55386208242,1578.74551994614,19188.8440201401,4889.96259065946,18853.1017709721,36193.9595237629,31786.9070650005,5068.84348312113,11613.0319653442,14653.7460497201,210131.004187071
4,2228.41877694819,393.346043886944,10111.9536231566,390314.100237252,18143.8910520209,16490.6541451482,2528.63007922467,21079.8927631587,902.949183194079,23498.2184447244,71652.727855461,40056.9233826294,2301.11695542618,9248.25729451922,9830.74948009101,314544.100061887
5,1637.41540154914,410.572358395979,10397.75317687,737689.813236178,74213.4402932102,15222.7907465002,2838.28196281319,32292.9529282361,1577.57089150341,12901.587673513,41427.0068873118,16035.923272299,5298.05634390764,24628.084250916,12154.1720789582,311354.722846553
6,2192.32361714371,147.283991884715,4261.59830898639,210189.756589638,78049.3318327376,6110.14031441883,1024.70177937369,5333.19416163893,234.749759109696,9378.37093649594,29399.3889959255,9095.87217437431,646.440353891589,8496.82654363581,12241.7361907259,115525.630747757
7,2478.05902911888,195.737258060677,6720.93084263431,1237117.17534403,231554.826890731,5858.78243489002,6139.41328777042,22631.0685169224,4227.55806575033,32998.0945913531,74622.95170086,26196.5934407438,3828.81051672372,28422.274235853,36169.4542340845,321613.451941857
8,1724.06310599658,298.620099424051,9014.07245424528,1405546.03911709,166315.946774882,18572.1945278678,11430.6288387083,19151.8586854471,9845.7748997927,27873.1376484048,50670.4803828009,18422.5838235482,6199.91727488842,21209.2201640862,12541.4686649121,365637.195749344
9,2451.82524353686,245.199326456637,2338.54848502856,231810.455165929,106739.838496355,12006.3678795046,319.370489703539,11681.7313312866,439.732851549183,7119.13946714109,18738.9262669369,6564.7437701426,1485.84545216549,9136.00544370767,10951.3395955337,90543.0603515552
10,3364.77419614465,233.75335777178,3612.78743518113,127497.342181314,57035.368156958,3668.65170290619,13352.6857822945,5549.89547920916,1914.35652045474,5072.74859182848,6839.26662277645,4928.42536792571,615.74691886235,14123.9446052545,7071.27098352131,85199.2579663382
11,1381.61524521021,622.479378148562,15701.2128735321,1319491.58843662,105042.783279953,5023.78785568763,1706.75830491539,23417.5784897126,4480.68930166886,40059.0630225171,37935.2453280873,53246.1145026077,6156.30888955066,16826.8161165131,28744.8299218454,287813.885163111
