country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1068.40464659973,613.373403236582,3518.05758171173,23228.6951263118,7159.50746058855,3156.5037309249,466.841186999685,21140.5965965846,746.668457922772,14884.3349686355,42710.0539533565,79201.0346985365,1886.27126653775,5944.9083546837,9517.21028778083,250498.696391095
2,1531.05493627675,228.32268289797,2154.74404845021,44383.5567963167,39052.3990560679,2224.16913008663,189.275312724393,19825.3955797471,2233.90252730791,13539.0756375004,52318.0784653211,16037.3660152788,3342.02777886549,14666.6769756941,20862.1119092948,327264.659140513
3,999.705385301756,330.752729631693,8068.04810915058,602276.376107336,140228.755832756,5569.2318164208,818.790191481759,17196.8769926311,3054.50673476353,18764.7728072934,37497.097355655,26536.9219716932,2969.20646849342,5979.85940501841,9985.96647936661,295883.027554767
4,1287.21125375907,467.49722697399,13127.812778966,158702.731728863,11776.3231542931,3685.99899903782,553.489909744903,6529.57778584454,368.791153151457,8198.83748460518,20700.3921269045,10754.3607577666,521.374195771703,3009.54297535476,2793.13448668743,88602.6930572157
5,1214.52574186078,483.770694125018,10769.8777754353,208202.17500711,38554.5513535588,5894.25393695505,1022.84263782343,16391.9643294724,822.44368188347,7031.73589866538,20589.1522438934,7520.3998011188,2024.43720399063,12002.6697280091,5109.28024377217,166598.001201335
6,1124.6637107815,180.791186771276,1802.12679543342,20505.205880457,12010.7503696935,2045.94893688332,294.301269663124,2662.35774157734,117.294108985246,5593.39507919347,15677.2033413456,5732.89321002165,210.061752670601,3426.75716082459,4698.20769767312,73484.1657407092
7,1308.59999373617,253.799435268793,4528.76627993184,110332.971016798,61910.5857086671,1000.78936769339,891.877601123914,6978.15921775515,1130.77415601086,11850.5095672782,21749.1105568305,6453.25234572821,628.84668125666,7737.03782767322,4860.25454220922,121411.081682533
8,1256.28928342399,363.617295505548,9665.84065543269,484586.504718477,92059.5821100748,4844.57487885858,2886.8978180279,6645.61925489727,4032.72830286307,10544.9562423399,16430.6850396533,7957.07512792701,1618.54745997412,7913.15105368292,3754.31354059064,119778.707565344
9,1312.77296098199,347.299970580517,3457.02324512426,76320.2566458199,52040.5688590273,3579.99286613949,87.8188165250025,7490.99340226569,416.170150109048,5989.25839362666,13566.419051211,3006.17534921891,464.549766155774,4476.20755630989,4592.85410304352,76010.4944992854
10,1298.9945647917,309.442295395695,1920.04023308802,16090.2312566562,8304.09562588238,2314.32984518084,7056.58117956436,6303.53028904016,2001.69814752432,6741.68886783613,9394.91576665345,4361.84462287351,384.999167666581,12976.5290667845,2478.1914157162,157369.954974651
11,1046.61335416442,768.149531665096,6360.20383778272,62568.9458953204,15342.5978222566,2122.91588526498,598.931480266142,17395.6494930414,2622.95019645513,31565.3187486444,27915.4218656453,47981.01614066,2483.80139911132,7490.84649132372,10267.5390721783,282479.339126622
12,1031.01132095885,577.58743005519,10697.2649292658,235983.729156332,10933.5000514248,3207.49982082129,211.723450435431,17379.2224616578,2793.32593460721,11637.4361830168,31704.7583989348,16679.268029438,2653.63462486318,9056.23780333252,21711.7752739575,306229.731587463
13,1208.20454310149,488.375885325692,13166.7666186599,380231.644456521,48595.1719702555,285.726036288502,730.360448308801,8460.41427342719,9923.90598810398,1033.649531834,3176.8448501354,3030.58746273089,721.075216154275,1565.25370013096,2029.07112227719,28703.4411458344
