country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2212.2800166203,190.88997611615,1933.44922511113,38307.590771694,8750.83532990533,205.651654105193,49.9398612021074,648.826622475857,63.3961748446222,307.258429191834,1420.58022874316,1426.57368229685,160.497707455746,883.073734514274,456.880578019212,2087.39096194352
2,1755.79947421727,55.5435117106762,824.872706550124,68046.308801904,28304.5733802927,1502.02816734972,141.884665494206,6904.15192758984,647.903350355489,4415.23988950241,14069.4429709803,7203.84660285362,2128.10284639883,8895.23213558698,11834.3021837674,73104.2519806833
3,1399.22354366268,139.689922122747,5125.09965665978,1258149.55751891,253275.701085324,6217.79866253343,1078.59887480281,12303.7555690444,2932.1590460166,12057.5543722168,22667.2856144195,22574.9240139716,3428.49137793516,7804.0334061686,10204.7506815818,129363.062510202
4,1532.18661619166,154.112554809302,5008.27766569187,145352.913111838,11229.8203045651,11025.4859019016,1610.0519742695,12552.6137457438,460.528935271735,14220.1161506084,40682.0950206066,26157.0081254547,1443.67681708842,5724.58141572131,6047.11996170667,186581.60805641
5,1549.98527569832,179.022073551229,5472.0689925846,333448.938872535,39819.1259227223,10794.3168967481,1997.5587847909,18330.2817513051,810.693708732199,7260.193926128,21144.5930861042,10737.879034802,3575.49953155458,16388.4775201154,7737.98825771041,156236.799099633
6,2007.95487700812,56.7184589512072,829.934954178757,32938.3732508876,13020.2459335539,4188.99676490862,625.93404906135,3726.81324825785,121.768346220803,6890.66246544142,20132.6635550101,6497.48136178298,410.840211897297,5361.73688835654,7900.62801328177,92444.5430144568
7,1627.72222697255,85.4444330824283,1609.00985042591,147529.562726194,48623.8806722559,3023.983824398,2670.11488312907,13515.6775189302,1536.13370069366,21687.1530355519,45399.5318411831,15746.4953323972,1794.0052985663,14366.5454106099,10532.764097542,266113.74571319
8,1625.35813577913,119.027754244509,4512.0897971981,708888.845864886,102891.653369361,12780.6651816421,7760.14720989362,11800.0080361084,5466.3241173067,17189.9802928767,30068.1239849066,12659.1146035268,4129.54962691202,14298.5010831505,8269.24441120433,216097.269463073
9,2457.72797365701,88.7860382540818,936.536588845133,99343.8858496846,45105.724796825,1065.89427015757,41.4005833083333,1109.16944565416,98.6963819199292,474.148692846681,2070.19418947239,542.272209571406,177.942533677103,1347.85407092972,1453.98886435573,1809.92685091135
10,1924.04901381513,93.7991234867647,998.394066942789,29129.9668629596,10177.1863938051,2675.09580344177,9142.43648816316,2686.50601510659,564.946062842216,2436.93987327666,2546.1298698183,3273.59334432592,406.759263545815,9864.1316490818,2379.16358168324,24625.7142929782
11,1446.51791692032,307.946308109479,4256.37548166704,139514.197160767,21806.4380587085,3160.2658869994,920.422790392252,18307.4230876871,2499.41979301593,34150.5828875224,31200.644025117,39799.9325218104,3603.45519336117,9183.51679749209,13514.3663843084,312037.374466822
12,1441.12008716083,228.297021207027,5652.83593040083,330206.086511246,14611.6510430203,2168.07759809323,164.143327223799,8229.89022000867,1510.79878676604,5135.75265024507,13306.7329838107,9260.50303631986,1836.9155146201,6732.15124763875,13188.4450746081,107204.606964679
13,1586.24168331056,197.240937298734,8316.18518776616,775417.584957034,56652.0091402088,402.825097493224,1226.86774985106,4304.16637225362,7340.5949036281,392.345674909497,3008.60075609994,956.375636252034,1129.18145088702,1933.89939449521,2789.10055883339,2076.50682325435
14,1439.61874447065,175.398493979284,1699.71369835503,27463.9251093226,3875.61166610919,676.932521867175,2070.35602579888,13304.797749165,1822.46177242796,3287.9343450758,5103.7062489818,7911.88703390238,1387.59348662952,4462.66655498778,6646.69304807616,79282.2768964643
