country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,240.499393885883,304.495341972123,5359.71671823934,146169.801012431,44568.8715089667,186.832442677568,43.698420051528,567.736825995979,55.4989461753405,273.509659467496,1003.00251183084,1002.79167497816,143.277257504615,724.428926630411,322.531452588868,2299.73230307502
2,278.309019344296,91.868677659862,5315.59123421455,1211489.96232677,251959.355373473,159.164486441285,22.44856580615,771.529199518183,229.084478699306,339.991653696419,1644.54379506271,547.975955941194,318.5874413884,1874.38575595273,973.732807039489,1459.91245699807
3,244.998742640893,146.269814114096,5900.61343639488,1684407.23114814,396250.127166812,581.74453998803,129.169273236628,982.769829239345,470.88668781687,721.33171147873,1762.80657056714,1410.43747420355,386.007967024198,1107.62396084332,1102.39891108083,1686.08673400116
4,241.132176519904,223.56744343131,10767.0132174303,868171.528766138,52300.7463959327,857.905284003655,189.176399846135,742.602077373708,84.0093231056921,567.491951261285,2113.20037096085,1258.47351254103,151.204665672509,569.258042614602,546.282797807426,1834.87626394217
5,248.445024352907,213.674144386667,9750.51320339067,998838.961437706,111746.938642097,845.081599311539,216.874760774882,1170.57810153075,138.417013553343,328.676727427422,1371.63896334529,526.244059205366,356.903691794269,1442.11850071939,963.226804638835,1835.33693640733
6,254.363821175867,92.0801637210312,4919.09928521568,524867.096772095,79507.0562871273,374.724823541994,85.7305196262,259.206007969593,25.400273205754,320.545541263931,1289.95781529445,362.495722627001,50.3014723542419,607.669925230309,668.054836324417,1011.62471463704
7,260.950304896923,124.474338869221,6849.9861428403,1568677.96852737,229861.030231752,241.544387098988,310.316413596416,745.416814476216,270.034616727146,819.118568169458,2245.83878509143,687.466363852517,183.13642996907,1133.490401338,1966.31915859876,1726.97435506181
8,257.003675262895,146.013793272947,7731.599341746,1689472.96949382,278944.248225151,1060.8233948262,892.531448251463,741.635871045642,810.086121704027,760.799446471434,1707.69220199677,653.191504379926,430.285615859509,1250.457333861,977.66491401742,1954.80749334876
9,294.362152435451,142.961395925768,6390.91316902307,1190363.63685994,325313.378951298,1182.86408731452,43.7271891061729,1171.50190227261,104.311465208127,515.794317165188,1793.77671815859,467.995963910587,195.08713661827,1355.9399072255,1166.51822133844,2101.11709101283
10,272.137703548864,145.055929939228,6321.12124552609,403795.115734693,78234.6933841936,203.916462096766,1010.80381494591,295.303777915549,225.545195030237,195.04355165365,310.302104100821,196.402122173368,44.7245915374767,629.06595780417,928.65286560003,1326.43493153207
11,239.534325215533,387.620272535054,13104.4206167531,1454701.98649022,93271.7698090952,301.622091426591,129.892798153983,1129.22172717283,423.135081070951,1433.73892884345,1768.77734789654,2103.74546896724,440.191435011941,1285.64911576183,2275.41490483501,2991.72779227029
12,242.3875064199,252.292395384145,8143.58994547822,643203.733241448,33298.5040219882,202.769416654155,21.2763193591515,604.738468256531,254.967584868695,266.44500475257,870.274271203369,559.229494029681,217.436339771869,1055.81404551711,1310.12475335651,1606.90023248337
13,255.412132096798,208.646856196891,10486.2956683733,1360875.28768494,144160.934203445,142.142853813236,430.298677847937,1509.59799818939,2574.56296785629,137.972639491682,1025.35904146331,325.941712639495,395.396204365565,669.315440262009,934.420402837698,2110.77419486352
14,248.679350456196,271.230662815661,9731.84080592186,369347.097705662,32898.4415184237,48.6853241230585,216.113034703028,947.245462433841,426.280031260413,163.649206894663,441.383314004907,391.860014771036,136.938842860528,724.609424060249,949.678661254145,1891.88954015496
15,273.012111962999,188.161992549736,10353.7361404265,1799018.15245328,410872.107933356,957.597341725529,93.9949900468651,2196.40969992436,560.619346297682,631.72320242642,1312.63976376792,930.367981636801,732.142777865704,1813.79149591943,2311.01742264771,2483.96079969605
16,279.289033552725,104.846440897863,4866.28644677187,313385.078137266,117218.729815332,65.4022597258644,21.6025756868727,393.293194349303,143.043205542725,72.3455808047458,918.222701813698,193.053174654644,146.967263439258,437.421369234453,661.27479755034,1143.09421395327
17,250.644202855087,352.181293728745,10690.4686039654,657152.454324948,156305.362819049,202.128462592955,84.7450459813613,736.730200229959,276.06304900119,947.657434550227,1105.81609252497,1315.23371040849,286.663046358039,818.387549550402,1427.79823216034,2962.12157292455
18,246.15292937573,190.60511533776,8077.12610487771,492909.500237564,81124.447470612,85.9364458616408,1246.16120020872,653.464208446076,221.979129785996,131.873049413712,326.688936775001,213.346322321274,247.617486444407,755.870586029073,1016.10414334239,1735.28941831675
19,249.306489470009,191.015553849503,10409.8279642311,1198051.36495763,196620.982512016,1421.3566615951,614.134474842904,1774.02448643017,455.251424779709,307.296354153558,1352.31761720992,423.606209163301,564.295177607039,1112.30915496029,882.420139307731,1918.69289925308
20,261.352397012587,167.711922576728,7157.8787427018,949087.965048193,225874.156422272,669.919323408036,104.729759743029,738.409898496371,45.3851068572196,468.068560637667,1679.51352242214,481.750568899701,164.517382263873,1434.86095472522,1181.71733177438,1809.55045977876
21,250.977996718696,134.211405265721,5998.28537885819,491848.596889813,63411.5440640823,1079.07199024277,215.05466143016,364.780758638296,135.313864649652,210.453880798024,563.257701389439,261.143069185329,136.297787769638,408.179264623548,808.338000273294,1279.96447302541
22,240.691478940974,225.34978706015,6206.12760526647,151360.746348952,47187.9508317043,85.1428491687829,186.66430207978,480.202068263639,73.7029434065127,187.949626864842,293.058626083519,301.244616875604,243.882579065168,658.159225424398,913.930120958625,2012.50633454847
23,254.54929616776,137.814007512601,7514.83566154582,1411399.72960492,313589.579630782,649.718406693427,169.830930489412,970.031287158407,187.730701202214,319.42148598305,2409.06210526013,535.513452688952,344.721727807001,1460.60129667954,1366.28542772038,1750.90834640985
24,247.082084187658,208.048021379069,8161.14442952126,294248.877631769,65387.0033486395,175.752415169058,394.47276338503,476.694924171609,236.734277959982,224.861911578261,600.273830177494,295.596020020063,206.924693179577,1249.93351003394,466.40264716091,1802.13535656423
25,256.333136913196,137.283430436135,6219.78874349144,648158.68943158,62450.2384699286,257.592957240505,83.2560946005995,452.626846613348,110.518945275126,346.805413497781,674.972282721782,263.170617346132,113.367705088041,1341.73578706186,982.580114715064,1272.53717875771
26,256.488041247051,257.151880735068,13496.7829522064,2154605.25451242,371754.653305396,812.529921825398,6.05672937829681,1046.80262056359,163.78348716382,1030.38823812225,2443.30470750774,1444.71114726086,243.313434935913,5293.79703966881,2210.13714293667,3202.41915480428
27,280.457457284844,188.610541905926,9508.81325093357,1274592.97254658,301784.883106713,642.987105972601,108.275807797982,1000.03932167744,85.7882657338629,1039.53405505049,1476.46891711148,529.243616567134,107.164086402081,728.405901892232,2788.38127563249,2023.43625286339
28,248.157766997742,112.653395364641,5720.08197308399,550599.166511868,87843.1981399107,400.773383851499,297.531607115455,493.901135218226,119.065896513481,99.3712338938262,1302.85879220089,340.695075240008,133.480959836335,374.091917101027,577.791425700089,1044.87541994502
29,276.459272610588,160.56135715552,7717.18054538688,1021242.5817686,91865.9113115245,712.237668775658,167.883084280211,1368.08648763854,297.626159737268,193.924529172991,1090.34816990587,262.170297650445,104.568622356304,1515.74737943224,1006.58604284364,1605.00243437224
30,249.496027252673,215.229430069027,10752.2758808658,1561821.14195844,226358.875534958,229.893050976019,518.675444243004,1334.31522957507,204.794952690265,514.596040554703,822.280975682471,845.24970581473,676.720389019754,1841.39704062336,2531.92994500951,2285.40748222816
31,254.631662646061,116.872418885033,5865.90155795837,556948.837431283,91111.5344912051,201.290339678353,85.667860049362,618.119440301445,350.319870272017,191.942033515243,497.394715304135,402.900976712528,145.049063974245,623.913748784639,1030.30056789048,1147.60072743862
32,337.881579099449,123.507293206538,6101.73051451407,795005.933066652,154312.365462175,937.935175219284,366.371052026494,1085.15274478712,138.828795327482,422.418310199968,1118.95163004588,503.924949284513,219.523419416068,752.405734595903,724.723192023088,1439.79343941871
33,241.263499542179,302.565187372293,12968.7565926362,601925.430699976,55926.8539700156,45.4865625096436,1919.37234215101,805.963917076197,1001.69541822946,71.1315574694318,670.310713770731,363.665951308702,210.585907804984,687.611845578101,684.932792439509,2624.79015546794
34,247.825964837194,185.482295559985,8701.444329673,1026005.80472205,102462.285443696,2145.53213088529,484.189748149442,689.029385762536,303.292356450086,261.830723145069,1302.56998227531,233.033683923975,269.91380949686,734.362620653202,803.851141389218,1713.52321999385
35,242.652272006968,145.041139954526,4386.2613528484,240175.813643662,35609.672400219,115.042578676769,354.876625344506,244.970743321025,115.735878242331,170.159138147293,572.709134892901,215.007603326371,54.2217594649489,331.457078865157,578.093596775252,963.732540099714
36,271.048146134581,143.891588025124,7743.04628575873,1777191.95096029,491242.319062676,338.931944361281,446.024098505477,1454.30732373565,222.988275272144,778.13464680784,2700.30681448048,805.341036504857,183.853793999526,2294.94741591136,967.812430695721,2023.47911762047
37,245.71157595659,136.952145782783,7006.99138712001,877785.738152243,106617.882579093,359.217940277324,587.061931585403,1047.04651498699,500.030944681184,437.759677986207,737.996100343643,405.717455121806,226.107076631937,841.848989156326,860.46495647892,1464.51276656454
38,267.455327980689,125.543543412923,6362.59759502017,707622.676046555,71232.8060050431,374.627231044839,573.46588419313,1087.31037300468,176.094642374953,412.091954370666,975.478692683755,335.103248311684,126.757629255171,465.235143500127,970.044168144079,1227.27704982153
39,261.874961577787,211.293834626249,12226.9294481061,1509219.6160354,291478.73170513,338.516134756049,127.901094747575,2419.40140332678,942.353744391282,849.692382943052,1735.01741313156,1451.31231337148,711.717740948459,1264.63711948787,1006.6981604068,2768.36503362763
40,263.89458979598,92.9191634166866,5689.4312618367,834424.091614653,166703.715588279,148.395620019634,218.373998173053,1256.27337978062,157.617643538873,126.299737087914,1533.53437159664,214.52259506017,181.076453868178,606.434970748086,857.755980119598,1233.69874736827
41,277.419311483619,192.144401511858,9777.40087717387,1035020.88338943,226547.639999141,259.505458236552,16.768536079847,1134.26742168714,177.088901112161,530.240333462502,1718.54276517283,2236.70344932987,377.1692203786,1369.60341576127,614.876953108062,2383.69377538406
42,1566.19860106476,170.643088543086,6308.75855848676,779111.603108567,110567.233971035,390.82598770377,1356.13012482007,3206.50957465557,380.918463735172,1697.69655701252,2821.40673845377,2746.83328029928,1267.03817146811,2961.85183333422,2461.29582086385,2013.48742164128
43,249.02501245899,203.260149549764,6896.01149268517,970277.412029635,104126.034414327,221.89570270187,159.557135755166,792.770146158467,107.1318225401,340.954117762778,1814.91196417061,628.460278636481,231.776874148698,2068.71269114836,951.416405340703,1594.35696049502
44,261.55770035283,350.203462655057,16941.0910436434,2136025.48081412,469266.241465084,2229.20068668483,12.9776834561483,1978.68313583173,199.696091348988,1379.58111865859,2114.65999523179,1320.15966675369,289.142448370043,1865.64764887533,4680.79072761026,3986.08076592768
45,239.361464577074,303.97229087113,11205.5901358475,496641.355998227,61835.933527925,308.6274417828,72.6606741350513,1157.70583375648,210.934151748194,327.229471024191,1156.40359519289,777.802121479437,454.982591699679,988.367942937268,522.420978731827,2203.03601416467
46,287.466804142204,145.917583759536,7522.5762102734,1688563.68235924,406238.144082197,1122.82619816715,282.022757719187,1522.21338776286,179.99673054666,431.815319543272,1724.84867013995,661.756766864986,463.311542965456,1845.39980224055,1222.90692889997,2004.97888841964
47,249.410899818783,282.969570938244,12617.4405889822,1309203.22457997,108527.667401477,261.879688400999,18.767962081624,1115.99370811353,256.647373435411,582.910389193028,1172.25401630679,642.88509462084,146.812030289229,1916.36023220748,3045.48255265493,2894.51603717685
