country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2212.2800166203,190.88997611615,1933.44922511113,38307.590771694,8750.83532990533,205.651654105193,49.9398612021074,648.826622475857,63.3961748446222,307.258429191834,1420.58022874316,1426.57368229685,160.497707455746,883.073734514274,456.880578019212,2087.39096194352
2,1765.60755809118,59.9429948309965,747.309175288293,70934.8208371793,31573.7488865211,90.8410794254041,13.6277326634933,1915.83492492851,942.781300648541,1428.18761746807,6709.68090531471,12622.775653946,187.699426877033,3426.36568203643,2547.07696940113,271903.266509187
3,1399.59863304962,140.097378115547,5194.22719662173,1262649.15812513,255022.812122347,2052.27356300499,728.916658695974,5624.43685104056,2567.6421856814,4491.7864526034,11202.1587729126,12677.0100739054,1374.59138271987,4811.20327706732,5249.60190290169,281842.122926768
4,1535.62520682957,153.492119857376,5735.11486762954,160939.238448093,11481.4090405074,832.530983904107,305.81509792343,3248.85358469786,200.826327709209,3021.93104698518,13098.2986111217,11019.8309784787,157.420014962275,2213.0875522839,1928.65014681623,335088.717465033
5,1550.0880479142,185.89629032194,6469.31474704587,406811.285438163,44395.0584639059,1793.58735189615,3541.69523851441,6764.07904578618,627.79484169151,2063.09433521864,8562.50772598753,4600.44602810687,769.154599069216,7242.00448858593,3569.15934267413,341281.59989961
6,1467.00582435172,61.3181052821172,1011.98771173636,45426.5412222144,17067.2771798224,265.381241331667,444.420451501816,534.882548206272,70.791494178603,1438.30422578116,6050.54591191055,4307.54732904528,36.7036668268135,2074.63597216519,1975.81610992491,169757.617951778
7,1598.61462664948,85.3671693595333,2012.36516288441,232206.54052305,59952.476866842,288.358516736133,390.442363229754,3654.65727614366,654.706446274624,4523.15372934736,13644.4949943764,6526.45437026116,224.719660814131,4863.3212905436,6343.25610843845,439679.258593171
8,1620.0434157767,124.545621198669,5113.56331494256,752132.159783014,111161.659232854,2448.5949173607,14892.292161259,4502.56140023831,5162.68389808299,4809.26846884955,11861.4153039204,9327.68223610848,1006.39558311915,6328.17310836551,3687.25502715361,424195.345286085
9,2457.72797365701,88.7860382540818,936.536588845133,99343.8858496846,45105.724796825,1065.89427015757,41.4005833083333,1109.16944565416,98.6963819199292,474.148692846681,2070.19418947239,542.272209571406,177.942533677103,1347.85407092972,1453.98886435573,1809.92685091135
10,1620.47272779146,92.0114996359392,914.362893042008,26727.165624109,8626.79668739912,118.062081472518,1179.51217290614,688.014748019383,1036.34026413568,1079.15941198613,1653.98868507632,954.72589292343,26.4842616720452,2918.98142818507,1339.10943290337,224695.92251045
