country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3263.77050579376,164643.978227979,143342.76246584,281915.608986233,6275.52093859188,861.879181185808,209.989734433108,2728.22004040905,266.563379274692,1293.65939530201,6333.14714248598,6365.4450227957,677.439843238808,3793.02209059337,2054.2493104132,9495.91316285763
2,1889.2406001366,43877.8386393537,55980.9472413495,267876.683658271,20794.0831185601,1835.13127736722,179.21240552943,7193.51590730736,687.154724754004,4421.10055919464,13239.52242013,8341.50821852699,2610.84697498035,11166.3427100713,14124.3063991517,58062.1905749994
3,1527.10975472953,945269.37124356,605941.753622387,3450749.29840125,402212.618047961,8619.4818301874,1608.01653457512,15829.2728515687,4570.73070388436,14512.959305575,28846.6366987037,29293.9120434737,4991.67121015771,12327.0575306212,15093.0379514306,137862.960023258
4,1890.85588185306,417008.054685455,306207.825593115,422725.759572426,3608.42058259767,14530.1344515637,2183.86953652459,15152.2962269059,591.67948062196,16862.6088822263,48194.8034045965,33548.9606448449,1916.56718557113,7582.43773591023,8150.9835131464,211853.783051962
5,1807.41978846679,922010.992266904,629487.326844544,1287012.96786304,34790.2172779029,14619.4499637882,2895.26989325771,22765.5890220345,1242.51393972119,8575.38664339498,26127.7633686981,13691.2031605867,5055.7043954802,22674.9107314643,12096.4675154705,170525.177935395
6,3405.1129953558,47970.1911732655,57435.8797360685,183648.116582443,9080.02667278892,5396.01521152233,888.129034979526,4247.5411433254,177.10215845484,7416.05987384497,22677.8255724216,7874.47691312196,555.985231980203,7221.45699473943,10605.4357104407,87856.4340462369
7,1748.30662057342,82073.3778842255,86754.2995405879,448364.898231732,26094.8532452598,3401.97706145097,3086.39688502357,13629.7060700891,1644.71532569642,21496.0714090846,43689.6026694033,16795.0816544027,2014.9104365456,15810.8047105164,12241.6706325566,246711.295383866
8,1814.12708535453,492365.791362199,388467.695253634,1569904.50769136,88040.0114494019,15962.1218764877,10082.838535112,13401.4706722789,6614.12165024493,18944.189422663,33200.1016513298,15177.7096246549,5233.85780556126,17849.8831189963,10864.8342859468,224991.638439779
9,1671.06626001198,72874.8776585675,64453.698442658,473935.135865872,34118.2003203799,1445.43063218943,56.8041248630838,1521.84811542436,135.408728185451,646.769044424355,3005.8501368557,788.020208201313,243.855556099685,1886.59293895446,2172.04598036981,3410.93409672348
10,1884.50685301349,79672.1188790471,70084.5263721524,193682.099563037,7125.81270388278,351.718236849383,1835.26749805597,536.16875762439,409.179944742717,344.891180579937,743.521429445409,472.264342977194,78.0825952788934,1207.22799978618,2546.58216719591,2824.24613780985
