country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2556.49328814788,488.445769316484,1931.89062607837,4989.64746134457,1990.32894194549,560.825567171293,84.6280614549876,7245.45270342171,323.729229156685,4584.83356575479,9348.6955170354,64249.2580961672,340.232081570047,1486.22368184231,2730.25006837741,44088.230018505
2,1415.57622738481,183.475917949339,887.140712260246,13317.2426695374,8690.03060149204,543.484682388098,46.5009889380758,6571.9936407443,892.602376792102,4340.1411980806,13948.8057998563,14508.433011892,820.872484332203,4984.96064995301,6327.61856580037,80352.918438614
3,1086.23212983826,5552.05185830685,16946.2550952966,242544.018040392,314143.131134201,4654.83038754841,670.195631936649,14901.8070359502,2505.41426942513,16397.5606310915,32973.3780269399,23285.3536524219,2470.05356146636,4917.22330980874,8637.47116825366,264105.409528808
4,1195.50465399443,1204.43404494212,4701.50117536354,15768.6484332671,3998.67919938133,3747.45597101836,507.956021477526,6831.89992102537,309.886105199585,8590.60454222938,22874.1179413786,11502.9397162884,503.234833289137,2766.31172670238,2739.52998616306,108063.820371198
5,1237.33817074212,1520.78133077346,5057.02439892273,23636.6608840389,12692.8088993178,1257.08412523736,218.031035341382,5437.96799124733,396.979379118634,2614.54231686192,5108.12367522957,2369.30632674763,434.081744654934,5326.25546635416,1619.88657351044,37075.2665149211
6,1212.55759362425,219.776579688637,946.993373780336,5801.22845380404,3576.10267546183,2688.58807030461,370.201584141556,3487.76765138338,122.737452500478,6952.94065836372,21075.1296643508,5993.70229231704,271.122261534458,4007.64270091348,5808.5135813034,103298.618095715
7,1245.41860247328,386.921068467507,1652.30548776613,22486.8675956921,12227.5271952264,534.465276059341,451.385975112231,4328.57688340321,714.318446613865,7585.57959931923,12737.2420516648,3901.85610140619,328.768845633058,5009.4727702484,2558.25200756355,72008.7733498835
8,1294.62561204943,1900.98967787704,8200.38706618407,92879.6220700942,69171.3463341784,1160.88414642175,703.479933003708,2546.15077728385,2040.19438293526,4538.90022010922,5016.93852199551,4567.02223454779,396.361360420488,3996.7822461679,1337.43685547064,30606.1695459764
9,1168.8272266486,237.037750493497,834.049323822186,13766.0010581531,11968.884013344,5507.25904801069,123.191997859672,10841.586799116,413.144276821318,7942.80100982423,21417.6302806987,4454.3273907809,685.704742303927,5168.75468578843,6491.06442752702,138604.54925107
10,1256.64209834233,243.087363729159,909.309408934942,3902.45224506298,2302.66819826241,2664.59177215286,7911.84963258022,7165.31443570639,1926.66316967908,7378.43246696702,10814.9409970753,4871.28040560405,438.28577285537,12877.8968379049,2383.37906326532,188462.513892261
