country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2680.16589541953,97966.2638802561,318081.764515283,299422.718886219,10517.6521932101,8516.38021358365,1431.87875575359,17506.3984016204,564.470950890519,11189.7715867791,22691.9349332744,60566.4928738046,4703.91520282174,13535.2291724754,17469.5576360576,73849.0741539343
2,2113.94780066742,97195.1043586338,397023.629236464,1364008.01855374,66351.0346504785,373.331553689539,56.7558091929935,1950.62635238287,579.182341658925,826.660436465608,5592.01157659713,1863.411734177,814.099067872241,5528.19992464216,3460.47864633891,7470.11560195501
3,1854.2402637052,267793.759940509,769286.284927379,3079231.43107655,412567.739365352,7246.66010798067,1433.87448087131,11467.278461197,3814.119987723,9597.83242872104,21171.3184485927,24674.3162203774,4342.54132436812,11669.0512413177,14899.8608081591,60655.7736088488
4,2359.56615674575,262731.607132546,638418.113697004,311003.689563684,10507.5800253628,11233.1731951987,1762.22980052885,8999.85219465112,389.193182800419,9545.80563298076,25498.7486140253,23783.9012789029,1473.27847730019,5714.9589880664,6107.63747624448,102582.391015072
5,2042.4882435724,351029.154028641,936600.054916524,867484.168329592,34752.4004081972,9621.66941365104,1937.60681049239,11621.5199631107,658.481313342832,4161.72607632891,11385.5324296302,8375.12833733288,3259.11955213302,14308.3274670615,7776.27929999658,65619.8144079724
6,2296.63780958083,30852.2717326871,120756.243702259,165680.168011604,7717.98338596845,3350.25774401297,557.765638950972,2149.17419994337,88.3726847264398,3631.38976694792,10560.7263923066,4700.90890366764,341.706701429846,4378.13467307718,6647.76824633402,36590.90916816
7,2069.66993196574,133403.750043678,569590.970048693,2221151.23420679,123534.564753999,3650.54204285522,3845.3095912224,11215.4161240083,2215.2715004153,15518.2703676355,33355.6775188562,15410.0129349231,2345.62141288204,16991.1407288604,21518.7566108513,118722.81209219
8,2090.51257014805,195319.954489315,724573.300950142,1527313.60406533,92146.9711423283,11765.8690238635,7731.8222180125,8210.06036881203,4296.35322682244,11029.4940207202,19124.4621749309,10581.0160328968,3882.48769889877,13020.0216630681,8595.75438447416,111053.592950151
9,2239.04186176239,117157.852304872,372025.209423314,2323370.18672474,247090.184723068,4517.84418221387,183.993853028163,4929.40784063645,438.918411884542,2056.96047181158,10416.7660514362,2717.73204531132,826.50983480094,6606.65920334812,7978.9426466549,8839.7900148393
10,2159.81315290396,161310.687117423,410401.228422638,421049.667461095,20337.875956827,311.684210272094,1669.28539933291,487.677507300121,372.467867903233,310.221616047288,705.910629204579,446.857740175954,74.9169429926383,1136.8308846024,2628.75172294866,4852.500133866
11,2103.36010374918,597660.192153784,595102.898528968,695452.333380535,29463.0391066121,2612.24850071328,856.332744371315,9309.25422599905,1442.56202748146,15692.7361752348,12823.8958963029,26720.2136092284,3009.75346819564,7762.02154311969,12527.6715817798,100063.755826471
12,2088.25400162239,445180.096820678,592455.810289682,312851.116948028,12004.8817389284,2642.57543827146,200.283813626866,6030.61249088777,842.686877486886,3556.86298108442,7193.67134767494,9946.68252716696,2078.79310572273,7101.99797412709,14316.6957735604,49025.4274703852
13,2080.63146066913,337116.539977809,842765.761290499,716005.052901433,42416.3046556601,1460.91189075963,3394.11017250731,12636.8375419083,7777.9612947528,1492.77933399439,5635.52145689288,4806.97240882579,3165.42124671,4028.57803810042,6724.86308591688,63132.0951807909
14,2100.39631848196,235291.356115631,518814.368150758,200339.527067058,5908.82089184248,136.906940366318,496.35755508637,3992.83498302591,1028.74018800209,930.463871925957,2226.10926634389,1851.21788772557,350.718107695254,1653.76483710971,3167.80061822463,34831.7520698625
15,2980.65200441842,65909.0943353306,258311.216427598,630512.268621201,51575.4560512464,7880.80889485706,602.169706672017,16020.8694618157,2040.58192778396,5918.43836729807,9261.14135726987,10623.2743457737,4817.54475808726,11021.2651725036,16285.0319466507,72020.8544659741
16,3650,18935.7264955934,83109.4443617097,171600.1294165,15255.5344104796,2074.37573277861,494.057832165986,8065.77384518298,886.088906711994,1951.98445809997,9513.12147761082,7948.50575039347,3346.58390458848,7405.39899371267,24352.8342048055,28272.7958937736
17,1731.56886450114,306174.298740351,991617.1621915,1963200.99864892,149661.98571501,4246.53290120575,1411.24605807698,18356.9458502579,3331.04542502224,31290.4963748854,28578.4313945663,44058.8084335828,5085.23264781067,13408.8123348679,22197.1628614204,227261.967547462
18,2238.18367816455,90847.8135170714,199828.835932034,312837.068830423,15145.344080958,1843.80543106868,18563.1891178154,14724.6966701493,1832.13635010069,4254.31596939521,6979.65646757442,6853.91753748064,3936.42177265362,12505.4745630279,10528.8652922937,147859.832007349
19,2288.35168348845,292402.256282806,907386.012852043,1017394.02731029,83489.848994299,25289.1534183901,7927.04549993279,31601.3881608974,3067.70021684908,7569.33611916929,22606.5616046295,11477.6335892893,7668.33319377939,13162.696786541,11369.4047526455,190024.891010477
20,1981.2908818603,217970.87244538,737366.422402715,1643219.20666059,170333.888678802,8805.73926555729,1088.23428795125,8794.11114008501,283.300617309531,7094.92184476224,18401.1917981438,8789.51752829963,1754.22324717988,19191.7401355299,21616.3981495368,68861.4143687272
21,2138.94349184392,132624.06894238,131987.777352733,246569.331817289,14449.3342654984,12537.8588770362,1796.32902652313,3442.00652612195,429.981430727058,2698.34504873602,3686.65491851873,4164.12978463126,1166.95238779735,3089.15669902902,5782.80215501102,35467.8605730807
22,2207.65134766999,120895.75143238,288524.648070264,137346.813984042,7698.42685082172,108.323585221488,247.176867917047,635.873286312473,97.5955460099902,245.321568440563,492.200248587842,505.985175560296,328.487226027267,938.948955272864,1784.04576964652,6199.45978798407
23,2564.21161027109,126539.503464854,112413.549957424,419093.20290444,60401.4902533172,5210.2024534079,990.792396665887,6262.52086077887,444.941421177632,2775.06588394772,13382.3293689185,5985.5069584153,2054.74557974011,6944.48673085713,9382.73164749508,44114.2176775517
24,2046.48964072375,88538.1656152028,355692.346879398,414772.338461064,9370.28365479912,5079.81194985412,7901.49481098959,13176.2292496491,2272.40381929436,8814.11355072249,15448.9459894061,12464.6542396468,4370.32761905618,20233.4892580032,10002.1229206568,141775.337573106
25,1659.55365368255,168322.457605043,744596.647584743,1182824.49287134,67240.6182739868,1062.45551025478,354.12624839783,1925.228992355,470.087579434822,1462.5850007558,3595.68888620351,1401.95446161074,491.154094650227,6111.82259107053,5903.35050736305,10865.448862516
26,1805.72182031172,343722.624385033,1419672.59918734,4012141.43590286,407260.300586957,11228.9046571983,69.2860320605621,15891.4036515038,1392.82111873167,19885.72036109,43516.56715894,30002.2636168681,2913.89878894625,51782.2078428406,31073.8806561272,227372.790270003
27,2171.33836882418,201483.600516533,729173.373223811,1425329.73196238,125565.4820916,9037.97217872901,1163.59575499119,10608.8835762185,381.35358948478,14088.125212955,10596.7327599867,10091.0248939587,1158.10540491253,9263.02956858603,28623.0400176719,54981.478108994
28,2419.635342977,171070.066768949,140413.701568844,265000.976826234,35304.5985171803,8742.27834133572,4459.89821931072,11655.432249435,917.168535851528,3376.9993337689,28234.9803387721,11380.0576857033,2148.98822327841,6266.0292538243,10803.6419912658,133495.08993565
29,3402.05142494436,138591.831242285,453998.900700347,952788.47311269,27309.9593558147,11851.7304610807,2108.05245081459,16605.380506648,1336.67695744442,3005.7991255047,11111.8963121489,5853.38524194998,1319.32531886534,10917.3504148932,7713.01379574874,45444.3452628777
30,2713.77916097764,160594.479919367,307292.486793068,343154.666700103,30418.9965949265,2165.04875496297,3462.73004926185,12953.0834207771,740.951306390591,7039.72679166986,8327.41841647493,11928.2655365475,4805.27359100732,17444.5094579267,18157.7534530067,128990.908316888
31,2229.29202351595,134972.284644358,123427.18998557,268654.527289274,29040.2950549251,2509.55473237037,772.33976103226,5888.95005325527,1051.09251370431,2459.44667259006,3320.37198072485,6944.37927674188,1327.39202644935,4226.47611975666,7158.74605940666,32056.3770542147
32,3650,6515.74707981998,26607.5325276434,111435.910385585,12725.5333186958,259.530385441737,108.550455650122,321.515098545788,41.1329686305726,120.747984688176,439.911266394952,198.116037061113,65.6300333187314,246.571464709188,350.956506519935,545.769425520127
33,2261.28750921057,440212.036692854,770164.736788166,490397.274466265,16408.4229127787,1082.07784038875,33651.6901775539,13967.9085015799,4678.70230280775,1625.39556887179,6190.08462056431,11874.7300982706,3712.3115503834,7085.54084452019,9694.84603091293,81228.3571909735
34,1855.24732028863,279401.56595457,918975.663290332,1661151.35118193,68063.6889221855,28092.6815485914,5268.29982372717,10294.8899614739,2626.31304370257,5009.77672527329,24794.6741416644,4726.05633865529,3104.09478977908,9805.57908600164,10783.0748421354,121378.474500492
35,1642.41637079771,230645.133402083,646294.115419488,1016561.10327956,59530.3490642631,2197.13711935232,5447.78576950377,3918.14655578523,965.564467863912,3350.70642854205,8931.83529909703,5743.37001127726,844.819404820757,5669.67774455175,8497.60850468371,28975.753280084
