country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2664.42619762585,98240.6701632939,319065.81712643,299965.968795217,10527.3251620685,1981.26912832496,345.576007561937,17838.5853287502,853.223837633411,11262.7597732493,27413.0057273816,132082.775176479,1312.90525544076,6047.62577067739,7815.75660384209,124970.228715995
2,2113.32205364578,101334.459867563,409805.393602359,1416627.87364427,69033.7074608839,1743.25013084204,168.355907664219,14305.6043121656,1874.11834967155,9384.21758089772,38722.0238297466,10740.8924062088,2827.23897016852,13875.300645938,16349.6220768134,220192.216764129
3,1854.04320210231,268381.676060423,770335.919332321,3085700.79012807,413475.805992171,6148.53780441099,1223.60395048702,15238.3220254319,4755.72621979021,14357.3997322904,32967.8267280589,25479.8387680637,3927.68255089126,11181.5879821907,15072.3289194532,163896.400220556
4,2097.75029513503,367110.984921578,831037.297963102,411362.846436249,15186.9747371781,12858.7857985696,1828.47469926877,19951.062945788,740.937726553019,23057.126009343,72589.6136441215,35538.633675982,1777.95842659667,7419.65599027401,8557.51199287957,357832.951239843
5,2042.35854986123,351696.636175396,937936.181193723,869117.5472928,34823.4884766954,8762.05142151874,1662.8477353137,21270.8451785573,1117.08457298413,8605.35543779498,28861.9234307693,10249.1676289111,3180.01776458628,16018.105226822,9004.49223020471,224476.997512358
6,1999.53828165375,123272.97774259,416600.017183138,577838.146773384,26657.8230958929,4361.42703549252,715.80260698684,4999.6644088,208.931800674483,9013.99157598172,31191.1233768605,7675.86530846515,489.20100591529,6704.776365099,9962.81078951533,135415.577267579
7,2058.77491221437,179407.029429073,716325.489218952,2957163.12881154,172256.603619877,3159.45841817191,3153.81754277491,16566.2122804167,2706.85139670791,25567.7117778569,60020.7222811738,16811.8283862198,2121.1584181122,17225.1596847741,19777.6577665808,306323.292775722
8,2091.67819753017,197654.665230215,733078.083731001,1533717.221705,90939.5705429257,8471.74693493533,5592.35644525796,10011.4981223102,6089.47944553128,14658.7124933797,27742.2321245388,10795.8030273136,3045.68674651526,11962.9788793087,8375.9809618652,192561.567388634
9,2239.04186176239,117157.852304872,372025.209423314,2323370.18672474,247090.184723068,4517.84418221387,183.993853028163,4929.40784063645,438.918411884542,2056.96047181158,10416.7660514362,2717.73204531132,826.50983480094,6606.65920334812,7978.9426466549,8839.7900148393
10,2153.74163245901,162433.636376233,413073.100843684,421881.534573446,20456.4146496696,668.491548534125,2714.26874493868,1762.46522138077,1048.12113930392,2055.01347950512,2580.51873005105,1442.32871684565,133.187629754826,5728.831509576,3046.61189169198,30436.1864272844
11,2093.46692205555,732750.888732063,680753.871164838,786451.703605048,35495.4802926539,2734.86084677798,824.516266223079,21000.191589611,3432.3526786737,37451.6011008521,34464.4211158689,57041.8661050904,3325.5225444637,10084.7183560385,15584.6753855588,334349.693518345
12,2088.22779055403,445373.081022502,592566.981806418,312938.515023102,12010.6131393471,2117.06903435103,148.527718950977,11774.9532707173,2170.70799057574,7869.20371454794,21201.8580466884,11840.9825011431,1826.48997409217,7109.93636886526,16292.5793596494,198272.654225924
13,2080.59356955845,337368.82553307,843091.678639588,716531.009498733,42455.6642264808,795.529157339995,1816.87554513963,17076.4742374302,15208.4939185891,2191.36971085885,11238.5250825718,4715.73660507886,1929.6212850161,3026.33944058375,5836.6349226743,149035.069073955
14,2096.53920528379,372436.283604603,757086.351726008,295582.36358177,9464.93752918636,786.866050056168,2297.94388927908,29057.0375596155,5398.02521089444,7532.60412056346,14887.4036496515,12823.3855439569,1769.0387739677,6404.02639377912,12220.6882364873,253536.098944246
15,3085.76881114628,104366.51977171,412887.223359769,997424.378498364,80397.6991969514,9242.72461079106,680.963745761448,34741.1279902506,4098.86661867936,14275.5519813958,26031.0814425622,16022.5685472403,6092.21512186042,15168.0156240127,26146.7824622334,300805.908904485
16,3650,18928.3567735068,82985.4288324001,171558.640200563,15254.1256080984,2522.31397770507,530.806496782759,28502.0819576004,3502.16780112171,7927.02913614349,76839.3707827581,14506.1581696595,4460.90578407795,10175.9586280331,34153.5090672039,422076.834086789
17,1728.04170162063,477386.163951099,1462537.17008536,2992007.64566606,228792.723223541,4581.8246980389,1434.28657596421,29148.5026645505,5013.22243664223,52933.8382122195,52924.538718866,57282.2681872459,5645.09168013057,15261.453056797,25923.2929772719,496092.894545912
