country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2130.04598383521,544518.543701189,1992186.59918007,3195995.13058421,191300.178913526,7813.5435529144,1915.74707670684,24889.6908276798,2433.08439459246,11784.2397757533,56586.5828662949,56574.6880436056,6403.9895777262,35814.8815283784,18382.5883339965,72482.4945519709
2,1995.61056069894,106645.713312461,613648.541851358,3266186.53972148,307169.481721776,2207.80968378318,334.083779233409,11482.0426832501,3409.27830617191,4877.6699743315,32566.121965255,10851.3083499413,4792.09878715157,32344.4019011333,20127.175466616,26582.0973806765
3,1617.15973110209,291788.231333252,1043956.56324883,5941388.50983646,1311656.37394083,11072.1432339559,2618.65017368236,19923.7041406347,9546.29128072459,14126.6726090248,43569.6424428691,34860.4648207665,7855.91088812929,24943.4075115049,29334.2429569425,41739.5504351507
4,1804.45203084855,437619.160597792,1772211.76106458,3169283.15190637,126603.869183741,16162.1458630138,3805.5986708414,14938.6788252445,1689.98759152483,11095.7242976775,56027.9400474831,33366.3004611032,3098.63656249993,12885.0021386996,15589.4895318933,49334.6416939033
5,1817.03047323833,400168.208020363,1588071.13088694,3252812.74898796,269463.94271056,15251.290301938,4033.31035457082,21769.7290402482,2574.19891562654,6042.62642106907,30308.2920802269,11628.1026407861,6714.19081488173,28507.0668206808,23590.2489772915,49344.4963626574
6,1792.22871318371,148588.750190531,735076.146894329,2071569.58459147,194712.280002136,6903.48874480694,1707.73617617609,5163.3359837537,505.968768501036,6140.1333040766,34311.89785622,9642.1108199226,1015.17126978829,13560.2288595069,18912.1044004953,23845.8342611715
7,1905.43823540776,192329.821443334,957770.281964611,5193042.79835499,453093.936647129,4630.94000872428,6230.59674957653,14966.6320499421,5421.81055057391,16040.6618430569,53086.1880857371,16250.039377874,3689.60680699242,24151.3486690256,52364.5670023459,40660.4231781052
8,1897.50259189537,220393.843367705,1194068.45444183,4919971.17823543,675516.162499248,18995.6886052262,16796.5200564484,13956.8211372313,15244.9841597275,13962.6194662333,39428.2534254144,15081.2893212873,8161.74142881253,25459.9275302846,25642.2988965677,51829.9358537275
9,1988.04949551273,76461.1170411731,244965.054232061,1522690.46979044,159778.425172112,3869.30944667368,157.642899279566,4223.43535362788,376.058057689955,1762.76115592974,9035.71887464566,2357.41713088229,708.964432438632,5691.86836626628,6982.17242760178,7687.75451697707
10,2017.7416397322,136611.167127566,620563.152626613,924677.839380685,17637.6489046315,1750.01194212079,9244.30166643963,2700.69935028559,2062.72254956521,1745.87489847967,4188.69607647271,2651.18665869957,422.23649445923,6457.67362316775,16217.8074771688,18997.0359637512
11,1765.33449474745,819898.870435801,2416851.44471057,5938066.29680141,279299.377964384,6116.2554773764,2713.72632690986,23591.7523796415,8840.15761967143,29623.6680074695,43905.251838958,52219.9556263629,9307.622364352,28951.1193843925,63305.7340013224,81194.1916781828
12,1801.31422544334,490870.501576333,1396789.67122644,2254301.79819918,90213.3220879154,3484.93583017417,393.396861089186,11181.5493636908,4714.32327526576,4761.265144846,21125.0990647485,13574.7761966704,4082.49029592207,22386.3385837957,34021.8178256159,41919.0874251722
13,1853.05571032028,365043.367470143,1546937.83715282,4194664.3735255,267786.58531106,2502.40284123786,7786.76696007233,27317.9733530265,46589.782601688,2466.76541936174,21335.7829574955,6782.23076645047,7208.1831654804,12897.1612637934,21562.1912157613,51487.7929436673
14,1847.19227200099,460679.45486368,1720010.99687209,2326464.30716429,78998.4639441958,1081.41757416638,4946.9788869935,21683.1127742937,9757.84879190652,3718.31905931525,12591.167065322,11178.4355131894,3196.26458500076,18451.1566789063,31278.0230917654,47353.4237320116
15,1855.75378010692,265897.016969587,1277734.22496875,4774538.5262934,637471.521861789,13064.0750097077,1350.71617113094,31562.5981622798,8056.14870021885,8851.20000291747,23915.884391759,16951.0125358003,10635.936842007,28534.5162343717,49856.6640525302,49190.9246679165
16,2355.44703067672,107631.991333523,567369.648714401,1639978.05399413,107100.946733329,1426.60684429579,494.260267708891,8998.42696282262,3272.78441655677,1620.50644625169,26624.2596758932,5597.65930760409,3407.09607031564,11262.408444393,20559.6151196487,22310.4909397509
17,1541.72125614271,593616.946522223,2074543.17817458,5138709.57750835,485458.433418086,4466.75990624473,1910.30145371935,16607.1863694283,6222.9436271845,21194.3072907567,27967.7117426994,33264.1906150909,6506.5559335427,19326.9769543555,39487.7044444019,58872.717845157
18,1988.04579917658,332627.561469006,1426657.26383598,3303105.13144335,205907.424761637,2480.67130592394,38327.6006868417,20098.2948596614,6827.30889537029,3941.89088683249,13234.4612545165,8642.85048776883,7744.77894601489,26479.8614894378,48641.1474272208,49973.9908298031
19,2026.83889916617,318433.727325314,1604391.83702001,4349782.23350068,579502.575601348,31846.8756627557,14886.7718041577,43002.7930140701,11035.4073119683,7153.03893881367,42290.5720014024,13247.2938759925,13806.9322423626,30566.8333304476,31114.1154473085,54473.0757502111
20,1816.09591607699,238459.372198871,1055812.6400861,3272666.29569578,561549.420238289,10713.6421999326,1757.55141617575,12391.8298486011,761.642717656509,7685.2964493439,35420.9171522439,10160.112890567,2795.20858671338,25814.6976391606,25212.8831001098,36167.0502806518
