country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,159.698380486584,227.490335767432,34473.8942466565,5932194.77626089,1420280.77879986,798.666156003757,427.818614492888,6893.09040935024,1486.36439536765,1242.67357916816,2613.88428168545,1197.89808060768,1319.06017513075,4291.26587611685,4943.36743217434,1985.42916401839
2,160.650449945989,630.751281476407,24589.1991954061,4199097.95514625,328495.224180453,440.135250070003,246.604326315967,1854.41692442483,204.368381896469,477.727441264664,1782.68552966487,609.66188723081,394.097425308677,9022.21775972289,2214.28914632676,1507.6962062562
3,173.917970894183,336.19458110665,19217.6906514269,5430585.48600629,1709680.83356637,243.119896622955,677.503612346973,968.641630217608,210.630430599615,413.194680738203,2192.61407644792,828.741761287502,451.072771781814,9225.90504512258,4703.42041830805,1380.46798105256
4,169.717278963096,1232.79204796837,67794.3389851492,17080272.7509588,4937381.23018123,805.926757438138,642.682912916666,7237.01799030745,1825.32071763494,3908.77396800694,12592.2926155985,3536.16037596191,3829.79432859693,28411.583887223,16794.4308455952,5134.87218584642
5,169.819721991481,749.754649221149,42160.8180396953,10959111.0499173,2312246.66219011,710.416058152611,209.810379536214,5069.36535311482,1148.1020820743,1953.15923821919,4112.16679713268,11665.7017581322,3295.44607778782,12383.5751587105,5592.30409521378,2735.06195413981
6,1570.11295400392,269.675616356058,31328.121856168,5010635.577249,1771079.79207641,7335.22281804775,306.428576760187,39013.5687111425,4404.97481757362,18655.8284458567,40255.6083090288,17323.5868814428,10254.9993763435,74894.3980618021,46543.7917186154,2469.16046819831
7,206.157588348316,793.963815610706,95150.900287209,13158875.0019778,4499647.25374163,672.545022298759,52.237657171841,5104.6946996407,1097.98104573048,3201.89955948322,19469.4652609299,5151.15143287244,5174.44980711243,29833.0148600277,23676.0085284025,6615.24447260065
8,158.093056740048,1198.78134986713,59430.2276582473,13339130.9845454,1401020.01243802,1085.26952560449,62.3506904811293,6385.65578954196,2508.58284248545,2788.86730251138,8959.0596966902,6429.28588941296,3698.85425983023,15412.0304222445,11929.2176835214,4115.17412841123
9,158.345708152684,1261.37962518954,53314.6539458973,6850566.1374241,1558704.54509856,1729.67412655502,384.515041110173,6572.48461807394,750.835351093391,2538.26283775514,5868.09946474495,1965.8762140321,1838.26232500693,7467.51916633844,7392.53919412961,2901.42245595588
10,156.498022430571,1384.27114872508,82864.1872040498,16877371.034393,7043835.09823619,741.781162270102,35.1537573271206,15756.0859145204,1088.35060475219,4209.78102357109,20729.1186399218,5941.17996288216,2641.62069479883,20176.5024192897,18486.6535527837,6894.83178071972
11,157.740817969814,1056.99332594498,64773.1600261738,11012588.2451532,3041947.35486616,704.946780885365,151.751370494217,7714.80495650186,1192.38642024481,3538.12946200872,7693.42182520398,3683.5034873037,3375.96218321637,16220.0418169836,10485.7737673497,4680.03458306799
12,258.818286980169,421.874497763606,25105.9519312012,5905932.69751929,1908698.2322535,656.080046985145,109.756507064079,4172.55220935297,1113.72691839607,2737.32190417059,5682.7798223448,2327.75182024674,1954.86025231376,12416.9705311211,10088.8442782942,2058.72418177936
13,279.128226015725,1106.45855048874,65309.2627729216,10291141.6006549,1186858.49355757,2823.75223048366,333.471291587425,7856.262837107,2452.54459245663,7325.36289618945,18722.5796149978,4194.32917152961,4303.03160398965,31106.1962892182,22026.4834455679,4319.93088674278
14,195.711025694666,454.797021881972,31097.9170724619,8288673.795219,4082092.66292067,845.000520236469,79.1952443516003,4291.7681079349,818.760274351076,1586.10297502986,8532.54149947542,2410.7036814206,1545.58362262114,14273.9079456072,9726.28609220719,2454.33769347438
15,166.379642955749,595.382787581113,24784.2727160165,8783743.35763438,1567614.42026217,917.374364508927,93.8936624557333,2482.74848748553,998.032752026632,1412.14141219844,7110.04709663369,1158.28916817226,1735.33503131115,9153.20648507255,8052.381609412,2344.80957473779
16,161.807187729567,289.206412397658,15798.2206847741,6291804.0406579,1522101.58754015,261.425297323815,215.805191484975,1913.12630456697,164.975244524413,793.11292746285,3658.83005696661,1367.08750742895,990.894098090234,5738.46154693105,4783.32106478706,1495.57644984373
17,315.338391273257,767.464456983267,43562.8938567837,12065246.1757042,3204929.32112573,3101.04326335717,865.330535531365,19475.8934416745,1105.62746546978,5782.79211109687,18197.8531548533,4428.82414550763,4031.01909672984,49408.5551181412,10812.329338979,3816.711305921
18,163.012357008247,829.520071589458,34303.3649805927,8528316.6630926,1556751.02739527,196.076973675985,363.483943870934,4416.37638190067,1312.9554606252,3869.19345152709,3451.91571046317,2654.64029294858,1796.09981472308,9126.96877131528,8168.4463023549,2960.96671474986
19,156.209864884997,354.649028327714,24834.3956564708,4719695.43626913,1095606.08736478,281.023657871504,66.7057413082636,1731.33341083955,723.876168036929,1169.91713924237,4162.83685414698,1876.46185160449,996.070281531347,4630.69579922076,2329.69838948954,1511.90783397608
20,167.15578890416,972.175127925224,71867.2803687776,22131164.8277306,6156542.87233215,1733.7772149769,127.924397052481,11062.3029055665,3106.04762251446,6251.09841276017,13454.2739272393,3558.03739315229,2638.7555154153,35847.7586079088,15748.331171165,5452.37453928216
