country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,244.523182912329,79.9855841757827,13297.8568534594,1532755.01806365,443330.124288183,338.889628771386,189.295899655055,3049.96955774882,657.668170352693,537.59179854017,1323.9949257149,606.764037475107,585.814376420237,2016.10569566597,2705.56293040506,1673.7005270258
2,257.10035719908,254.33948048356,11118.1329507218,969825.716235174,114126.142236214,201.566809985098,118.143755240192,888.418230553695,97.9092640032374,223.545730223382,965.294244244934,330.121662450493,189.454427656798,4612.66602798963,1266.57735759946,1382.5173094142
3,277.192742527462,126.482552131584,7209.92146095401,1737432.84575437,580846.016040436,116.403307774088,329.754112846764,471.456617526147,102.517904724229,199.348302994487,1133.63324412233,428.47905679325,219.82921962114,4607.2560890379,2570.29606350262,1063.17520697535
4,269.13014421585,431.907018901488,32732.2640349717,6888981.75803978,1664736.77651574,446.581903610405,366.620860649571,4128.38385900417,1041.2609998044,2196.72857887348,7977.52071125748,2240.24278173298,2191.84918159562,16795.8815177751,11300.9525011345,4612.94492154122
5,272.791498070849,270.522257692499,14842.2849670189,3640092.02266465,723400.594182507,362.447907555278,109.077693577379,2635.49726110379,596.883373362543,1004.23193409896,2251.73033516245,6387.8767145487,1712.17697297044,6604.80225516259,3171.81899268216,1891.13659871402
6,1691.57964242563,86.2144077292853,13107.7255360412,1632209.64601096,607799.814184411,2423.86392353566,102.273225673307,13021.1208083193,1470.19898850854,6198.30401551354,14136.727831208,6083.59538187167,3430.75774912011,25492.5643389059,16897.2963204788,1838.75450047505
7,282.708023258771,294.409249930612,34988.2020380628,2162893.95539869,1331515.2862028,196.596952587468,15.5075022943421,1515.4022797421,325.951516734329,944.22413265468,6260.40179451828,1656.35148382343,1542.80836797541,9098.07249746747,8062.31619894901,5988.5936232766
8,244.573614870427,434.459835835408,26995.4022017616,5765114.12334881,465138.539175272,670.915278869801,39.2904405915896,4023.93666375311,1580.78963330143,1738.95915654236,5995.32162296703,4302.41989873943,2332.37272875148,9983.27520550887,8269.91194065977,3553.11856424047
9,239.141308110017,473.511153329572,25578.6557658915,2553230.34263341,495940.373899965,875.907938512929,200.06740957644,3419.73611285154,390.667900215198,1305.1836497246,3471.11579568801,1162.8609944141,963.619544102839,4085.57243531729,4734.14705169765,2610.49179410798
10,238.134149689297,495.927913062856,34680.9331905913,4867153.69715117,2554696.54727239,337.618199055826,16.384283879357,7343.51614391668,507.252897680234,1940.53943684016,10732.7826535382,3076.1266002099,1237.6728161617,9857.84399799045,10206.9256953646,5920.45710231657
11,238.118352443786,378.835447533007,26509.1898379832,2360440.49001015,1031540.73759481,273.684587136288,60.7770038666673,3089.80887055492,477.555318530333,1397.31099712279,3529.48716765849,1689.86942167558,1362.68655289019,6927.10681446336,5126.12201460049,4099.94309747557
12,362.113116523047,164.220967377041,10089.2843964255,1532360.5605549,681758.510697307,248.191330332308,42.2128373706457,1604.78200833335,428.344291734029,1044.15508634961,2342.16798842702,959.387125460556,753.764077851057,4899.69708586972,4376.52880153747,1810.97118864642
13,327.094572456384,444.789996787581,29098.208025876,3933574.22492032,432691.566044808,1169.8352854382,140.702651734682,3314.81912174079,1034.81030110124,3062.95212097561,8510.51462239606,1906.56952618061,1820.81308005985,13550.045091116,10488.3218050451,3670.49609302533
14,296.899310251513,171.761984158324,12646.2783219815,2202041.99839276,1396398.25823711,354.883478424868,34.4071690037763,1864.60174248771,355.71862128621,676.14068824958,4100.56049275575,1158.53362991342,672.252394704604,6529.71822595682,4889.12137045404,2081.99975280421
15,250.677367536844,215.180533457176,11743.4838810176,2934724.43344539,454184.598714658,437.466011404343,45.7153983726727,1208.81253533019,485.926990752787,680.206722100895,3758.11701047233,612.230294228989,846.92415086083,4598.7984800645,4310.46847263015,2218.79034425774
16,243.318371968284,97.2847966233287,7132.93270622386,2220189.41572766,505738.150909438,131.014321954157,110.185228094989,976.798828576426,84.2326119351703,401.175619675486,2020.68147776209,755.008667178124,507.320810537781,3016.48519570558,2773.76080533268,1354.99772549971
17,268.928776561446,293.761094411445,19794.9949562435,4781297.36855442,1173113.46646704,872.034381638568,248.856799304937,5600.99095835439,317.962791075533,1643.96283091748,5712.22395208938,1390.18790558894,1162.60446076524,14881.8119311949,3545.39796788468,3164.65814602946
18,240.318970799651,309.011502466022,14816.8636470868,2093299.40563255,364675.411272772,69.9543856300219,132.765545296529,1613.11834666885,479.56794411215,1401.40600485857,1462.4098751667,1124.6428085298,663.160697989728,3542.98981413482,3570.15014291545,2637.54013565158
19,239.91748158573,125.087826096996,11045.6262098742,1730853.00158565,371585.095400319,144.012703423381,34.9979285785909,908.363836004387,379.789894120584,607.042489452594,2427.83331964473,1094.38269285746,525.238674669389,2538.21247160334,1430.28254394778,1267.30839035592
20,266.623483493544,352.391027726674,31049.0369363431,8628304.30001999,2223949.50012526,961.071712829086,74.7219224754856,6461.60200208696,1814.27354751945,3549.3275461267,8959.73462737609,2369.43821787245,1544.79670532867,22415.5918113146,10860.2251349045,4579.22370887565
