country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,63681.8931253562,496830.08294178,2566999.94895428,843917.971805608,4236.34645572936,1482.04233694246,11300.6203422239,37349.959709291,4412.17731439376,30789.5455335602,62821.4637104495,5109.07899240532,16906.8677167005,55759.6408917874,48208.1380125862
2,1977.76147464366,70021.4306510237,512737.793813284,2405206.1260148,443992.612107481,2226.91774625154,16891.9814624521,10468.2255673203,1983.641043679,2527.51375797603,17121.5182604132,4501.14732181804,3156.58728947885,24344.635608454,14986.3034738575,23026.3513444888
3,2426.26441256588,244573.728407266,1115470.73212308,2151146.78499283,137528.428391109,23523.301442838,1244.6868487767,19284.9384127833,715.961400903305,6118.37707267729,40939.0987748245,7595.16169292906,1156.97770249066,17166.8348732921,19753.5163125539,48464.9699846791
4,3650,237010.892176728,1123524.16071434,1961518.70284296,124887.166377756,6775.36176754342,1708.53198809247,8741.46899154195,6019.61585076319,17925.8948703872,43474.097354836,28500.2090300143,4806.85188738071,63341.6340516537,25672.3142278399,81267.9208246081
5,2057.44179601759,217043.313278219,1057441.62526446,3619796.3791773,140428.508408881,6770.97694660318,26443.2484431461,16770.6635795267,2488.66080901245,3617.11087104861,18472.0203164438,8106.1753852235,8140.75069047027,23112.8877368949,26826.8301951674,58026.3520569071
6,2203.02433294544,127859.761629787,644204.194558006,2966381.14007348,591206.4684863,13210.6192109432,13628.9769715647,8544.91197035319,19013.1443648573,5448.66771292645,8992.34295348921,6129.5964166064,4166.13882995187,15021.6673927988,44054.2150213298,32970.3990206061
7,2075.78096768491,171221.052231668,519445.777601481,1485818.3553381,81295.5491559346,2452.33988741552,2358.96643786043,1596.41994484648,241.23109745976,2200.95878877982,7373.71778542921,4957.49491546024,261.920236046443,3918.30343769326,2958.0137805418,10177.9120777698
8,3650,261439.972349027,1340945.87183871,5310918.69470422,685660.233495893,4885.4466248388,5526.17783968038,52899.9029233753,19570.3249390695,13034.5472769138,47092.2694114008,44035.4325681738,11430.0134772946,178358.694782052,79209.3328890122,140858.761505911
9,3650,81273.9326184289,400948.641539499,426551.22816372,19432.3311959081,1651.88778642482,1621.31261086595,7979.85305413641,1201.32773280079,1502.34394726231,9626.93156872738,2057.09829528549,940.492637035428,9378.13823698937,12054.4673285267,25056.6994771971
10,2474.53831846587,229987.25259187,1386820.97245038,2181443.2932082,110716.651326968,1200.47174334668,15293.7473390246,44264.0451187551,9612.60604404327,4844.32827540379,12861.7318223599,7357.76234728005,4222.99077658265,19815.0655643825,27098.7884287715,64927.9801370443
11,2075.8627791518,218579.320834016,984995.531350173,3712227.81781194,350646.67059688,13823.593004947,13048.8897816699,12577.0016996897,3983.07324773721,9184.34342514909,57496.8428795725,23507.6735521386,6838.11549532239,30478.8272717021,20104.7186564537,46531.1583861097
12,3650,74186.5803675539,550635.641941349,1792684.900004,218168.068272651,29473.386545609,3018.87977531497,8625.77958260593,421.66800771998,9431.27728131289,41809.3054909202,17626.3025925836,604.926282209204,18824.8582479578,25600.0974097111,51523.0958192667
13,2172.30026107163,158114.550210327,864371.086905707,2367353.16983694,140084.580905255,5181.51793297545,4035.95553421946,12079.5282514034,1257.7023939534,7766.5802346416,21493.878535387,7632.09770072929,1144.19158868963,16616.0723421898,29008.821579933,43712.9885957751
