country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,757.807197729012,9663.99521581905,898886.03451745,376508.914962746,7517.6165614176,36317.5552862703,142613.201306628,12394.4437651841,65283.2243667575,105172.477914288,82562.8574990732,28276.4162606443,68898.4263088205,73235.2997703685,340741.724647103
2,3650,989.670752492342,8530.58379467206,307922.003236916,22115.322860578,534.40260661394,87.1079240868651,5137.85403477721,1259.96216509851,2320.96928447315,5106.17725629807,1977.55810633062,2046.21683648168,13521.1349430232,8791.04014252335,4913.58526972908
3,2092.42697771563,463.407720590967,5387.44390714679,323596.28651065,208583.487597607,16403.938408912,393.338527994887,101996.149699168,7529.81303233425,51589.9648275186,72975.5240609428,34626.9153004614,10849.035909393,55139.6830771775,41063.1669236278,238071.433606146
4,1448.81596893461,883.481487423153,20852.5576215527,2294836.07194866,2137931.13680402,23751.8769173809,2769.09286762291,53598.6699779871,37394.8199691999,44638.5617623951,121029.056407249,117275.677241023,14892.3704745445,95102.2790109123,142390.20552779,224339.215879049
5,3650,1054.05809437587,31642.9431030713,4371663.75522305,1352405.22979328,24694.2093646498,2074.82250773229,256262.472550388,21553.1997689525,79301.7061277399,136626.503681204,78938.3594079401,72621.4527713715,345386.403986613,203416.969645686,284660.208532102
6,3650,234.667760590231,2872.98214239924,167981.875278409,157596.247659589,1098.99044203707,265.038466932443,45962.5982259535,5427.27157548356,12571.762628154,38107.0484735149,39716.9920369663,10360.9055989467,53329.3069806725,57599.3810663837,65194.0927750378
7,3650,1103.05563869718,22426.4652725567,1981871.63517318,85162.9231605928,565.124252042407,0,38359.8452263692,5608.20270852086,30553.2397810997,79199.1469245603,66176.9822420236,28622.5540728732,260271.37991295,84396.1777760253,137107.790000057
8,2042.52781103801,629.025600086203,14631.622629433,1365824.78539794,866023.841555103,9362.10187757605,260.360477216357,73108.7119300698,3970.39528244862,27161.3096416104,49776.0355815467,73399.381115685,27536.3233038755,135290.578721018,97356.5607729563,80092.5189687512
9,1494.58631796346,465.115040885378,5480.88543486197,315644.905481994,35578.7355814407,2755.57478614563,108.687836106916,28706.5584704987,1052.90231782911,15274.0952904379,30966.3276323967,16458.5362481798,9591.71547377811,29759.303933467,33859.3964041882,78588.8521420332
10,3650,765.573569163783,7096.91123522014,621074.993683511,496748.902898746,6414.06095421893,4584.94864160726,45849.1313375714,2140.99286540603,26606.8231197652,74785.0411112021,37776.2711941542,20599.5158561296,141553.719460807,64682.1207694707,131357.071249579
11,3649.34932796034,600.595305044612,33450.2411108959,9385176.74949848,4697126.78440072,39874.0787474947,10174.2173057684,133225.050730874,28256.0331153606,98007.1144969535,256184.74906633,93057.1825148903,65376.9413429109,510610.586092061,287973.003491179,276322.021026117
