country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,772.807661493196,10735.5478369893,1341789.36107276,600376.262613453,2335.34286014264,90114.1991339026,60746.2885993149,11120.0212009421,18947.2680600835,45179.8624333528,58271.4645977995,10750.6223437521,52895.4782900226,42232.6146567399,491985.40699478
2,3650,989.670752492342,8530.58379467206,307922.003236916,22115.322860578,534.40260661394,87.1079240868651,5137.85403477721,1259.96216509851,2320.96928447315,5106.17725629807,1977.55810633062,2046.21683648168,13521.1349430232,8791.04014252335,4913.58526972908
3,1966.88615833672,479.064126949877,5756.12323230942,422796.686100896,265173.67001105,2889.95449392332,444.01087810421,35518.7243139545,4452.45845025029,8887.52419833945,21144.4483476941,22621.5054179396,2410.99543386995,29679.1544498502,14894.5172741261,223515.671079335
4,1591.40058345819,856.666726150608,18287.9399183781,2295313.87237955,2071921.56763339,11385.8144589702,1635.49726026807,23053.2656427129,36321.9372876093,20616.4336847867,69387.8321828777,150683.639838105,8131.33719306575,68202.4402512812,113097.429267845,515103.634516138
5,3650,1078.94588669977,38886.1505188876,7478309.6512948,1555001.00315865,18178.3786691921,1868.9492949859,213983.681573394,33963.7165574691,59809.1506416656,131937.164608718,75008.7276357347,62489.7214895488,388911.585142543,184169.725019753,936679.289309794
6,3650,251.848456412344,1807.15274377987,129024.734558838,130670.785632329,36.4001169207615,12.7894851376268,22550.174210318,12318.6419035476,5008.40995905135,22376.5551350626,23810.002213172,488.812851141267,18358.6484580961,9573.29160936294,478009.501951003
7,3650,1295.36577956137,31253.0150579977,4135624.19782083,125977.009948471,370.975128294545,0,34313.1607646525,9477.37803830034,24755.1048663733,86289.7987643672,64997.0159660226,23247.9506351675,325747.268287939,80893.2515165883,652045.836614106
8,1901.40311186949,616.208115071591,23282.0126625976,2515494.32076658,1324165.38065524,4228.30338308529,153.457637110502,51241.7812610346,7666.53516672505,20359.2433359444,51005.793271965,44715.782305551,15736.2973172367,133366.254747328,67943.8532874765,631442.551277579
9,1518.24762703163,456.930814958391,5325.16360341666,342322.227988605,38372.896352701,838.507310276176,105.769658026139,11587.8682146947,1041.77219098039,5651.06463397442,14614.3368984603,24407.8826585053,3426.7197780936,20725.2887933805,16331.660610384,186567.222619183
10,3650,800.228671334492,4902.22301249091,546474.888350539,463210.071825967,819.036228169285,4272.31585385338,20463.9588522082,2693.15114347524,9300.86686377139,38449.9874753331,32369.9575324218,3519.95390291844,62221.2912622627,17608.0795104996,489085.297544309
