country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,885.34399766605,9142.80569497073,194294.164044018,138893.833947957,5471.28354112622,26426.0544089083,54677.8314634531,3465.23511731843,23544.3697175831,25592.6918006519,48721.8461737277,18686.2447285027,38663.9337129657,37802.5542554166,63279.4293510545
2,3650,1143.02908558001,8571.36705613088,109430.138026434,14395.9134859177,330.203837935129,53.4005523193816,3149.70476072724,772.405911667567,1427.52064518426,2993.59127044703,1159.38017557288,1251.15398768991,8121.93984076416,4996.21717939916,5208.04585884954
3,1253.57510226951,501.388236824451,5046.8572611485,90587.8734174063,103893.92969466,6936.67281537434,164.569105365538,42282.5641277846,3076.28544329516,21414.6991032666,29865.8652572262,14347.0357932762,4537.7819621973,22785.3939507162,16476.2496321822,99196.597386746
4,1331.37477843161,940.177858955197,8952.12388619853,175570.321704684,202214.942020792,14268.7344176057,1475.17032731518,18230.2002769798,6421.21619539041,15331.6940870448,29967.8589057093,66878.7565798263,7543.45061134899,46079.1247722567,49164.0883958007,42770.83060345
5,2350.68467368927,1231.09059925499,15148.7747418655,396105.803368197,271103.140433499,14287.4557230253,1061.21744425856,102169.868406756,4089.23672102648,33152.7739506621,35929.3433587352,45918.1978807746,36551.2542724883,143993.031190452,85574.9965133438,78990.5021893877
6,3650,319.4473061877,3364.47811265709,49808.5848121879,67496.7030034261,922.967216433135,223.17092078225,32106.9396413846,2761.59051386301,8564.02004091008,20880.7052187712,31837.2424456321,8545.13805525015,42556.6430304941,44084.8761123569,26254.3234497595
7,3650,1473.58659383074,8669.89487786366,170414.380769028,10764.2066637618,344.194168516865,0,18701.3343188295,1639.66808987354,15769.1226236456,30301.9947507849,39598.9482945364,15615.5754495951,102429.803124729,36767.1773321829,63679.1071845412
8,179.939123517355,750.498407025313,7092.93464274419,138523.254699581,124455.815551744,576.624631448745,17.7454896876851,7503.0491417636,579.408095595928,2808.15712009378,6677.75163304535,4704.78969744534,1987.50877196289,11928.028847384,8070.06102582729,18499.2120608607
9,304.829834265378,529.325159821411,4292.91525188114,54693.2216561735,7009.46248469566,186.033814394405,9.47612697533418,1434.09862027498,115.290467783455,560.517746947534,1232.45264983361,652.298334127925,766.575039013286,2416.88548256187,2404.8863795566,1518.24429078769
10,3650,883.459687902852,6878.43801055788,147692.010580954,169805.251386092,4290.91328600596,3038.77287876564,22410.3900095807,760.000989647308,12609.7410359147,25092.9741258449,23234.8493830692,13156.0874286387,87013.8905478561,35381.9181388056,37664.3181005733
11,3119.9644238866,705.512655201291,23783.5040100013,694903.928063937,1086382.54999385,12359.8002842142,2598.91071241261,31422.1101611953,3505.82423007679,25791.4529995203,50147.8351449679,30974.5223345694,16806.9652929445,81623.6804452673,58237.6667557943,79439.1577653935
12,3046.22300830575,679.726721541508,9674.58035053838,276796.474280481,493724.46181487,20062.7167117486,1222.24370233134,116726.01310257,16737.1450904163,96761.2403470145,179445.619675344,66079.6284445512,18933.0925318818,70054.440715616,81880.723698458,404922.901420395
13,237.668700781213,2223.51180829503,14602.1914995471,243945.727868634,199571.731536104,635.432799871497,49.9847003761012,21539.0632441021,815.772179436483,9066.81351567476,33815.4713304571,20976.2337476233,4371.46338023548,20654.205424031,29350.9118067439,50775.5503981206
14,2190.51378212105,1294.58737859863,12648.3940910342,330283.425637963,34431.8214053019,3527.03175567639,12971.373530894,37334.6547228459,2887.89208963549,29133.5371679978,68656.9987317677,31372.357694327,19496.9690546464,115419.821973512,83373.7485855167,100831.589748592
15,1227.00068888499,836.862570361799,6727.6237978477,183108.186588332,15368.5902167837,4886.35539184034,14456.979890244,41954.5068823284,1720.38712709697,22031.7685966581,53037.6483101527,31056.0794523067,17008.6859066617,76735.3680400573,61752.747523635,80445.5228153582
16,1429.97146260538,360.203477301681,6213.36659630998,137522.978177701,162246.453888757,6366.04642748393,1129.73176334725,111434.347189858,4974.91365283383,50023.5576938998,64172.2736728136,35901.0459276998,9142.11389395574,37991.259200237,33523.333291817,219546.984923139
17,193.816008335437,455.701583449667,3747.43265189931,60547.1443400027,61395.5705543823,250.596483327713,6.99576464749223,2126.70540788603,179.893642929843,1700.35156872523,6580.99047025371,1783.48843501335,875.027984744517,6617.01625743192,5177.73941644457,10056.2276776104
18,3650,635.415866588973,5271.97748511464,97935.2489406307,71372.2644654316,2205.43570414293,2826.03662645118,30367.8827198387,2049.60143193079,35713.4907858376,11015.9722166531,33190.2519157503,13746.8397035726,51790.6858279121,116219.119138984,27129.9135764333
19,3650,863.171479433489,5176.35197880291,119541.517648371,180317.673531805,3219.63644372062,104.441309217848,11637.3289877153,644.238390839606,8787.52504918188,19531.7173347552,62817.5227216619,12317.3282879557,60212.4605058787,38501.1211186696,30477.1328105253
20,3537.99555791422,460.652112142832,4275.62447093151,69324.1727761505,96751.8388733936,5223.07811660476,380.855531103552,15307.6827914991,5961.02886311235,7363.90483506364,73933.853332494,21370.3277896823,6324.21583321964,19007.6227339125,22181.2022081159,69743.8052392368
21,1355.60655880525,347.558378390335,8435.01625758763,199619.325929067,156172.706222434,1296.12367283069,63.4841026279242,9317.56034547814,658.831622489786,4818.96730355463,15323.1257589913,5550.88907415382,1909.63139019786,11917.5635788682,20470.3606517618,19131.612078882
22,3039.88210401342,498.357698249016,11938.4926677126,245390.640302826,141550.632619106,1400.86887196496,2169.09348893764,15933.4225021969,800.67559331615,12639.9016535484,33391.5186857605,19242.5645299514,7076.99989711371,28691.8132094482,22554.7598434887,35199.1290419865
23,1860.13722353158,1269.96804242221,27076.5797200084,554820.428004544,657624.439990639,8681.53807361183,4405.24874982791,27263.7946739748,5915.78300548652,55356.3228342504,58761.0104729213,36106.1612139985,16994.3709161515,106994.72034155,83377.6463183037,86256.4002345402
24,2389.29090755473,693.56201120933,5954.64030525805,120616.874948503,129763.637580735,62172.6076484287,3529.54954591014,44360.8043448118,4192.94081028686,26447.4778563187,80244.6748834547,51830.9023154763,13754.0963095841,50383.1482886593,44802.7432348808,101185.502171324
25,1615.33433232422,448.048986650033,3375.09640444058,84911.6037257747,13420.955524765,179.054816074849,36.0230179280572,1390.66226799912,511.220133721961,374.467120690894,2896.84225357185,916.474173044721,622.827646782208,6394.43156073419,3171.31924456797,1685.90010675912
26,463.510354959948,585.390201661377,4597.46709106505,90580.4842508858,108766.760138066,400.694132150521,927.080102671711,9111.72872292064,1166.65377804008,27646.2705666865,25181.2421140294,9879.70030641213,3040.51083111723,18958.2275173602,39336.4775995388,53324.4365474549
27,1418.08442499453,1059.07419185828,9075.36872579195,143465.972273083,89460.2890429401,1236.80744618678,176.226363401036,2233.736369608,2592.90869161597,1415.33436206782,4204.23698723388,4539.6927279324,897.709241107469,5563.97007589788,9942.48389113547,5187.49019676226
28,1704.82306349048,366.865648234647,2937.19321102727,49220.4537290671,10250.1294582464,329.464040836895,14.5518176622712,817.12759257552,207.487891372716,377.659700804015,1831.48950666171,353.504572778532,270.167021768694,2065.12487632437,1980.02129228172,1303.53827568988
29,1501.35649119125,966.768752316632,8318.89079824905,108150.111381558,41053.6394288855,430.560021813973,699.264672824441,1126.26687536625,700.011689253342,1664.92577665758,5204.35925657328,2046.06114936291,645.760741187401,7389.39584502914,3232.68297883298,4043.66201843233
30,1802.74481417263,429.252759039912,12011.3486005111,679816.563851895,453545.568754631,3543.85775826867,523.311427599451,28347.4406344114,2321.93590084123,15595.523044139,64631.6839004111,38756.7616752882,19992.8930791842,84882.1212124471,151865.658049972,79513.1817217816
31,1959.07546709177,351.981509165969,3281.42242655551,48431.4371418583,39996.8421597227,177.791186039365,16.8356229336156,944.17650544434,157.378752974415,348.854341321213,2054.13334428016,290.227922287732,370.903581891365,2588.22492406687,1751.36448031625,1386.18748907843
32,1511.23492816159,537.363218538882,3816.99576598635,84698.2982806525,108348.738336844,333.432384382671,25.9644632475171,1984.15051662157,427.503339297093,681.552538970999,2846.78550013754,812.609761202546,765.566853270468,3497.21635663422,3065.80928234078,2132.06265188893
33,3650,690.022337150001,7153.7019454076,166688.344848781,351167.476644793,29344.1909827327,5879.75297996899,99644.0570007358,4235.87540642695,29088.618328955,35073.8446731534,45866.5771917057,23868.8313217095,79806.2628256866,46781.2933148996,65755.5018808532
