country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,940.618712736183,6449.86821941422,132097.400091026,95391.4918809033,3980.25382211155,17451.1536290735,102305.806550814,8709.14096756651,50425.0317530559,78518.9635201579,54903.3820036017,14837.6989633077,35657.1599025741,42365.1449707216,281161.611134372
2,3650,1217.51337087598,8367.1704187475,101148.647782444,13584.4367837547,2016.85685889493,219.938204579358,46060.9829783134,6051.27168252122,33332.568748266,44883.6347625978,23073.5891260126,6185.03221165066,33667.0439099645,34973.9175628043,132595.015213343
3,1460.74603882352,514.39433476394,3845.99969884606,63961.164744699,59274.6507979071,12092.9022560395,273.611622564318,79514.8972805654,5397.43128495814,40961.9374336505,57381.2260517832,26605.3561912282,7809.82507976608,39771.2760473651,29593.675138201,196550.070694851
4,1469.34114091939,1362.65608851776,9178.63117979805,148136.953281998,125937.8912033,3762.82518108372,390.460302040065,17359.5987270442,13229.8317168956,17730.613656396,36181.8542691393,104067.747462307,2282.42178411789,29391.4091476997,25320.9471243662,69263.4479586891
5,3650,1259.23223412814,10356.0938003875,279986.151522538,198115.963249089,5907.77483275248,411.466333945771,143313.645079532,9676.70650016363,50684.8726332001,78999.2117608881,47955.9470983239,16863.5289559012,91704.3494729387,64281.9655705358,281064.375187607
6,3650,361.903486772934,2830.05006252072,25335.4821313796,12495.6224725107,180.567331643511,39.7362718114446,30364.591710929,8961.22507130481,10091.8735006565,31037.3191365324,25845.4298978387,1880.79546592172,18924.1568211446,19791.8173390158,64413.6429837087
7,3650,1408.89357749442,6006.79694417774,121575.516247836,7878.26914246572,194.450495637881,0,28592.009738694,3387.90705814725,29028.95602482,77683.7614240572,46305.5595838986,9740.6345830537,76253.1661480617,38107.4285422544,244469.169273389
8,1556.55708686849,744.917694329576,6480.38097427789,126030.77496792,104715.535007516,2780.67988879625,66.4711532720786,56505.404598855,3330.44378560855,26968.6810384347,55437.092816203,37679.2559180214,8464.98179685939,47269.462314856,45458.3503762142,177248.48766338
9,1269.2725614185,595.376011930446,4244.65540782247,55360.4820602947,7811.10898588844,2826.78593413164,97.3783808151483,42733.7380027981,1247.62593309185,24494.1836283931,52869.2352228217,21808.5645003798,9692.40349167213,31297.2805595951,40253.6021648186,161475.039070697
10,3650,972.612356938212,6372.10413373114,118317.825762702,109119.41735857,6281.12401110825,3910.08805468416,88409.9041355592,4110.94041023964,56541.8971117756,194623.507560836,50717.4699813379,20892.8914166251,158945.044034981,87720.6709611151,456198.177701291
11,1437.51921937395,764.508260766052,15522.9861980745,424631.254358611,886285.436741696,7098.33890120951,1397.61947846373,41616.8840963311,6013.8044476178,41089.5858594422,93001.7345234253,43770.9432042344,10428.8275793473,58376.5848837058,52558.3835204599,217047.382900608
12,1712.77394768525,799.022107644278,15355.6827483094,270341.648363933,347794.209263135,22051.4410440978,1299.36298677191,148661.255407219,20962.0396650758,124842.462026057,238056.941189007,78332.4828582036,21135.0906802726,78566.8698403652,97274.1363452904,553208.793723413
13,1486.11278220808,2014.05289593657,13248.7339494075,231160.492716241,192688.990628874,2161.05225939673,142.181165969513,141155.19436108,4001.62754386827,63704.7060845423,222606.358977241,105196.744884809,14304.6542391691,67372.7489648882,109489.794619292,435728.359586446
14,997.448924541471,1373.04979397304,10143.776828335,271457.091390887,28359.4893281087,2206.57003654919,7482.12753413428,61642.5259616656,7185.13840960765,54342.4768335254,164673.730459908,37574.8655853357,13419.9181663142,96093.3207221802,91435.3555298395,360642.216310639
15,1145.80599656878,1048.58688314798,8459.3264946075,215139.75055969,18220.6348907814,6096.48779270937,16133.5453585876,132571.558176415,6841.20527915235,77515.0952264353,275171.074038671,56277.9506495259,23171.1458557168,111097.358302076,124051.791525037,644520.761871784
16,1520.72988910524,405.104129121273,5939.509778437,130551.317282252,157452.147648596,6798.60267864093,1171.67498786838,139676.244644095,6436.30954863451,63823.8720375165,83800.4146313709,41926.4527607381,9934.30506256357,42301.8746503893,39363.9147967293,291867.196934722
17,1648.17662650831,460.568683452636,3414.80674585502,56537.2258952479,56413.6463852613,918.525683384151,20.8739159052466,13220.686247049,984.21631640101,13295.9958062129,38502.1294423144,21343.5007959561,2912.4166206521,44489.2808162856,22703.7001536121,66441.721197068
18,3650,640.616885420481,4574.83945107655,80362.9095434357,49117.079927558,1280.59761128065,1481.80221139596,66173.6770551781,7772.93108656729,79830.9336481816,45218.4692038245,69788.3457083565,8875.06023771605,43957.8455544908,73231.0386167079,200052.677309262
19,3650,879.122555399358,4833.744817235,108912.298675409,157334.815809083,1828.92097508617,54.4162417805266,19658.3371734623,1637.11623411641,17412.9061228038,57086.6700666789,55306.4105650362,7776.78886057527,52442.4505197645,41071.8809503248,151057.412809475
20,1830.90870457652,654.03574900332,8829.63037362916,101419.058028217,66595.4634734907,2210.30533193373,156.766771364765,15200.4212763777,9749.25360256796,7718.44961003024,75544.6572273487,16923.4835345515,2934.66720025621,11966.1110333974,15296.5231054258,73669.3763694471
21,1405.67067347588,354.900015297883,6836.43360126839,155600.299889973,139098.148532367,1366.69096001234,61.5244999702659,16225.5062570213,1041.21366525106,9806.26962386049,30034.9524699881,9410.27185245587,2029.15550641841,16002.5775939578,26625.7506271436,46773.9335960353
22,1342.16734232796,529.564269828029,9553.3757584448,192303.05516761,127928.573000024,937.211824748953,1369.56626416096,23826.0972274605,1445.48277401787,21079.3187759712,65370.5144107778,21670.6170047996,5124.64897480794,25209.6837867358,22125.6061185717,94649.7947151366
23,1357.363445238,1343.31324128258,16516.1713690252,320414.808289632,428597.708810095,4644.59573290205,2190.22174371707,36146.4812999859,10377.7533095518,88129.3575678687,116828.73645356,39198.1251152724,9915.96209584705,76181.77774712,74336.614322375,273843.189932382
24,2017.24585533342,721.216291048412,6054.67306412935,123765.737798482,121878.476678063,49002.7182795791,2525.27132952491,89246.3848964002,11737.8106028591,57926.5762686689,232671.950831103,61480.7346681941,11877.7297676691,52420.4658933731,56600.5956976702,412422.13687287
25,1984.37188740838,501.248998216116,3257.00052178433,75574.6088309328,10321.8495861762,2696.05005651155,358.228316345498,40474.7173040011,5183.59727045747,16212.8561396796,140957.005507191,29680.5127223453,7662.80827963061,37295.6421520541,65995.9053719239,251252.854624623
26,1879.9593496724,684.359162744449,4621.81873322111,54062.0938603513,45852.7303244095,453.588696475923,961.979579737447,19329.0325172851,2557.44361049294,56752.4422850705,48899.9969741435,30786.2768704522,3521.03109015115,27666.1702898053,53323.6762921266,109881.984592298
27,1564.36009385168,1415.40736536673,21310.5417095726,275602.464848158,139759.758124372,11174.5285553162,1069.84850592423,40949.530271278,22585.840265598,39920.1658714627,101465.992468549,138342.202945384,6539.32014375258,55224.3354395141,61560.7309990682,245483.741147714
28,2832.91501649972,436.16991683773,2224.02194985409,22857.7733314995,3521.51488320066,5599.4823810403,152.409616557795,26176.4319919722,2483.52799782554,18677.0156743463,71400.0082689996,11282.178503774,3536.07553113277,23888.6993499749,40938.5781236011,130816.388319381
29,2813.05668074636,1155.54574918566,12219.4550828944,125119.148912504,31022.5107825803,10497.92410391,10640.3728211447,51199.6175735661,11824.4979353984,115632.700526628,323814.798513878,91600.1490454557,12194.2204179105,105105.600491294,79763.5969238114,513815.630611994
30,1875.77393700839,444.716804867856,11009.31528908,612467.979595423,413201.095495237,1790.89205779153,267.516063161036,30171.4061454725,3061.80629961992,18856.2974963893,85772.7981513337,39070.3340129234,11243.3426445202,62962.2399102209,103610.277606936,140265.903442549
31,1723.96169493408,374.181039600447,2798.25782455784,32869.3789046678,20471.3637993839,802.582430972099,50.6827151712827,12407.1022239618,965.431245984497,6006.72796018518,27566.6979789267,6056.01937198358,1325.60545878753,11089.1094481121,9104.93374329458,30771.7813150009
32,1618.57572729627,548.153117076045,3527.80007464746,78359.7275282235,99907.4571708062,6760.93141622713,325.37387890431,73486.3044851306,5892.90116122144,38846.9655181981,137212.936722987,29963.8794590787,11877.5836908184,46695.2421719521,55651.0286818839,269856.271505471
33,2777.46686981955,840.106474116782,5633.17363145385,94184.9775812026,141201.074175002,35960.3376062411,6339.82241925184,341444.867644534,19950.2948825729,112756.569006334,241462.309670604,85012.8893025588,31983.727240565,124710.32548758,94544.215271199,719943.401811587
34,159.702222865893,1516.41165079648,45210.8741351133,1327886.94046941,498583.23064739,5359.81244131411,6298.97869891328,59966.1002198368,8658.71117156877,19660.3614436394,30080.1896075314,15973.6010638946,7095.95445081206,63887.5110915308,27105.3522305826,47555.0185171506
35,2401.81782725113,515.03039762996,3764.9416847775,80091.8546308002,123259.658534066,5326.80539153737,95.7627292451679,65729.8143331229,3605.40848279127,33638.6104196559,152340.359151803,21141.6438225167,6683.73322355904,54730.2691595084,64186.7727681196,278434.743682383
36,3650,1434.00991847741,9297.6280931756,109909.123294006,8730.95793491152,2941.49424248452,45.350278177173,41123.4564242096,5195.75772187905,54474.3414311963,87904.1552502083,28120.8356018314,6106.28549101226,64208.0849748821,73729.3243185618,220905.427733853
