country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,902.685246240429,10874.3332860636,249198.209380296,193599.969530116,575.286291619545,60124.1838302222,25565.6571416491,5944.98394383371,10785.3021415237,18333.8232887625,20104.0900155595,2615.69412532396,18715.7206877262,11619.5210655327,469897.672352063
2,3650,1143.02908558001,8571.36705613088,109430.138026434,14395.9134859177,330.203837935129,53.4005523193816,3149.70476072724,772.405911667567,1427.52064518426,2993.59127044703,1159.38017557288,1251.15398768991,8121.93984076416,4996.21717939916,5208.04585884954
3,1219.78196651572,511.227789500135,4920.10979290861,90571.7228903446,97163.0831429988,941.834829405319,185.396314974481,13521.3331437403,1837.56619916364,3756.15943645059,7841.87003395451,8292.74977798131,752.851408878042,11309.5685533102,4786.91673446896,112312.373545531
4,1363.4322422719,959.703995637792,9095.0655898207,185249.250106071,214775.184546316,1420.99901196975,200.957520751863,4400.74355309305,12636.0613740361,7521.09456502761,20835.3534520475,67223.4885476813,1012.78487070387,16777.9873329444,16262.9863587843,407462.434797296
5,199.452948415131,1249.66316942433,18096.2628098488,496449.54128972,341302.543713523,1540.79055713553,153.748653329783,20763.5032362715,2963.29351701743,5288.8199292702,12662.9659809389,9252.9620216294,5206.42922456876,34328.4197500961,14597.1697393415,96628.9094870543
6,3650,327.118223042449,3356.07759090471,54766.5853409832,74386.7779039721,23.6459484394579,8.21609554344212,18144.9355541667,10479.2969395275,4260.44469794722,17773.4997407058,18613.4401236723,313.428261945052,14461.9879222496,6625.30146303022,417053.17618891
7,169.532171468073,1724.81041619429,12170.2933887776,239160.007305952,16353.2154115313,32.4004180418448,0,3175.82713038821,743.807179516251,1890.15255360128,7175.20728440698,6207.87198598045,2000.04559448547,26573.0802368029,6631.72049655322,36696.7217150517
8,166.523051567381,813.431766693722,7267.84122554633,146215.940717838,137433.115471428,393.390437537059,13.9219649023046,4407.10736267579,488.103185710025,1252.16272239168,3313.96073631031,3269.96576607759,1460.5839467965,10311.4661790834,5223.14006292499,12846.4172742988
9,304.829834265378,529.325159821411,4292.91525188114,54693.2216561735,7009.46248469566,186.033814394405,9.47612697533418,1434.09862027498,115.290467783455,560.517746947534,1232.45264983361,652.298334127925,766.575039013286,2416.88548256187,2404.8863795566,1518.24429078769
10,3650,877.490224289016,6856.58883726069,151338.757662346,175287.602734058,339.689464957521,2759.8485650168,11897.4090744888,1744.76431237464,6056.53490250207,20960.6787317631,19907.8502086299,1443.15424218154,35280.8376976091,7045.11393387309,368684.754726568
11,199.653331568318,791.465351102858,29210.8196359243,1036106.7394853,1251017.87804552,3482.09443851327,1419.30769005417,11749.3643905799,3156.47755088607,7342.06697781196,21802.9902827267,10245.1765692726,6026.76755442017,52986.9331756242,24428.5776662495,47031.7801278551
12,2990.16779172153,695.645077199173,11272.5085163626,391378.196183497,551756.108604523,2043.48581819572,193.686843056383,27067.2357672992,8513.63788314073,17560.3134146875,50008.5447341366,42209.2246439716,2472.09644717157,32336.002500427,25063.0818314892,528923.974622294
13,267.493853889038,2056.37223409866,14287.4186849934,242421.586653746,198002.624765908,245.487958291953,24.3082512406279,10369.7617064593,799.545023673813,3963.04290035319,19905.7695075765,13014.4187624806,1994.14003897599,15190.027252052,18307.0589813691,122962.259935358
14,1320.63309350541,1329.35932514907,15328.1576285423,413088.834819262,40885.0163418728,319.367955307265,26813.1362506348,18882.8876260679,5381.8346583916,12882.4308502686,42673.047122525,21297.5612073009,2362.94848857053,47186.5647966561,22678.9818013782,721720.449810029
15,992.05282885436,913.724716399755,6741.26780364506,197575.671761539,16853.6841342024,334.832265907487,25816.3452914395,20686.8877989666,2986.37913422016,9669.06939741562,35182.6852912257,25775.4595268943,1571.0094431409,29948.7567230923,16179.660794819,622578.796892649
16,1465.41888733045,390.670927266807,6889.53496687103,165754.865826323,180648.125833256,512.77328101258,1132.48816808009,50825.0167510196,3267.2334598306,9619.78653215712,18628.410075353,21220.2855948597,962.088497284002,19898.3478019118,9790.94283339804,327585.814851366
17,170.468471704312,501.790956971337,4058.47512161339,65211.0344455906,66777.3626541224,159.176492385542,5.19092688739583,1117.63808567457,144.402014843764,675.105767556626,3037.97134643481,1317.33178883787,601.443308232562,4458.97744071966,3231.38098920161,6485.38495230685
18,3650,687.15346834098,5543.4292048491,109541.770859079,79852.7374339552,131.277960392659,5096.38703118478,23751.4180421145,6114.90389917908,18703.4623774463,10989.7511284545,54691.9734352391,1123.12887897383,21853.252236922,16379.3539154669,433081.258225531
19,3650,833.757446459628,5300.3128233153,127560.721488439,192738.863286545,221.3571625162,121.961775185579,3991.78933975284,1088.84395450962,4284.39503288544,15168.3226616152,17754.0747228151,1171.64948547682,25349.7272907153,7513.53253971078,337569.934961562
