country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,217697.556986796,103459.674151519,598596.013073647,41385.8556273842,567.223154008916,59905.7791977787,24887.5482044195,6119.72471824811,11043.755029709,18330.0919222832,17904.0814017725,2693.88921549974,19337.5503640348,12659.0040417594,487513.431026125
2,3650,256931.142281395,184940.152331715,321253.373753297,3669.35354879949,203.124947187051,33.4486060506397,1972.88659276942,483.813367622727,886.960412019085,2056.9464385987,796.629435243659,787.523635631306,5313.1012896911,3657.89432776671,5341.65110029733
3,1835.8614943475,389877.345935926,352410.45315622,1949658.88158069,234955.333474677,8108.73478985636,588.122782821276,48759.331106141,7876.24912948081,15039.0433804355,31025.1380522742,23929.9679366107,6732.10773960033,48399.1197905522,29630.7569085335,232029.443065716
4,2521.51081862816,475949.177932048,416685.141060489,853407.164610596,76554.3896034843,2263.03956046488,325.767864353346,4129.23192995603,4793.18934255439,2614.61156273595,8715.99767246535,9411.44644569624,1677.73782234818,10765.9547245164,22292.1566923198,19199.8128985836
5,3650,398860.996863234,260714.298044324,1790484.56204495,94801.9144012406,2524.94602063821,264.306621502498,47352.4373506887,11271.8595795254,20229.1808928915,39376.1561610805,33401.6860011442,8874.564371073,93095.9346605513,34760.7876252041,942280.855446462
6,3650,53.0362301616118,115.214787663447,337.72850564988,50.3936866759018,0.0609658775164302,0.021202650280692,3.44093060277666,1.63710782823294,0.684130273000103,4.38964229310802,2.11449851182322,0.832621499720154,7.62393453800829,7.29358335518219,6.33720811534737
7,3650,215081.3063162,125881.282240874,954929.309263913,2142.51276624789,44.5086332916681,0,9181.98404603351,2901.15710538463,10083.8311024002,33576.1595080645,37744.0429063528,3045.46277530508,71051.2721242247,21803.263478647,718641.601377805
8,2914.96881147388,184231.2646692,232424.442085451,914172.679737097,54953.9423574517,779.933998314122,28.9051180151317,14122.6040268569,3453.68746643104,9681.56110683107,22484.3536833811,18517.3099639342,3058.73086478577,43515.4001420469,18915.7588516245,574426.114548306
9,1696.19664306129,153159.677352388,173515.165188918,645199.707709006,6770.83224118518,876.521836939458,45.264506633849,6850.2423701157,550.706650236683,2658.35259984948,6217.39899674241,3290.67328366022,3666.79261873151,11749.5424158538,12556.1702217313,7065.51439830702
10,3650,214338.463282809,198607.036116851,691513.50080475,37527.2745022772,391.991894094275,394.312968004368,2996.3408475706,371.443080553881,1253.72271471615,6578.10070270565,1986.1720410862,1719.50256151697,12143.6764898806,6714.16677922201,8649.68690445343
