country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2377.52094412725,14571.2574354387,15032.5803112735,23853.7129357172,755.862000377391,92.5335662893071,173.793349404055,368.158678092083,87.1446001037277,62.8082654442267,522.141414219111,137.28444302058,26.8028054969722,418.731227140351,614.160360616871,1616.51397993529
2,2613.17978301974,57092.0192807232,163624.6540933,232393.461794938,3519.31729016857,54.4990092412025,94.4500087437187,4092.06049708255,1451.80094833218,1983.65601527382,6970.72300528278,4409.02471051268,1572.60191797882,4304.16283997642,6646.88397251422,45894.4038671849
3,2346.20403440817,18680.2810985675,59972.13641679,34449.1246257434,1704.19935578676,169.38382568508,299.02528429653,5523.07745143037,121.841087427985,7.13185942293625,2396.52293508111,13634.511114987,6502.56561645464,3127.6533930048,878.359892536501,52485.3053552145
4,1857.19689035282,57623.4240823624,240112.44466401,234103.265193686,9166.67641977489,2111.18136053715,16777.4024453983,2238.87679701957,482.280682263558,3721.57563918999,5460.88962862715,3124.78952097624,248.427960047741,14241.7325543278,8628.42023270003,79829.4992567211
5,2309.31445089678,81203.1923769549,222324.025643504,806182.865051068,55652.8264369532,3419.28698962217,0,6009.24768002451,1302.47160509751,5326.61265935923,14344.2338083973,8938.98662385933,4199.18852161902,12046.4851988274,12229.6415737698,20555.052195039
6,2251.60592593824,39096.8758691457,23293.2284481672,31277.6204297184,2222.77120655683,1029.76887552448,22.8454968144599,578.721645216751,8.66500327659669,4503.0982849815,2350.6105265874,2924.76843301516,83.7097176542219,1207.34951156869,1523.04755786926,18636.1715507796
7,1950.61624235823,39683.383324875,141174.478029877,188807.274031589,3985.04665108103,422.654778099867,116.167996687191,3763.38592745424,645.762222639443,1416.74234015799,4184.28127870225,882.346788336569,552.656410843221,2031.02998071615,6141.22913144174,8301.68768700509
8,1773.02963777611,83255.1903688456,182549.321627006,165260.513941209,3904.58789746364,463.89997503271,20.4904931939863,1092.44794762711,90.8611542907761,6561.44058966367,5110.19842294877,1735.21257673012,185.529016568394,1982.75011344617,2108.19356210714,11911.5476920771
9,2251.56627518688,18970.5055900041,58607.1849584123,52921.3024112772,1524.24907059095,613.051507034545,34.6464198081639,1226.29704406671,280.228950891092,364.917939498202,3163.35859739447,359.274698708638,205.408074223822,523.80278983453,2902.13823040574,10167.1690708613
10,2775.39867772106,403983.179856573,1261971.48115222,513058.001098321,16393.9379439946,26878.9857524436,14196.239185365,8415.66032959522,686.131685222786,6761.14336158964,4060.87413997233,17740.9062078867,29763.0036308413,13948.702076014,27226.0548016053,143755.877668714
