country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2218.98722855642,18399.824797836,11438.5138047024,20179.9494860683,743.316229173019,705.285967726179,734.548153074612,4258.37986462546,467.960892510811,1236.96998567023,3900.8466888797,975.114879305892,131.200422494554,1721.77520404466,1998.14306408981,40999.1193769631
2,2653.84420002879,61446.2703883548,174380.851680414,158205.054026605,3605.00273850946,51.5137061439201,78.6986761545793,5247.39093858067,1536.81261167336,2892.09151803688,9278.37867326587,4767.34572060517,1406.22373835556,3399.16505529678,5345.67014326848,78017.0548924148
3,2368.73998506656,55095.6007324283,147579.644189873,56299.2905098234,2483.42652660849,157.793049612397,273.77911379325,7717.92409823631,171.048437066051,10.2349299410823,3590.8763511844,18423.8458859221,6477.19536792929,3416.29589937579,944.107460655623,87999.679547967
4,1916.34419487862,103596.297572162,454620.94225656,417749.156458058,15475.0799463015,3265.92191657707,25817.386876287,4318.54340531455,892.825892371027,7531.68818466255,11373.606089379,5441.53120787905,398.909523705953,23575.0175221425,13393.5030789827,191960.265785729
5,2304.12193828238,81350.811584635,222972.147700766,807845.626549824,55734.5572323403,4835.78879066225,0,9738.33156542155,1598.71007906551,11065.8478523387,22639.1563134051,12651.5931729659,5241.47818400758,14966.2766932764,13544.1165177629,89798.634365398
6,2253.71923987958,46076.0529801825,22292.7688093282,33303.6147526466,2506.14376246218,1301.35365346122,26.3057510764589,1041.50912982338,12.5843037719483,8761.50332639948,4505.17234679143,4184.75211878018,105.602810249779,1669.74622770263,1479.37946856788,44777.2462671266
7,1960.76314411065,39766.3105877446,141406.982154915,189136.47737881,3942.29579979564,467.168151852543,122.015701075108,5360.6888444205,788.810724557014,2329.23329329197,4848.02379302193,1131.85852312851,587.354494170063,2181.51010057032,6359.62723637434,14008.5790252958
8,1773.22274526616,83262.8894376547,182462.377816723,165273.655624353,3905.02451563804,916.482514622822,29.6262998493556,2614.10686341537,129.730887478951,22615.7011625032,11368.5271077782,3364.80369171558,287.063597397392,2734.60278027369,2688.83576264918,62184.3354299687
9,2299.46142950286,34317.9863942001,102572.351073017,92245.564730105,2723.60925097693,2271.58369518883,96.8011831626241,5562.91764809917,821.001706747639,2024.63871029007,12218.7208601249,1341.75422909829,622.55313140957,1208.24742812891,4513.18125728318,66703.0398619669
10,2777.34699384024,403920.467774749,1260643.30377428,502050.966287936,16387.5439407435,7720.19006171506,5249.64117216777,5679.69856988844,1042.87924560093,6391.91989957794,4278.72444220216,12114.1897462573,11938.3613033339,10248.8265841126,10013.0193381724,171575.803496348
11,2129.67014897904,399612.733970235,841205.441312402,465690.020227908,9374.02654801431,13090.592918334,61242.9422712765,8028.7258430728,241.187205913329,7949.59974252952,23514.6866358642,5800.28692027224,166.069486792949,13987.5155945956,5212.30999204694,412121.425212153
12,3650,82289.9560345611,301249.430288226,380561.001066413,3823.6383356083,7608.11251550194,2397.63358850281,16392.015283116,372.529850879097,2165.07315332715,14281.3992976163,1900.61716446543,1001.33119282794,4930.03927490213,15089.8532085475,113939.619311459
13,2614.1499185065,98111.6329850206,372168.047374514,794982.589623409,45064.5380446561,16818.6756595544,5423.3643615908,8444.8773281527,1586.00894033532,5575.76535136965,70259.2360464818,7654.54020297474,2887.23248161218,4953.28589928546,7230.05680100977,198026.194202681
14,3650,74825.747134329,253150.678837206,222873.857880552,7115.32807325103,2535.82608386007,1310.52340898907,8685.58158971167,431.402346601472,15585.3365686331,12097.3839609293,6484.41754632387,1417.30245691379,4824.92005917079,3177.97833267342,92707.7444287647
15,1431.19201714092,74712.9357296372,230907.446437996,233017.600006455,10101.4851853598,5044.8497541696,2222.15939814503,5030.1586156035,179.090472338795,2738.14677555933,11574.5885407254,7124.80293650923,1413.76912411918,7780.08944635235,8508.88223849041,61544.9263911869
16,2383.34546872373,172230.084806535,509757.863659846,707540.137083953,32040.4064611923,2456.86661769951,36146.2089910467,6414.24177248596,982.384386783577,1372.17143364337,3938.18698421531,20696.6426829383,2224.59297460158,3563.10633035294,17762.7694201618,176000.988357492
17,1216.23400720831,254310.104170518,829342.866678378,999751.391548488,39933.5926160883,12748.8921092063,8501.61382996323,14124.1587742884,3461.51052737163,17100.0737433209,23826.1064033895,10909.8723068973,13951.5174894364,49208.3667686473,8538.53336541768,187793.733907646
18,2025.48027267671,65836.8998803374,188626.658575433,186214.503998988,6146.6331229228,3384.82320062552,90.6590778669788,1760.25443054919,51.9014423052012,6434.67892056935,20010.2652125192,2603.12684285782,271.360393586423,4552.24024379619,1889.94038032917,55245.0261814961
19,1886.78977488483,250459.549786716,455187.579814097,725547.952003166,34632.9775375934,8045.47322773736,28501.2954962628,9651.79056797377,639.60260472795,5224.90838970998,11327.7215179805,4927.98272320364,1709.08569301046,8775.792880693,5868.81193928431,60707.7509920741
20,2090.21667220187,80896.3255883411,201258.415860537,156073.712526446,5271.69155908547,2769.85315979292,722.937622535387,18557.3268044942,817.374841532185,3465.65396352695,5923.12440735486,3800.71082069128,1362.45134898847,3857.71940181634,15270.9485728807,107162.805961568
21,1597.37610161804,93839.9727240821,330534.67334429,1166303.01058363,58357.0450346782,10840.3438169626,9800.69948493046,7628.78834272942,487.050747896255,1398.34502805013,9132.47323852721,41318.185413587,6490.47894971034,11936.6445648233,4559.86616378924,44595.2889107445
22,1731.28077808384,44291.4023262217,172475.439021101,661617.086383895,46030.2674121054,6923.84242572323,6312.45192519923,13187.717731381,2697.898748087,3299.55970523722,21638.2257217057,5222.11120789296,578.491283719222,3025.44972897459,5817.57059623915,76583.6904103673
23,3650,33147.0103387625,19752.9736922127,25901.6206153584,1166.8231815789,722.357265884619,76.2297085442541,2553.58247493818,231.278009994501,1627.65694494697,1553.51373319319,924.939643102276,230.318913477194,1314.1319445575,849.373916485144,16370.6978837662
24,1583.99997454831,80543.9941509915,263461.481241425,307315.326728715,18167.2965533858,2588.77852887738,2613.57016629105,7286.48405659216,243.446694548716,1106.93936304711,17791.0846884337,1146.50441473453,913.028765622745,4151.68948134443,2348.78146501919,27058.6066264989
25,1695.6519177797,131890.423687965,335464.500522886,430906.734878977,12198.4411939117,6745.18247760634,211.206861347193,7272.56529383307,447.257882452551,1777.29518402125,29227.7528616451,4464.90469506424,4865.3638313742,12294.7724789072,3832.29085861499,80590.5600364389
26,1285.5405717535,104722.69655493,291971.865674682,992375.733597366,109153.96014887,7401.79674987163,365.344645492686,27127.1935753926,2110.89362469674,4285.26865911577,30190.5956961043,4869.87244036247,2020.83400176314,12011.2729717911,12560.0728161136,78897.9320033142
27,2321.4265495435,77153.804941952,201476.366157847,201817.433788955,6160.19009076292,8433.06194338964,6615.08782034403,1723.40640892549,391.418732639081,3931.98727312988,21547.3087429696,2615.52999316764,836.429819437024,4695.87280588555,6135.1845088904,124231.486204349
28,2404.57271289256,276640.312454482,689132.965337541,461056.953310781,7412.80463879587,51673.0220409902,0,3902.46723585456,3075.9983798151,8669.04293794418,24079.5782597039,3300.063342597,1796.90459286665,13443.0023176164,24608.8886839251,349890.879763679
29,2038.43358735624,54556.6845164889,160198.595402139,178543.628160766,4150.99732125966,6888.15306811722,107.530502464755,1464.18087649673,2338.55622232654,974.103336039813,6035.8258008757,3045.38236432192,597.408548187387,1496.61610906624,5794.50607786605,68013.2956934159
30,1525.60263726936,262123.742939996,807117.759456972,1138694.41757125,43684.2036046912,15025.0180355941,8131.03685132165,20817.8947606951,712.976238263017,30626.9169741492,45229.7209209352,29545.3919307355,5763.10336636268,31200.4148868294,14797.4764091124,273911.681722824
31,1881.40605104753,425565.843985709,1047965.62693198,1906668.65464524,79464.6090958782,37268.7999436198,125042.784317726,9318.95332669668,137.100621947228,1651.80030773068,35831.5745556199,4840.50729837406,277.853976080322,13664.0332710763,7074.90038780425,431143.482206767
32,2248.96312681405,36498.1988188805,90456.0826305547,93119.754436118,2417.33939721383,1060.86486637871,352.727517061345,4861.75460529899,345.268415342275,477.055121096252,6299.14576215246,825.874215904144,160.354143597531,1393.09777429041,1850.12430633682,16800.4848390649
33,2020.57624070726,77392.6160452589,263798.810091679,352953.085652763,19149.9283017676,16042.4944071113,349.924316935752,11533.7774092209,647.417578853845,2266.55390335405,10345.2610375284,8898.03533148386,936.183159434071,7185.04491390284,13533.2957718562,149522.692092588
34,2582.11530594079,27600.0742806602,81107.0932950766,123908.366131974,6952.55950458276,1646.8169750461,8.35529464774474,2784.52067090597,84.3412742129464,15829.2798684401,7857.52627390112,4228.16439618779,139.865073315298,1245.42267552689,2158.7485619292,56821.2210776675
35,1757.86583614199,98118.4981787245,236158.855526083,258882.577139563,8037.98418466016,7259.22884758343,611.626900506895,11937.4385549493,1410.90298155765,2195.19171523808,17717.806134548,3859.48355532417,139.92871954628,4766.40635139576,6609.61126220812,87071.210831071
36,1874.0177315519,114491.601507756,396361.782997251,346632.779680602,12534.1662563071,2515.75148044668,2169.24449551961,17623.923993413,4201.7468789735,1761.64763952018,10099.9773576024,1074.64812625989,801.532967486494,8090.77733773699,7800.3140497798,99332.8679952231
37,3557.08230378086,338438.342449028,646677.492451635,398058.863712476,11430.0880511975,1792.78456719524,3876.66657168289,3768.29801935518,852.428632121117,4151.75374144064,2012.98764280811,4463.55949990338,2743.26316782774,11714.1324544565,1590.36906908813,74336.6648984475
