country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1012.2582199282,584.973711597763,3439.61483355772,22919.0158288998,7311.37072669046,3327.18464696984,500.586479945841,21772.1007556469,784.942913583246,15288.5377739048,44153.126992437,79413.0615357564,2003.33998287874,6448.64314786568,9868.4351175102,171848.413433662
2,1530.39588881118,226.498133921421,2033.45239032389,41854.9262544012,36610.1609226988,2393.84484973095,206.240981570491,20954.0668485639,2390.14735857345,14269.2273969746,55463.0687761885,16032.3101857365,3617.75828479347,15863.7283821572,22136.4189920544,230440.513430822
3,999.307395690101,330.741387393597,8077.93245431567,601502.20546988,140143.33146745,8482.56837791706,1430.22866119788,21848.6016843502,5283.50628684015,22284.1176434606,44920.7254400091,32476.3641305584,4796.08846569995,10912.0891196861,14450.8657986897,198486.95328417
4,1062.59829811899,437.113622668142,4012.77604333569,26932.1479233145,6479.75774835892,12427.5879299081,1704.92209218606,19543.0023266442,685.65176908809,22839.3116688688,70162.0448161582,34053.3374709204,1672.50984042788,6919.56391019883,7747.64426706001,233176.80292172
5,1212.77982025845,484.201089513343,10983.5975407094,218435.819145571,39132.4263859474,7679.59014385432,1503.64291616155,18291.9779214623,1142.88101868667,7440.76794034583,22113.8263534593,8198.63360036379,2785.23757733122,14956.9684516995,6830.00209637307,102756.454701933
6,1131.34234222463,182.6520405298,1840.18347907572,20863.0582922447,12025.7010887373,2800.32603899889,411.91171898669,3496.2092792283,144.810438035655,7008.74570910265,20742.2762246517,6547.94036579849,290.600098061089,4385.16969313327,6101.58855848616,64923.1539122789
7,1317.44581655822,258.117253331731,4109.97306932013,99248.1908351536,56372.9676317081,1529.34963536644,1401.43572424534,9500.63358278095,1471.34591597883,15670.0795624374,31561.1847489948,9071.75078093727,973.409566538791,9979.10423834412,7527.76650475279,117104.239908688
8,1237.59775841781,345.684408429017,6773.28250229915,180777.980631304,67475.7182764855,13990.2365455918,7843.59580247801,17356.477929127,7878.11026464099,26443.077884685,48748.2796307276,15775.9880195381,4550.15723173668,16402.3365939042,9514.47026212482,265500.102567058
9,1285.36048537562,335.292086872225,2506.17731322761,56316.5659171178,38130.2858453155,17307.1487405037,395.571070489336,30673.3597617268,974.04072331813,20772.9545034641,61910.2425209752,12586.6818936388,2172.15272503927,13750.139689661,18458.718974662,278423.067565488
10,1288.61501834447,305.881780480678,1916.27742179973,16132.5746996613,8395.39406947269,2483.58012188602,7687.91082467824,6658.18193782293,2126.83892729834,7051.15967400795,9887.70949005621,4594.74356141499,416.061755655195,13525.1750971688,2862.44905717089,110328.350437014
11,1067.78714317276,789.724723121061,4948.83829513143,48230.302686839,11801.9833914889,2637.45170731116,754.878425577664,20251.8851301911,3064.34201331019,37119.8253280815,33948.2011948947,50297.202430204,3106.2862656327,8915.1126350773,12790.2776630887,228555.870707009
12,1030.88823950199,577.58119554897,10695.6179449588,235844.533035825,10925.3169746332,4071.69088108828,297.44706491538,19814.214141382,3820.57344523687,12742.4406601741,34780.9535637169,18656.2406060158,3528.58181730079,13061.6670655523,26171.2338105174,205263.269662767
13,1208.12826113376,488.376650502659,13171.2497234266,380250.399500492,48596.0324816606,765.681581236851,2143.56349227337,13451.1564529665,18373.4794469888,1498.63232076686,6334.88922246904,4029.52849701658,2019.91706291403,3687.13551223321,4740.95680054114,21084.2863820343
14,1132.92143784809,642.854062274333,6979.45622351596,39489.9900346246,8850.70412472191,351.263120918131,1088.40367411777,15179.2261874628,3729.49332146791,3964.61465658441,6205.39768682826,8230.94931716111,805.089412126533,3568.6879966732,5403.53310245549,63200.0575962658
15,1237.7473993073,371.685264773387,2825.84937215938,49756.9937961102,45805.9673064128,12106.8905754839,747.764441106871,51030.0722393077,4426.49218636188,22364.1033405173,37429.1793569279,22102.5853991148,7167.74775772684,16628.3612974809,26223.332196314,342280.449905808
16,1955.11170454652,195.738254438977,1500.78508741528,15670.0504176102,11541.368853236,2458.4181359832,507.724335700838,28067.3775648974,3349.31733518149,7849.1711494631,75214.7828105758,14164.8753760152,4296.14020858936,9572.23537386473,32810.9777827663,280418.962131456
17,168.165503538544,738.866197941353,3959.40997937953,45895.8283696456,23574.436491392,586.261090032785,197.270764181661,3294.49448818209,676.034458980949,5715.95921547723,5643.4845628869,6230.71668124197,738.136512057919,1994.29387701256,3163.5848564592,33081.2443617958
18,148.17914117245,432.541961247459,4238.53097897484,42698.3817743647,21973.4718296233,254.945141055263,2931.61555577413,2609.03577745814,543.202277658034,710.636271500339,1372.32718499362,832.878608316859,627.597929773297,1919.3680640667,1873.01765830849,17864.7231478602
19,1149.475974458,368.777042723407,9745.57476779078,148193.686869154,57919.2261484884,8841.48793611876,2934.59138098524,19640.9168978247,3143.95602197564,5390.40882850017,16052.8805961535,5672.27250001745,3002.02313794925,7030.33129697407,5635.50873962828,89264.9341323666
20,1092.06329926297,324.803281752448,3034.5497887658,46065.1268220465,39486.1292970861,4301.71764242484,457.556153441471,9549.99812349338,253.549143629537,9380.57762974114,22806.5031205373,6012.10869784212,851.474891875683,14488.7614714071,13349.0674394871,92459.8368150576
21,1490.33302976377,298.430183613297,2017.63000128353,16508.1945319117,5845.85718431351,17261.4678784995,2149.714021841,10791.8204229183,1483.39994594536,9498.67896006243,18142.4221809748,7940.19338198447,1684.84039365095,4678.25256144309,9030.39292152589,160955.63641526
22,1224.43630651007,545.142430003109,3290.47206438023,19921.892995611,7001.05613485591,2799.14235224341,3900.52141596802,29934.5736272784,1523.34318105211,17681.9268041513,23250.5623184222,19510.281115696,6307.32375019577,25598.8704756277,25440.1873311291,294384.038175017
23,2180.68871219,258.680487166268,1704.52015760678,22589.4077695706,12943.5293775225,7346.11885475638,1208.31721666162,20639.1432607047,1282.63612203413,10321.7645106394,65963.9663903212,11904.6332895949,3042.21728309318,10282.4587165869,18344.8949694768,223885.933829287
24,381.685040242546,519.177480683822,3729.82252337536,30375.5787428339,13550.2745531903,2314.23468349722,3297.1825501369,10930.618016987,2241.08016806249,7857.68820492655,16153.6181112101,7008.74268973263,2090.26798581624,9889.87009856921,5344.54922549267,121368.52770776
25,833.307386022858,328.0617121032,7658.43682693661,97173.0091906254,20877.0373693688,3835.9780838934,844.290507303086,11935.0069133114,1110.52948867858,13468.6638023064,24677.5962282661,7030.90060635638,1368.70301962338,25937.4951370196,12971.2380656772,147889.250928385
26,876.610896783219,504.044741436123,11904.7897632118,217311.79823416,110292.554891747,5176.62647167892,28.7576777562521,11882.8126685407,1007.06354663706,17932.453172919,35689.9052664045,20767.2303198749,1319.87968194039,23435.4524902852,15344.4831982554,168641.014487245
27,1479.6812171955,470.100352296384,11366.5348450997,193462.754904932,80857.0029065253,3463.35549015872,459.63745081345,15334.9302667752,586.894200577467,17574.0287780304,14687.1925604665,16684.3078709038,505.848003753068,6837.25814765038,14227.294292178,65337.6151932718
28,1173.4759844844,219.217552915679,5860.30753914242,113465.826308847,27035.5870837422,4529.57174823782,2505.14179842574,9708.63970446358,1194.63040697913,2886.70017011864,27691.0725348742,6674.65901800864,1271.44448922857,4351.68959485772,6877.4822953777,81953.3566152405
29,3492.56773456256,301.125147640966,4068.54954430474,36568.2438686725,11120.0695163291,2093.5906662616,350.614354435902,12178.4255412464,1557.4134318992,2529.51068288942,8627.76711135723,3837.79736956927,255.113347962571,2760.08658602447,1974.35626475618,38442.7835182979
30,1292.58823012101,407.381700921565,4093.61420587151,53135.5430010684,34777.4674911695,2841.60738757564,4046.19998042478,30033.2714091523,1581.03749646874,17644.6515650523,23301.6031491056,19632.72638414,6467.24579499439,25997.8062115336,26449.1249778086,291406.939728514
31,1634.88941846196,268.795136595046,1801.48928058779,12777.2272631822,4779.8260201589,3455.15091202073,926.048754251501,20057.9310315908,4003.1904139922,9444.64331737323,19234.6323065851,13702.2282888633,1946.36110719993,6015.50106466046,13007.3703231704,183394.603884542
32,1575.20931338277,271.606909224145,1862.47916712299,28026.1328759326,18689.8808070316,16067.5375477264,3910.28528352085,35786.7803370752,1673.98761089381,21806.4943982843,37936.4252164286,16341.6532173838,2896.26182384537,14340.8415199945,8495.93102809677,246026.138412408
33,1220.32757241379,688.014953885599,7883.34588365675,52811.27487276,13743.8913572604,1136.12615666745,31145.9478545216,38401.1817293355,18623.8251954405,5061.86315064659,34877.9883267293,18075.2041766659,4205.67852625406,7874.65900162436,13620.7745708204,400836.112202981
34,992.80383642214,375.139530331515,8177.25932064666,93080.1644824155,26394.7384688759,11462.7635180241,1930.77138533563,6788.93624205892,1712.58196980133,3963.42007754659,16087.6469962414,3306.19048830368,1212.50459065613,5280.21508671451,3908.10160650581,67717.8144211546
35,663.029555624217,343.684835255761,3965.23585397623,30349.8879877057,11930.5170722155,433.626144845262,1044.01405976215,1754.03000161651,684.282818681835,2223.10444425866,4363.82083262959,3614.32833925616,175.054965952762,2205.19049153002,1976.97670436891,13811.3114939546
