country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1480.29851660766,229.941363895735,1978.93078325586,40290.209286299,9276.32280504313,7458.35934589158,1097.53282184275,42539.4450103944,1342.47437504736,31108.2043945026,98202.5533148216,78104.3445052235,4453.85358767013,13171.5950464256,20453.7702237719,398388.83176422
2,1842.7562040793,81.006738503591,3554.38404045493,330936.274467226,79402.5939446522,1146.49804117496,131.99089018936,10165.9996272697,1873.88820125301,6040.35753972022,21299.4343104308,20086.3615118915,2042.89761049272,12760.9563603939,10719.940090491,56784.6700998683
3,1401.54388945328,141.608385705309,5247.48775811683,1286926.76409815,260200.173613107,12003.0174398015,2284.67613301035,27831.0433290467,8395.10288238307,26225.1634906233,56676.4200786867,42046.3094742056,7324.69722369234,18748.7855465153,22597.9640737952,188859.871952812
4,1490.65782448788,156.676202974194,4708.67903183996,106826.985722008,11974.1592996739,12938.2337886386,1868.25905435406,19715.5933643723,760.799776532251,22650.0712745098,70924.8403149003,34749.5805776624,1799.89204047615,7427.7912178669,8279.38250037918,224043.016607791
5,1568.25636948924,198.630343708041,7466.93737657036,559916.695609678,52422.4904851615,17557.1878478691,3526.01553936002,38321.0246751899,2232.25008210844,14817.3863713001,51125.3052212268,18011.9150549303,6513.35959661417,29900.950599289,16677.0437004837,228676.369111644
6,1536.03555206422,73.534373864022,1843.91384556823,65350.8295318682,22838.1572250421,5148.79316871134,772.506575469407,6156.84589384511,224.641243574722,11473.6549367979,37177.7859635483,8972.68649514334,543.600688995937,7344.0308323092,10492.2039724555,115408.920719896
7,1654.61906051379,110.331438267923,5057.65399563874,811938.906509347,117394.547711493,4950.1992828859,4919.06609292139,24613.4481990817,4012.66163908191,37528.9107323362,88046.6343384509,24355.9247484018,3289.76686030902,24724.2901764782,25681.4826219654,294435.874205519
8,1634.85856668276,133.893459143922,6168.20782397362,1023721.32708993,132771.128450422,13892.1825736618,10499.3005763019,13286.0947200377,10847.2555822083,17500.1620495061,32996.3918232681,13915.166068134,5322.62451880071,18775.6478575763,12666.5290694289,90891.8705921725
9,1601.54651316026,112.402400598489,2664.50210663798,249493.704810618,104056.689955222,8174.14046312288,231.112040821344,13595.3666486569,704.974918832643,9220.12181062511,25793.0726728595,5686.11879356636,1159.85814580561,8928.05043007172,9840.89513953867,88236.9600232086
10,1678.7144665431,122.569150738228,2774.29097637252,69306.3167235198,19654.9794243229,4283.78115766805,13559.2913281698,11000.7379979924,3203.98971232472,11047.7230810456,16391.5724644777,7484.68444194683,728.99102845579,19686.2925110279,5527.34722432969,184102.882758221
11,1489.55285837384,372.634336185172,10556.6822768116,815696.316987033,40949.2184643834,6300.28536680168,2115.19718105252,37265.1070272856,7276.29449794278,65267.3854278985,66575.563576266,72763.7902220782,8059.77725526487,22204.2787713366,37022.1940427493,361535.017749995
12,1442.6746506403,241.230041835,6804.33062287661,417121.972480676,17167.3744564038,4740.11432537134,382.422642242724,21735.9972051103,4827.76508300723,13357.2012772143,38125.3243678313,20965.7397973655,4383.50808501349,17883.6698944252,32432.6235995698,196069.201356806
13,1585.02535330056,197.493788153539,8342.54464899318,777009.177034298,56846.0229212029,1381.97932485929,4047.18827116169,20460.3835193373,29687.7678204944,2153.24674013246,11788.6639135536,5706.39212174832,3789.7845625873,6800.67784357303,9770.17070174338,25373.4480741961
14,1519.57753400474,255.687204097162,7113.62356342782,133569.581364531,14025.3914190754,1273.54613989809,3817.53750017521,44243.3964703312,8282.2835960685,11305.8955473918,22990.102144242,18509.715807407,2891.80292240986,10405.6823218513,18804.1718171365,248219.783171494
15,1642.52735997406,125.817280236078,1773.28955338731,106329.625722116,57252.6713057318,11823.7123795113,747.711785734134,49268.4216704901,4427.88733172534,21442.5469592655,36246.730610495,21502.4455014992,7097.06655958836,16635.9155353527,26617.4241088886,324083.737898003
