country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3535.59689627777,93272.6437507255,278416.427531087,227672.798123021,5559.62803381772,2377.56860209822,409.451293628969,19685.74519311,915.582917726511,12614.0382855922,32160.8569345353,131824.795518411,1561.74974257811,6838.6882192743,8740.26322529545,108015.954900332
2,2115.50097121724,103679.7404665,419213.982345289,1434256.09738109,67992.9000170436,3411.34870046937,379.023761152829,25301.2904257913,4092.75360860549,15509.05694838,68963.4303765069,19863.4547875373,6028.69861354251,33144.4479286698,31624.5751779101,230749.062779417
3,1854.21577443921,268370.097013642,769050.362241925,3085559.02800686,413435.06166452,13920.3401921891,3067.31410377001,29262.828404934,11476.9940231025,24293.1613231289,64354.5303013622,50593.7793753326,9470.69844484155,28953.7914889776,36435.6855612787,156661.819385018
4,2094.87029682614,365325.180428152,845964.115346691,414658.206103802,15248.4725715885,14968.610605419,2332.15175023168,21915.8501718517,964.678485304426,24504.8495949409,80530.2445865127,40282.6935583236,2189.62355074909,9177.92073169517,10893.9834022069,267201.253528491
5,2041.47663101712,351906.519339033,947570.90587974,867914.101798201,34688.4565004438,13157.9241219865,2822.95832003413,27607.125876051,1857.23020869847,10380.377551477,37870.5785887281,13698.7236350457,5118.00379657151,24298.1973153475,16029.9711543357,187557.534241519
6,2006.29902905049,127957.193143351,423863.856856227,575645.270636641,25044.0243819058,7050.75058104009,1326.25843642605,7285.60884950192,389.310079250528,12204.8561894484,46215.8914095889,11727.1366705244,862.427010268882,11733.996263678,17114.0889023811,121630.88493218
7,2060.0750766165,182971.35852496,730853.227152842,3003191.39899595,174434.492221572,6346.74397330805,7282.93963518351,27759.5903748602,6273.17617749324,38655.8611226066,100194.976145892,28851.2357099175,4604.23346050793,33862.7920709865,53573.9929830472,270144.005935751
8,2090.9462483061,198517.841317108,750423.20275216,1533319.00091708,89978.6422830037,14842.6636832145,11097.0229541099,14943.2536269173,11108.9672219945,19885.6551976503,41917.7080717827,16119.4587888295,5748.29035551711,20518.4397479269,16962.8301454282,175628.933917466
9,2187.97424271947,128043.742925234,407779.259727031,2527664.6172677,270377.084787304,24977.7256376589,827.307693945666,34661.3420698203,1992.47848647847,19408.7739600034,71550.3376797876,16448.3334621564,3962.11221024333,29462.6958663182,36676.275785564,199224.242410091
10,2093.28752525564,170109.273344638,430149.669448292,429827.482365684,20475.9212284925,1311.07827356441,6759.3831949078,2715.68220626787,2268.98022976641,2823.30321425465,3830.89010676415,2487.2949788411,306.433766779988,9997.31528920765,10062.5716501988,23290.0387533489
