country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,800.770339567068,11274.4679523908,1276632.40471285,424161.409497997,7106.18148383851,35291.9199490427,157700.593678885,15436.5223103238,72855.4626781836,121550.721484559,84346.3333279337,28069.7372046989,75814.7782016056,80297.2549252576,386563.237417844
2,3650,1017.74193246529,7771.68696704385,255248.808261448,20513.5417422746,2402.26942054607,269.20373214587,56072.2960616647,7813.04326083376,40699.0818691766,53114.5118918078,29159.7815150181,7469.97891617887,43493.1700907657,42979.6248748944,148875.90008853
3,2250.00394530278,508.858073993478,7358.63631643599,569122.343491483,273117.062563227,17135.1638012687,426.958410375155,104397.634563279,8272.88234788269,51948.9729747647,74278.2962068226,35002.4804403222,11630.3433468887,58696.179765452,42272.5513018956,232751.814919877
4,2535.52718794419,1149.20460666999,5248.71219435599,447460.116351906,389530.495499093,5629.97567289182,614.897454158816,23300.8207340071,17761.0428144986,23088.2521471641,49987.2459603638,127637.133373974,3533.23950768651,40025.5929504446,40955.0654166873,91125.9857619242
5,3650,1118.97888917456,30003.5053021004,4346665.11883839,1240750.97254176,19495.2862671967,1661.07434910638,308959.582968883,26811.7215809265,100774.398931133,186866.457824778,84330.7908297615,61082.5357038777,319922.438778675,201258.593907695,512073.192506965
6,3650,257.414709039709,653.283052739058,44306.6900512266,44840.0296012081,209.513175211471,46.0530006857439,34881.9431054104,10213.2793145128,11575.2196027203,35885.8690902421,29469.180927974,2181.37083748956,21677.5954458401,22878.9131599348,74355.1261536341
7,3650,1122.22127135651,20632.2780549129,1716400.18043145,79954.9530290564,339.132385949961,0,41061.6389601461,6655.88364890853,38033.0169088933,107767.529560331,65714.7009462443,18884.9983002494,202905.048883577,73201.0164878474,265281.529948502
8,1884.55356916693,640.284652453529,14440.2665770384,1391882.83031334,861686.163442408,4553.1029601213,134.796201420318,74009.9539884032,5857.22346941306,32599.6367573302,67336.8972967783,50167.0850135144,15330.6307083586,100673.718092337,75811.7738687262,163007.863450587
9,2268.49527050319,744.463743983887,11889.7619902781,2581628.96967448,981853.464609455,20923.3319278378,6432.3831040366,104662.057185104,21971.0376912706,54217.9288111689,99653.4612784676,66810.8537494214,17882.6099677357,90327.7818174064,75415.8668947918,166230.296797752
10,2348.18874125695,726.980483335285,1943.30125016542,217867.736087241,312874.543897448,4185.89177643254,394.029876544411,38694.2446793345,3025.10219579959,26288.9594509963,76353.1078069322,23281.1956026837,5654.00155373938,38430.8579802984,43688.9340831015,108421.42148081
11,1958.86030426998,346.243825035805,1246.20233361787,125754.254813493,110277.297071218,728.872299594836,30.7554455554101,19463.1844423597,812.082969019376,8843.20622165154,27714.5711830525,11912.2076073646,1543.53403087461,13386.7837247882,15206.7582500098,34514.1755905386
12,3650,799.777029713956,11518.8344010542,1374277.38429675,77554.9128746692,37647.0233291417,13985.1490369408,253680.310501971,31160.1770747318,139578.854537129,293742.974234153,120944.553024516,27164.5534635282,117233.215408353,132325.646679919,740927.954931982
13,1872.3520487735,318.538635633582,6878.41672287588,742858.402890668,347455.627660989,5289.07607634155,1467.60575962967,29911.4729391462,2913.76627189985,16375.1802569482,44161.8055968011,9576.41953707815,3576.14751425139,63675.9683498708,29854.2276788631,76157.5220698897
14,1691.82395845937,533.854894624547,4676.04375438341,216628.189310143,15913.0230962103,3688.17085374687,131.851724981353,53730.3375610384,1679.98659492928,30404.8770549002,65736.935845589,27356.6381156273,12846.4650481276,41484.3512195103,52628.4393283255,194803.031608187
15,3650,848.094582343464,2098.93905479239,209899.630220714,192766.526298567,3959.33782759006,2540.35314811698,62006.6221199397,3306.02986891027,38919.4952352427,122851.742211433,47716.1591369775,13370.3052428307,120874.507843913,57733.0290639092,274649.061845898
16,1717.53601005728,667.705776842748,31080.5470756834,8748538.2820003,4364569.36567051,32013.3754703181,8489.06889183895,118476.816936917,27526.9111148274,90636.3075287015,233225.23166178,98221.9269517046,54547.6898776139,461381.378241468,258659.00742815,236083.342767926
17,1912.28115636244,752.096481533951,12071.3307876095,2833251.25445945,1211448.89973915,32761.5231518264,2253.29588064794,195464.362337399,36776.9900841735,154603.033166469,302524.086846514,104335.921377025,34048.0521294253,145310.730816435,153667.094113231,606850.287541058
18,1633.22027057928,1797.75120644626,14273.6559433639,1157321.29742545,720714.598886779,5073.17754345725,344.385934471414,278967.578602273,7961.54115616876,130060.269811042,502518.088636348,228397.194005834,34071.5996257604,152772.982530717,259975.848027209,961497.40507732
19,2487.78519156527,1171.31887766149,12751.4304616182,1239046.93548901,137467.737672524,5669.19388038726,19459.3420179662,142565.946594969,14905.7362950861,122217.348773813,400919.085104106,70661.1531071838,34693.4435359382,227196.239547551,228423.298814396,903549.168665769
20,3178.53388454549,856.209577662088,29889.9677993415,3134636.6133143,126791.564628834,9112.29865510162,27218.7924822721,177323.458183516,11364.5818439805,98990.9985924365,356542.372443196,75748.3701201915,36803.6096419104,200785.334006166,199195.262705941,744900.167298654
21,2041.21343942769,349.83569244657,8887.9554380496,806660.178374727,566744.129469492,10641.8616780184,1961.72331485361,207424.101604596,10354.5960137223,92293.1933167621,125462.023218763,62796.860883611,16112.6552351501,74405.1372309066,65039.6357777582,412306.816520019
22,3650,729.963762027587,19465.262602394,5189385.77208354,1247517.11345891,21820.2432433533,10218.7160660959,319501.373032919,41079.3172396648,94910.3168929623,200261.928482081,96195.5551908006,34781.1727344714,188635.697792046,149726.402313275,250093.084579666
23,2550.03105288483,310.94515944599,1913.52001080879,206648.106963469,170362.804344348,2669.44807818297,3896.88667543572,33753.3326265595,2115.89986243801,55714.446568785,54360.0451684501,84728.7494204574,5381.1741354252,34451.4335208393,25666.2082874289,156069.819208693
24,2503.15058417695,964.85556725425,3232.97334904857,254309.726688729,243860.163371987,3431.80385260586,570.839025913408,78308.6671461401,7081.2058792104,39459.371843585,81366.2974566591,43346.8616280809,7035.66396855743,50757.9046716047,36157.6027395341,131602.088160168
25,1482.76509045335,648.801119732329,9387.17538694045,744827.041921005,63219.7746221047,2806.65368904217,2921.71912568785,146670.086965383,11242.3568860432,18683.6780472414,90687.9293377496,40468.7325816969,8283.77615067076,82693.6562427015,47178.9368716318,386075.821775228
26,1682.55394188049,566.007786764368,4697.84512915654,416175.116570149,283072.880011987,3367.50985006012,160.237943003475,85671.600647744,4080.43872041671,61233.4085794398,191364.701130243,44310.9891724149,11346.5835664949,71484.4053515126,81139.0989373871,307099.375016641
27,1956.62319034814,383.133655855746,12170.582575804,1109681.08564006,595427.912799542,2341.6868069338,70.6238626546393,21400.8062622185,2309.37654806752,18066.2891577511,59428.7302230998,29590.9939387934,8492.85161657314,82130.1939728615,56861.8713102552,55822.7099500045
28,3650,514.727865889346,9784.40566236841,954049.88045437,451459.858736952,1619.93599552758,2320.3130210778,74663.4412881907,11536.2181184151,80647.9137564239,45718.4756330184,90827.9726268484,12404.122587029,66873.3319717141,89909.4412506923,152648.597336953
29,3650,761.543947531719,17380.2808812778,2255229.59572705,1514890.40925453,3729.9459995097,150.412004931505,28580.4172563991,3979.81691171004,21864.7426279892,77167.8960644877,85236.3883782572,18528.3674882628,119365.681246218,100876.504200344,113533.73027567
30,2042.7911420995,543.530544586318,9938.40266882114,1024048.67085474,468177.775357315,4017.44706191625,360.618764292381,20419.2988579415,17391.8383753905,9331.64027620589,91088.060014742,22801.9763992474,6036.77185688168,27556.796425709,32591.6102931179,60425.4123852119
31,1677.64379660823,311.239254229104,10109.3071156012,2373538.04396177,550912.760602248,7142.57161936278,418.984360506644,56960.511256662,5808.51118498592,27048.8970922901,97917.7776889813,31011.0243828921,12080.0883536391,80967.9183542581,110350.268129294,76296.523710786
32,1730.67512277771,469.08916886908,14707.3413575694,2818329.78728748,557600.946382166,3488.7518782302,6569.21305160459,62312.6486662651,5616.96585960433,47035.1067057349,166057.147590963,54932.5061752779,21728.6211285476,115472.469524379,96183.0105310877,150838.382105362
33,1620.88119828216,1169.52513829285,42648.1687995565,8252409.67082816,3100789.80307008,20315.5678005409,13195.1035811687,100223.550042478,48809.8694141954,189312.689047335,278111.804716474,94987.0396591085,50756.7346801497,506498.32817819,350605.957182257,293201.025665905
34,2714.12596666652,575.586810828184,7163.53257700186,686208.514818531,320252.461441982,81711.3932217007,4379.83292090749,134779.396323825,17702.3881827272,86785.4390717441,365536.248933277,93977.6020347905,20174.9526012212,84879.2452650734,97772.3718445114,645094.066740481
35,2008.22881765348,384.276996763455,4694.00340614021,587608.722181611,327092.169368824,274.801280589842,57.8251299604879,25172.7090719563,7162.80703500274,9930.9641216674,31562.4733278578,23624.4279005851,3858.26907399251,34539.2187764304,31190.7034572489,57114.1314535258
36,3650,448.949218076337,9351.70151459833,439345.219896793,49213.5641048922,1730.42402983956,134.01611495334,52043.4216344294,10666.6221280447,29789.1888772537,169706.219996984,42284.377030145,12995.2751855089,89660.7463267564,93013.9963620691,323203.28868935
37,3650,919.307310399739,29013.4047890899,12932791.6934088,3891966.55459832,26103.3070240573,353896.993706775,168934.788289117,40300.1763673027,132787.804381346,232407.575771655,136172.973013517,61905.0009584653,286355.610403613,428850.395454565,335666.554969337
38,3650,453.630484159269,1278.79119561662,101274.7554596,133479.136481815,2277.10922701602,97.1722117728671,8925.38392999223,3767.8820334748,25694.8669411719,78462.3597869567,49593.2438187164,2818.5923096432,26690.5158455531,24237.7752444104,111010.93817078
39,2550.38005933702,798.383724674528,1561.77060739847,202308.529780916,180396.539665552,6575.80086787576,1657.8729991516,83690.2724613293,7804.12867301403,46286.6958345598,54151.5541986488,39614.6771171483,4646.79445693033,61993.6068973152,59996.9629396112,185735.755345743
40,1984.33234749873,474.345988408842,1540.34770577621,235519.433277736,19087.6702814164,3509.49234902249,477.551689265088,51787.882209309,6901.90140518255,20594.7880572274,179060.206220501,38006.2695890011,10079.2012318561,52291.5827883651,85768.1186281972,314068.854811291
41,1971.92677770352,600.845151909985,12070.0265083277,1322810.70469406,433454.704816837,712.678687656206,2111.0103106827,22930.3127729631,4739.83183278251,57680.0207712727,56703.5799797614,39115.8349362341,6673.86778354741,55182.2273871705,63635.9294810775,67355.7982385713
42,2758.64211084153,1241.24444637438,11447.8815306732,817278.456014428,336245.237301011,9346.30632169595,1025.42741211518,35582.4940995366,26290.4758732212,34543.7911030848,78150.3574021198,174040.596538718,5868.39255809606,59734.5472273256,64956.998198883,146242.161245257
43,1941.40365052408,387.50466157136,1124.86921620945,79100.0699573513,15831.1279915127,7103.96737448255,196.054338455946,32271.9542773287,3055.26309972078,22908.0897282578,89135.9108146658,13980.3582915196,4517.53140011743,29926.5114896265,51322.8576309275,162092.63366785
44,1997.49165579178,1060.99721151049,7541.32178882767,387036.037768657,117361.832082774,13683.6695193049,14095.0020643002,65979.2623608525,15613.1762512665,148281.221765798,415971.650897694,118632.397677955,16025.5421229459,139938.978763715,104347.890008396,650924.27016537
45,2673.37976582648,398.266519845345,13793.6203886394,4851970.42090805,1516197.76632028,6527.12482044849,1152.64728156042,83480.0712602354,10486.8474202728,44608.1552322994,227373.335505423,84302.7454482433,44683.9002542659,206677.126700272,302523.918655965,296788.083656397
46,1935.07918327324,327.371016295105,1889.285251787,147997.920691354,135284.35860196,4080.62855964438,245.46091066279,39315.0342953205,2593.25648315705,22049.5870719409,123181.693746696,11783.5809701162,6587.99151425555,38096.7005806369,40860.5958098095,167539.878014001
47,2249.65657525585,521.502981576487,2956.90819571532,279405.704277288,238821.298280344,7561.00189763323,376.296623501919,80443.9586262584,6764.77699892335,42108.4920720755,149727.398897032,32989.2140761301,13514.2395332488,54120.3660069087,64203.557592957,287178.305271206
48,1450.02657810172,321.736507620157,12505.2169696027,3962599.75713161,98515.669990911,13662.6194490934,853.142791001267,84900.0957385903,6254.40550262796,29214.5448499588,99572.1000023771,48589.4796031821,15687.3097123487,106690.592778363,83991.1822223551,90732.3607539871
49,1980.03546217254,858.485301542072,5704.68179453857,462843.177410946,299570.424826442,13191.0676875268,743.271440407565,296606.254244617,20016.4679278836,108228.009762492,197059.272113482,74676.9147221258,30467.8606734447,108749.118060433,110113.970732951,676607.478311696
50,3650,500.323337351757,30730.4090865974,9245485.72769762,2611130.91432146,50692.6880874488,4335.08023238191,264314.778292447,32561.4870984917,87963.2168454126,243775.7066971,66637.3844130339,39097.9317652277,270986.883933431,298464.252633964,126524.575195756
51,3650,165.779626570627,504.564528503987,74355.8582107631,85427.7075445072,5499.50554148738,551.789480698232,67426.623807395,6101.11993587825,29446.1978500698,163733.120935347,28730.3424398197,6929.01345510705,39853.1944452048,47728.8304390168,255560.57647861
52,1785.004282136,1498.86152875393,10163.143043249,828445.786081697,435808.175595092,7302.63263893545,1231.24861359196,91252.5841094936,7004.18210627888,59243.0295436453,217086.759448669,57643.5909195588,25229.7958958084,103182.816829261,100216.129259833,345412.284997794
53,2448.51222782275,702.838175349957,9080.75250372375,1068250.50208626,1550135.06216091,17460.8458511668,3677.72814920011,172749.2349368,15310.0225082911,55512.9271478347,106125.225762484,47733.0566275984,16973.7902011886,77903.651572678,55231.0252617985,252857.378143176
54,214.496778968133,1254.5005731713,60262.5260749335,12182627.4156503,2372253.87066706,41890.8389092707,52345.3732036998,412883.923344932,72212.6917158565,121035.593327898,195918.750732303,109554.840844311,57299.3114427343,549109.264811796,219895.255726867,55670.2839413145
55,2435.08331123224,492.188863506402,3694.54972520058,252526.995650787,245035.934376434,1840.46039684955,37.6697916336404,25030.7719938648,2185.02203374307,13594.3454683259,52368.6375464333,9129.35475567197,2476.50996805434,30045.9024797829,24933.0085026902,75559.3210053228
56,3650,1160.22161897468,8480.07887164572,230665.527050913,16152.9419751052,5011.74202073402,76.6508196811967,66047.3436054814,7465.02004017355,84500.8284816862,146705.146693185,42148.5460457131,10363.7332155946,97847.3633235135,121924.50998005,378001.977840073
57,3387.79112578819,409.453380188833,16880.3735418501,5184228.44779565,2426577.35099382,3120.81667925572,1504.81170154315,63601.9575959677,8244.06173548236,43475.6775479805,148527.289236508,59404.5778895228,38001.6787471334,187922.512851494,107177.0361187,37012.0378895914
58,1333.85256334295,888.279717937853,9168.26164154174,813607.474389794,46126.6111978572,35652.8925973323,2033.92630430422,203733.26568389,28205.5354934719,139547.681770162,188977.449769523,69872.8818822052,15989.5655528216,100276.694706543,96644.9805686153,612768.691889279
59,2512.07439909478,1483.54532041841,18778.0863503264,4067459.50053419,1390388.69306339,8995.0129392795,772.795659726743,832818.881734161,18284.6318584673,68554.8051465835,279156.145320082,57062.4859350377,83262.5176802483,321666.840081934,144806.224581301,904400.111436254
60,3650,351.718663086858,944.897279388393,84021.7592464811,34485.2656476946,5646.0347330862,81.7591840469686,11653.4191425923,3259.84604150655,11684.531489906,69519.6632140178,164501.31813492,2755.70123855997,15393.3211439251,16176.9369231807,139143.525676158
61,3650,509.588036509259,2779.27927439347,291163.12478553,165999.365012413,14046.138732186,383.067104564049,124818.885410659,17510.3005699455,73346.5131693313,285159.968834663,43425.4868980316,23552.5023144515,100077.973311314,158566.351139647,542028.39024229
62,226.648979887405,624.236994773225,42173.6522354005,14407283.44972,4184918.05686881,9054.21163539007,68757.1017731755,154497.253407181,56456.8034900739,100539.158088057,209297.540917108,96130.9883119689,98470.1915459916,284313.384657325,486494.778386306,50368.6647487471
63,1950.2178034645,433.99069722894,1085.83587654326,118167.001228044,131367.755914051,8120.40209441063,1551.12714230106,72497.5349516968,2212.1286984848,49812.5942277206,143992.940416309,61444.0153319419,5275.97260932012,21405.347135758,46058.7232316308,225532.070820359
64,3650,1128.59491934187,29094.9277397081,975120.206936507,277170.258977964,9525.54878029248,345.460750606404,100743.879233949,7529.77205035993,56543.7057917012,79450.1326396592,41771.576218203,7106.39870670807,63713.2363069164,56839.193535536,146063.794287364
65,3046.47903797128,429.367960439229,9162.59023060805,301901.925993057,171577.571045424,3250.829566601,192.803616460946,22039.9737099237,4407.21608566322,19090.8884731112,18101.0884095481,14863.4300014918,1928.09398968221,17045.8984033273,16200.0911565557,33041.154851014
66,1976.32303284128,1408.0338284557,8255.28153088097,525853.015634615,408701.695885617,5628.02186564281,257.18211137418,83060.9380957578,8622.52354267174,48765.9969804427,91396.5688010283,45749.5352250857,17579.8178409132,104398.291724732,77071.7962235585,280649.069921872
67,2329.87819519808,555.191488003137,3683.44318723795,265160.17623344,291070.206880941,6071.41842148576,455.580115846942,100559.792818237,6010.51518175726,50794.2417385584,134688.236301933,27491.923164852,16827.4066061056,81404.5173115148,86965.4082401477,346562.234311619
68,1519.75133143695,585.779056148238,13762.3231625852,908314.260594566,338368.426738052,3561.84054050256,2264.58928092369,42764.0964066314,13043.9785954421,19893.7530497298,70878.9668594033,48145.0207006852,4978.63877807201,36993.4971159209,44112.6136632551,87718.0554357932
69,2116.68938188907,651.965110633374,6976.5044676631,866946.07526589,344208.095433364,6727.58515338249,1947.8656006674,63906.7892036444,9153.26681395039,43028.0795067078,76879.9633650908,39278.8348406799,12646.1171700562,49416.2684568098,38037.1773899902,173552.276511626
70,2709.44295025293,1005.68478906992,17937.6539534607,2266556.67686164,1528468.92611732,26247.8027105854,1735.85654221711,356939.835745536,22342.3300723861,47829.979627911,375171.364795277,50846.1953354837,85197.2209217533,193634.571214972,117950.916830325,709353.470764621
71,1942.64927310936,1041.39104132332,10384.5993289798,820762.028227283,233803.603976658,39506.5778317605,8345.94580821495,211873.936301865,15144.6576784998,184063.319398583,332915.379767079,96649.0561978665,40518.5262763344,155570.646409687,146675.932848234,880410.96252547
72,1785.88521520589,258.084904782384,11379.0906721789,3346068.41027547,1046338.6042078,28885.3691650011,2203.00042522653,76125.5381866829,11265.5002361101,31107.6417388178,85841.2284877265,52186.9234363223,14415.4172348282,75785.9776018697,73396.1238816561,62178.4469589388
73,1779.9567638896,825.273523405308,39904.9971548278,6376378.44970102,1002333.91648279,32559.1034961867,3163.91291111342,74060.5822349487,43108.2281570218,71109.2131248884,179042.907837785,44177.6352843571,60554.8764372866,294634.862832094,212170.992205015,111423.691567412
74,3650,778.034619156473,12523.2824235822,1005391.94121821,671213.602235624,15534.4911786915,2546.20480784639,145212.181316258,18369.9664191237,77352.0605828969,115092.086974685,61776.165302427,15921.8468870071,125519.130526278,90451.3012660121,353577.586706712
75,3650,346.984498406851,9490.06187269071,484079.44308655,349727.065306514,2446.00011944542,1021.6720468584,40202.0308880196,2371.60356952898,16168.9431056377,41045.0293004431,15203.3335307679,4290.89340187663,37879.2165151809,23335.837416255,52838.2831792669
76,1849.13978963737,374.048331552457,6067.45080231665,1003291.62331692,759258.184120715,24639.6717329915,1415.35288022653,76173.483396599,17394.666545054,71251.7054368225,144822.351329917,68953.1546319291,17816.1516760549,87471.8642783344,55016.400790945,350003.181900943
77,2516.39494494856,384.251333486413,2613.6346979119,201469.728517616,88671.3194487145,7060.04774043255,526.751003548561,59961.4002215433,1992.31220845414,35480.9962000303,62469.9873029163,30925.703042277,11030.847115845,46024.3380596912,58738.4670151223,195820.425751423
78,2149.32995868372,505.062526744924,1858.74934202871,221466.754226426,370401.471249325,1668.36478660281,160.578536253587,32644.7598188662,12136.9829524884,28768.709735001,164657.90218613,36782.9243771433,9684.49305011322,35320.5221506453,51463.4647007904,209640.061497658
79,1963.43160333313,614.742945589385,2189.43314587836,196967.427106027,146793.308712598,272.65340961215,85.5038514195143,12349.6332596209,1529.9469180921,13850.1649356002,34630.82918195,13607.683760413,2950.12852738037,25576.2824069629,19187.7384750087,51403.8565486566
80,2791.59191330442,693.969872224043,8210.09402936995,781283.556954495,568091.321707894,16121.5969290657,2283.47254422769,108696.499423873,10873.3701989833,109509.36328111,362748.230658339,64846.8510953237,32940.7752447782,106886.897990005,177262.779967565,552582.206063613
81,1842.70543150271,1125.77762029102,27998.0994931708,3456925.23577586,747878.391104036,2886.16815878777,2037.36764794991,213993.157014903,18021.7848008756,67178.7212029001,179321.611643321,81437.7207742849,21169.7392732179,158385.789468392,164865.230123499,269470.095449992
82,3650,356.790109836274,3444.33681624312,326238.366647405,355607.028469119,10021.1300076361,7322.3885390104,73552.1716800903,5761.38541003373,17623.7669275549,55506.086888169,22567.1866184762,3212.04069963978,45692.6663444363,26996.3169748506,215670.421309346
83,1462.71488270143,588.874607351557,4079.68008900205,251126.126318206,9120.34032639944,2014.19793007618,124.221890683704,42404.5425436236,1510.48933567475,31121.1306819028,116804.862677013,56547.0506361731,11646.3502613946,70259.7662254875,60812.2297641388,233151.732660993
84,3650,713.107804399517,30280.7106255502,10319745.4906652,3396894.20192955,11037.9164657569,1829.16030811009,189300.429316842,24100.6697592035,82554.592064003,243368.528417112,194445.770144639,104297.445945706,406195.357668351,321234.469520779,147721.976662539
85,3650,545.004589693753,1570.42999891776,203089.786301736,152454.481980204,2434.18284401925,0,144358.768275522,10407.5086019692,63560.4887028369,107178.94247724,25087.2847696918,4037.15892565109,60442.9541137268,107698.264226369,189737.805309842
86,3650,260.087756387104,1673.87526356,160273.597196969,113741.074943722,27.2221780922887,0,8078.29134065799,558.963355037161,5428.88898556039,20668.8661838445,24607.262339728,2783.47569183366,19148.5283907923,10438.2484978402,38844.8197917105
87,1964.53531676339,664.087621791135,12422.9969926003,1249550.31186601,1204593.01801615,5826.00498201788,8285.76000860386,193121.011125069,16509.5000321564,66015.0781460455,129419.993568087,44241.844625698,16309.641487505,84400.1554345639,70854.6215916912,312729.715953398
88,3650,462.497576057321,20765.6863014733,3933698.34284302,1108407.51346167,10893.3042689814,160319.844273809,95634.6701172474,9947.81594061651,38826.0418676859,72419.3104359018,31354.3662846086,18512.481265653,81239.8703248783,116008.40862875,85603.3772225333
89,221.386131716997,766.846597760674,37153.0784260398,6259419.65119776,1398162.16035001,5744.36566416692,55557.4237473954,61194.7534155059,25096.1232336375,56018.3294640783,118340.400989509,36700.5263761583,52790.9856098665,100645.436828139,385237.202444022,29202.0228707033
90,3650,278.454650477539,12023.2521483333,1734887.05953804,1048146.48295082,7116.24002208557,400.138314634655,49310.9048037547,6698.47000263395,32463.5438074097,59546.3486779612,23658.9003619241,9805.64801360496,75513.6367820188,56110.6317156466,75048.9310496138
91,1787.12489086381,407.910498671224,13904.5749652698,2162357.41520187,620742.890371466,6568.11429149076,700.03662605083,22868.6599766509,15106.040908186,39014.3112110206,122544.954797037,56493.3127318985,12340.2141211806,84127.3895264103,86823.3994310972,75003.7539707559
92,1867.19291533657,1800.29318006063,12196.2371055987,1318808.11656068,1063816.20835392,10573.5163840376,0,310646.159972746,23703.3217165412,276440.615667525,707021.063105341,86272.0387431069,33301.5769573274,251735.241438896,1515070.61405913,1439741.21201991
93,2603.1552872862,1091.29463680513,9663.38173539651,1551932.10090487,685614.660838539,56478.0751887544,11854.1608346799,602208.279827902,43829.58346638,157970.050314769,294458.056059213,125105.654295072,62587.015082953,238730.474126653,149695.876974751,1129686.11817189
94,1848.46806397457,627.772193944561,4381.37812127533,145403.824853028,15325.9805407374,12967.7151951998,507.562476067098,48317.3478983486,8402.06568910412,52744.3143104042,73499.9026904083,44769.3118202938,11310.9966821106,38733.4528153097,33645.8722127352,237212.998050152
95,3650,400.71667293409,1298.675882381,221745.58246125,90369.5223521396,5251.78971347519,212.349396551693,52882.7789209318,5831.8647220226,31082.1562064541,56902.8033272203,22423.2756656583,5323.14853572092,37311.6249136523,25745.7806895325,146259.798449478
96,1673.33135094773,1675.88413032965,16771.4882257644,1561618.98591246,1332771.16953567,10819.0541591038,0,386212.975782372,25469.65848045,264372.590956782,471800.854954806,95336.7757320364,34588.6316926404,257960.548479428,364707.298246993,1004604.23225745
97,3650,968.486524085119,18161.601027255,1618054.52735872,481414.111579895,4014.99740154652,402.119783859054,189077.873820257,6971.90792517507,91597.1673879859,430198.969347302,107409.350001303,29108.3748793623,216515.542215326,229573.527989056,719665.672286517
98,2446.8926712529,613.949613483728,7111.02640459998,762528.46307965,376309.762322485,18750.4054321088,2048.08496360672,60436.5168696036,5403.2480863003,56504.4653726357,140652.521507507,107804.877464396,10943.1663016307,52474.1540120472,79902.009682145,308911.420521445
99,1942.9863801371,425.333197868939,7205.14994506572,801252.683517156,423134.661724223,5572.94319106816,983.05621826847,62936.1449648405,3411.10634236918,54056.6019465147,90638.1089225519,41363.9014722905,14846.5112990832,62066.9795292576,89586.9045222423,233546.991558832
100,3112.63059890671,1588.56555936952,23997.2853097064,3505156.20055863,1142162.78305053,35932.2233578213,3078.40983219099,255191.736904999,12597.8548771465,119176.37426089,505206.907104342,97073.1466235302,40377.6284703509,234995.973722568,216677.188901603,778458.429664315
101,2343.38393009198,926.38856195364,10951.8427662659,1109681.10221721,567448.540250358,9854.40532155034,13396.7906642614,155154.932176761,8353.40128951041,93301.696078016,275658.241394501,71990.9448307533,33116.888070776,129215.351597214,180069.835173594,610868.114396769
102,3650,614.02422730682,5515.67066577954,607619.318091876,635590.788903955,6073.65002409453,1765.12530575539,409990.042751204,15760.1278527774,40971.0734926357,123696.007185682,42506.5163621911,52011.3870094031,87469.9991877566,53539.2440593538,464785.233794068
103,1852.87255316889,461.822069488852,16391.3926165821,2818319.42377751,1666294.97247131,7797.31568611192,0,34479.5364493255,22434.1904087307,31377.9457282821,131311.325557914,127973.149719762,11636.2491918443,83407.2219906252,165328.831945568,133521.353976354
104,3650,402.763959969545,2885.12779030193,406809.667461092,112096.509797012,4634.73561546914,214.70799796917,21885.6885539972,1918.35082941261,32175.9856152335,62321.5942567669,30594.2681184315,6555.77941890881,33627.6957759274,33455.3395550556,106305.159743174
105,3650,66.4178546487236,307.078407899342,21216.4384427177,15196.6310031515,461.159335324269,53.2568674277117,29257.5629033447,3305.02332673893,6128.53268858234,22224.0433490093,38205.8164622532,1569.68500552878,20085.0307827587,19470.1846240443,64415.8711961939
106,3650,616.045136750062,7423.05589516353,800779.387216803,652617.537771835,14334.0873003851,626.844345509195,192739.453929519,7840.07900827326,89633.1234409221,173569.033845943,56280.0430769873,14202.3565664408,93442.9030252945,93238.8357776011,389987.672796721
107,2300.08609386701,463.016839342584,7838.0250242566,318482.560905223,28099.8517154336,3316.44489568813,3481.61617186807,9901.44054700562,3266.7807557139,6430.08792732245,17598.3868743405,15553.2683157096,1950.15297788774,28653.4702772042,11171.6491778229,60814.640274617
108,3635.16935740191,376.183083691187,3615.40047900323,372710.786273963,324092.443677561,659.495947727607,47.3358720012104,16600.5222836817,938.604899509456,11796.0119546981,37845.0347339201,53620.188551357,4162.86243698786,34670.7419255126,27109.1685933636,57164.6311815498
