country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,714.043545207341,29257.9296207542,3579320.86364836,842553.458290438,5675.38869484654,38809.0337565726,76763.2874856147,15535.9508870801,24245.2992000789,54575.0810018735,43634.6050575856,27212.9383397917,98931.6381978307,77537.7323779494,5500.35903265265
2,3650,995.419559845093,8262.44200319263,314322.122599758,28824.0894798771,541.452840465189,88.3249469219843,5209.63723647075,1277.56564655425,2352.04036143688,5178.51874431821,2005.57505303607,2074.27291323787,13715.3343924338,8917.63121462896,4424.7536423495
3,1445.10962411481,430.271911818537,23073.3252033572,2613773.02593628,1038343.42727538,17848.9176636906,647.276820784905,64429.5817640094,11829.776982575,21614.6229228504,37746.5671893219,20872.932852927,14931.2591108538,71567.3079653063,43623.5237408904,2571.66305965065
4,409.966519723923,806.900435737336,45085.0909070487,5218453.34561543,2838062.84491943,25076.6832157634,3588.3191674251,45483.3140476177,52796.7767021062,28801.2591120375,87966.9065602455,94985.7791610833,18343.0596938397,114828.241575342,208754.929199605,6785.72162921021
5,1741.83329867383,1017.23154111818,63610.4542362366,13180457.7431192,1885111.75912481,31776.6254282242,3228.37160342884,328789.898798342,46278.7817817112,80851.7469861063,181348.915513267,78569.220203563,110944.513999924,601967.686156442,292854.679127609,9218.77514796019
6,3650,233.108337805694,15203.4855244124,1079338.11499671,762506.829935385,290.76680942332,101.042411091663,16397.9464784303,7801.72855712932,3247.82938762722,19344.6106668703,9318.33341662454,3933.11944231265,35212.4501304499,30233.2831004785,2385.13036663076
7,180.201831052398,1501.13979361864,46058.7368590459,6707960.16308305,154031.356179518,601.546700125168,0,46219.0601430611,12438.0451858283,28627.043263328,99144.4168435587,53554.5819408818,38651.2245615201,482675.273775713,111216.970367253,7850.16727112969
8,189.289596186282,701.188628185405,40624.0201032063,4851585.50302607,1743381.18645982,8077.08778703731,289.822762629466,79526.1331410997,9268.56775563593,23275.3240373293,59776.0647752503,50448.1538382684,30697.1609080969,207765.061978722,111964.2617367,5430.50352247975
9,2123.7052484999,528.245960793837,34640.1412383567,6992901.06533001,2779698.19218529,37773.9191684303,14403.7009940656,126505.312909287,42146.8069890387,47111.8521995273,129135.043250993,85429.2540397758,37597.767717566,195865.022469804,157557.715088226,5208.12960924146
10,2266.44279373816,480.191737476971,12330.0321028185,1384108.69007047,2123999.11412519,4469.23156033565,659.274765693306,19456.0216174357,2915.87954083684,7938.36964777755,42691.1228837889,10012.4002845748,8080.53278194274,37596.6207564718,38793.9835118746,3675.51075099868
11,2016.61329969003,267.432937706464,5500.93281414611,546220.50858147,414315.366362206,811.016652309871,49.396690324621,10009.4659987689,756.068967585611,2849.1369349045,14737.0856051722,5983.89768743589,2148.75328682037,11716.1743455846,11485.8859513021,1628.64693376385
12,3650,761.719125735893,23348.9971677078,4482075.6830747,137536.846598528,17248.2085201364,9767.03833756142,67539.1647110588,20453.2461283036,24554.1713954966,79082.6574303211,35948.8926362221,16083.2242126009,90798.4200730343,74092.6054956866,6378.34827503413
13,216.736813303608,286.836235148161,17096.5514397113,3911973.11023272,873386.533725841,13774.3894847115,4803.23171119789,50488.9409972649,8385.2588697467,18835.5011217831,60518.3686934349,14673.2546388946,10891.1679876611,139131.835295835,77897.4966965943,2074.08728402938
14,1501.69404550436,462.471871409738,6644.59599769518,351369.617907744,35068.9882741794,834.408420987836,42.7205951393038,6465.25175380958,519.756374140844,2519.86030676282,5660.56922263179,2995.96083844439,3456.69757715937,10959.1273666164,11186.042128399,1731.97663910768
15,3650,756.119730002269,20457.6040970027,1786434.0357527,1330893.78442905,2538.93074793486,2548.08662588098,19362.629839227,2400.29931205533,8108.84769114648,41707.5765830464,12593.0608627861,11099.7181607019,77979.9562174125,41804.1812893209,5028.17384325462
