country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,769.028943726771,14556.4676662121,1954015.46066849,639120.183157202,3307.85180136138,92974.7873335571,71229.8265813468,13767.3342238466,23094.3820364156,52307.0124098934,59448.0863187923,15305.9183700464,68629.4805427796,54195.7766788432,498521.014050813
2,3650,995.419559845093,8262.44200319263,314322.122599758,28824.0894798771,541.452840465189,88.3249469219843,5209.63723647075,1277.56564655425,2352.04036143688,5178.51874431821,2005.57505303607,2074.27291323787,13715.3343924338,8917.63121462896,4424.7536423495
3,1978.02927739968,482.251606772358,5886.07778921698,420425.698175558,264130.511936171,2867.67747421192,446.561661665782,35641.0254334662,4463.98636860531,8921.5410421714,21143.9244162076,22710.1525750848,2393.87385855469,29727.6080004721,14710.035843426,226124.975680726
4,1609.47155719809,847.866348704916,19130.957900721,2330809.47734277,2190220.69866568,12297.7315949711,1739.59346396894,24445.1979360045,38230.3469383463,21772.1032927255,69288.5122638099,152523.384938775,8662.36227939641,70425.5233073441,105767.329384912,529932.412535029
5,3650,1079.87876487547,39341.3050477763,7689887.8181294,1562318.59892098,18720.8825980161,1924.80608024099,219823.779775291,34873.669582528,61404.6652339451,135466.064363692,76647.122157224,64365.5298079133,399875.438531003,189797.172360973,952253.947311387
6,3650,244.256041245625,1734.83507907034,125979.116644731,127352.965721781,35.8227524596718,12.5900928745473,23503.7890309123,12954.7285089221,5266.46909455679,23286.5860049503,24748.8644584209,481.079171895531,19010.5420225486,9738.03398998957,505571.725237058
7,3650,1297.70153342093,31437.829123227,4188873.03528187,126577.882451983,376.713965008808,0,34835.801319096,9638.33962012145,25200.0812733314,87724.1361945251,66070.6189204004,23610.4342619896,331018.750961768,82219.5246913635,668028.596406043
8,1854.93720578998,609.990409700884,24659.5320764988,2692864.05943304,1356977.2568878,4525.1450422841,164.165571307701,54226.4517907013,8060.94196106055,21373.9427905159,53603.1432835267,46797.3946240416,16841.9219035927,141446.184851383,72621.6360898484,644388.740163746
9,2120.5436168956,606.423967763498,20158.1749134881,5151294.87657233,2196633.57684743,27830.8745489093,12560.5981540966,136445.440461714,34759.9749093965,46992.9872325295,137005.210952356,132691.613165408,25982.9617772657,161543.728719641,132431.96196813,606122.946469062
10,1622.92836916627,509.991226228123,6594.48653639596,937409.97008181,1480221.6157776,3369.87443455678,726.387586753933,30940.3814653364,3361.93445752507,13610.419900613,56789.3481495509,19601.6699112679,5672.01015894918,44112.7650577595,36155.6622567985,449947.681362166
11,1699.82140391866,269.022212150676,3232.09429858911,383799.55329856,308030.500889568,613.198159316761,74.7271180306912,15473.3388270629,874.309198638899,4511.70900366851,22879.8495096979,13975.413570074,1551.48789968194,14975.8931065903,12389.2544654934,136394.96359912
