country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,936.602846312773,7599.28984375732,163293.64191864,114393.047749201,2870.36568825151,12962.7368849039,75889.3407941687,7330.51583866012,38041.2741292892,55976.8399740154,41637.0206735358,10836.6011293638,28715.6045008813,32235.5438103212,192318.322840365
2,3650,1193.68822795021,8348.86947553708,102715.259420191,13644.865892272,2441.07923383231,262.797343931461,53101.3333244282,6530.87251122654,38035.4140294191,53770.6134132307,25238.4240759005,7439.78146982944,37682.8427898974,41239.4514851586,163789.426423967
3,1458.56979969994,513.727310674843,3846.61602887428,64073.3202458905,59771.9546536185,12081.4936531393,273.364949588511,79435.1877155446,5392.50501865605,40920.2435255083,57322.4072442661,26578.240914889,7802.55273626424,39733.212618385,29562.9755178499,196340.772250682
4,1468.52035350258,1360.0448417153,9176.11840558207,148186.415314139,126754.990648403,4754.88308372912,477.864050478974,20469.0187748575,14250.6753104297,20651.9781517169,45139.9285695092,106772.561206661,2842.10842784178,32439.3746001282,29912.6906090007,94570.7346464266
5,3650,1257.88887709785,11003.7102181,298945.501931286,209634.740921914,5226.82897609299,370.008978949093,131270.981988547,9205.50636171412,46017.5803699352,69392.5559426238,45743.1419469151,15024.5575862011,85070.8989683652,57581.8629697553,240364.369505523
6,3650,350.319732637263,2819.39730204977,25013.1865486666,13149.2379873302,321.488098418282,69.376629861821,43931.8352499172,10879.7756684259,14100.9005033693,50473.1537621877,31224.6048827337,3315.64943563858,25595.9506106129,30880.8224340091,117163.396715857
7,3650,1408.13223738925,5998.53073734,122001.397363644,7918.77530995856,169.455271955639,0,25192.9412122963,3171.12053215434,26003.5204281907,67827.1073945456,43468.8673680035,8525.83105149082,69502.9768427376,33899.2783900168,209829.164930403
8,1533.8483628943,720.748765982757,6451.23108513195,127239.914994412,107563.39630264,2088.45004681613,51.0406870836877,44275.3423391364,2941.73258585748,21837.764864389,42272.2221825009,30047.8089263348,6419.35794864801,39261.6309271232,35070.9154795884,127838.594710832
9,1776.29429862655,831.677929294571,20227.9411927979,445971.159080201,310607.95609531,12419.1338964654,3026.13358916875,76980.329014518,11232.1800547466,44667.5343311983,75620.5465661007,47607.0936905404,9248.85657534867,43272.959827781,39538.1955866485,190118.015556092
10,1672.53805307913,858.56021424584,5181.33542420083,85916.5390482275,86160.3601569667,5451.68728138194,476.427972320376,46884.7042905615,3053.36993724854,31594.3272504253,99422.4132800719,25472.9767524912,7049.60028265219,41737.78457476,51534.1858011684,158006.428368529
11,1720.87634677768,392.730886896474,2359.11502304482,36709.9334025422,22939.7631867664,600.737639999927,23.4872123047179,17013.5603734608,660.557833901744,7901.85757916056,24415.7847289965,10352.6114258143,1217.99248748168,11054.928550862,12890.635818991,33170.5174567716
12,3650,915.842347681706,7687.44676027805,240248.609817463,13641.3510655049,14725.8174442602,5271.20254392296,113612.580688557,14837.7225693693,64094.9496119888,120067.421269694,55614.2810573864,10430.7405432152,49009.5871090226,53081.41848941,308610.567212244
