country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,261.712320672832,4714.0412400973,396253.265157625,155542.858120952,5623.73935389707,27581.3779022335,60456.730107048,4360.14731036495,25909.2203400048,31406.3509246679,51083.6779069228,19618.7204729992,42864.3656531811,42308.123005279,75151.3765933125
2,3650,334.286999584565,3815.62041789681,173584.061139811,16242.8204734942,259.056468933481,42.4794106335659,2505.54715436657,614.438362009443,1128.48093401731,2551.86741407766,988.306092344487,998.865787553944,6675.14696080481,4459.7537107369,3080.54935610772
3,2136.30896325239,171.705913802933,2515.18719294089,132018.791143033,65919.2263591805,12341.4027596516,287.373785640444,75596.4330200258,5212.11331384261,38580.482457611,53727.4932512689,26260.4603339965,7977.73373041597,40314.8543510146,29950.3232446831,179248.738406887
4,1621.82523529742,314.90727473996,5991.14460098453,564689.720921755,455430.523349759,10624.8609876327,1128.84156602458,25918.2406520017,14040.6595670655,23043.2162560746,62867.607619532,60218.6311448501,6302.01000034106,41226.3157894466,59895.5279605314,139908.945474424
5,3650,423.636464476357,6376.64834936389,649324.192359097,239638.663158795,14463.6022214371,1078.86800043981,122774.348768866,5846.15947810591,40619.6263770496,54329.5468195248,48701.9472953223,37848.4839127088,154353.585382751,96526.2440884709,143603.837023938
6,3650,1.50060821305157,38.1841782896619,1732.42588916536,1616.48268848411,0.520778172211808,0.181116991919463,29.3930707684258,13.9844803065672,5.84367325266802,37.4672494879014,18.0480408184201,7.11173593467398,65.1050048132859,62.2132546487968,28.0760302458487
7,3650,293.604214010237,2625.23113296966,153092.289306179,6060.10437529221,318.286526644331,0,19867.9857235623,1674.49073218264,17256.3926265083,37851.3514341551,38893.3229600812,14508.0981236403,94896.0903055132,37361.1042408554,93210.5602758189
8,1882.52984885949,208.78210206167,3500.97942812492,230228.117718704,110823.364142365,6280.71949427405,162.29843390015,43562.5421907666,1403.22829707818,17049.7154808515,27220.6370232232,50792.5907826088,17221.0203829335,72280.9407755921,56525.6630905336,51688.72017857
9,2757.81548340014,236.280666627588,3608.56032323153,291566.572433639,256919.268244439,30035.5617078942,6964.1392699241,127957.465985235,13556.612818918,74296.0844892273,132990.052681563,86108.4646912135,20571.1359489546,76843.1590691233,75146.8074116958,356823.572583149
10,1776.49782046583,174.522154677497,3222.66569197177,350997.356894367,517238.487674168,6552.34044074198,665.031489876501,23167.8447982801,1534.45461785574,13115.5349048628,41156.7322816434,15705.8131121779,8273.46078575585,34980.0937542994,45662.8956610242,43822.114177436
11,2117.63011795253,110.371680692469,1679.42231018261,122504.56665921,70926.2461505782,1026.6587731054,43.9274762412414,12205.5817516863,391.192342828502,4898.43593694111,17375.4822156958,9160.83582648979,2000.66467059706,10826.1352932124,16100.6960826186,20487.9103903082
12,3650,289.000069337742,2437.24457866599,266059.273825208,14603.2965311546,24014.0184920563,9187.05218682947,79054.6627068008,7377.25513549768,40970.3866395323,61310.2302242635,58136.6778059351,15555.8856776388,57134.4503003708,55743.4976197442,134568.731990158
13,1935.24808085142,102.609578459631,1934.08090614622,132773.547152074,60959.0010028779,4526.46148314307,1091.00519943496,12715.8494886801,762.675837422184,6570.61783347876,14638.1679943813,5651.28835725452,2510.27911205933,37516.064588426,11963.8380832224,21104.4162694154
14,1475.51836913657,190.9110422039,2397.66393569466,122360.233077595,9881.17420447248,317.666785461748,16.3529203799879,2474.81915506733,198.95637164232,961.752474344747,2209.60672878351,1169.47518304896,1323.67636505334,4222.32236802448,4416.22851477527,1339.47335808336
15,3650,263.979820409097,3014.86520618742,198443.445353532,103748.391559418,265.164533725843,266.521697549218,2025.26904750881,251.063618001614,847.441270842347,4400.28550533167,1328.6090375436,1161.1396251288,8176.70058917813,4457.58536516187,3140.87739817807
16,2682.30638416201,227.515340360139,5413.47124304271,545063.486422879,719500.380306888,15267.2708777087,2950.91213036499,65935.0287863009,6832.23004078943,59959.3075078815,144750.181870174,48760.6923413141,21186.8534243185,95561.1793248195,92353.8364661813,350027.047332244
17,2299.3105957765,266.9063243884,3128.28697551788,243864.336848736,232748.061690141,20453.5296205999,1240.89020155429,115990.906382426,16106.9028392408,96246.2192130644,177766.908603862,67442.7891272456,19148.7116398978,70162.8537314278,83061.1046603593,398560.841254171
18,1612.73527269561,707.717435726714,8810.89530277936,571781.164841929,319919.393539541,1303.16689033493,100.234156303764,43625.956111697,1507.83341581734,18669.0417923385,69702.7286065246,45533.1059972179,8797.11660983053,40960.5494025477,63060.4714111038,100200.047294376
19,2879.16512730467,452.45750753688,5164.33390021972,418324.507786928,44266.1042318725,3696.7625592864,13105.2828243828,61047.7078154872,5543.12132939382,50780.9704989619,149970.109637313,38629.6107593993,21185.360514937,129810.326637024,112234.379391263,306402.207993092
20,1755.51624732498,264.185676012477,3793.74684446112,356953.179623104,27941.019279055,4773.00197775187,14235.1551969979,42185.768859913,1854.1745535891,22070.1293959062,55668.8017354814,30651.6829470646,16793.1966340128,77626.7414677533,64191.768061016,81819.5174488056
21,1979.53712481572,109.44730417268,4797.36285833917,274421.531304155,182598.819481122,8534.11514356327,1491.15133697623,167977.964101029,7605.30188616077,75998.9633687161,101043.076288109,51395.3976806765,12492.6384499614,53268.079028719,49391.3422607055,347084.643400609
22,3650,237.740860857297,3760.832967526,305303.965497419,139064.212021624,11193.217844252,4021.34384582299,100636.683916291,5558.65122232691,32293.0632844805,51717.4879851539,45809.3368711159,13833.075290433,64568.2084545762,46574.6346581928,87619.1672302822
23,2840.09896372457,104.807690367747,1530.21365997556,118115.490702758,80785.9928181239,2593.53800897295,4091.98879019246,11795.8108888218,524.363629848981,18007.5260144542,11224.023965727,35466.2830958599,4699.05183083223,25595.7748830907,20473.1480763428,19828.4913926879
24,2640.52502708437,302.254770138311,4261.39612734689,264915.927101369,150234.267332701,699.856358101721,172.925646595023,4742.04010125553,945.148749420044,1965.92749369044,7048.88140181855,1867.96588177411,1829.72259016572,11148.2425412747,8581.86921235824,4285.70746974898
25,1358.67030550924,229.399978740231,3276.37956348866,227230.259543803,18614.5500549674,1954.14230297128,2112.79359525005,50514.7533719611,3303.67591161165,5994.26790700383,22841.313736015,20601.4139647345,5226.05963209434,42681.5879961809,22268.5214339143,79584.3058009776
26,1470.77459605524,209.119403746756,2374.76418131103,210350.361275153,150046.984280403,1085.00414191099,58.4920930135395,13358.462516635,738.312664211972,8430.95364141951,21208.0992303288,10357.4887584973,3515.19495681377,20553.7632889232,17330.0490366573,22096.4117522943
27,2044.39302417612,140.790904379278,2644.36488917011,171145.265407203,116741.538098797,3317.88071532322,81.2877121502955,13881.5496139692,606.199618469029,11117.2960793756,23947.7492451698,22560.8429469985,9460.65741028476,75918.2854262057,44793.6356697747,23153.0131279483
28,3650,138.64556480389,1927.48746186853,118057.999064288,47089.2473702437,2378.57949670595,3022.50404223978,35026.8344815584,2375.53430728803,41989.0598225054,14485.0330082219,36796.0310356521,14830.0175720134,56081.5231421477,126530.091604663,41458.4871387216
29,3650,299.247839375183,4174.19933892712,339041.010010574,314211.025574971,3503.01848935355,115.298514957856,13986.0017049203,906.226734027293,10562.851597285,27086.4241773981,70289.5254059506,13744.4669987312,68665.322817264,47805.0374415823,43675.6458682234
30,2027.79936166852,157.464454748956,2913.14836288077,162077.784958007,144579.185425557,7362.43476043127,524.672832545885,28074.6355988089,12308.9451656913,13879.2091771116,150495.095471713,33523.2643764895,9174.45178645574,28603.6100903198,36413.6284693684,158869.298480078
31,2034.86770919529,111.629926271525,2667.15143725683,266225.244232153,132091.04258979,2986.63220668547,132.549455813783,28185.8818667041,1448.36086328292,15974.1157680635,53938.7073330417,15977.2420974013,4281.79741157799,28196.6532031337,55107.0423760986,86402.0631335579
32,2038.58833276281,166.378719194107,3415.57463657643,225148.820927557,94029.7934947876,1671.49446799596,2413.1770189583,30562.5706857056,1473.58415471294,26388.893048742,84453.5048941026,28513.0592520608,8661.31132582478,35839.4040172076,33872.3680348896,122530.409066261
33,1848.27905309658,408.336957728379,7614.26101264934,475752.021108879,415639.374234093,9474.71428513868,4521.46598085683,49208.6807102308,10484.4545911844,109528.471622112,148280.676164869,48601.8198899552,19069.6168698429,120596.049560526,119642.886230943,339496.486341932
34,2598.22707806935,219.436128095598,3359.59525458763,296826.327909762,141630.900748644,62756.5500929561,3437.33669638222,76730.6618360193,9167.70379810577,48528.9307652181,190453.845058604,63553.5230124479,14699.9096522586,58410.1826933808,61887.0500258733,317701.772211704
35,3020.39932154537,113.82109909594,4429.0114322602,255204.060651944,99277.564646793,522.97510412163,97.4303815089688,15782.6476803185,2395.39302903864,6306.79998392604,15840.1191402164,21488.4164467797,5955.10203969802,35919.0512768589,28159.1520412694,22555.0428947896
36,3650,89.3107673831781,1939.49123750249,81283.6383804278,10510.65114758,1049.00225128041,86.5323816782976,13077.9609588883,1625.32751771179,6889.47860858285,26357.25828952,18383.0092116484,7039.68686108275,42750.5683086767,33245.2372529486,34880.8436453621
37,2063.75278790752,330.989654133161,5431.66873462974,813459.580532853,581944.466140672,11165.0127146794,116802.307717773,50514.9614912242,5113.03353163172,44571.4013969778,51859.3604705118,58114.0788257339,20751.3973918192,65378.0325522439,93500.431758906,147613.605324806
38,3650,133.749479950812,1238.98604079513,38177.3023648065,50638.4133407271,108.859545253498,7.48295405822306,211.985095019162,188.577089739389,369.93164184653,1548.35534496013,1390.34688168249,181.843556558234,2053.3299089745,1804.84152169826,1540.63677593908
39,2108.61259769236,272.458167825022,1801.72102174459,105336.147357892,57354.670374935,458.689722976233,175.979853308985,2515.86450540655,491.130745573181,913.336668257878,1759.88761402706,1078.94375565162,409.651700396463,4091.35177856883,3880.18918638009,2063.85702887129
40,1848.62793018007,143.620019690744,1332.96682713385,181397.918075242,9866.1426712123,266.880365416433,55.8950058287752,2157.81686395371,793.233160287782,566.238512316212,4882.78546100165,1544.76715534254,961.473435106543,10427.4130382094,5456.93398565737,1074.21411470649
41,2274.22930472115,199.967121999174,3706.58908205861,288867.637433102,191539.690533466,1080.06002598931,2449.54156338656,27220.388406625,3397.25341654938,84048.5183513609,79618.9754611442,28536.1339412831,8228.72047329999,52281.6765801736,109045.587758017,170759.542321348
42,1817.38001430285,359.667440458311,4485.12973371768,240898.73616875,68406.8151454277,10856.9205302222,1092.49112261352,23686.1762300662,10423.5326082452,21462.8351255288,55686.1028177549,61202.627765332,6063.34378748415,39071.8117746288,49539.1360347536,127367.202023741
43,1944.13903975402,131.618697933345,1367.56330375123,80684.7144885876,7500.45651537695,1948.76224280348,62.5334428496589,4961.79255869139,526.7351351929,3194.12773669166,11073.5110362376,2905.11240732783,1230.72379499231,8025.78010384826,11883.7927873082,15533.2402587464
44,1861.77590858405,278.673815598432,4487.45615813488,167939.671882211,24202.9531664383,438.469475234871,723.610532834886,1165.47940353719,724.38355766677,1718.25492797936,6219.47340716229,2445.14690099802,677.2010498137,8162.62477279617,4108.33914284922,3591.8979617516
45,3544.34754933033,142.973429042205,1359.88794377845,208738.837427697,148298.786873063,3173.18198578051,416.912118108991,41237.1890523927,2582.53381272812,25227.3885504877,121084.458565243,43715.0672846522,17873.582654065,81065.1094773292,161279.290909024,225647.269128622
46,3650,106.609372448485,1529.52835864781,82283.9232347388,61628.4536244428,2931.79578210558,194.426466196206,10548.5719707273,464.956929441504,5273.62270173384,21940.4899432258,5657.23168190774,4294.53708125047,22175.6869134821,18034.6182132149,14408.7866480047
47,3641.76344772467,190.873777781461,2142.07704894211,178230.743832299,139419.94646514,471.619190773142,37.4499066201443,2861.84431618838,616.610479633426,976.511719827821,4745.72362486938,1354.65820707323,1116.2671395761,5372.5452207794,5582.60223176943,2029.062021029
48,1427.54310035572,121.042352850022,3921.35824271319,332495.124163508,29519.4036085077,6607.86531987602,303.080536409793,54240.9089111821,1972.9202688268,22731.7246160829,75797.3138681708,24901.9795171117,6461.1624540357,40017.5450698161,35864.8838464593,152384.928464307
49,3650,211.881322515138,4131.02341117317,258125.755356269,143818.452419531,616.038302806183,57.6916092183263,8148.99730970731,1538.38618340664,1896.58847088213,5791.3671479621,2513.66535404707,1962.44471550771,10764.9468847306,8970.17866793303,2734.33338148847
50,3650,136.007321178084,5628.59009936081,638635.113410564,364060.067287104,23166.1783441916,1438.270241867,106818.3189711,5403.17756004329,43076.0155653425,100353.620829951,32991.3023134877,13836.9398240548,84019.7437574671,136343.423172083,170953.915713231
51,3650,37.7516428513583,538.454229254464,44463.2857671416,27932.6995975422,82.4827001397748,14.280631736854,576.091073040604,146.611600060614,158.406254296611,1256.05411356986,309.201942813253,145.153081394028,1285.44573162818,1254.82229841885,549.811310229404
52,1857.11226439681,525.619694047236,6464.89014719738,391755.151576167,174583.535890651,952.344518101319,227.790612467952,5700.09732027884,953.489097648362,2776.77929046677,15119.1085026442,3712.91280600707,4094.82672560455,18145.4911277878,16610.1119077948,4817.88437000302
53,3650,238.916645709555,2208.62138707836,161203.479886082,230631.835980195,31847.9540611849,6355.19853796995,103801.52798487,3974.27394907972,30278.2028274458,34269.4527319845,49765.2522474257,25726.6246347097,85694.7085327102,50296.3063307865,60010.3503139852
54,1996.74104699017,471.160963731316,15778.2763833289,2159444.95654616,464440.49549305,18531.5770776374,19131.5410304332,200968.367001686,19023.6139757487,74125.5308900248,101190.904280924,72639.9792963892,21874.2505369385,167314.700711611,95145.5676869474,248166.900258707
55,2252.62126912783,163.244124557979,2527.39668451377,172780.583201214,158833.36786953,4423.23069539222,90.6827017463355,19629.1062170917,815.412935764524,8746.72067826184,26847.5129036338,11748.2098010806,5115.33310584023,40357.9522179766,30072.9533516753,21918.2256096872
56,3650,242.927251949054,3651.47013128527,113502.164181934,7918.37649135784,185.780898346004,4.3686316381,1145.27640595632,270.560627571469,900.809874213639,2571.83122634761,693.214429260594,489.354820558592,6205.78508172343,4681.52401934006,4949.80664702637
57,1760.71031151453,139.514948253479,4100.39773774558,520673.257571997,606112.6283682,894.580317613294,342.478231272455,18158.5640422899,1234.5474039097,15105.4486921538,47920.9891376541,21089.045551407,9137.65488405434,42227.1651005352,28750.3228256474,53147.4475832505
58,1176.66924396958,315.311164171217,4076.6422827282,301347.13611823,14820.3677157509,12321.5450474661,762.228840671609,42492.0971168912,5893.32598208678,27201.835688979,32540.4862106656,19547.0742582315,5308.63226092411,33933.4953504185,27438.0837827368,88938.6295215365
59,2849.69556668585,468.919707156986,8201.30170415443,749459.4764013,642773.594182318,5299.14333606147,409.233031192323,496329.024538811,8642.56500104005,42717.2854101571,165728.290807234,35495.7101117861,45277.7715568431,176733.234822375,84065.2292805052,607861.334037953
60,3650,7.26768471490398,192.438477408987,11994.8336365248,3870.43713417898,45.1204720469474,1.1175508328087,35.8806223818892,19.1522741846404,22.137918599679,253.49107663041,1127.48345227781,31.6183146639158,184.119425027329,311.05035630184,209.456411857714
61,3650,148.359056140375,2069.06165659319,132172.86996617,59804.198203179,384.72561692853,16.9531188073046,1871.47548718874,672.06127050786,710.676943368345,3610.67344838742,750.850387441896,854.124356049263,5860.04079793681,4138.425632006,2210.31892193936
62,1633.72062707834,196.476751779255,9862.90778474096,1818329.13040578,978264.146668242,2778.14797695334,17134.7883928012,57630.7395239345,10993.5971623312,48292.4983812312,84837.2024271413,45503.8703267009,26173.0629343339,72443.294032837,135316.857232487,193054.659795944
63,1744.00873368473,112.269869770425,1485.04668202225,153669.982023969,149686.67281445,592.064015027132,184.094205799113,2867.73854371081,238.828551752882,1276.84100944363,5530.78491995077,2593.60722863763,509.746982018784,2796.56029647674,3344.55844936039,1461.21623936453
