country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,286.441393063964,3356.06524201929,299284.636748386,115135.734492717,2761.7335825833,12884.4509540866,71955.2532975381,7235.19697000077,35777.0282985448,53237.654240415,40007.6507006954,10637.8297367342,29527.2244652207,32850.6521313239,174834.639960777
2,3650,332.150352917304,3763.56493009664,170611.442877775,15792.2330495937,1597.78848520836,176.518928316174,39146.8014545906,5496.53514177912,28712.2752548779,36652.3910846605,20880.1146136524,4941.83391737903,29489.6355734947,29466.2455796005,102797.884311643
3,2948.70460814471,193.657742041799,2629.35340289737,101630.476009135,57130.2278408576,13109.7038820894,297.604182216267,86475.7336189412,5870.58491147803,44523.2258089479,62714.5777779284,29115.3697278102,8495.8942316542,43459.8853505631,32824.515025815,213256.160926704
4,1846.01976821716,437.736553206456,6440.84162004896,356787.919938949,132658.307259572,4337.17019775417,477.425051375033,18336.7165174281,14253.6269541019,18239.0909845141,38996.9307489289,104316.939019205,2738.88511745534,32047.6242427717,32671.0864530823,69631.2765899315
5,3650,467.933873183395,4237.90626425938,468305.072856201,155836.03772076,8281.29655217029,574.751179230923,180275.446081609,11382.6715023804,64577.7773568873,109979.395099595,54054.6226282873,23673.0459742948,118567.612071294,89671.8132807783,401251.853564689
6,3650,0.817189642514827,16.496674090458,866.478761273218,859.283996862973,176.981206153352,37.3108154099174,31947.2893205163,9423.65297274014,10753.149579335,32201.5395424733,27819.8515564255,1804.08404974734,18875.7164718034,19834.9590890428,66058.6748987637
7,3650,336.251377005651,2657.28365790643,142973.927300031,5124.54543345034,235.702046918406,0,34357.9222198563,3560.99858319029,33858.7112224792,95699.8218310352,49358.7858394977,11747.412465167,85484.4900048412,45860.737611494,308188.087839165
8,1904.11385986481,226.0680131375,3368.09254639662,216769.976482172,99115.842509699,2108.0184206202,52.2838958981793,44139.9748966339,2927.84291124688,21579.6903937787,42514.1246929525,30210.8862504742,6559.55699510562,40435.606139634,36658.8900430076,126153.253485505
9,2116.70672252715,254.243813050068,5640.66997702122,580421.626038109,277543.84033198,7995.95445817459,2153.48751361589,56068.1395193956,9874.14329332908,31917.4976741038,50576.6435847979,37955.2339940359,6372.38870812741,36054.7949427185,31871.7330952918,104890.366177683
10,2033.00762142829,252.246533460666,2439.8938890667,98967.0934545815,111233.595191633,5970.50631847169,516.013539961375,51092.2048303905,3161.17679525168,34351.1509656819,111302.115937711,27349.5373118246,7711.98579913472,44592.9462014602,56934.3477239747,178321.360068175
11,3650,134.957420919452,1027.15588968951,32383.8292821048,24620.7895507261,2313.38111013404,83.2903776518761,51806.0766071207,1288.27649639671,23284.1556806291,90758.0658943829,28505.6956071601,4514.45568953664,27400.547847173,41147.7665163119,145546.453487803
12,3650,297.766516686,2523.20736631045,259669.607344089,13599.9083118984,25740.5167103293,8907.31405348838,184116.169196382,20172.7315907515,103552.036512324,214119.091399336,87521.5362032715,18001.2733180255,73408.8445313328,88218.825848619,570902.298529234
13,1782.8480873605,107.739112101629,2226.93285354875,144701.182540319,61785.1143878632,2061.53916995029,492.15441842643,14122.6536501475,1167.16904445898,8520.26990150493,21553.902039719,4752.20969806562,1302.37516024699,28584.7770401799,9862.38893852584,42739.9886246129
14,1630.21939839854,240.264377607062,2932.67032812301,125282.240993426,7676.27541809219,2836.50516506205,99.5907007020052,42128.1063361144,1272.43313734388,23990.1890516259,51892.8149713809,21500.0625623977,9812.96449391085,31697.6996302777,40550.0912402332,155732.505059526
15,3650,263.050009928021,2896.8363821335,186373.556169402,90925.1093136942,5110.20163822542,3194.01020777951,73505.822016183,3503.40513307688,46865.3924684302,159122.080137227,45015.0341378382,17047.1463148143,134240.500599105,72523.2124096408,369082.52722147
16,1921.87108379494,282.348022001845,7479.27933366737,495275.128043788,563062.154185528,7900.7066310697,1523.71106286238,46699.5179798165,6276.10050787513,45676.952985624,107126.214525201,45447.982982278,11569.8495584,61858.5634683782,60032.4479770886,254548.957121462
17,2932.3909969037,293.851245136163,7237.80588495382,479122.596815498,279929.844717822,16091.2532365242,979.93190642971,110323.5253204,17645.1463679966,93528.2865713809,173841.666684105,60615.764270308,15723.7208976902,63613.0299119568,75783.1402310431,385137.504787022
18,1744.58428886035,713.445935272743,6843.39464464386,454182.257765034,255090.707591413,3941.13546937194,256.203410814769,226120.435090943,5993.14995938739,106932.006690811,409582.437050907,185532.416031344,25990.3655354771,112391.339644604,198195.134745726,813830.928404116
19,1464.36417110285,468.299408157197,4188.53642542929,331460.539169322,33533.8507260905,4238.05863132469,13909.9652704753,110877.689272946,10765.5064618975,96422.3307655873,316166.151204445,54953.5577978564,25447.5111607851,160223.02562185,168869.768974189,732393.030513791
20,1514.4723754042,292.028325925672,9104.27328590461,766907.683647055,55280.1139096161,5972.17047840084,16351.1996708906,126836.684023518,6900.545556651,73353.6179064615,262610.465170345,54190.8865411309,23127.6883672104,115736.644629946,126702.027524346,596472.615835453
21,3650,112.501082103037,5888.58603864151,351110.467076891,194307.216103432,8248.95514788382,1448.94447172031,166398.187746199,7691.59904997997,75184.3795257644,101090.3562161,50219.8380375933,12206.4768862189,53047.2313144435,49058.4431634175,345093.249386295
22,3650,247.708904805769,3664.0930118075,279479.476312115,123065.383720284,4949.36818117039,1709.36198400039,113513.693700619,9057.52891713846,41595.9824154755,78204.0886943706,34851.5338185296,6832.75293855795,44809.2415740055,34272.3108480868,177218.027785069
