country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,255.766377415814,8145.14496568993,637835.728004268,235359.947252431,1064.0840520564,7308.09340607632,14455.2239723658,2925.56060393458,4554.82471253611,10448.2648904436,8353.73770706627,5126.16996571415,18775.2269291252,15010.5838494771,3694.99341814335
2,3650,334.286999584565,3815.62041789681,173584.061139811,16242.8204734942,259.056468933481,42.4794106335659,2505.54715436657,614.438362009443,1128.48093401731,2551.86741407766,988.306092344487,998.865787553944,6675.14696080481,4459.7537107369,3080.54935610772
3,1621.14811054738,171.43054298846,9745.4590260296,725838.051246863,367193.008529831,4725.69256916433,175.038772344643,17423.2639459813,3199.04803269472,5787.55991627225,11382.7392789158,6294.37774988972,4060.65161714409,20095.1791686569,13966.8531529543,1748.81469136103
4,1450.27849349808,415.097655025769,23211.6051129405,2328964.70721588,1444575.30706974,10859.1707356007,1554.6277205698,19705.4992999823,22874.0334368658,12481.4155391985,38568.8487928057,41646.2542242708,7956.58187463519,49975.894822446,92449.5542170713,5440.6628966564
5,3264.8337665534,415.189327676813,17330.0424958252,1610713.06685056,470659.097836593,3790.45354956106,391.165232290879,39837.7860224488,5607.36267366346,9711.59136807101,23274.6892172014,10083.7337631721,13453.5083920235,74648.5124241171,39277.5218144222,5608.2215864268
6,3650,1.50060821305157,38.1841782896619,1732.42588916536,1616.48268848411,0.520778172211808,0.181116991919463,29.3930707684258,13.9844803065672,5.84367325266802,37.4672494879014,18.0480408184201,7.11173593467398,65.1050048132859,62.2132546487968,28.0760302458487
7,329.68044147948,417.60599136703,8523.38644920339,495601.404003955,21051.497492593,45.2686220015435,0,3694.13374449004,994.131042350037,2214.95783162333,9660.53081670314,5218.30382069724,3104.46828785614,43090.3967999679,11902.9633601089,4277.15027349835
8,312.509254891459,193.029586362458,5662.32648165073,381506.099014363,204851.056843443,634.118304080123,23.2801021425504,6387.96099288387,744.500542706567,1851.07193947557,5427.15786182212,4580.26294884386,2482.25124031419,17598.7558048826,11088.2678759989,2883.3420059582
9,2192.22722747194,197.106681671881,11966.0133850366,1684962.4347055,844855.215954512,8591.02603103544,3312.59197500542,29093.9449875771,9693.00700295812,10768.9767218072,30794.6374951011,20372.184369184,8658.0344512803,45971.3978843341,37919.7615216815,3652.81131258922
10,1718.05274851002,191.762341993319,3890.74200213604,429807.343709649,652009.568863105,1459.65358350928,216.847704124683,6399.44654138909,959.08688886289,2603.18191987484,14614.8895519567,3427.64758629964,2664.85342514766,12569.4925782526,13498.2407540344,2867.05242580911
11,1797.21546274414,93.1333299090357,2392.87750695492,215677.298240486,146828.407685201,318.746404091002,19.55490563835,3962.49549939255,299.308662585679,1124.92920970726,6176.13086729161,2507.77773870818,854.187269086491,4742.15606720945,4894.19676732438,1258.03127504721
12,3650,282.796519915596,3919.88243507653,449481.8372528,23995.4939033769,2039.32264959355,1165.44478012679,8059.06194346726,2440.56878994819,2915.90837662401,9789.87125437086,4450.2175582036,1921.15972132481,11006.3841617706,9404.24916025186,3752.20884030767
13,2210.53185267395,97.1147870781182,5134.17774308419,341337.611380658,139438.527327758,1056.81148445341,376.433996936356,3956.86800126168,657.160991073151,1468.96898436598,5715.58476236388,1385.79793935273,867.264291711306,11600.8826352318,8495.03605610782,1323.82552943961
14,1475.51836913657,190.9110422039,2397.66393569466,122360.233077595,9881.17420447248,317.666785461748,16.3529203799879,2474.81915506733,198.95637164232,961.752474344747,2209.60672878351,1169.47518304896,1323.67636505334,4222.32236802448,4416.22851477527,1339.47335808336
15,3650,263.979820409097,3014.86520618742,198443.445353532,103748.391559418,265.164533725843,266.521697549218,2025.26904750881,251.063618001614,847.441270842347,4400.28550533167,1328.6090375436,1161.1396251288,8176.70058917813,4457.58536516187,3140.87739817807
16,376.669794450045,233.0029627734,21823.9592467921,4122327.56057499,1993286.16787083,11365.6941107158,3232.90598279598,35561.1358417369,9692.65073022134,22023.9336340483,70149.7821426058,24548.1809232368,20763.3236250452,185504.013152186,95388.4410426093,4756.08879313911
