country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,591.811313242851,3092.23153162558,37063.8596468697,21828.6680952328,662.761852293184,2961.98917533879,24204.6269675754,3147.79814719721,13604.2583143963,15254.6877846811,14749.8532932205,2504.12679624153,9358.05949282581,10014.0684497299,46157.3167143139
2,3650,512.658221669054,2702.21123477259,24277.1904874182,4139.45813734907,968.536631806264,100.285273475801,27235.1242832675,3850.87399231209,20560.6653720199,24595.0240833811,15320.8816979607,2902.25853724894,18181.1777730244,18740.7469039879,69397.0420950246
3,1500.61232884691,1486.91252514143,6808.88567848519,60618.0051681625,52572.1344357886,6782.7228008376,153.889409209792,46278.6394142256,3300.48715030292,23998.8722497562,32771.8128508091,15654.1287858253,4401.37018406169,23506.8158497461,17279.9768465368,110418.322183095
4,1454.92771650532,1036.50626781061,5388.07956466721,66175.6306035381,84190.8183433075,1272.09308643996,134.098367011996,9454.40711276793,8427.16952853205,10329.314804378,17430.1230848094,80502.016996351,787.956728032359,18145.5419717793,12602.5562179034,24650.2575811897
5,3650,1141.74403651784,5129.79882535987,71442.9983798609,31038.1511920138,4363.41909621177,285.096579101024,110566.693306577,6854.80431916482,39874.698830431,63238.2458029554,36468.1595883211,12149.3315635735,64237.2310907557,48929.0459868677,235716.600673196
6,3650,2.37434899481889,18.7021502710822,155.802280893951,241.504442587421,157.288836305232,33.1344921572177,23966.7522637067,6293.03484022518,7859.00050624223,26303.6521809767,18470.7388043494,1602.76218170737,13658.2566998039,15867.7400658003,58771.8089258812
7,3650,221.640139787549,742.273092623271,6859.80705462162,416.034059184618,42.1162962326386,0,8326.09909282874,1490.83471731973,10450.4807194673,21083.4418200679,23866.5260260263,2069.0132969398,21706.4032867351,11052.0571981417,57131.709885706
8,1760.50363683003,417.201861770994,2998.46273856184,29103.8960981286,23792.0758226787,544.417750830853,12.9791582009719,17315.284801488,1608.39409645743,10130.9378980868,15154.0671986827,12859.9941949915,1664.56864246156,15767.5517056258,11911.7578657005,35697.1811016205
9,2809.26556424152,1205.12644873284,7725.81383561449,99409.7024032026,133969.231870808,1768.91287124113,462.684042383102,22679.1110365829,4559.25862279357,13464.0172535175,15318.757153277,17245.2540975001,1390.32331740057,12921.583675275,10260.0225493366,25807.1863647512
10,1605.46675357192,597.215737623325,3523.81055164879,53374.5590988547,100924.403718714,5167.64927547274,437.821583555002,44004.9747499745,2596.03403694731,29606.1657665866,97161.8139662997,23135.3449301701,6603.32101966965,37362.4764642048,48718.9153788165,158369.566743526
