country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,43934.5300714787,74376.2335843434,337155.714574125,32653.1832043629,3417.42510560509,14940.9471656345,85380.6848388268,6707.94023527444,41329.5099403729,67756.6864428503,45516.7403582464,12783.1789482483,29447.7857349807,36503.7277716604,244698.495379235
2,3650,3653.59472179715,10887.1086809842,35033.2917814891,820.257143995201,6888.4032287785,693.152337538503,129970.967039792,11367.7950925422,90169.8664262981,151209.045068419,49220.8265518583,20349.2512852062,75597.2449536794,107171.807816743,509960.978850476
3,2061.63288373925,351797.318243466,305067.983394116,1228677.55086315,211462.333494687,14450.201947642,382.587920763487,84745.4200890736,7351.13041253805,41081.8866338893,61496.4571554624,29440.1793085946,10220.3453129769,52179.4522452213,40039.6591227884,183035.167899349
4,2139.05416261259,248480.639487602,238356.800999396,1180952.98300548,299567.359516238,12052.6012760361,1227.80110256665,39549.6345285041,21791.1885463583,37041.4266624047,101785.19231876,108224.369577541,7338.38841422882,54804.3398636678,77702.2975912329,244022.890802185
5,3650,188606.709277533,290342.358944002,1559869.23951637,122241.538401075,13998.2522422416,974.289967428508,261859.966117372,15224.5551417331,95063.033183007,180435.843269058,65382.9808082727,40210.2009266521,181954.60823322,147325.589009503,684031.219120053
6,3650,1377.91657556454,11891.6504155417,36530.1553990452,9757.99831846605,750.019264889759,159.040242437359,84333.2766272595,16204.7651319704,25971.1425827204,109325.518566204,46221.9524396953,7668.36194660748,44966.9737579435,64231.7289205271,277932.7154815
7,3650,157.863357112086,561.272844381623,2560.51002002096,15.3022077074948,307.308795410189,0,44381.8918315821,3753.48185547461,42504.8289220913,125674.507619739,53548.2240763438,14933.7601499281,92057.1150294436,55239.1891382006,424938.213021206
8,2371.82121650718,93390.8378315174,311572.01518842,452176.502728046,60931.4217497963,5424.13924581659,125.372057716444,102280.909565585,4605.42372118846,45686.6846802202,105919.996759397,66413.8392807712,16331.9324992899,77091.2734377961,86492.1770963978,374055.12797399
9,2218.89577621833,427504.892055521,446993.906806161,2868234.84468859,794352.145006083,13272.6787876816,4189.25554707043,69951.8785737153,14764.6027086183,36068.9325596611,69897.2398034479,47889.8425077634,11742.403942457,63169.6099405154,57048.1122057806,120975.846473931
10,2179.58371002931,105978.865947958,115666.962806898,811591.686217058,309986.934294374,12328.1074330881,1104.83122577875,89092.9768510077,4658.60871425916,56846.688882152,215571.07566146,40976.5261845763,16308.5475608419,75234.2680479773,107525.873594292,353627.274303605
11,2087.86374413522,86160.184581924,83888.8304159202,446381.264201908,85135.9872136103,1665.29721534411,68.5617758054994,34916.7495925596,1115.72113783414,15081.651442993,59914.3239642406,19966.9392957976,3504.70273465811,21678.3341409632,30000.6983047791,87073.3035237772
12,3650,62500.649939188,148276.265441012,1246135.48926906,10123.8005734976,24470.2065627929,8467.88218520966,174240.025539084,18862.0049783804,97909.6074721547,204864.040728513,83080.2764408873,17145.3199778736,69622.922312504,85050.4224441726,546001.318948598
13,2017.2347686122,112332.06062954,558226.581148363,1024183.33414813,61462.4387428587,3505.14734959497,953.671794828155,19855.0944100019,1827.00554390795,10731.0398179948,31131.0026408866,6413.33359783314,2418.38537261083,41439.9788978072,21347.1417417478,67972.6346193427
14,2064.626527519,180498.215592425,377589.18029048,456498.343706353,7674.44875800324,2705.33795761819,100.402855595629,38000.3398915003,1272.77183447852,21181.2668722713,46185.9902629279,19416.858984294,9612.18244505816,31101.5342124148,39351.3359400899,140541.59090497
15,3650,80465.3285959266,326553.432615826,584790.148396917,85509.703341088,523.738993103276,394.485382330678,13927.8307423602,1066.12932489678,8188.92133038593,17026.5658716836,20466.0934061792,1937.38771360435,34417.4740729088,10162.5323064246,31172.3254437156
16,2175.16546354273,343368.141761303,398471.862169043,2332695.82702949,807125.209371144,10170.5975716132,2113.96730361782,54053.502186155,7527.45613993092,49725.8572335218,125388.371672262,44694.9509562522,15561.1493195053,92809.3903041292,79944.0471007161,287960.25088291
17,2170.88958671175,474296.600962045,457443.051999023,3088450.16947083,888128.584780394,16440.2553356478,1192.77578179948,97370.3328098079,20909.9896339134,76460.2860173872,150349.602684641,55234.955815908,17736.9057282079,82799.1974780978,88306.771154794,285175.460064981
18,2119.4843728625,354971.704058647,455345.222765293,1416336.12976623,192149.549315645,3896.88697567097,260.144576281763,211388.422446408,5760.97706572594,100214.926992088,400478.881279416,180055.252808843,26174.3301125553,114887.45902984,211020.20966727,785241.247991463
19,3649.89877931041,212011.781146195,225701.09702482,1180520.02280888,27843.3462180637,3940.532417822,13229.663709921,103158.590026344,10606.4446222202,89428.1977293756,291895.235359367,53664.4445600229,23996.7794684072,157935.630730862,164224.580295704,668734.892422167
20,2023.06267485549,452266.635079903,1502258.82850096,6085171.32971094,63102.5991934317,7259.2519116299,22778.2895368173,136935.387319412,9438.51588428063,74781.6476192728,279370.103606724,60276.8968209679,30325.3807514892,177179.258388055,182819.035387263,615214.933910776
21,2297.95155522056,185350.088346834,264000.646115088,1391656.21891903,318886.027657563,5412.58267740911,1059.92733182978,105788.816644891,6151.82133141069,46982.1167454943,63541.6366631997,33401.3621151233,8557.76421458708,44453.8783230839,37711.5645713467,194687.861526388
22,3650,76045.6761145155,64353.7009460883,410402.06569528,64420.2673870666,832.491222988458,314.881149707366,35393.677161037,4478.78728290323,14802.1644821594,18394.5602494641,13654.7004788165,1214.9600792678,17420.4358506118,9699.17789471501,26099.8564642612
23,3318.16686154913,45989.1521225816,54348.3266251165,300931.94415537,54983.8400606262,979.06391728106,1548.74815055607,14758.4577936543,1017.45149832917,21634.4678267834,19803.9334039927,69219.6849336599,2074.38975141736,15778.0464763087,10929.8867855734,51633.054111696
24,2654.69061215989,122077.970578318,129734.906641703,660538.207017912,149398.680404492,6565.44417933119,1035.92005456543,95311.7103554357,7853.71692576,55858.7528453858,142138.389652607,40116.3609006814,13142.6764019785,70022.3157424212,61652.5017739524,280490.277958484
25,3650,86992.8226604248,315416.456842729,555975.070733879,8178.10973918521,1055.42997407046,1098.83743931489,62175.4871650854,5442.67795604822,8213.81138457633,36724.0770284322,19556.2665847022,3151.7898513052,33969.3531165043,20452.0562522863,162384.182228582
26,2088.28227889508,204282.879174262,561229.250692773,1375265.13294404,170370.942601921,2516.45196958487,132.165285884828,60261.3958644307,3480.21535023342,41726.5142119018,135514.318088897,32753.2818214755,9018.51280074403,59889.182537661,64407.135171618,208563.94380553
27,2625.69160414947,62251.5158775409,53238.2373862107,230382.332055135,39214.927370027,468.614069574653,11.6169908925388,7898.5196846891,748.397800708496,8344.51356888794,20508.9218106461,16965.4409444075,1567.38539275652,31808.4299454152,13952.497995448,29529.2772377556
28,3650,8602.15023355697,57566.9333352008,200958.45769926,21142.057862793,887.735254707551,1061.27798062814,49357.9459582217,6030.8174073865,56908.4568263172,31269.7860781571,60212.8644019506,6276.20768870521,33224.7519364838,53677.4073425131,132330.024267587
29,3650,119691.570055868,145195.026632902,602402.609999958,161195.46532418,2750.52521149135,82.6179292892571,27099.8604521233,1998.30001145527,23095.0610964705,83227.1563792233,79768.495879099,11813.4848633971,69090.3619308609,63640.3270775096,226863.224364151
30,2312.05562033696,229831.636976368,235870.744457381,768631.546099884,205837.331325912,6285.65629652472,447.824267471649,33048.5260169001,17435.6747987582,16514.8220025735,189636.732912496,33530.295953955,8412.32596775741,29157.7186092452,40265.2332149657,213168.486086315
31,2089.97490727296,207142.33965191,169477.365690095,908653.250782744,135494.00183485,1487.16930846126,85.3431244837961,14383.5036287312,1333.83520946289,7482.99250975953,26692.8406997891,9008.76752010549,2607.33253687265,19518.1058337378,28580.1001467386,26742.5833515719
32,2119.88643409742,255043.518550242,234834.485790563,882742.892006494,117448.738420557,963.618690281776,1536.53771691995,22428.8019247481,1492.87247576588,19037.0901155343,63970.7541316546,20773.1713550855,5623.61558979487,28591.6677750712,26404.0746257388,86195.7391332992
