country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,43633.1617882361,99380.7933952686,413093.368346814,38457.2010732774,376.871924489048,2607.16759287953,5156.91157658609,1043.6958552338,1622.13788239539,3999.29113244713,3197.56720230328,1838.46049538075,6906.9129360783,6047.89390491822,4434.47548611521
2,3650,3666.87561289934,11240.4581226749,35854.6767391901,839.749692350328,31.6310768795072,5.24927827061248,309.616212589796,75.9275586506918,139.001351221404,348.694728417781,135.045074270936,124.382203433857,862.788420993424,658.176480103647,371.23413095428
3,1973.48891919976,213410.801621267,1634171.12667242,3694122.04536386,233406.991667094,16358.6318185805,605.745134218174,60295.5403314681,11070.7345234323,20242.633424233,47403.4900639968,26212.9761399892,14372.7409444626,74080.8213961924,65376.7914688691,60695.4175235606
4,2138.91587000192,248471.604472822,240325.620402602,1182154.88974421,299791.204049209,2897.12546398899,422.633380406796,5357.03929086174,6218.42126384922,3369.37921611065,11899.8140477347,12849.2992807695,2180.56142927455,14264.1672958503,31630.1152372954,10541.2872112675
5,3650,192369.277302489,502551.516770011,2403517.67517616,173701.520960368,3462.48959427731,361.498724853633,36816.4337197484,5182.0926017623,8931.5221878388,23195.5069627236,10049.4281376288,12483.350522041,71026.0250164778,41669.701918236,27557.8074533892
6,3650,1522.0604253207,13801.5666657218,39720.9766127096,10393.0531900211,8.59903102709812,2.97528994179691,482.853137571487,229.729321122384,96.3184551291169,612.136949924356,294.867459172989,116.930239413353,1065.09939359729,1013.95877009465,682.819033207787
7,3650,224.213250182596,884.852480785035,3915.64412062277,23.0295165499317,0.19474438451368,0,16.4342383001339,4.42262992668025,9.73139299808651,54.21611022899,29.285775338775,14.0327920768834,217.922662412634,78.6052883697322,50.5492168515344
8,2376.94615259188,93257.0050621006,315525.838553919,461231.245580567,61787.5789036109,335.958869769658,12.4293970791389,3410.57368307172,397.49365420613,986.317607714177,3097.51636450319,2614.15639621882,1332.01905168887,9662.13793339706,6675.99611715227,10919.4082543817
9,2218.65671010883,427137.589394698,450510.091256607,2875677.49587346,795293.279615143,7862.80627602941,3045.6517943324,26749.453728142,8911.91079184673,9892.14397798672,29853.2925932992,19749.4378959531,7994.58815089749,43375.4331420621,38217.6343924691,16751.9609370326
10,2179.03695426224,105791.868880719,120834.314723034,814737.00234674,310683.176412051,1347.09485921386,204.533623032811,6036.0426309264,904.623440558091,2437.83027349473,16210.6931256625,3801.91331360293,2545.91991282704,12678.6785748019,16135.138164432,6641.5160709205
11,2087.61574726046,86132.4856696759,85444.754022098,447310.716233371,85197.9943672786,372.857767526443,23.0379366227058,4668.27720220416,352.620162265204,1322.95185627505,7780.46088602826,3159.20550035684,1011.66930753899,5724.19070565883,6347.98345785648,3847.79700726193
12,3650,62489.932465862,148549.833901075,1248167.07787314,10152.3499406406,1151.41017345709,671.125394159219,4640.83860135752,1405.40995082451,1666.12667741251,6354.08470764394,2888.39950981432,1114.98558220099,6692.47637436026,6604.74813483695,4523.76333644366
13,2018.62801801451,111925.712692871,559845.37105996,1021722.10576483,61391.983098524,1562.58192104066,556.315205898782,5847.68074815614,971.189252386569,2179.01101114626,8920.45302606729,2162.84876099084,1290.89482304664,17460.3734519146,13844.049562465,17261.4269188819
14,2045.25111591892,98099.5715462899,328751.563366836,401219.76956404,4631.50891031091,539.596096184269,28.0342768281405,4242.65291339929,341.076570406891,1646.38037116725,4134.35982267069,2188.18631724115,2286.07776264132,7444.35768490995,8709.06338486047,10544.3572391975
15,3650,80476.6960298841,327967.765584787,585653.988774095,85657.827242974,193.113830436904,194.458392142363,1477.66792068225,183.179935933818,619.565714870716,3412.51783499164,1030.36542307426,852.735500797803,6093.60770894494,3628.51691327961,6266.64390757513
16,2242.25721387353,245746.532498847,496255.839233615,1865836.81970406,591354.207203357,2514.9203019583,723.446336772142,7957.72397745743,2168.98131331553,4910.11304560913,17154.2865980867,6002.96277703089,4673.94708603833,43240.6533767083,25022.523044859,20742.0095183952
17,2170.33784741862,472797.21799473,456717.700831081,3117788.73887004,892075.270471768,6465.87230053925,630.742771936851,24857.4286806838,10499.5655594429,13384.7880705298,35313.400239579,15540.1239698869,8378.72437291853,47173.2298088634,43205.3371246957,18170.1494775262
18,3650,238198.241767894,1334865.13675581,2813310.03108724,248351.26305156,1010.09496920358,102.93491153836,30762.5242385147,2170.40000055716,9828.07724750663,69254.7300693972,33572.101346237,8823.8815136122,56947.7381780218,112289.282010497,62482.6565653036
19,3517.83784113872,211804.698049583,410467.086807321,1734906.11347465,35489.7685218289,539.787236861564,2830.1714488519,7699.56891377655,2008.62356730715,4418.05103337453,19609.0553764146,4719.08522715612,4286.72956162557,39758.6784871654,33783.0774011716,31509.5693401228
20,2024.09620907241,434677.200212811,1458121.23948856,5878438.09926504,60801.4953668501,2386.11344135472,10196.2951523733,28506.8444204211,4081.13232340682,10898.5831622986,52538.9401989697,14113.6745352134,11997.2908716161,91515.4793498921,84017.1454497838,79702.6345757757
