country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2333.80562052642,15345.9796121966,14701.561499725,25327.5825679563,859.149336846985,925.029392772837,1055.75752325463,2523.7748422763,203.161225000658,626.957720271108,1630.20968967133,893.808400806968,160.045686486252,1803.75561993308,1789.64401778014,12048.9698430198
2,2612.03073025738,57591.8660674215,164999.089050275,234434.839460948,3469.60039263316,73.1924327466071,120.642498465248,4707.27056201355,1500.2907668413,2293.18440015108,7450.16452536908,5579.29427684422,1972.03651156154,4880.3333169784,7225.70669348448,46638.9665720738
3,2697.53245845343,11800.6662070681,43203.4741898678,25514.1003851696,1202.98450358179,169.985476714628,295.879531103433,5132.86749922722,109.161617155637,6.6308716008048,2146.31235486631,13225.3488610707,6362.49126307209,3031.64220546822,875.287449039723,46320.0479079929
4,1873.70752980678,52191.2501960036,223565.020695178,213795.577506638,8292.23799943779,2371.09723548394,18122.301276365,2333.1316335816,468.320224670536,3927.55565250271,5535.46900473593,3420.17557978928,266.980811921005,14017.9316532176,10013.8614306319,80425.5725860555
5,2286.16025625349,81129.5647873469,221914.378845094,805327.237900658,55619.8293385845,4807.51579620434,0,7587.22349525608,1395.78613423326,7525.35170678204,16833.3107196839,11534.7037335274,5161.08342149168,14459.9861257969,13323.4794284298,34567.78726874
6,2251.78015161276,42025.5615444429,23201.2620654913,33794.3609850787,2414.09789182556,1197.0216572252,25.9446154813774,703.899268416254,9.97223742181926,5583.52798732487,2863.28649541082,3435.7999718325,96.2307220813961,1413.04209200964,1645.57217069022,24003.9664794086
7,1869.99272967302,39137.1142355101,139603.723935238,186577.055356587,4332.90114161862,853.019406598839,183.692417088461,5754.02416002857,717.711400596119,2531.65756431071,4955.26990782957,1528.22858269261,867.714262351696,2761.84181532144,7132.24312042064,12909.4905637765
8,1775.56078658357,80433.7560177871,177525.215255226,160111.761075217,3740.57502389557,454.810403843122,20.1274992219873,1073.09497178816,89.2515272806217,6442.86433831344,5095.90630822415,1730.35956415299,182.561030038509,1965.64643455066,2117.69342492899,11815.6339927295
9,1629.71252584739,77698.8316046977,214923.71424107,227142.468169767,11011.3257313871,5230.93968696321,2292.98721515356,13231.3291398335,928.586526642129,2762.33505466061,8017.10859596857,2336.96869077805,551.416479394697,2928.27449921542,2628.89512336175,56784.8857368761
10,2507.8189155986,108997.830941881,317135.713052939,365240.211464362,12514.8253707335,4656.41554283299,1457.8847912204,18836.330509444,378.064465515432,3593.13319371707,22560.960127828,8870.28601325945,14763.3648058287,2718.89701340761,8642.55615745432,117814.488859769
