country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1948.23036574998,480.801494355535,4564.15823802331,107929.980314244,30207.7581014528,8617.46299631864,1462.19979078897,17093.7039872952,589.45107142855,10743.4787801694,20131.6838701923,59047.7612678254,4754.42365963917,13700.7522177202,17002.6339633269,34688.6367523957
2,2997.99441137386,154.529942432667,2929.64752272451,313743.560556675,195848.830821687,2887.27712557858,293.469000897052,18585.2766737036,2583.47108030165,11794.4254407161,45412.4136287288,15064.5314884993,4566.26144091203,22011.2916765295,23799.7405712503,157169.765666485
3,1452.53517028844,293.826578504162,9138.92029154494,2094555.88855677,452872.754564303,18768.8576963516,3532.53443623887,39763.7497336627,12675.1693090058,36862.1999732509,75626.2117871192,57968.4200188888,11192.2524734355,27742.1102577884,31069.4027529612,235156.783279165
4,3287.64367146942,380.511060116171,9827.45808560029,261355.875722466,26215.3134686962,18199.7169133385,2775.83259272348,26373.9167103589,1146.64040117188,29638.5797068951,93397.1545186551,46220.2797753576,2604.78176770237,10591.3470990565,11507.9253208981,280385.280714787
5,3322.59777254754,348.466117959127,13157.3679144279,1003899.36548429,187575.957829375,25859.0274106897,5644.21180441742,46314.587639566,3420.85750543186,16694.9290269121,57053.6972562777,21822.2132043241,9749.84721722755,42455.990135068,23856.9451063612,202169.292197964
6,1450.8524344004,145.01416029651,4585.53499349688,262259.707631446,75718.8377518265,7292.24165929832,1328.32093754655,6709.4464968004,354.711753817565,11370.9907155041,39271.3167407729,10966.7911571685,832.424370668708,11113.5140659021,16043.2723387254,90094.1156260298
7,1685.57481328646,196.88698150853,7206.37214028614,1180133.52552871,296436.112971836,6474.0600603511,7022.88083755329,26291.1191148974,5375.44556730066,37711.1551567373,89372.6434671717,28328.6651844191,4386.03096067868,31918.4913296798,43568.2150814572,242861.041503223
8,1676.15479164386,254.930876656501,7522.5054730264,628003.404968083,245765.79473359,22587.2081248724,14184.8051289951,25324.4470450042,13502.722478988,36994.8119949789,70475.7728920524,23854.2668335005,7753.45229111429,27270.6667125226,18576.053022079,340536.878637234
9,1524.12372108285,351.245805566433,16594.3122967567,4450345.40488358,1361628.11255388,5414.76681067142,70593.3953886659,88225.0121563921,83432.3518012314,10412.4633224557,36355.8851513641,32925.4100859037,13729.0067959225,127627.720147747,77787.6498137927,118010.069046602
10,1812.34566653712,292.464306793027,2606.3407384086,84720.735665099,16057.5583867616,12576.5043991842,650.472358622474,10903.535395024,769.117840253782,7968.98464036385,32597.8712020938,13051.2792044257,2310.61454047906,19719.7926271263,14406.3553103521,84689.3099083347
11,1649.41813257712,390.793286255286,18933.4098723036,4516132.66855236,1618286.18282345,30890.7086828633,99244.4080267174,80827.1547765585,19518.5772215528,45916.5180175188,82324.7354938189,35191.8437365772,59515.0654958355,227684.054751504,26351.9550386436,212700.651313488
12,3239.14256251387,322.350341800868,2650.55837106895,58248.4754273682,16598.1472276096,7362.8401580344,4512.44376235696,15314.9821841288,1769.01900920567,2069.00455055368,10719.6472303654,4783.82502349984,3978.4309840718,5404.92610589509,6244.60514399584,57585.6326931437
13,1546.90298465981,308.328345263652,11385.5068374631,1306118.3274071,145150.974539205,90098.1907193434,17674.5204797412,35729.0801948691,10535.700429323,17338.4186230815,81516.2670854782,13611.8983231271,10179.2261379699,31151.5124651789,32636.9643341394,260487.800262498
14,1916.48586781524,235.435184292235,2260.34562126769,245183.070604406,121974.280888946,13359.3928353619,366.149183112828,15024.4370678622,633.816725481275,9152.68327491556,25982.7873176646,7544.21188611156,1733.4632118942,11038.5020611457,12929.8940810882,86908.2515025409
15,2903.76480681694,234.77194231094,3270.12305148076,114601.353267822,51464.521089352,3904.74538868628,13988.2802421785,6288.26187626186,2100.64093320376,5843.08009118631,7986.26157020134,5390.67453461975,654.679636802318,15308.327806681,7137.66208120451,71262.1752636497
16,3008.4761585623,617.791276319593,16397.9906176566,1513343.80978827,116372.351414496,8610.06155582177,3293.58076908227,38054.1201068748,9880.06969906696,59573.1499836755,63481.1992143314,81876.2202341511,11490.7422461224,33525.3267167606,63349.3796584724,218244.024508627
17,1309.66531402693,464.112845188402,12567.5217403663,686122.986411726,33089.169018655,6532.15368314875,554.825868644277,25088.5994508194,6526.29431211055,14638.520844058,39983.239629799,23811.7373205229,6021.71332180051,24704.9234627284,37917.8747836203,177293.755612627
18,959.189968850771,429.594237176855,19924.9837915778,2900967.61865025,378016.476355829,5479.00351328267,16090.0944396371,57761.6490621698,96438.164731825,5456.61617342326,36819.3460673682,11691.0937417725,14790.8752963295,24178.6072203312,31551.7631481055,21269.5597469984
19,1398.2519751073,446.536140735942,5586.6297962872,124367.324667392,25151.4606044322,1013.14022952083,3292.10374522156,25404.3119065912,5037.6053834848,6185.59617361338,11706.5554050562,12359.7981894546,2269.15496364532,8576.77742410225,13437.6409271867,112295.728604981
20,2806.77869847987,322.77683824221,4223.6453245611,275610.340099155,135005.8615773,17096.6431717913,1125.21008943449,68239.5322675676,6590.55270827131,29297.0702347108,49702.0894580637,29937.4106208506,10420.7450421339,24563.5176823864,38705.0251362845,430273.944895002
21,3046.64432901463,165.760682084412,1869.85140304319,79780.8302812322,33366.9620315295,189.664703342527,64.5096926297772,1174.4536137084,427.156157492213,212.601305164016,3012.02788841793,633.268535899677,439.479450977161,1367.85225405271,2218.13680241907,1336.87896377051
