country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1557.59450164181,480.204318172037,5158.79380964523,128150.180588787,33272.282967032,925.156163309889,2908.14113053441,9505.78859510446,750.049491629409,5937.23079671187,18720.9729660299,104667.675556018,714.629676082218,7650.45859922372,4055.59803019629,536737.392438882
2,1794.71644435504,160.701524824965,3590.16658024177,406383.380611208,234627.22228945,911.464270621318,134.622572650516,7069.95087286596,2688.82278136523,4013.21952356813,20840.5666917286,24516.4637622896,1842.51321812713,15452.3066708072,9871.6266756236,302039.716573752
3,1451.93244485123,295.522525080279,8775.05000074094,2134085.74610519,417905.923473532,12598.1803123699,3140.09429117445,24064.9315826975,11049.3421989893,18118.75649839,43169.0330867444,46346.4110570175,8014.55020384289,23354.8487244568,23189.2808478657,263588.157404998
4,1565.39399440323,379.656315701645,9553.18663992275,237528.985475885,29015.3863057144,3878.8428763879,1054.47689710289,7535.47618348392,545.046043495325,5981.11030008953,30787.6770272617,29907.0171878799,695.456372369589,5460.30917968447,5399.94574412156,299508.857248226
5,1647.81333311405,347.346872634507,12724.7551712402,1108842.44339712,143130.866511215,16399.1219202898,8033.97523524249,28467.3229959064,3108.08214806052,7983.49734272765,35615.2660903623,16076.9891666474,6865.73916265138,33687.7471466188,22248.1172401762,268627.265479531
6,1671.33051519686,151.163311974829,5080.49986295524,362218.975671251,77121.3257848918,4035.40173928687,1469.04522012801,3414.53927283053,354.498518427813,5035.89367089243,25319.6037505988,10501.3996196711,557.832865260621,9522.95404701726,12105.9876790076,142287.681006903
7,1675.39574575862,203.397806775882,7347.93693753343,1590320.66062806,290252.854562976,4319.33162533123,5794.71496977116,17491.7205730265,5441.12924146149,19470.9501362629,60885.8168951808,22214.407269944,3329.10732516993,26275.3852708939,48558.005084773,395991.396764959
8,1576.98788681208,234.133341053116,9087.2967955244,1747320.85776182,335178.193421178,19179.2604994637,31867.5614413351,17204.7844929171,18794.5163464492,17293.916445386,46563.1421569398,24340.6149188543,7947.29073266363,28711.3392967582,24251.8032293461,313241.025570592
9,249.182283266125,387.10752621692,19972.7374985531,5525325.61912355,1602972.382462,5815.34171327706,80135.3329057079,93908.8325635713,98858.3113505666,10144.8080911219,37938.6978654627,31772.8719942341,15158.4305490901,146106.976093001,82064.6782458405,53783.2801128439
10,1811.28712087586,295.134285531557,2505.53853604877,85117.6937040323,15292.9165045776,1214.34474370061,379.646536698233,2411.42931562263,940.57415170274,2652.76007365434,15724.9254429775,10134.0343020851,307.580225439271,8155.27219872928,5168.8862865746,307272.581544489
