country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,147.081584607653,593.667311482595,3645.30855657831,23801.3889202219,6979.39730248827,266.650652359624,62.8352951797115,816.366152455491,79.8036327395434,391.85628829737,1477.70873060708,1477.39810779781,206.251220796273,1054.04294849247,473.687755397456,2532.42165808315
2,1473.70388071609,183.086363929776,1758.22660320673,38807.9775920581,31044.1515958131,125.667991316129,17.9457111180371,2319.47056360054,1190.5775779426,1810.39792873688,6959.50128532344,14282.460482938,250.252089298168,3944.3470867615,2582.80510895725,230549.609596368
3,1037.33049928339,325.532543517616,6548.4366848962,433968.538736833,118852.041281171,2690.0202816314,939.946925265294,7294.85920155784,3107.36331859144,5591.14740670543,14451.2498326991,21133.9551510776,1674.71566555254,5594.54122282423,6105.86465667423,222773.555442262
4,1726.42135655734,409.125729453397,6003.15454228841,38566.5960783607,7257.17978080941,858.337012201121,306.128329665421,3234.5618846645,204.4566130393,3102.4013601154,12306.7166952333,9698.65980237927,150.679667379511,2134.79886096211,1748.83845603028,233024.424883291
5,1784.39881829964,397.637348110122,7572.8071950614,59390.989232282,20315.1785320992,1036.86323063496,3340.51729857921,5596.18101462738,520.94714110955,1842.50353859783,6892.21091335076,3378.29247588663,437.865125936156,5789.42303190093,2470.66151042792,243688.452380868
6,2030.68451251843,171.948359137833,2967.6754261534,34704.8756633466,18167.3478410744,487.585060049127,471.359737930748,664.857940658194,87.9690085671314,1693.10431213998,5639.29963262497,3594.49173816921,64.349085951118,2214.24062640389,1848.31591991918,122522.760387725
7,1525.96963283802,228.046243673819,7175.13146711752,228082.125895176,67124.8077862104,655.704406828527,857.045556072205,4355.09844969084,1052.32953560381,5675.48789542968,13513.2360821008,4110.83871830541,498.000088330531,5800.3559619224,6967.09618720585,294252.254791775
8,313.621132782635,327.109305716341,7243.00660054416,221781.007202021,93134.8151957949,2844.4048663227,7332.27518857435,2939.51732455919,3187.41583817419,3033.93898139759,7339.34937413828,5293.55371379755,1095.7135765562,4443.7236756142,2673.7694327893,95745.5298255119
9,161.674111524091,469.713453919612,14127.3157747398,505471.792549521,314687.418111087,552.317277622166,8575.64763099445,9602.63058313689,9721.7005664467,998.266686408627,3680.68930337783,3593.27776038972,1427.55320138769,13664.0980675059,7477.6784630192,26393.2440638978
10,1194.25360187539,317.461730257623,2334.40667184189,22504.1601550411,7745.18316114461,518.128707059327,38.8479048497059,478.392439165201,98.3972735690469,245.538628802247,1109.97278816346,393.863405748436,131.224043616227,1024.48524159172,811.17829099796,2005.39722985367
11,169.136941720979,516.402064544499,17565.5081691764,948286.127526788,467827.766086962,4746.06131324176,19591.3724467021,12794.789688008,3717.57065250769,6402.41298410925,12645.3482605539,5141.85232456913,9656.36528150399,39177.2486634234,3719.61041764116,41580.9013100162
12,486.209152871593,366.081282354565,2004.02519766219,12103.6422281575,3498.61773520842,331.671829689171,2683.74313095752,2303.08778391779,719.052804928578,252.676943665161,1647.9115325012,1008.26784250503,239.735014812936,833.422628617797,613.997526739097,71118.9569655965
13,159.816725094023,379.696587185545,11724.5170791976,386289.452977925,36829.6110889708,14993.9158499139,3491.68479406016,4927.07642542555,2157.90837702382,1886.72655938053,9421.74305454364,1848.37184026338,1829.50103183278,5140.81353816668,5504.7285474574,17875.5091314319
14,1126.64667791057,264.97352436303,1957.92111874767,48171.4649848959,32590.5516019446,1079.27159654103,40.4187590216421,1082.86523897937,96.419185902953,473.180608569243,1696.18191135588,442.533499591622,180.051154507963,1261.04388587015,1116.09562626171,2523.60500053349
15,1656.12680309778,277.397936993833,2311.0826184387,20264.7479198027,10162.1190740274,210.835842384076,1709.03947510795,916.364036426931,1303.09382185701,1348.29266043995,1950.82451508383,1056.46861286516,45.209059764103,3575.92874709302,1532.50441391993,179279.469038854
