country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,1442.24702592647,208.776349562434,1916.48732404112,39344.7738319038,9326.41557692715,2159.8690136511,339.022477449673,16786.5824567546,687.35397298007,11246.1559135149,29506.8795641991,93493.282542123,1334.37900406961,4925.862103382,7267.95889774493,105043.7517603
2,1843.28481151116,79.537352693253,3384.86530523788,300688.476574639,76443.7573757127,1132.25694149013,127.902716806248,10197.1525913151,1826.96326046141,6125.94575425802,21605.8215061826,19859.8888110752,1995.75124123497,12354.3704668315,10713.0738204599,60377.7585117452
3,1402.66941834263,141.402333206435,5229.25028785338,1285453.34990726,259658.032703985,12152.6606748255,2307.63106727291,28300.3048271813,8480.65493168986,26731.6739379821,57728.6482215239,42795.1461207264,7407.39211456244,18928.4593711029,22898.4670576164,194123.322260323
4,1497.57009134231,157.510898363779,5096.91465758686,125286.7875341,12630.1211544872,13416.3023651731,1954.52552539704,20327.350015909,797.58799944418,23278.1168094127,73122.6318810426,35891.5969113098,1876.78626398466,7741.33729641966,8625.79857540784,228891.776388538
5,1569.65255281523,197.856967489748,7441.62934291813,554470.669062317,52042.6310779319,17790.1680478097,3560.34308681313,39010.3043074673,2253.68410753774,15116.9964097473,52108.8296982809,18347.4195210416,6588.72625132143,30302.6245099978,16872.7693049009,234593.306485385
6,1529.38508871915,73.3588486352558,2086.13597303078,77907.2857687855,28007.1771828671,5312.70849585959,810.467739599041,6302.80536342869,235.847586487542,11688.328198506,38201.0792442709,9256.68321253687,566.004696933852,7674.52026888938,11085.9564496026,116690.16435389
7,1654.68972886858,109.996661107115,5063.93202885349,806855.10375676,116648.891407473,5013.47119942595,4971.09634342842,25001.1999204429,4052.43766724019,38170.386302241,89517.548661712,24753.0780024299,3328.44441687637,25056.4029811904,25930.2940961782,300449.450040445
8,1633.34090365639,131.780801722802,6041.16446670265,985313.871827668,131090.82619714,13849.7550736071,10378.5359372339,13446.6837854075,10736.8131232774,17860.4800291228,33645.5352917242,14047.2553359102,5282.50388130226,18717.4310206967,12574.4629044886,97661.7478626917
9,1677.64782063143,195.491831083527,9259.50611004879,1757133.64274053,404978.274557705,2188.92411406008,26082.4930924391,53355.4855234701,37901.8775982544,7074.03302592539,21070.0576773129,21046.8374170982,5399.39165716541,43509.0590184843,27879.868281224,197638.245822977
10,1669.80274676389,116.713721572018,1208.22827592527,38646.7400830681,8615.33469068581,10710.2676925577,498.13259503071,17977.707405874,1360.9529616578,14200.3296274243,66592.2400774953,14957.9598761846,2082.2854401936,19656.0678107979,17403.1011889736,233331.319848955
11,1649.66678467731,200.03607110083,9682.38353012031,1665416.06370997,551310.167636185,11958.1414018513,34472.6123252344,45922.4853041664,8660.81743719061,31153.4732891933,49328.4026310474,19044.7865696267,22815.0202367328,74591.159657685,10724.2878605168,312695.686396539
12,1568.07903657062,154.914951680235,1115.27289655362,20748.705079934,4711.29298532343,8150.99512621866,4400.84199617246,30658.7605245585,3404.81678478098,4497.98482443494,27360.4129462658,7044.62738514036,4547.59421467336,6356.2361373394,8796.83103661729,184638.591450626
13,1548.56626256112,179.377220510209,7427.2024472642,632161.582699698,58823.0137717481,53538.2604667925,9168.31070549763,26431.2043217584,5991.74983729199,14068.7355953818,65430.0324234797,9262.00964332512,5751.07668854001,18067.9008738549,16015.1452316909,276758.65751316
14,1591.45784655234,109.597015990391,2037.92447911642,192260.294460511,82893.1638120531,7540.25536992157,207.069374374309,12930.7452413153,647.601037789762,8926.23078769086,24634.1512030681,5387.90084923519,1051.75372375243,8140.5497027087,9088.61952756135,87892.9868767994
15,1662.13638975868,116.191097059342,1752.71128712544,45202.6992662786,14025.6148520225,4156.79640742545,12926.622345366,10808.821812919,3062.61654049935,10919.2305165829,16171.3993736775,7348.95866385144,700.570356968241,19273.7588577114,4937.76934514346,183902.185958866
16,1492.07632729119,371.415146950037,10444.5378555816,805249.926490226,40529.2403838396,6276.64134132434,2105.02214807331,37186.2696597444,7243.34865185185,65174.3595141489,66479.2668817039,72645.0344412207,8026.24480053517,22110.8323510664,36879.0795345759,361688.44495259
17,1442.01041894032,237.889131701299,6557.75980256244,394564.507697148,16634.2701948922,4667.71692103818,374.431758154033,21578.8763249006,4733.58828588487,13308.7910756718,37904.2455052622,20800.3714382731,4303.39226102998,17463.2888840986,31862.3321807664,197283.429684278
18,1586.10826377816,196.238865572499,8215.86156656314,763828.502321246,55911.7612912983,1368.05051570269,4004.15060459214,20333.6610980836,29425.4168380713,2143.25652118595,11721.3791860437,5681.1293562517,3751.28552827974,6735.52969426062,9694.86427606281,25699.8062465034
19,1521.44164765308,252.658028049386,6701.70712903523,122110.557935828,13405.6831124218,1259.49150062794,3754.72358149745,43980.5764405363,8158.72577489799,11261.7857711679,22864.5755097978,18397.3737258748,2851.91871775664,10190.9160623481,18516.2388259555,248287.029621879
20,1693.04906734326,127.342534868126,2587.41618172718,135633.698686096,64980.228402595,12191.4378489498,775.231913141376,50691.8691211789,4591.36900976768,22010.3686893248,37365.57484972,22186.7674116156,7355.6681444921,17272.6901153705,27740.4042389683,331398.892580161
