country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3318.21497226142,178471.034341819,163373.871892861,319219.111523064,6929.58967180872,1099.62916223844,271.741569040945,3530.50970072953,345.123935740066,1665.62267624126,8385.87567184837,8384.11291291934,910.283633022368,5177.93413170322,2767.51179814986,12106.9114660899
2,2121.010982408,67909.4729008911,92244.0508259726,470886.289194852,36416.9722535065,613.162400831525,93.1673777455337,3202.04653579817,950.760077366265,1354.15085584266,8721.24044375897,2905.99136581802,1329.11257639618,8845.38983009055,5302.53380103474,9809.2228426254
3,1385.52067390772,671478.501007895,552527.788508678,3365484.02875843,407743.046150388,12399.8274654291,2941.33799371395,22378.8379804692,10722.6499840454,15819.5948296076,47504.5333517411,38008.8066113185,8791.25563277713,27605.7952195841,31358.36688244,55911.6845653318
4,1773.96625396507,263026.847461426,267234.240964268,569092.15487188,9181.65284349503,4959.6688048445,1180.78312868867,4635.10250224245,524.361344525205,3423.87434756046,18149.5743777237,10808.6099795038,963.176771083746,4070.57636228252,5148.55966043403,17193.4610978911
5,369.209185063246,826390.442731744,800960.927881558,2110233.35375678,77922.8984462594,18028.0944832,4780.71356090752,25803.826061154,3051.21763081352,7137.6737943552,35191.6405538165,13501.6518705254,7928.52606856664,33552.1172631484,27048.4846795444,58487.9840966657
6,1652.92238800627,78394.1973858128,109506.516581409,348989.494183576,14159.1663257218,2166.09242249836,542.279993336281,1639.58218015416,160.666936871645,1935.41185838063,11263.4717997357,3165.18904798608,322.063325243656,4357.23669670484,6353.2320096288,9322.9561246656
7,1696.75199445261,196664.697870705,255414.342289103,1294859.16746158,64705.0817206165,2128.84055774193,2878.98578746419,6915.66517459469,2505.26813799762,7384.21409074036,24622.3484792415,7537.06654765273,1702.15301141551,11175.1884151294,24440.2124498004,26504.6564498768
8,417.820603684694,507733.424885084,582965.134935199,2797653.19335922,211700.851543649,19699.5216822236,17467.2367914588,14514.1433368791,15853.7451391764,14452.3149041505,38841.4791592964,14856.8484266291,8428.41604200279,25946.6361327058,24215.0186883347,57827.8127063628
9,187.132685492884,946512.595281499,1046032.20524872,6122190.40119345,860731.759532658,3819.62698050119,53090.1417326353,62694.3316180939,66404.6843639752,6699.14542976112,28393.892727333,23443.2526180618,10374.200395703,105347.404636254,67822.7261759948,125405.204318804
10,2029.11887025159,95310.4907100126,81404.562363469,171809.113766766,3663.92306229823,1160.9194702593,90.528314547683,1114.81073117148,229.297805551039,562.671294718827,3189.38750961968,1131.72416493992,309.854326131536,2590.7468256948,2528.46770722748,5846.00075362829
