country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2557.55689247711,174380.804997416,153175.521475488,270788.465575471,6552.7645833704,906.883332921132,2866.66899610685,9345.26469993553,752.315403777539,5949.36409286021,19042.3594796646,103568.412688094,731.979940984858,7860.80623926352,4286.18039724325,546884.750658585
2,1875.8359795932,50723.6253100219,54212.7052870492,300561.361015152,23387.9987025658,400.838950721802,60.9424730143037,3661.12477313751,1518.45783384257,2261.29790517663,11094.5906413724,14777.7447359602,842.010260594431,7897.2641338451,5148.85643060635,210002.424005792
3,1528.50529141468,916301.795280807,592494.786409767,3331111.6504497,381745.420108777,12222.9252783179,3153.51228135543,24125.547091758,11228.8440581913,17701.0900002948,47879.8775112716,46682.985985401,8326.1275185422,25828.3274301235,27503.0158325451,279729.110538857
4,1873.88224012311,349891.203290167,272242.05163299,430002.134763264,4858.8941266424,3620.58655405106,1042.87606456968,7497.82118580609,549.25918805696,6099.36613127137,32267.4678341314,28933.4901541468,686.143326534197,5616.60165212802,6018.15745000312,336096.033603929
5,1524.39100903674,1201649.65837013,914114.256730522,3298784.3692008,147247.482036436,28197.0295118305,9798.31797086501,42909.8198205178,4990.70440703127,12286.5643349829,52795.6868774595,20187.3330260472,11876.5841989907,52362.451380019,36079.0692243566,276601.577147659
6,1676.31751478971,57777.8309290664,59652.7616784415,233471.498668904,10080.1060696098,1513.09628272996,839.66071767926,1549.43985646185,173.592983701523,2808.00987282174,13312.9526926431,6941.80727611186,211.780878474118,4806.95110930969,5668.59362557283,142790.804789421
7,1710.9800707498,140788.55995816,141056.776937075,802067.493946439,47002.0559791938,1304.26401742309,1742.39577253335,7386.8769652608,1872.39430411202,8494.89048254375,26925.1350748479,11725.1938467563,1011.17995005537,10625.6562714905,17503.0496077403,342873.852648886
8,1663.42920268259,380719.953249343,332205.369345517,2146191.9668278,185617.280472007,14737.372936866,27292.4367960156,13744.1383327041,15063.7363871864,13925.3473361128,36503.250824027,20213.45483095,6063.58929964577,22436.0564322663,17699.4348291668,325781.129433596
9,1632.78129926012,348711.143957419,315860.632815094,2281740.62246163,336074.379548658,1436.2204564421,43930.7422830394,41500.652064338,37184.8389844576,3657.14487864704,14731.8251312324,19995.0681920099,3857.61645453557,42109.3085448321,27811.2306110042,562609.8271042
10,2029.11887025159,95310.4907100126,81404.562363469,171809.113766766,3663.92306229823,1160.9194702593,90.528314547683,1114.81073117148,229.297805551039,562.671294718827,3189.38750961968,1131.72416493992,309.854326131536,2590.7468256948,2528.46770722748,5846.00075362829
11,1667.59275042246,597331.844220378,553229.984643859,3325222.53659681,527781.822919972,9537.2545651294,88927.7464142597,32426.9274628793,10540.076726076,17383.0073512125,40476.733716179,20106.7251974083,20479.5310729734,98158.4741210672,11771.9871368894,703746.614758396
12,2290.83882070771,125420.070929699,74695.8852810164,150376.32187515,3076.49161689818,1309.48239879851,9215.05784793971,7974.59725850211,2686.01021551339,932.619742679207,6212.23299475017,3204.32343766116,1006.76582881498,3259.27101459881,3074.69790217843,255863.279342502
13,1974.08777490609,849338.304953318,602641.715780954,2595227.48737786,105261.136121095,59664.9196038059,16823.792317922,23453.5090071538,10267.8372223611,8895.43007490778,51232.1603447812,11208.561880548,7597.50878652508,24566.0434142212,29107.2973262352,373269.09740799
14,1665.18746772305,72334.7533829833,64107.8738214791,482802.900261739,34227.8485335298,3628.33765775825,145.521521445212,3898.68964091736,347.142440013896,1639.74560365231,7644.30088316938,1994.39647310949,651.570934559499,5038.53694292508,5579.91778811862,7491.77648665935
15,1933.01568188136,85551.6919323995,64122.9444571476,181425.32495155,6419.54572862987,668.155914328292,4519.67965066453,1893.12100575074,2302.69342722806,2280.8050530627,3839.67598958813,2294.67855050509,152.602747133546,6606.7018632205,6040.00530236339,255815.247159378
16,1687.78887442103,1266961.52668316,756320.627256795,3130025.37304646,66451.217274922,6371.86943653487,2853.53275797335,30393.0503902551,11198.253006165,37753.5940585956,51793.6827090172,95392.9667348906,9470.62930374341,31979.6762054418,64553.6040347883,487633.603633315
17,1633.76326473905,1349491.19032502,733446.778854121,2722835.52845597,42295.0929210396,8685.95240070891,1114.96735737831,27846.2047757158,12012.2338545418,12380.1415103144,45397.5399416134,29449.4223817812,9349.46844009275,49526.6139327204,67746.557258702,184722.018159859
18,1876.33484852781,1193089.52692382,791695.961943146,1658985.1513349,24096.8653749535,1670.60090509354,5144.30133807479,18047.5269895788,30779.3827922971,1637.25431793448,13357.7463008382,4246.16795701691,4749.01888196755,8317.02900453673,12933.6978552891,53328.1735499737
19,1790.20245194973,318012.832700288,207047.526144898,542877.27810204,7856.0926939609,509.526677897922,6519.63693106408,17856.4633355937,7636.52583837314,2912.03644857056,8409.5556021105,11613.4968968558,1481.08067695787,9837.47407027523,14843.5842815789,253447.756092254
20,2553.70680327326,105468.253299693,103642.868008172,441815.002101488,37085.3967186902,2304.81372277374,238.163747627139,14295.6957488602,2821.76584741421,4238.74873872623,7839.18595312871,5000.66597117726,1805.22335876541,8785.92286851572,8777.32334383333,387835.109157318
21,3300.58008720672,52073.8580472166,56631.8140149794,140967.320263644,10711.6170920534,155.073374676806,53.6871772309918,3066.76049340806,1388.1786295186,1034.84483342967,9549.64681477313,2475.972121673,366.046748681636,2347.6358712407,4495.90575588574,282986.238494996
22,1575.23999535474,1081170.33157036,624241.085881729,5041420.89093576,519160.575150126,51544.734854082,2531.90838488634,49513.1028990493,8633.97333992083,25994.0172743772,70833.1135396249,50233.8866546979,8187.69368564491,35261.8633939248,101333.807305526,516642.687446795
23,1810.50768344002,136143.761055417,108514.205961382,397528.349149892,19475.9956843384,2029.69108789729,7970.71771020389,2496.75264309207,463.892124587171,1048.13733161108,12319.9866294594,16617.6184503334,473.972850617503,4187.48493816172,6195.27743297532,131555.132616679
24,1848.52017686018,112419.815767765,116207.811187514,496133.207906068,34822.6518288842,3637.49868254236,236.735971821098,17977.5991629113,1128.13112971424,4701.48950693777,27815.6198931795,9169.74424158167,612.916503586269,14822.044188352,9046.09736791037,537105.420517763
25,1846.60315562161,1240325.90449894,823465.590316622,2189912.40745633,64923.0773060167,2631.54775812615,15635.316031923,36871.7524424076,2992.48370815687,10957.3209843498,24598.0941993609,15450.0676558131,3486.02717423802,42441.1208331779,25049.28312616,423840.478053079
