country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2157.98692832688,492.592674532098,1923.88235980643,5216.47404907589,2195.45825357419,548.330813205209,84.0752228615374,7160.19261461797,324.33925796991,4508.74971889619,9102.35258651052,64364.2643072051,335.390329226138,1503.7505886839,2697.54521497778,28335.7778639596
2,1414.82053757921,177.624524006671,867.85100333267,12990.5071805733,8418.12043697785,557.855545479965,48.6708016061465,6646.44813465858,914.733601881045,4371.78044090009,14150.0174867623,14575.1872515281,851.854745757033,5190.32572475162,6450.52623158228,53831.6218543071
3,1084.0320898857,5499.93840334301,16791.8666210193,240347.592473274,311179.248909002,5713.59621057845,910.125500817573,16907.7787636092,3381.22449200764,17934.1990745408,37147.6323657329,26568.1722866858,3196.70921373262,7111.3321193689,11111.5318721779,180974.122594827
4,1166.37177583347,717.888129771438,2736.70294821906,9545.41829818604,2520.83434213579,3912.46322348934,538.536251519714,7038.84277604492,322.963413295239,8800.92374404823,23618.4873873429,11894.5904936218,529.927773932985,2877.04499025427,2869.55891669196,74009.4108264275
5,1229.9675237831,837.30701869657,2902.06546438491,13154.0341050002,6981.61975695021,1481.98276419773,263.309013159568,5937.45667800254,425.599176348466,2808.15066537321,5796.77384520587,2612.28807365851,518.262460529775,5719.78487714521,1862.25468827128,28125.0964096276
6,1174.68062078848,160.939710911055,772.118292060189,4718.39310264664,2868.09471157958,2708.59829012461,375.404055628979,3501.76533471549,124.275237141283,6968.84526584137,21181.5195666008,6024.40714786408,274.129327865239,4051.03579841408,5883.13504081103,68946.9941896618
7,1239.63856013386,287.063115291977,1279.48021846522,17273.8978945908,9239.71576940044,429.679648153775,379.633253696411,3727.42150855476,696.814005671512,6585.17780938008,10160.3539446105,3260.6356341514,270.265448465346,4682.56753574486,2456.83104876433,36087.3366034053
8,1289.77723761698,1066.67648142149,4607.72031846172,52348.0711285985,38739.8412029449,1498.8066446369,974.564005142183,2841.66487677212,2291.07439773488,4892.52268069976,5838.33955116763,4862.45369668667,532.398027487485,4434.74923583977,1720.43398037991,22680.9970846989
9,1279.4525176345,1804.77874816067,7778.02514174707,109588.246427842,140470.977806622,281.347549729483,2900.87037903273,15611.1723579719,8645.51046097383,2049.44275396226,3860.24120645548,8150.37929745388,646.183244231326,4378.10898422602,3374.83085857304,52309.5766913094
10,1263.41281293513,279.585494965853,1185.69749883174,6352.55112536573,2379.14624851047,2677.34990947038,123.769980895329,5026.48386144878,533.071511393413,4564.9542158626,19027.5519136685,5799.23615554367,519.546502816745,7135.31236972465,5216.86199632891,59294.0896121457
11,1221.56774934974,1405.40547882094,6312.89797714424,79136.2248409492,114546.087313285,1232.7648424334,3098.79730294217,8174.14105492691,1718.75119883316,7106.72282591185,6924.96789143853,5468.27550857203,2188.00533842941,8044.79103989769,1645.74439892981,54216.5992447594
12,1242.30483730102,433.514247590258,1265.33253700966,3400.42670221087,1309.09048417786,1630.61548251726,884.989131815928,8150.62863067346,1267.2836635473,1270.53232898215,6023.04114002128,2753.08689844166,913.805697732953,1857.75320596139,2089.53437438775,37131.7411264117
13,1196.24642396905,5374.12888953731,17370.0764671511,95515.7211676171,52645.6921798858,29248.4580657946,4310.38558532061,16947.704055176,2900.89514561489,9680.06205159706,44909.1007611644,6066.58572099286,2917.09156331821,9999.07870109348,8261.23996109484,224109.226565755
