country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3336.50926307276,94391.9915738287,310344.975817072,290572.51079712,10264.8925703878,2780.16077063115,497.736931094228,21119.9680662028,1021.08865096954,13449.0495563294,36024.0617181637,133791.971078892,1872.4364594302,8497.31389227925,9913.8996645573,116956.873004045
2,2117.02482365692,99140.7334007257,403270.097784837,1375974.33554861,65004.255300355,3403.0304177334,377.786109154869,25262.6983880358,4080.19524477534,15494.3578503594,68959.9092162505,19861.4066104111,6012.62828169491,33077.3731753672,31643.0869993259,230788.344364188
3,1856.29460787488,261862.889224297,759824.792790807,3013235.05264299,403164.243925749,14271.3817281272,3107.03847253155,30568.182784446,11627.8815717954,25815.9447754274,67496.4424717404,52789.6309051516,9640.89548170958,29249.1015968257,37267.3213797956,174974.320048206
4,2100.09286271964,353878.298763486,810290.462458655,403018.693595139,14655.133984198,15965.9921000931,2458.64522758287,23566.6197196322,1014.4314971815,26476.3900303463,86598.8046278603,43201.7129921231,2319.34054829022,9724.61168087512,11542.5968508635,287078.070725471
5,2044.71892781666,338736.116802447,917463.116594832,835471.502161759,33324.101134665,13959.6184860584,2938.22488424347,29956.725375743,1929.22938618948,11406.5939915099,41180.691006685,14825.5252294918,5372.47120820517,25639.5542230896,16654.5668404603,207340.924308407
6,2001.57317657691,117910.425978376,403881.322056831,555838.38225037,25582.6556152481,6993.84893435349,1313.97523565144,7252.96588123761,385.663812179237,12171.9203353875,46363.1658796646,11770.5611070895,855.730889863163,11696.0307108017,17339.3978755186,121313.452506903
7,2060.35612303301,175362.531982624,706651.366952343,2888655.47520857,167211.265452911,6294.19987599415,7214.69696895603,27596.4871716175,6213.73127345752,38480.6104389298,99770.651934426,28721.5267903217,4564.49575942797,33624.8881549027,53293.1577335662,269946.552936028
8,2093.81901725448,189729.068941017,715728.015430104,1475398.62560305,87316.8884046287,15403.3117646017,11324.91312116,15811.2199182476,11363.1531341368,21319.2568274789,44551.2706339502,16947.8446200196,5907.55940450059,21197.4099899425,17381.6793441232,190873.992034235
9,2009.9623431922,267689.474624885,1120722.10439259,4214341.47915806,548450.375549839,3064.54687907439,37792.7371057465,68408.7734040575,51207.6393866151,8982.70004016597,31000.9977363421,27196.739870134,7802.99329482522,68029.1928414494,50334.3438749791,334853.605556992
10,3325.39289557255,68415.2188850391,210287.219078896,221939.841419544,7542.71194165828,11639.3387506865,563.214515731056,19089.9344713056,1528.43637249278,14888.693842697,70555.3386846853,16133.7995629137,2319.09381258477,21776.7111606558,19721.5140123666,247269.025086724
11,1929.31783911321,270427.804765896,1219184.30237441,4508125.94616643,783340.667602792,13253.2230903534,44613.4123373731,45055.6514091889,10869.7674211138,27076.4609008446,54419.1876075172,22000.8620276651,28324.3563656142,121652.884367237,16259.1610527484,247222.70553149
