country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3018.98281513492,96365.8871678843,333246.478184004,318722.148824002,11685.4431151382,1070.15854931571,264.261390500909,3433.32603099512,335.623774734569,1632.04298047491,9007.74340606316,9005.84992698704,897.96791288366,5261.36448356611,3057.50721376683,18224.0473094992
2,2119.49547194133,90452.8932053616,374178.337208429,1261039.82737302,58966.2085160033,1322.92961140515,200.937989619797,6905.98800934015,2050.54411940771,2928.74392584091,19783.3770133837,6591.98919676118,2884.18726594633,19572.2010460016,12229.2188928011,25187.438691224
3,1812.31738541585,203891.042034372,837153.77725848,3279077.88093584,379386.010480457,13865.4260600112,3291.11060853742,25040.0434229813,11997.7463282165,17776.249422991,59296.4711558933,47443.6426563775,9949.01276559092,32568.8985613699,41966.8952584623,77839.1927940747
4,2092.57604135144,260856.393871486,749649.37688299,473568.660142376,13052.2911983502,3960.59144990023,950.60019389951,3731.53141362125,422.141868111405,2773.04909860812,17480.3202403377,10410.0492861438,792.527565409222,3526.91336135109,5463.79787065114,38365.4964361635
5,2021.6946233895,223274.101842786,1052427.94124008,849423.520426825,24542.4866122045,7705.96500880611,2017.37322015435,10888.7401451869,1287.55773774021,3069.08219617736,16921.1572014355,6491.98418103985,3421.59866201743,14800.267685952,14070.2521862696,65924.5403212414
6,2400.95770691064,50814.554449846,287068.33185856,530536.413845572,26685.8347892098,3479.78274082966,868.94967938343,2627.26714478705,257.452764250436,3134.12522637557,20660.6268707891,5805.91766541139,526.282900239104,7378.22286705707,12314.4247453683,19936.342443353
7,1986.39452127077,124710.364452653,695445.463217678,3386761.4209229,195201.576713976,6042.58835465849,8177.49730630284,19643.3179985763,7115.98630991741,21002.7317975354,72277.2883615876,22124.5643048406,4852.87175862348,32123.5791942028,73542.648855161,59862.1670564193
8,1925.06920167639,197715.484768542,1109950.06898705,4420540.46490073,548550.999282355,35231.6934399843,31208.1995274367,25931.9940889924,28325.4213283742,25923.850648964,74111.2442781427,28347.5178283914,15175.055896769,47514.9239877289,48634.3857149859,98314.7531740926
9,1892.40333131028,266039.560299584,1472815.39954785,7550191.7463545,1262651.16267228,5039.41137603473,70442.2043761992,83185.4422862879,88108.4923649526,8872.58630782187,39851.4332172236,32903.1043779303,13813.4762236299,143614.802505123,100979.663551601,152411.381550674
10,3270.35219455514,58414.2710684588,184886.717958966,200352.631092495,6816.38007558916,1250.96762734901,98.2123504899768,1209.43577494896,248.760584551693,610.303022433258,3744.56945223518,1328.72525637241,338.834050481122,2899.95316567085,3084.58583194457,9266.36054977837
11,2046.48801579662,166702.850342478,986746.84917313,3027689.75925351,473610.326091315,8898.18880758714,32411.0604568262,24552.333186658,7145.97429800702,11946.1993174587,33682.7022809161,12263.9846025053,20143.0021012946,95161.5912821982,12067.1024250244,97212.9997319762
12,2305.66384846123,73544.0570696105,145218.959593873,118292.29739229,4784.12733819238,1025.38518346393,958.813906423109,2264.78342660339,685.381026555447,212.932561744821,2680.91020521822,828.522212361312,840.695035075412,1612.24842801083,2730.76755949417,8985.36169260843
13,1993.5213631593,305388.806321585,1213023.48497329,2972060.57263337,217079.767093031,76988.6200739146,18496.8293640361,26322.0339215497,11586.2572186105,9688.5672285706,63976.861388977,11445.6527466758,10416.8164700623,31054.0187865738,45453.8867577881,79629.1360040794
14,2069.54661755781,113822.684580726,362283.970171596,2255702.95165765,239413.074679713,14502.1714615332,589.98300611593,15806.3261806087,1407.40790967421,6599.82702631956,33292.1232400298,8685.90786613738,2650.19872742245,21149.0331747961,25435.1245422388,26753.7828603059
15,2094.3995175431,160169.618203025,408749.856883164,407289.762256401,19363.1587160742,1182.69735167477,6323.21566613602,1847.31146358472,1410.92751090696,1175.78960104779,2628.5809762105,1663.72987875245,283.850734704022,4289.21885593816,9648.41048673587,18177.4711355342
16,1863.65810799297,661730.653421742,2087817.69206356,4506855.87733007,115528.714690631,9844.40956196904,4374.254566422,38027.5378372639,14249.4471355816,47822.6603215816,73677.1820778184,87630.0446445735,15074.0075095083,47448.3782133642,109360.625976307,152078.816012069
17,2873.55901869267,313717.042917265,879641.916602245,317160.880590403,7920.30676478122,781.469303454651,87.6774644893291,2492.06334426857,1050.69448295528,1089.73483490863,6197.21779873116,3982.26982992846,951.632625951034,5648.53452648435,11206.8043750831,50901.1601004761
18,2082.78676812443,325753.509937253,824341.510463142,692251.35594412,40662.137708848,679.732091752089,2122.45587806593,7446.11896275899,12699.0776079227,671.224501289649,5907.4575953973,1877.86596511705,1965.86462588815,3540.18035566931,6055.12627324053,44576.8894992297
19,3075.75963300121,189352.314503938,805551.382639538,237370.151331035,4835.43244799354,186.771873668172,845.337300790176,3705.19956605072,1667.4163661697,651.169980550209,2646.65458037657,2349.6993883839,565.716374126005,3443.62364538123,7461.20828883317,43477.0139547855
20,2955.3626974892,58457.1588777745,241708.119606513,612039.874367775,53735.4810899717,3075.86271463682,319.778495268256,7472.36196827321,1907.27198213396,2094.28525007158,6016.64317864136,4264.45421268763,2531.97307334712,6913.5599820167,13179.6610222488,18265.9988725103
21,3650,19807.5479962812,84120.0319622741,162491.815687115,12167.0037325093,109.562501854463,38.2057890270862,695.568761193103,252.982728168126,125.039583361366,2167.59830139647,455.730110608294,264.438007761835,892.792305408456,1716.13390631057,2971.36168148102
22,1758.65649324317,343593.944694112,1034328.12988486,6485178.13183951,983867.14410231,69879.804376851,3451.06978814241,58944.7125401513,10483.00053805,30411.669240895,91088.9152813207,41967.5355316886,11500.5764396352,47364.4882619042,152586.159420128,100490.832536683
23,2244.79165312768,90754.4110959442,301344.799746565,1001758.66057787,92047.3355594359,4237.16352668893,4800.75618330183,3796.21621497455,704.911849735312,1326.68789330878,19959.3718641947,14440.9047156295,1027.00434245488,7010.78190143647,12551.5764666856,14680.7526445281
24,2033.70707623147,95263.4491543959,741810.737944765,1603224.83567088,100710.402663614,12266.4241984533,163.54439458099,27427.5640861451,1477.7954360583,5860.90145574066,39372.557231498,9317.85501480153,2173.8602814395,41430.5584076696,24798.8754480221,50706.7041075565
25,2089.67278824852,266942.828242075,794179.423961228,1282076.52623216,48287.859322655,1542.21521743591,4036.17936116873,17586.7276131529,1368.67678338344,4789.9200393858,14162.8764707983,5736.52313416857,2134.35631512598,25457.9939852951,17576.8199717975,42137.072756113
26,3543.16014312562,104643.903329811,458442.409624526,148740.980198932,4834.37796502958,423.900276832419,91.3581687824765,888.978818081565,562.863610614415,401.673806002778,4572.0106224489,1596.81839851387,347.887703182747,2628.45480126185,4157.74508211699,24608.8959138377
27,1586.72915502046,487680.328983796,1796795.12695628,4255361.21983224,394258.400667016,10179.6450932354,4359.96367138585,37903.300085788,14202.8935227898,48353.1106875371,64595.619548419,76828.6308628519,14863.258283608,44317.7717022221,92122.2548169613,138382.926942035
28,2112.26887330901,202635.451126576,1013884.93612863,2112039.85434799,117331.324368591,2992.06963517781,46566.4272037228,24418.585242219,8294.89394004086,4791.12754272206,17669.3754062531,11539.0998478603,9503.04730298632,33604.9733801328,69708.8429305376,70535.5388343755
29,2062.77733711201,287070.389158501,1494687.1153922,3993380.0628446,519861.921312334,55723.4262207315,26165.963930107,75584.5219972913,19396.5537644875,12545.1960588733,75869.8244016512,23765.8138115345,24291.7460553254,54263.1736692765,56601.6214365151,96738.5642423835
30,3650,102219.296509627,532802.66137441,1335492.69486157,169895.060554317,9084.29745265426,1498.50255843401,10565.3743958241,649.382743808608,6556.06397885424,32690.4797600677,9376.91600083373,2401.93317347716,22562.9527129332,23763.1093793438,39644.5401348947
31,2139.78429529967,121063.25542637,127834.897704382,230457.610111154,13310.3752434892,3642.05180630847,774.235057898285,1313.27565701812,487.153996731605,736.761604088758,2795.53810766438,1296.09484195098,500.173244521912,1693.09501296704,4780.97252311727,7288.73996120431
32,2203.51281242918,101688.245005154,262769.248179844,133857.936722534,7266.41722224992,248.296859502463,568.079816080942,1461.41013349357,224.301883480114,564.047055896971,1175.00462606505,1207.82596689425,758.040365596714,2183.19168276767,4390.06728777271,13179.0448516068
33,2570.77674591646,121499.647160069,107272.295552858,403975.814736401,58001.136517928,1294.97563962325,360.738887399773,2060.44921419254,398.759896606046,658.279582579753,6851.71381929091,1523.07610343191,742.629461496048,3585.12948012434,4348.6345260045,6567.14170658503
34,1846.7573698877,290051.358156361,1401669.87990305,2602653.70918256,130492.256336058,10007.2209014136,24369.1470619197,29448.5444600139,14624.6153592441,13363.3010358155,50383.755158121,24810.7392821076,13001.1293338649,90836.6586347144,44794.3423847944,89615.2698647799
35,2041.37574863932,127841.61410079,497561.44659343,722747.66703539,55312.3882646482,3613.13510335224,945.370706585006,4821.11299347773,636.582658466059,2409.09538499283,21339.2848879097,4470.94890281134,1685.34855875965,8238.88675154439,9408.107882718,27794.0419786507
36,2369.96529916142,255412.554687817,152578.110816232,487191.7713125,58352.9957946772,4665.524837161,4004.43507022576,2147.73178324088,651.832257370135,690.050855365899,5964.39652961423,1234.84185580773,657.571697566642,4181.21963904971,3593.64692819259,9761.47385982761
37,3218.32521330182,231218.716046618,1205226.30433313,876413.916181616,45141.5576504722,2160.15156965667,3313.79798073788,4616.71803851692,1187.41678921761,4427.43565703829,20617.0214882001,8452.00724016016,6244.07469876994,19562.3594480897,11690.6412837489,79203.7989400901
38,1974.64034067422,267751.031688555,1061956.98189745,1601476.79748218,92917.9663912391,3826.70076215324,1247.16181115603,9509.64880144435,31430.5753867627,3863.83286168291,22942.8549579613,46811.4649040425,4305.02920288351,13331.5019778829,39230.6857596496,69879.3965787144
39,1914.72211433079,216326.78526389,800326.964901915,2345813.4644181,175027.429434763,4550.74990517983,11121.9713117561,13848.4248909206,9353.19590328882,5143.99950528149,24383.5089973351,14364.6322904638,23499.62630773,37880.2665297461,16640.4221194911,56000.2698090828
40,1659.70272993014,158709.557796921,709362.412637797,1119221.99750448,63517.0110217072,4172.14275565775,1390.99883841075,7562.25019793512,1846.49214255812,5743.77946120867,14123.0416310134,5506.55142438039,1929.05238229961,24006.9749435002,23183.7696091106,40175.4598138056
41,1710.17979042757,307221.328628369,1629180.88452671,5181782.30610649,451351.861297355,22408.5497368433,175.434846294261,30320.9282384424,4744.03413153698,29158.2766236844,88400.9334531303,52270.9319044677,7120.89757792823,170197.751069442,89274.4235715206,135300.062849374
42,2390.50641971279,139950.982449418,528361.250529842,992070.283602417,84542.8564426624,4017.01105450118,693.928578856556,6409.14973903554,549.808221558956,6602.51360398516,11200.2511844768,4014.75532240091,694.674701139208,4928.20420636881,23550.0724488396,28657.6799466159
43,2215.66956967144,132601.955879182,726949.672436227,1374874.02444548,133183.666944078,11164.1861615589,8808.75874917704,14622.5000707027,3525.08013454431,2866.91848787424,51883.8503310008,13567.527346844,4027.47659332863,12546.2090573987,26146.6811146384,48214.2414177058
44,3224.53190675809,136938.715838438,449797.80558209,936239.839103479,26199.1645400629,2889.37456530227,732.532312461766,5969.43737800797,1298.64649542393,815.502521917354,6328.26506772264,1521.60858541083,461.29566975874,7805.71626722106,7170.51860453665,12967.6053547471
45,2782.2092715889,111566.808302559,272426.296532494,384253.021273813,30503.7824101877,538.306372273378,1307.24322087528,3362.94026974495,516.15478724764,1260.89439354707,3164.52555998792,3252.92008173114,1757.65193797467,5341.19036741765,12732.7788114171,18909.6744825304
46,2232.1263218726,127410.382211332,117904.756606006,254293.070917478,27236.8460001006,659.367686090351,299.064590360416,2157.84119156294,1222.95886038997,649.887743718361,2277.51643754264,1844.83986043898,512.736723576452,2509.76833172031,5578.68006303493,5890.89595126328
47,3650,8157.70800763097,33222.4468777259,139073.324241996,15934.0028952594,546.128972130417,228.253117688615,676.061866230922,86.4918371229854,253.991547074148,921.340450622607,414.929857007966,137.977403784621,517.698145253832,732.549295565648,1043.28735380011
48,2051.67364318894,370559.034999676,873729.742579451,1171710.53805024,30205.1139063578,3278.54995147677,777.027461239467,10095.2644062559,986.859598064183,4830.13075299863,20921.1907084041,20916.7929547085,2563.9512287437,13734.755454529,7048.06549988675,41530.2039367386
49,2484.65713167569,184236.424770936,452483.718336984,446871.863039617,42059.9292193245,2127.57179604968,574.147012117348,3279.38240447357,634.660723269528,1058.37708362836,9350.42810707288,2078.51845280582,1165.20076772298,5265.5359152959,5693.35150671461,18692.7743413112
50,1667.52065836889,277290.977380725,1165225.07328232,3194582.24899238,385234.37434809,16936.8677758537,6819.82399002261,77258.3167956138,8348.33651176858,18041.6059595355,50751.6414364368,19418.4902304928,8838.86178155968,71938.5602682851,46262.5294172767,90140.9182385745
51,3079.06441833784,28206.7876152519,120719.58633156,170421.127482851,15920.1130554556,127.1549401019,166.83236616761,1249.66379542394,233.88892814117,595.732910483142,1987.60344950769,1029.86770268311,386.442350615474,3170.98714102573,9894.24314097422,7725.5934926831
52,2267.33988274336,158463.477249603,116490.425094634,282202.373273222,29175.0988542744,289.369266540348,80.0761872558308,1290.52760616452,1228.54307077807,292.357683706289,2221.08935243746,3013.32287690832,528.873818468881,1707.11370939593,9345.75203322177,5541.90981986276
53,2262.84294461064,417164.862040963,744844.096457123,472764.55324888,15571.2391076757,213.900226452698,9335.03782244207,3919.8770786695,4871.83461509075,342.257883846202,4086.60280253198,2217.11851723725,1041.72104002711,3715.10616934385,4904.1499593227,34301.3271860416
54,1701.01791588708,291844.373305784,1210920.59602138,3016324.00415612,185166.420901343,72440.7815720196,17610.3683038124,25060.5497158993,11030.9855200996,9184.90682074653,63243.619621475,11314.4735911502,9955.69656456184,30120.0400459897,45431.5449626712,83441.3170630278
55,1643.33476654769,226622.754397381,639337.331472092,1000573.85868774,58408.6590279466,3283.0179410844,10886.0066545016,7514.59225966789,3550.25225876041,5039.33779063209,22953.4753274151,8617.23939339891,1684.50185294317,11396.3292585356,26183.9225988243,33106.1012765603
56,2104.0187481005,123300.178474796,698225.348093286,3096873.65698691,278863.430646272,6589.65576240029,9262.95548293747,30202.8164922301,4630.98400733051,15628.9724111574,74372.9587481863,22181.033416279,3860.55091435439,54610.0023754639,31096.1957618464,61189.1526053846
