country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3279.47087447281,94929.1937053824,313338.293564418,298265.887996262,10558.778827817,993.345565856239,2975.30668671776,9935.21475738702,783.150996635969,6112.69422987521,21609.6704547801,109017.55486553,827.602366096773,8743.38139014042,5075.56937439409,552564.243635254
2,2119.49547194133,90452.8932053616,374178.337208429,1261039.82737302,58966.2085160033,1322.92961140515,200.937989619797,6905.98800934015,2050.54411940771,2928.74392584091,19783.3770133837,6591.98919676118,2884.18726594633,19572.2010460016,12229.2188928011,25187.438691224
3,1856.19580671878,261779.610876283,760565.062080852,3012361.93667308,403069.831872775,11442.542897014,2952.66512113421,22522.4046564693,10764.2321470872,16520.0554145752,50227.7318001786,41735.4985634467,8169.5089004308,26957.9737849109,32642.2444569516,246156.127846955
4,2105.33410344142,308499.627829892,738209.776387262,371967.414398142,12714.4704114649,3092.33235591528,850.729125647944,5321.80395603261,455.153011786832,4845.04594478284,20991.3947105333,12700.7638038299,607.094446000383,4078.68490603615,4543.69457047583,284722.11371971
5,2045.01836287645,338661.294467299,914535.006365082,835687.2025555,33335.8133732914,6636.76743855395,4304.49947548356,12862.6373727064,1421.9644624699,3869.41548939679,17548.9764105679,7016.6462705434,2935.60624908232,15774.9514382801,11574.3001876732,256581.317807971
6,2007.03880647453,105820.844632409,364824.98689523,509086.678532674,23435.6735527088,3020.11957066324,1065.84866325538,2560.0958908127,268.169237461656,3747.28041796569,19970.6063535895,7564.87305044113,450.340586066423,7424.60475537228,10221.0239646228,119800.997262457
7,2059.91114003115,174310.247002949,702766.177044292,2875057.67037179,166560.977764402,3906.20474862885,5266.93114965507,15035.2357092281,4894.23615673798,17019.7272912307,52890.5833387946,16542.2135418526,3119.7835528229,23261.5158306641,46459.629729005,337657.227694145
8,2092.88020849973,189493.341609621,723219.013453312,1474531.75951786,87357.2570724454,9054.45986060821,17554.6369144984,8846.95520582534,10089.8165186361,9275.85285700431,24083.9773739889,11576.2972288428,3911.89931730881,14636.5810467202,13411.3100608827,296613.978705238
9,2004.08581934666,250502.60938093,1052140.12721375,4028029.61195908,540775.055161445,2036.45682024475,43817.5111483009,45066.7773087309,42986.9832694498,4272.64166533008,19026.9641959675,21550.2539462033,5594.98975933159,60073.9258777161,43038.577010614,392035.714666134
10,3318.51061742681,67296.8677258496,206022.624683493,218626.551761433,7436.68244427856,1244.60942311386,294.685148829647,2096.02472771538,788.691233542061,2192.87537596688,11169.8070378862,5833.75189053429,336.739329526319,6530.5939371324,4513.44221496823,247032.641973732
11,1930.14660979874,236797.918371047,1092637.55075577,3975710.16415304,685863.805598356,9922.1900000757,54708.2041886181,30266.6912177483,8875.06046520754,14648.3914507619,40106.3647298575,17271.5803569629,22547.5780995933,107692.073338506,13365.2383988778,261430.192445181
12,2214.00441629273,93879.1581000034,116561.692380206,95114.9115770831,4527.32457396744,774.000778201345,7600.1344396335,6283.19231770764,2010.75901551199,706.142064644393,5122.25898646106,2929.28542217993,629.982795702283,2453.71097349446,2518.70946192992,210217.285125199
13,2187.96159752756,326369.075383247,866105.717843428,1226552.35683399,36950.731083133,23942.4629754443,8483.56799344901,11801.1845659066,5238.73338104902,4638.32642275638,27178.1994906724,6458.69695186556,3235.81219381574,12014.5148015879,14844.4501245305,392480.388290736
14,2069.54661755781,113822.684580726,362283.970171596,2255702.95165765,239413.074679713,14502.1714615332,589.98300611593,15806.3261806087,1407.40790967421,6599.82702631956,33292.1232400298,8685.90786613738,2650.19872742245,21149.0331747961,25435.1245422388,26753.7828603059
15,2094.3995175431,160169.618203025,408749.856883164,407289.762256401,19363.1587160742,1182.69735167477,6323.21566613602,1847.31146358472,1410.92751090696,1175.78960104779,2628.5809762105,1663.72987875245,283.850734704022,4289.21885593816,9648.41048673587,18177.4711355342
16,2083.59932407496,676300.223172126,686152.811199151,872708.245803109,37093.5282966748,1463.25478807239,657.019328177696,9935.81914645198,3537.37961330739,12056.7897476435,17439.1419254172,49086.8936971443,2256.70116721188,9102.48307713999,19589.1168007017,331435.367313121
17,2090.71778495902,431708.161764416,582167.357002914,304575.874287182,11562.6392908867,773.323994120766,403.230313322113,4043.74009712569,2245.74144814706,2389.12866283084,8496.12529796595,6664.5045521146,917.871558142026,6920.06601273332,10261.2772587173,242536.781203549
18,2083.29341386149,326249.829195568,820881.035615667,693224.204326889,40736.111087538,679.817782515741,7710.92256436235,13539.3038847251,23812.2160049124,1206.86692060832,8656.89749389284,4195.35493248342,1966.05816977456,4284.05870620965,6496.16018874701,308124.752633787
19,2095.83141870443,346670.842597198,715179.259962115,294760.859479721,9110.41176372483,218.882654633697,4591.67227868256,10633.0273665237,4843.85360361598,1862.94094425374,4821.75406443591,6895.7102666058,654.957386111629,4982.21093454344,7893.79945266691,261393.710043155
20,3007.56465191176,99450.9299897429,392594.206834381,955793.288418294,78199.0915551806,4087.46875308849,425.941342870083,16636.3250878291,3433.17770288128,4486.44945915171,11130.4039781502,8677.1409421418,3364.49638918495,12131.519333481,18239.4826555033,260001.623638513
21,3650,19807.5479962812,84120.0319622741,162491.815687115,12167.0037325093,109.562501854463,38.2057890270862,695.568761193103,252.982728168126,125.039583361366,2167.59830139647,455.730110608294,264.438007761835,892.792305408456,1716.13390631057,2971.36168148102
22,1876.84750822632,416897.742263453,1021190.12606808,5309556.9698419,664026.439655324,43807.4939270737,2157.02036520273,44941.9743651437,7473.89779179947,22494.3899892287,69219.6726233528,57380.3695387109,7182.07040015772,32051.0992661073,98837.5990343669,458034.254132531
23,2244.79165312768,90754.4110959442,301344.799746565,1001758.66057787,92047.3355594359,4237.16352668893,4800.75618330183,3796.21621497455,704.911849735312,1326.68789330878,19959.3718641947,14440.9047156295,1027.00434245488,7010.78190143647,12551.5764666856,14680.7526445281
24,2198.70830811638,165377.629176705,778823.18095483,1513254.56126774,106378.006092931,8208.58093964797,198.428825430226,23220.5796978732,1298.78271702752,5235.63082427681,34082.0852337573,9726.44684194528,1444.33685759078,28861.693584932,17064.3057585336,267912.703220142
25,2077.72883140222,322808.643636426,928577.447782814,1544307.19008205,59998.6255010094,1728.6055810124,12631.0056659344,27006.2645237132,2167.87806028077,7939.72057387169,20391.3459012931,13422.001877583,2379.99821942863,31714.858493405,21162.4627824433,372353.492090336
26,2243.37193634737,147430.983032805,179856.551563222,153349.002024529,7596.09140803087,398.233687351938,88.3490368303622,1294.83334307806,880.004707305584,636.679753805116,5713.37358689255,4128.85618708879,324.71258597642,2887.66309227409,4077.49106891946,60269.4875393921
27,1733.69604424408,409872.735439531,1291317.66778445,2575509.26327852,195800.210529189,5082.20345424937,2174.68365045088,23623.5290756707,8744.08489409303,29985.4771857309,38350.8527483643,75542.3179833303,7413.7883993566,24139.2994699844,47925.7233290116,433403.401810571
28,2239.17769500333,173216.953365692,312379.592856524,489759.785784538,26472.6320843925,560.715519128092,15348.5388763307,10107.8669848564,3212.09362420278,1922.83342279996,5607.97787796995,4972.61398181388,1769.01600449758,8960.16185878386,15920.1619732747,307792.037549576
29,2291.3780281184,288612.96895177,908494.382384046,996692.150193824,80470.5389509133,9344.48302137082,13361.255379529,24455.5833110867,5668.80201743948,4006.67688625721,19132.2757917791,7028.52621885142,4089.44195866028,11673.6893621681,10631.3854490675,463152.509873972
30,1979.41163019041,208121.43529459,719715.084408528,1575744.014237,164090.407429847,8845.10940134349,3085.3740729651,12619.7136381876,688.140326307343,8231.45936247524,35231.74228002,10382.0233552278,2310.8126771342,25961.243525889,23752.4741188395,249844.216173817
31,2140.7777684585,121744.278702481,125151.055584989,229379.158937676,13316.8609894857,3633.1073250393,772.099509330759,1699.70649461938,1042.84476304608,1684.66501551262,4514.02328240807,2566.02806689685,498.207908926185,2451.3193277923,5631.30134205062,152881.543151223
32,2203.51281242918,101688.245005154,262769.248179844,133857.936722534,7266.41722224992,248.296859502463,568.079816080942,1461.41013349357,224.301883480114,564.047055896971,1175.00462606505,1207.82596689425,758.040365596714,2183.19168276767,4390.06728777271,13179.0448516068
33,2570.85757540448,121506.796887919,107513.17796412,403731.581512616,57991.2843973169,1294.54457687627,360.599007013025,3057.15468231968,693.610262301246,1667.28208739041,13196.2731421634,3208.32589167921,742.228721393472,4859.64456293686,5753.26106715824,204355.7316835
34,2055.56276471861,240165.539744906,844893.009211904,965285.378989123,22206.0963552214,2590.83596281972,20814.5750129563,9886.48023019846,6327.58349260951,5818.50190259892,17981.4497379983,10301.8349142839,3392.91467197088,27835.9555108363,13140.9075708059,377529.88590116
35,2041.1203716161,128174.766356872,499448.091860595,723856.187141249,55356.352449471,3617.54284562375,1271.8139989024,5757.387482981,845.57184123675,3429.66896990352,26490.8648802858,5951.73405721222,1686.9724613538,9396.49567671242,10204.6567277189,168676.956172711
36,2370.28923672467,255978.685282424,151255.59053668,486667.504375564,58366.155289743,4661.48018495011,5347.32309618696,3613.7584677005,1616.28300088344,1901.30555786306,13473.3641917195,4799.06412798389,656.636631264465,7087.65437379911,4889.97565172545,342560.742916262
37,2008.35256248086,383059.553721517,1049578.54164311,919833.438729397,71245.4723006289,2158.32173574177,10100.0969960614,5782.88250126004,1726.38653303056,6665.47179316182,23382.4204082605,10570.1065326279,6169.72112910427,22496.4166330148,10845.5757863816,309848.515609757
38,2178.69964747697,247412.580698679,462683.725861858,247431.341783185,14635.0691915762,420.674569476464,138.246654540068,1562.60845741623,9652.0317908485,1144.41304105748,5699.97691529139,30648.850420042,475.703753684745,2711.53078419191,5456.11273948748,232295.55479511
39,1914.72211433079,216326.78526389,800326.964901915,2345813.4644181,175027.429434763,4550.74990517983,11121.9713117561,13848.4248909206,9353.19590328882,5143.99950528149,24383.5089973351,14364.6322904638,23499.62630773,37880.2665297461,16640.4221194911,56000.2698090828
40,1659.28957569767,159644.218909825,713006.443843953,1125553.04577825,63910.5711947477,4192.50860543579,1847.37983055314,8613.63855577257,2026.48074106296,6685.27946210778,16029.6378701158,6120.65456415433,1938.28731433995,26860.8502218671,23981.2278494277,135070.095289575
41,1804.15264506076,367659.74294369,1495492.6358109,4276641.90956512,437053.879371129,15364.8228095647,120.129846079216,22090.5991825459,3734.95909359197,23606.122335399,67704.7159271152,45663.4916636121,4866.84563218903,121433.213705786,61277.4774803381,498538.32905924
42,2390.50641971279,139950.982449418,528361.250529842,992070.283602417,84542.8564426624,4017.01105450118,693.928578856556,6409.14973903554,549.808221558956,6602.51360398516,11200.2511844768,4014.75532240091,694.674701139208,4928.20420636881,23550.0724488396,28657.6799466159
43,2428.72825732827,168926.505847847,127646.264375474,262905.093664039,35556.1189275578,1378.10510278451,5157.49666617737,4845.36204011634,1109.50863515031,1118.01910248226,13977.0434654434,3645.10929333257,496.1411791216,2975.04221351444,4389.07713886687,250180.607325229
44,3224.53190675809,136938.715838438,449797.80558209,936239.839103479,26199.1645400629,2889.37456530227,732.532312461766,5969.43737800797,1298.64649542393,815.502521917354,6328.26506772264,1521.60858541083,461.29566975874,7805.71626722106,7170.51860453665,12967.6053547471
45,2701.98046720108,162918.790589879,317125.020351163,351412.593579761,31123.6735750788,445.765664355497,1084.63905122726,5074.07500977442,838.665927845335,2819.49290807563,5120.0297266972,7417.28176393771,1440.64258805478,9198.30194136276,11574.0378055393,285157.731142237
46,2232.2638023166,127954.843616547,118346.088412407,253524.027674428,27228.0957912579,658.730055903215,747.785716679387,3833.93863448092,2610.89367589696,1608.68279848022,4097.89218518057,3171.41723258686,511.652905710593,3129.04895772121,6440.43967979567,174560.532626336
47,3650,8157.70800763097,33222.4468777259,139073.324241996,15934.0028952594,546.128972130417,228.253117688615,676.061866230922,86.4918371229854,253.991547074148,921.340450622607,414.929857007966,137.977403784621,517.698145253832,732.549295565648,1043.28735380011
48,2051.67364318894,370559.034999676,873729.742579451,1171710.53805024,30205.1139063578,3278.54995147677,777.027461239467,10095.2644062559,986.859598064183,4830.13075299863,20921.1907084041,20916.7929547085,2563.9512287437,13734.755454529,7048.06549988675,41530.2039367386
49,2484.95840049275,184933.989965528,452845.884698653,448006.438889942,42209.5830446742,2129.61597254557,574.613984247639,5021.66037258801,1178.94314652621,2919.98966920598,20017.6569649116,4486.8738559468,1166.05618398074,7500.1548917968,7937.90206351725,385284.300276694
50,1806.87269097102,211110.767507087,781847.218001611,1713497.93681719,161676.776329791,7449.41165184902,5214.54563959884,42018.5050019528,4373.1645521214,9697.01226111481,27002.5817254669,12309.2636216869,3892.64644429246,34055.9936216505,22671.8805298539,244370.172636654
51,3079.06441833784,28206.7876152519,120719.58633156,170421.127482851,15920.1130554556,127.1549401019,166.83236616761,1249.66379542394,233.88892814117,595.732910483142,1987.60344950769,1029.86770268311,386.442350615474,3170.98714102573,9894.24314097422,7725.5934926831
