country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,800.656642322625,11295.7674858206,1276610.84917651,424124.011671874,7106.48381282486,35293.0935189679,157706.599662355,15436.5374140909,72857.9479285334,121556.902430531,84349.1300429962,28070.8182777629,75816.0125398699,80299.8556756897,386590.823407431
2,3650,1017.74193246528,7771.68696707534,255248.80826174,20513.5417400449,2402.26942054575,269.203732145858,56072.2960616565,7813.04326083369,40699.0818691703,53114.5118917968,29159.7815150154,7469.9789161782,43493.1700907674,42979.6248748896,148875.900088483
3,2234.27053639274,508.946416797661,7313.09481539806,567651.513845777,272943.109096158,17131.2147814999,426.758932142504,104399.485011592,8269.40026868375,51955.3108094309,74283.9884156005,35003.6183261629,11626.1990198141,58678.0625426353,42266.4800318285,232832.391930276
4,2535.95308326661,1149.2003277323,5250.48425667377,447481.015002175,389549.009690311,5630.04491435247,614.907323993913,23300.9356445015,17761.1767202503,23088.3199630818,49987.5120872126,127637.306462542,3533.29097938441,40025.9050729003,40955.7861304062,91126.0565837261
5,3650,1118.97888917453,30003.5053021051,4346665.11883814,1240750.97254178,19495.286267195,1661.07434910625,308959.582968857,26811.7215809248,100774.398931124,186866.45782476,84330.7908297563,61082.5357038727,319922.438778653,201258.59390768,512073.192506902
6,3650,257.445094882325,649.387852192139,44316.281357829,44850.6718066588,219.126566213985,48.0780161007195,35803.679448958,10343.089889244,11847.1991096564,37208.3771731433,29831.775574101,2279.32586658098,22132.0616961472,23633.8334111297,77947.2658572691
7,3650,1122.3081370277,20627.2372427655,1716417.96252816,79956.1027296668,339.132555986539,0,41061.9683238566,6656.01689853759,38033.6534224885,107768.057020303,65716.8942121192,18885.0102760588,202906.215308998,73201.4420818309,265281.253483305
8,1884.9807008608,640.493411142229,14428.7554047752,1391939.82485892,861751.981524747,4553.18502991942,134.799096880386,74011.3979234834,5857.41256665536,32600.3549390161,67337.7351291059,50167.9555458209,15330.9325766965,100676.110791579,75812.5140790996,163007.044634625
9,1691.82395845938,533.854894624558,4676.0437543842,216628.189310128,15913.0230961858,3688.17085374681,131.85172498135,53730.3375610376,1679.98659492925,30404.8770548998,65736.9358455881,27356.6381156269,12846.4650481274,41484.3512195096,52628.4393283246,194803.031608185
10,3650,847.85932516548,2140.00807184578,210829.303075761,193571.192206429,7628.21776086334,4763.23828977892,107509.230816358,5029.55716790039,68687.6944524621,236381.433148624,62234.5107535993,25418.0402121645,194247.908328852,107250.885714593,550861.184162387
