country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,769.028943726759,14556.4676662101,1954015.46066847,639120.183157251,3307.85180136134,92974.7873335564,71229.8265813461,13767.3342238465,23094.3820364154,52307.0124098929,59448.0863187917,15305.9183700462,68629.4805427787,54195.7766788426,498521.01405081
2,3650,995.338228704093,8243.55011842233,314309.263986643,28822.5944233038,541.441881419034,88.3231696557226,5209.53240864104,1277.53993949866,2351.9921476732,5178.38753785215,2005.52423842514,2074.22993358313,13715.0342508404,8917.37191705636,4423.6950550271
3,1977.83560865971,482.244136066538,5884.56873237107,420379.749285358,264108.382717525,2867.4156790517,446.585528268674,35644.3001292037,4463.89644121772,8921.38347258345,21145.7501207297,22713.8901509296,2393.65206145235,29728.7911196621,14710.937978018,226128.053405733
4,1609.47155719493,847.866348704891,19130.9579007278,2330809.47734268,2190220.69866581,12297.7315949707,1739.59346396887,24445.1979360005,38230.346938329,21772.103292715,69288.5122637846,152523.384938681,8662.3622793961,70425.5233073256,105767.329384904,529932.412534339
5,3650,1079.87876487542,39341.3050477837,7689887.81812931,1562318.59892094,18720.8825980159,1924.80608024096,219823.779775288,34873.6695825275,61404.6652339441,135466.06436369,76647.1221572229,64365.5298079127,399875.438530997,189797.172360971,952253.947311355
6,3650,244.202607159879,1741.28608943109,126070.538368945,127446.453012069,35.8508818048856,12.6000486179028,23508.362929443,12956.1368666777,5267.04650527858,23291.4824990776,24754.2957459694,481.448121655323,19015.4523004998,9742.36506755898,505597.181506768
7,3650,1297.70152667722,31437.828204772,4188873.03403604,126577.882379359,376.713964869048,0,34836.0576544185,9638.45904081606,25200.5790218149,87725.3483240184,66072.271512074,23610.4342538506,331020.212490922,82219.8192058578,668074.5478442
8,1854.93702072914,609.990398975005,24659.5328228489,2692864.05685256,1356977.25393219,4525.14504035293,164.165571240811,54224.6466334612,8060.037170175,21371.2977519422,53597.9205231795,46793.5467196402,16841.9218965063,141438.747332249,72620.3976854332,644184.193058699
9,1667.96146237293,457.237039815713,5149.26695689267,334219.746104251,38652.5602714022,824.429599701971,105.062481100855,11363.106880144,1039.6303590824,5649.1831703172,14367.0400243145,24197.3068162738,3367.47182023326,20475.0292239076,15943.5524572208,189403.803230291
10,3650,801.145915153304,4759.70801461436,527759.973254149,445845.410264304,796.546751623493,4488.76315742218,21064.6557195447,2831.77242298682,9786.94311173771,39267.0183669614,33711.0350292769,3423.86036225694,63836.465430396,17336.5197926782,530605.625905627
11,1665.76590244062,626.242780370277,38175.4242205045,12043587.3480807,5300900.25095155,37120.6854796476,15463.223274609,124639.935303451,35306.8783038507,81772.4868135334,235537.795678751,101763.795757791,64979.9221238936,583331.713273771,279013.288860131,693976.969205045
12,1880.33853872179,704.971193004991,14856.8921845793,2049183.66156545,1672372.74256865,7989.9104482542,765.129115974931,60601.7706943197,19689.7974310141,34025.3666345483,103179.717411044,82747.8016917323,9896.05172922946,82377.9185746234,68058.1327420689,683076.440097269
13,2130.65558115211,1631.15545203557,16804.5620178716,1356516.11895683,833172.136257879,947.387831519848,94.843723066325,57422.0334754624,4606.82747620455,23894.044533034,123827.41351196,93700.461411779,7697.0287293822,78749.58348403,92436.4981198154,1059669.90944266
14,2716.32682946535,1147.02969682104,18994.0104384762,1908953.09011213,182891.296485104,1077.45020327085,42330.2785710134,40700.5763103162,9284.25054891283,21726.5768542488,94010.0380211322,45579.8586791226,8093.42592914975,114321.632219969,74187.7948414941,890684.638455495
15,2239.95287477847,788.297158248653,11489.5969806429,1248378.60829509,99975.0149093192,1157.34256022271,43643.8915801596,49768.1550872192,5009.57515072423,15514.1780218847,85606.8197127349,60284.8309217101,5562.68423832964,74535.0006750395,60644.4096238386,751958.711344634
16,2247.99343515297,346.370605854988,9593.74217922992,906153.024678535,627898.04478798,1861.68880093369,2126.54550787053,103205.459514186,6290.09010537305,17438.9623496347,41465.380480336,48360.1318914573,3619.74791206233,48313.7665971993,28354.2515039591,448316.326648697
17,2062.15749399292,382.056149160812,14686.9977692081,1573496.53489117,702204.162886398,2434.63045810599,81.3641281351613,19216.4793223918,2784.44181621825,13993.6169543531,57788.5270935604,27297.6127409444,9276.33474303515,83709.2890247367,57177.1254486854,330249.6486083
18,3650,521.462890027961,18065.5882904125,2050601.15546411,710608.692825592,1564.91689909209,8888.26627868327,60113.8957451826,16639.3616993285,50052.6783461699,37626.2047401588,85446.1289702855,13500.5308051446,88637.078524703,78986.6452694823,534657.325115496
19,3650,755.352859542121,20871.5447019294,3371574.40359769,1845409.77221312,3798.98434959978,311.872981105605,24178.6995592747,4945.69602797607,15958.0937478482,70994.5402815737,85754.4522612681,20223.7784111297,138257.907236986,108647.481870026,420057.361442708
20,1801.06965664399,430.95798738791,16727.32580632,2780226.3017522,1141581.11584581,8353.7855830579,874.304682443185,29132.889435368,39499.4789194367,10828.4491721876,136403.227156249,44255.3804154074,13330.3123657575,70906.4673845562,74154.1731729275,337930.13692022
21,1604.74369950267,295.885346318062,11853.0484629676,3048271.57833137,720415.504499759,7351.80977590097,462.635122986413,54445.0605898207,6542.45536006183,21583.094134862,86595.047725452,29718.8571820559,12881.7828605052,87200.5237227289,100188.812446869,147066.025164673
22,1646.35778414823,446.863450488619,17539.2473792985,4035274.12026831,728394.996290002,3427.05338665545,10019.1354265929,53708.8763005712,6797.99604495594,32080.8182492672,132789.643652963,51357.4026801837,22845.4344458837,131307.789481019,94368.5743533174,255394.631667578
23,1495.88628690589,1135.14589298481,54743.1506835711,12131624.331764,3901403.73718893,24945.787578387,17215.3825186208,107001.781175322,65689.2978856582,177668.200305403,287265.688245133,103442.928470328,64118.6368662122,666236.086081175,394784.465748494,765721.909434682
24,2704.69029979511,570.576405932944,7192.08595559767,719216.161988302,361111.578441043,9818.93863021106,2556.29982454664,29766.3333194022,9435.83956040307,13697.1190616863,100974.163936605,63691.1188136817,3052.24557039255,45894.9838717468,48484.8738395726,644775.485819532
25,1817.53975876265,391.188400931631,3549.04392792808,454216.434323109,41096.7366440036,650.23706066496,133.035149007126,5135.79851669659,1887.96637752477,1368.18029108902,11059.831549876,3498.99963009329,2295.24904614206,24083.2804181083,12186.3259784534,1668.3086351669
26,1734.81714904378,478.860969639864,19160.924875328,3867516.93881267,1149313.79102986,1665.91869170571,8624.6482321222,36988.0866177554,11737.7394897322,76797.4429824244,101625.225729626,53905.6049654865,16161.9202428124,133062.502641832,100200.666244449,300159.169261482
27,1804.30097218227,999.825538259461,10685.9207539801,813452.806503794,337232.456046188,4459.71574190379,637.971201402055,11453.3387390194,27232.5325836176,15991.225023315,61691.2377435876,187888.578172733,3165.37273385662,45570.5378336472,64107.7700608315,726010.222891898
28,1797.60909477662,316.386581146751,3161.63242471854,259580.292572259,34881.4523553445,1185.64229195939,168.688379294776,4605.99326753649,1572.00229143625,3034.70223223985,13173.7788668023,2818.7800101049,961.890782690489,11446.2787758441,9846.34535213172,109674.053299929
29,2008.10334479036,903.890354792234,7681.94876734599,420032.075402811,103583.631084105,1082.48731559138,16357.4696236311,8042.068111483,7500.54116997781,18568.677671151,63596.1412006843,106758.078013428,1610.44927843213,41734.5889584992,19193.6021171,574387.559894544
30,3650,358.837518746506,16270.508977209,6516598.08171669,2179551.99848418,5818.49465221411,1508.85030165099,62736.1590904108,11769.6932273592,26710.2639520971,156107.915363557,80823.0888238892,43018.5983825604,208732.234313476,234988.640406267,406515.092164911
31,1946.62749765503,326.636430112394,1984.08423234979,158949.899722445,142646.859644569,382.772255268928,93.4993840375211,5462.50598048555,1450.29341795941,3263.14039248932,18373.4959561499,5518.59648325013,811.079690691026,12981.8394691862,6279.72293815378,178875.055734546
32,1774.91942208342,480.925646259807,4503.43586431045,416177.706244585,335998.716467696,1039.16196986193,82.0252578185814,6268.20035235348,1350.54097940968,2141.13579691524,9746.3710667052,2782.08395564895,2431.3758860257,11445.1197980029,10994.853203089,2349.62981536968
33,2842.51949963415,648.438211773358,11914.0252513969,1810167.94999974,2007879.36178644,9734.24873930152,14678.4904413507,103443.777227986,17260.993664762,24981.6919652402,66698.6100336166,38619.6770256223,11254.8015353673,80444.4458894363,42038.3494041485,835104.940807474
34,171.982381094514,1374.51114620823,65551.6994519231,13268701.7544386,2547556.10876313,45542.740920476,57037.1843243812,440144.446262075,77811.9199643447,126345.054041161,199634.887470601,112380.344045403,61887.0477374513,581542.622020971,223120.41941903,36996.1854645499
35,2421.64193347377,464.302622142769,5059.60092792139,444559.57815298,415894.789187346,882.228163344124,130.220808487633,12352.299017461,2567.0801224536,6189.84018793836,27978.7612656542,5565.54552183618,1411.39031671963,32254.0456443528,12551.4614224443,321501.211176743
36,3650,1106.7501024996,11948.3869475052,557665.429931922,50372.5905739005,874.475905834295,20.6284615088391,21160.9404809947,6278.88291206197,26062.1655450557,55952.8990636128,25997.5502514728,2250.06078665137,66548.9426435425,33935.9826443386,1116517.73264495
37,197.502595444105,479.355422379359,19881.9399924766,6053496.62244325,2724294.57114033,3516.12335152906,1709.95001195173,65745.4159722595,8909.96452219545,41395.1947382568,151334.803607444,55963.5165958693,42843.1482941636,199802.404846346,108623.864683194,17682.983830146
38,1257.51474796969,810.62260643893,11937.9385579378,1127187.625935,64506.865656694,5660.69539148267,543.815054230245,38718.2202276897,16255.1081194865,23578.251540894,42556.1780975284,26670.850841438,3417.3539277446,52775.4783965043,32490.6119333701,609043.742001301
39,1602.41775702634,1116.03681065611,46587.2823121986,13321485.6663863,4953384.44555399,11080.9668952158,1609.93206969038,744952.91783486,34858.9567892557,43367.7511522883,241036.430718031,69371.0121694052,120905.211613008,505573.861176944,197094.339572115,883171.782935635
40,3650,297.936786284437,4061.55198664396,429909.406020367,180042.291450237,1658.75451546851,126.235069382579,4208.57675129095,3648.27243839006,5150.64687544118,39190.3104934521,110540.846444684,1096.41985283518,19803.9277082474,12940.1144413191,747931.780283118
41,2114.73611284337,1328.01032790391,9896.57440487398,724131.528599221,452325.937554404,1611.8358821279,161.562442392532,45311.1763282604,8379.38164871736,17198.812518488,57513.8377303176,53834.0940340328,6276.00620073678,98004.3407689842,53327.1905388895,834279.090510817
42,1776.14100829208,454.101378340925,4547.4058223861,399488.243887536,425216.618772858,919.651371076797,153.199671807447,26937.8221089528,2804.4888294488,8152.84706847456,28943.1953566475,18359.1121633622,3105.62488532565,35319.9399325148,29636.8270061743,336274.261423352
43,2123.35828871,599.668183084961,20685.9005842114,1450533.36324207,430941.951510286,3327.01327653977,2509.27353075671,31563.727602039,17102.5291551166,12877.8126487927,56907.3096633897,44558.0337646211,5069.16211102115,48138.2519075646,38405.0932730325,298254.474028862
44,3495.29795152161,550.841887963413,10219.0763794729,1145731.74157375,688962.740971428,3331.77124107359,5791.62328580126,34380.3563588703,9318.86425769181,15875.7931525322,41778.4154677307,38929.4387500214,7224.28717961739,45586.9838630163,29467.0759892935,342807.073599122
45,1813.34876244191,939.714943344036,15392.4711520162,2151106.48820546,1536000.16666463,6840.42871894139,1256.55494954144,89672.8846249766,13902.2309672494,10237.5170024572,125734.120427831,37529.1280774721,26989.0733912056,109868.33628307,66989.4003821933,711427.525455498
46,1895.72565442848,1030.29645804354,13177.837784914,993535.582817148,303298.58992968,5698.75014834079,16073.5712409879,45586.9605473596,8435.0032618322,30857.2088693578,88046.8361072237,93762.4189159935,7072.53144181452,82456.1337902906,47788.5179180578,919652.041390675
47,1690.51892239712,246.575110516717,13642.9035404467,4198687.75578537,1267552.30875127,31847.421803865,3477.07332712383,75964.4221616679,13309.2228886907,28159.7026313493,87902.907759557,52710.736705505,16198.653821037,86547.6196389349,75472.7694117316,206879.830115762
48,202.256796647485,876.116890647528,45966.7523792755,7936477.23779263,1269845.67078862,36954.6100148269,3704.20431128349,74666.3865594509,46424.6185446892,60179.0394990272,163930.333390316,35463.1335632245,69466.5146447145,332310.036037622,207291.039388116,41032.6544056612
49,1935.92309676065,585.801231765425,3526.95618999435,314988.500219282,198840.642932628,130.760985437974,207.28092775591,5844.16425600447,1052.99267970695,4219.48965414697,16979.0049485818,8556.51976877839,1690.13273808795,19656.3662398885,10233.131063922,140415.209215489
50,2836.41860348423,682.818381256755,8492.35259442856,881531.218413363,598228.488534031,2531.01521723493,3102.2892641993,20293.7989021623,6768.64004446123,20857.5590805871,120203.230348199,69882.834076427,6422.58531867588,64400.3559053737,65743.3325234713,647370.122022793
51,1643.98903901048,843.794091722951,45625.7819871231,8707222.27664432,1966272.44490731,5128.41573333464,6756.85913339065,325079.689346298,37118.0597684173,70299.5463350474,228581.246123625,132310.344127489,40127.949153627,300071.908988385,266549.494599334,630797.034743884
52,3650,343.485338294683,5851.55743236619,957431.698037729,590863.673055998,4182.89182692309,14888.678285829,38487.1420935778,5158.43220431704,4854.93188617788,23832.2611032124,19054.3587102183,1631.02292093664,49691.0500662205,23049.0775607674,245658.078382817
53,1411.0408114556,574.144793320543,4401.27462224674,294160.98532614,11963.9640850932,266.611019734783,25.0305018426631,10336.3240232446,494.245211898189,4973.31745346979,30759.0915149516,65182.3740636209,1896.44853639192,29524.7818735734,20737.1166267659,230621.052166001
54,3650,757.076707322394,34390.037564838,11714203.8516613,3917261.5683165,11632.4068157358,2582.36987860333,183657.803919185,25347.4847919356,75667.674302395,239641.612949844,187339.933499489,110715.699334832,426179.183846942,314519.299203512,576683.420671799
55,3650,439.701610322051,4886.45319299491,747227.402507961,548415.264757359,906.444337923452,0,115532.862293122,11586.2811219346,27249.1984215398,77897.8853034193,20826.9947827442,2041.25052075186,45593.0359172502,49639.7513534683,947391.973084096
56,3650,254.28916317117,2110.86786840076,222484.44482351,148661.100350084,9.86100724781733,0,4738.29758473189,432.320458004553,2391.58784878098,12417.2784288266,19882.8336968426,1297.83401361626,17230.879371205,7633.85784205771,179371.99767354
57,2060.28423353521,1349.39115158707,17572.579748417,2218268.91285669,1937684.95262808,2114.49429932306,0,83885.7116854211,16560.9895829099,52834.019601315,173193.00327744,61574.8899868898,8248.80149315711,110775.382685359,304271.968474763,1618959.83492002
58,2533.39158103743,1046.4128264762,15372.9131013102,2649588.44189895,1060871.6475109,12828.8743878488,27112.6952984196,188992.605905028,29725.667320088,30820.4599848848,91094.5690512373,77291.3533549697,18235.4579581943,148122.751259127,72636.6304223549,1108646.16836496
59,2109.12098307712,578.312203495475,4711.7658857016,227617.711247262,32389.8853097179,1316.01359769956,89.5971270111447,8910.0263692423,5158.63308055905,8632.98526663573,12915.1408058956,13186.601366437,1564.48200634084,17405.9293415515,7298.71679707975,286502.089868159
60,3650,392.798067943507,2543.20827602076,555468.900306104,221379.180484363,1443.85015512686,179.021874108734,32164.2931531921,5055.14225727034,9022.82569025123,24707.2056152664,16681.6575862308,1946.43870918315,28277.5950803061,19593.4765373801,297528.95380856
