country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,846.364854513726,20677.7321143458,395090.731257198,271223.292720582,777.750500547035,5197.33832089152,10280.2037842292,2080.58756122046,3286.50436553763,6649.14683909048,5316.21558717699,3634.87065314569,12679.7309566102,8889.28068634558,4764.97290778029
2,3650,1168.72377076095,8615.02770752253,109756.042628242,14728.0907903682,319.255597890232,51.525275255501,3039.09599659947,745.28119053186,1378.7571477934,2861.82190267932,1108.34755991629,1206.77042008482,7803.5593108661,4744.40281017611,4792.93111689412
3,305.372358395584,509.269546687932,7863.74037451563,121595.632302542,115664.063420195,1053.87204054932,38.0231798282873,3784.80658507678,694.920199662852,1276.0257582748,2297.42521930986,1270.42022382479,881.220533050642,4249.5111469104,2753.86673070057,1845.31368453876
4,309.063987150794,934.449549954659,9291.5075466023,177563.516518072,203806.864250215,1347.46453642848,191.855655912272,2431.84361326791,2822.87047266896,1543.491677564,4615.28637361014,4983.53971272883,979.60488490705,6084.76936937393,10912.390431538,5116.54529392594
5,141.593220243852,1413.05197472885,25574.8225594916,622164.559565273,431103.188057998,1854.63493544074,184.21474258111,18761.1446297189,2640.72260573432,4674.13977752041,9677.11931817384,4192.60140869234,6331.22495975271,33421.0427247436,14977.1791413062,7429.17766210498
6,3650,382.978894520363,4636.05640648648,73104.4300656987,102808.959598138,30.3899543948597,10.5126296173637,1706.07110371414,811.705518605514,338.173362726943,1920.31818842299,925.020692010076,407.615909574653,3589.30645944111,2901.31902902415,2192.45616575426
7,141.654856880286,1831.5780898444,17338.0667389012,301856.097543612,20998.9293715027,37.7464273101419,0,2827.22853086061,760.837544265527,1775.7699480143,5759.4252746514,3111.05378016798,2363.12598420911,28619.8347582592,6448.07328859288,6171.52748015615
8,147.081099885621,877.437138720865,7743.50196263622,154694.345160665,147321.761565322,406.812737539636,14.3599951118893,3940.32157037185,459.234417813166,1162.69542230366,2787.81780369922,2352.7855499165,1517.17763313357,10006.9434745127,5080.22196124258,3777.13639951571
9,343.584772516451,525.065763501591,4273.50296204378,54287.4745439188,6884.87606839242,184.67721504876,9.41087368359932,1424.22331405663,114.496569332315,556.520654127673,1225.28394611387,648.504165244537,761.275577711384,2401.04080703507,2392.5936368568,1511.96079055249
10,3650,891.277638861224,7129.06039663853,156054.629037201,181923.240457331,346.672779444657,343.810423347962,2612.57756880729,323.869649586281,1098.20313872483,5143.13336001688,1552.90229580122,1487.6624505761,10186.3475807024,4832.2740212618,4333.63577796316
