country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,261.712320672822,4714.04124009641,396253.265157617,155542.858120964,5623.73935389691,27581.3779022326,60456.7301070469,4360.14731036488,25909.2203400044,31406.3509246677,51083.6779069215,19618.7204729987,42864.36565318,42308.123005278,75151.3765933128
2,3650,334.286999584567,3815.6204178958,173584.061139814,16242.8204735382,259.056468933482,42.4794106335661,2505.54715436658,614.438362009445,1128.48093401732,2551.86741407767,988.306092344491,998.86578755395,6675.14696080484,4459.75371073692,3080.54935610771
3,2136.25156774968,171.706441238143,2515.26618235335,132023.077976184,65919.9759049584,12341.7031449239,287.376981432831,75604.1643774743,5212.70582871122,38584.6550458444,53734.2697018225,26262.1052453587,7978.00987872133,40316.8274986004,29952.4099972894,179273.459043645
4,1621.82523529739,314.907274739958,5991.14460098456,564689.720921759,455430.523349778,10624.8609876327,1128.84156602458,25918.2406520009,14040.6595670652,23043.2162560738,62867.6076195295,60218.6311448491,6302.01000034103,41226.3157894463,59895.5279605309,139908.945474416
5,3650,423.63646447636,6376.6483493639,649324.192359112,239638.663158793,14463.6022214379,1078.86800043987,122774.34876887,5846.15947810602,40619.6263770511,54329.5468195258,48701.9472953247,37848.4839127107,154353.585382758,96526.2440884753,143603.837023938
6,3650,1.50069803258317,38.2011118937066,1732.448186217,1616.5000316264,0.520784880398453,0.181119316687507,29.3934480498222,13.9846598075217,5.8437484709971,37.4677311031742,18.0482728133549,7.1118273570749,65.1058399966845,62.2140543817519,28.0778835707259
7,3650,293.636398087144,2624.42748613014,153103.506431657,6060.57998309734,318.289460313352,0,19870.4585910196,1674.72373910127,17258.8634612536,37859.7784420938,38895.052748028,14508.3453848629,94897.9890712262,37363.3840534698,93241.3726041105
8,1881.87954707038,208.361886407304,3506.2202577384,229989.430943645,110717.100487732,6279.65950056158,162.267483703929,43555.3616750135,1402.76184830375,17047.3236735567,27216.7260786541,50785.0834419553,17217.8039290555,72264.7873090057,56516.1330651536,51687.5702162877
9,1475.51836913665,190.9110422039,2397.66393569466,122360.233077595,9881.17420447245,317.666785461748,16.3529203799879,2474.81915506733,198.95637164232,961.752474344748,2209.60672878351,1169.47518304896,1323.67636505334,4222.32236802448,4416.22851477527,1339.47335808335
10,3650,264.102251399896,3035.67933087564,198516.360137112,103790.706927855,265.20362093215,266.559468735399,2025.55606659568,251.099198484352,847.565575908466,4400.98159250026,1328.81921202023,1161.30822647323,8177.89292173193,4458.35773666996,3143.29383998542
11,2682.31312909688,227.515274849819,5413.47190688514,545063.410337792,719500.321202537,15267.6161494044,2950.97830622109,65935.9853123302,6832.29588498678,59960.1604994477,144751.838518786,48761.6484402659,21187.2948101992,95562.7609427728,92355.3494501594,350030.634408612
12,2286.33310806603,266.718931665789,3171.04251233976,244933.49443731,233840.73201839,20454.4535382652,1241.06168426976,115990.567694123,16110.2480918063,96242.5211705404,177766.780637364,67443.8739005113,19150.7475127756,70179.0816304043,83075.533211154,398523.35451652
13,1613.63045127943,707.717435437817,8810.89455851174,571781.165707454,319919.39418977,1303.16688109809,100.234155688661,43625.9559854723,1507.83341624143,18669.0417360583,69702.7286003008,45533.1057099393,8797.116559494,40960.5492417741,63060.4712069964,100200.047115751
14,2880.22650087773,452.413993329057,5164.52221024248,418301.252287633,44264.221216119,3697.10779463129,13106.5224978919,61050.1368253076,5543.16862848268,50782.8133563396,149972.667101804,38632.4953498262,21187.1558626522,129819.992862679,112240.767118268,306402.081658766
15,1755.50583925065,264.186190265584,3793.73520717645,356953.533828656,27941.052576211,4773.00589560093,14235.1672336178,42185.7946198725,1854.17561785365,22070.1417756345,55668.8229013292,30651.7058732226,16793.2103365367,77626.8044389203,64191.8132788148,81819.5135726722
16,1979.76506211667,109.452078086832,4783.86787960087,274187.839863187,182564.752325943,8533.73025845558,1491.06552313113,167961.92133282,7604.17321040027,75991.9786205128,101031.234183447,51392.1216361408,12491.7659737359,53262.0502054138,49386.5069835761,347048.725850049
17,2044.39302417608,140.790904379276,2644.36488917018,171145.265407208,116741.538098803,3317.8807153232,81.2877121502952,13881.5496139692,606.199618469035,11117.2960793756,23947.74924517,22560.8429469984,9460.65741028471,75918.2854262055,44793.6356697746,23153.0131279489
18,3650,138.645564803864,1927.48746187163,118057.999064216,47089.2473702567,2378.57949670582,3022.5040422396,35026.8344815571,2375.53430728794,41989.0598225042,14485.0330082219,36796.0310356504,14830.0175720126,56081.5231421446,126530.091604656,41458.4871387234
19,3650,299.00419032107,4158.51022367922,338943.576014038,314138.91616104,3504.20603962107,115.335699721349,13989.1129760048,906.279347183064,10565.1956078052,27088.9925520106,70311.8184022163,13748.739189352,68685.2973686348,47816.2687513965,43673.9236450567
20,2027.80354666372,157.465255870152,2913.1147721427,162077.608152354,144580.445237193,7362.76757546533,524.7026842875,28072.9272635869,12307.7186547095,13878.2301953627,150480.829499032,33523.2920654855,9174.75497755639,28604.178604007,36413.2968127424,158848.119696633
21,2034.8690506307,111.629933723428,2667.26671913273,266233.703476289,132095.071823711,2986.76628159538,132.550852400171,28194.2845083777,1448.70675853953,15979.4079170818,53959.5631421217,15979.8476799303,4282.10026361111,28199.6519576565,55111.3947432912,86444.0286844723
22,2016.04715378541,166.397666505677,3405.28818043764,225157.788334575,94034.8833520349,1672.03655437187,2413.96865074199,30569.4342993892,1473.84572760574,26394.6264546619,84468.7162623194,28521.0336824942,8663.95272188164,35849.4067943605,33880.5049590443,122548.236803275
23,1848.28312102305,408.316705890873,7614.5463414689,475746.04143009,415633.751649364,9472.41351417151,4520.17683088568,49219.5384170516,10487.8781732667,109557.700070197,148341.370976727,48599.1825071764,19066.032461761,120580.566256692,119647.228158809,339688.260737216
24,2598.22707806928,219.436128095598,3359.59525458764,296826.327909762,141630.900748644,62756.5500929319,3437.3366963817,76730.661835856,9167.70379808374,48528.9307651062,190453.845058076,63553.5230123753,14699.9096522504,58410.1826933331,61887.0500257999,317701.772210651
25,1850.73916131193,143.603243540412,1339.60634747652,181387.170973761,9865.88345775249,266.880858921774,55.8944915488707,2157.7970102685,793.225861892016,566.239146274816,4882.86475722778,1544.79224229478,961.472214153068,10427.4161525291,5457.02379945172,1075.44950985114
26,2269.93628684957,199.929779742953,3709.21439083076,288857.539788035,191530.995640254,1080.13126171264,2449.60269803462,27229.7849271983,3398.51418530386,84080.099312807,79655.6094251108,28541.6115926526,8229.49155455417,52288.3629272377,109052.634268818,170850.171960043
27,1817.38001430322,359.667440458447,4485.12973371264,240898.736168826,68406.8151454008,10856.9205302244,1092.49112261376,23686.1762300681,10423.5326082461,21462.8351255301,55686.1028177563,61202.6277653408,6063.34378748532,39071.8117746358,49539.1360347609,127367.202023735
28,1944.14873503815,131.62304518097,1367.45046783535,80686.1851649299,7500.81457233765,1951.02618406928,62.5888219975729,4976.65391656397,528.165022601894,3204.9603568102,11117.8382892371,2910.6113951496,1232.22422903995,8036.24569074073,11903.2682018168,15617.3025957011
29,1861.91029409603,278.752199266217,4486.02260714412,167962.445631789,24208.280730126,438.533628856491,723.716852417142,1165.65064659915,724.489990829017,1718.50174140116,6220.1515073445,2445.41349182501,677.296613312908,8163.68667675734,4108.72979948344,3591.82484930873
30,3544.34754933052,142.973429042203,1359.88794377913,208738.837427569,148298.786873043,3173.18198578043,416.912118108975,41237.189052392,2582.53381272798,25227.3885504874,121084.458565241,43715.0672846515,17873.5826540644,81065.1094773267,161279.290909021,225647.269128622
31,3650,106.732884727658,1549.50934522466,82328.2932943598,61665.9504579773,2930.61702882266,194.350172352202,10545.4736706877,464.922826331914,5272.10377189364,21935.9971860024,5655.09655649505,4292.90380273701,22167.8798142133,18028.7023937122,14411.0126891846
32,3641.67491619287,190.873676593383,2142.11141630114,178230.718501944,139419.920091732,471.619425805611,37.4499255951104,2861.845766216,616.610792055112,976.512209559775,4745.72582832703,1354.65883604622,1116.26770151702,5372.54786645909,5582.60447441878,2029.06217077623
33,3650,238.91664570954,2208.62138708031,161203.479886195,230631.835980246,31847.9540611877,6355.19853797055,103801.527984881,3974.27394908039,30278.2028274488,34269.452731989,49765.2522474301,25726.6246347121,85694.7085327185,50296.3063307918,60010.3503139916
34,1996.74104699065,471.160963731385,15778.276383328,2159444.95654618,464440.495493067,18531.577077637,19131.5410304329,200968.367001685,19023.6139757487,74125.5308900244,101190.904280925,72639.9792963881,21874.2505369382,167314.70071161,95145.5676869465,248166.900258708
35,2252.6212071427,163.244123773583,2527.39720846821,172780.595113851,158833.375724533,4423.4111080176,90.6863133549913,19629.7184696415,815.423199056172,8746.99004178792,26848.0705001615,11748.6691526667,5115.53239217715,40359.327890432,30074.0004981467,21918.2257014697
36,3650,242.927251949052,3651.47013128527,113502.164181939,7918.37649135768,185.780898346018,4.3686316381003,1145.2764059564,270.560627571488,900.809874213703,2571.83122634779,693.214429260643,489.354820558627,6205.78508172387,4681.5240193404,4949.80664702746
37,1760.71031151453,139.514948253479,4100.39773774558,520673.257571997,606112.628368195,894.580317613267,342.478231272445,18158.5640422896,1234.54740390969,15105.4486921536,47920.9891376536,21089.0455514065,9137.6548840541,42227.1651005342,28750.3228256468,53147.4475832503
38,1176.8459799947,315.310916447717,4076.63677495527,301346.999424999,14820.3596304739,12321.5427469922,762.228676411918,42492.092028756,5893.32482595868,27201.8331690813,32540.4838707659,19547.071595417,5308.63116400251,33933.4877263426,27438.0802529053,88938.6254210294
39,2900.41715452752,468.311550152031,8304.22598128478,752142.082360421,644934.328748344,5298.25404617631,409.263584446696,495996.39266377,8640.44039371373,42684.1638133053,165599.918633787,35479.9317214151,45273.5148993158,176702.919603031,84039.8229076609,607217.292357352
