country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,286.444920858106,3354.61277988179,299285.472282264,115136.902262422,2761.73509662426,12884.4617924132,71952.1815382494,7234.49170361394,35774.7808086492,53236.7157659155,40005.2841604375,10637.8366284409,29525.9095891788,32849.5140264278,174834.514666345
2,3650,332.137024170459,3767.536416673,170606.711167097,15791.611645313,1597.78508810716,176.518388224052,39142.9605898866,5495.62390412524,28708.8981344366,36650.8038038774,20876.6316341179,4941.82150165801,29486.7662699465,29464.7816045838,102797.920492986
3,3065.29675456707,192.986891102611,2709.86241697492,102664.263952712,57747.7416170457,13110.3550357861,297.679189507235,86466.6413481028,5871.82945430956,44515.8670716612,62709.3040407823,29114.09929034,8497.30419869903,43467.3467127319,32831.6192282309,213198.907624632
4,1845.70109165253,437.821081214847,6469.0233701898,357342.47082113,132862.696046297,4339.52130062869,477.750031875574,18340.1082353939,14257.5937414743,18240.8802411478,39004.0292352164,104316.335479194,2740.56732161742,32056.379299196,32689.915881171,69636.0078371389
5,3650,467.933873183364,4237.90626425928,468305.072856492,155836.037720901,8281.29655217155,574.751179231023,180275.446081625,11382.6715023815,64577.7773568926,109979.395099607,54054.6226282894,23673.0459742987,118567.612071311,89671.8132807893,401251.853564727
6,3650,0.817175926790864,16.4942593560061,866.475630120355,859.281618029965,176.981200380003,37.31081406967,31951.0225210538,9425.40444025472,10754.5818742234,32203.4994240575,27825.1191744089,1804.08398776944,18878.3298237689,19836.4352562928,66058.672810793
7,3650,336.22211927781,2653.95834207899,142964.633134692,5124.35032584657,235.704845738692,0,34358.6510848046,3561.1050819579,33859.6600946581,95701.6830240343,49360.8292299526,11747.5233437116,85485.2152128271,45861.4702334304,308193.038709827
8,1903.46840019844,225.86893062841,3378.44162868387,216659.824766292,99063.3526124188,2107.8663176377,52.2781962564015,44135.1449140426,2927.15459423531,21576.7102702587,42510.9569204416,30207.226785686,6558.97132657175,40428.3679595499,36655.9101812749,126154.516973367
9,1630.21939839857,240.264377607058,2932.67032812348,125282.240993414,7676.27541809084,2836.50516506201,99.5907007020035,42128.106336114,1272.43313734386,23990.1890516257,51892.8149713805,21500.0625623976,9812.96449391072,31697.6996302772,40550.0912402328,155732.505059526
10,3650,263.075713534323,2903.28427304609,186388.667348659,90933.7038387625,5115.68678540319,3197.33388130371,73565.8804367495,3505.28747234346,46905.2314317627,159288.697045371,45019.4686705092,17065.161590438,134329.503004881,72595.3841591399,369496.815358698
11,1923.23325040249,282.181283913882,7323.14381317452,492760.995022413,560942.551203356,7894.96047953232,1522.10881324317,46684.2161279688,6271.85770500998,45669.1921761571,107095.532670489,45443.4205637471,11559.4810347457,61768.08105456,59987.476931297,254535.518862527
12,2938.40432626337,293.291577351403,7546.96333020553,479554.248901999,279543.217941382,16122.0061877446,981.688222724723,110509.981426798,17662.0069563273,93675.1795462401,174171.827907501,60706.8073991218,15753.109844993,63706.2712631912,75926.3905205196,385955.35024486
13,1744.1358021617,713.420689037641,6852.60411729221,454172.495521429,255085.79604517,3943.29279499196,256.336025134679,226216.972273122,5995.12569176126,106983.359083743,409811.446853121,185628.380545828,26004.2454086949,112439.187787588,198291.657040033,814316.398633355
14,1463.3183177081,468.393915566357,4203.82812766211,331535.555076432,33545.4918770804,4237.00886302807,13906.7218031512,110848.248000638,10762.9522691258,96396.2606901967,316080.438380826,54938.8954047212,25441.3633218281,160186.118416848,168827.23108911,732200.138053774
15,1514.54450710398,292.030383772617,9098.9462428124,766780.906450453,55272.0137520023,5971.78015847495,16350.0613828571,126829.018280325,6900.07027735635,73349.2995578176,262594.93437858,54187.6196169722,23126.13176382,115728.342169355,126693.587547971,596438.853026211
16,3650,112.626433923151,5867.6537393916,350807.128200142,194328.989110073,8248.88835496477,1448.88973953855,166401.548852989,7691.33985958376,75186.6322409503,101091.749445816,50220.2495175064,12206.1463258992,53043.2282814587,49056.4586721155,345110.227204088
17,2055.65059169122,142.035920947211,2604.26866302516,168228.529950663,114633.845573356,798.184135991873,20.1430840486736,11398.4886004187,1012.93722340524,11482.4082763793,31356.911730079,20984.0307256529,2673.58663377958,42791.0370314862,21652.744419341,45772.3725497317
18,3650,137.865062859138,1887.42312281206,115546.009348801,45946.8212013931,651.578911060395,786.065024864763,46843.4873754141,5805.1032792883,49419.6484010016,23743.4579984006,74309.2003543642,4615.2899736217,28732.1523357446,44901.5233744203,94886.692145634
19,3650,299.566062723478,4147.20455942233,337948.264843596,313098.303704907,1238.9730288232,41.259770175223,13505.6532886928,1467.728286086,12067.9286312672,36780.6600131729,37548.0892571681,5604.27442721347,43724.5862452278,31754.5702056647,81577.7039258813
20,2148.02116573554,186.861636828701,3720.02887151651,100573.610872425,93433.6589729722,1319.68490936174,97.5706524798749,11133.1180485984,8134.7709923416,5660.77852574306,50349.9307702404,13365.5745480288,1798.40998933608,8822.28311287798,11363.4266226494,41342.720818011
21,1813.21263768484,126.570794305232,2663.96539404432,233230.392705588,104523.735002747,2377.46682840294,104.236668837065,27433.6488943273,1449.52325699355,16046.4448061312,54814.4157924496,14742.6027108837,3511.93793707247,24895.2357556958,46439.656230362,90762.4915441949
22,1814.16574081046,179.199799326238,4245.86515269503,237874.649401053,88050.2967485229,1497.60830154392,2091.65933899974,36663.7913895075,1900.85171679058,32485.1825459042,108610.508746058,30562.2284331297,8065.63333582927,35481.627527353,35575.721817026,165831.989552816
23,1910.3943903756,497.96163949744,6064.06871961342,217826.397446805,180966.936538381,5537.75448360764,2477.54948576286,44323.2476951895,11101.6903568709,107406.74769614,147995.790694338,44399.0562031688,11595.5089353553,81601.6607717191,90362.5534019193,363246.966701097
24,2627.77758039404,218.846834333879,3599.4900421622,272878.853464515,111469.646107606,56241.9311183793,2927.42827788511,99837.2098103936,13005.4080154914,64724.3393208922,264962.747603163,69376.6826443703,13719.8368712064,59775.5327566705,67325.0082655023,468204.052220585
