country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,255.766377801306,8145.14514269547,637835.72810111,235359.947257305,1064.08405280394,7308.09341095885,14455.2239820233,2925.56060588915,4554.8247157108,10448.2648973602,8353.73771259632,5126.16996922405,18775.2269414961,15010.5838586954,3694.99344633426
2,3650,334.286999584567,3815.6204178958,173584.061139814,16242.8204735382,259.056468933482,42.4794106335661,2505.54715436658,614.438362009445,1128.48093401732,2551.86741407767,988.306092344491,998.86578755395,6675.14696080484,4459.75371073692,3080.54935610771
3,1621.28166553501,171.430531849991,9745.51665410815,725840.222031223,367194.946107844,4725.70815802471,175.03932760582,17423.319216376,3199.05818077307,5787.57856677283,11382.7663503227,6294.39271971872,4060.66427978471,20095.2371788418,13966.8804080409,1748.81673780806
4,1450.27849349812,415.097655025769,23211.6051129404,2328964.70721588,1444575.30706974,10859.1707356007,1554.62772056981,19705.4992999824,22874.0334368659,12481.4155391986,38568.8487928058,41646.2542242709,7956.58187463522,49975.8948224462,92449.5542170715,5440.66289665639
5,3273.75298761475,415.191971178715,17333.0506096187,1610714.20499807,470659.600794951,3790.46630166254,391.166533208089,39837.9185129085,5607.38132234182,9711.62387310262,23274.7604324878,10083.7646171174,13453.5530302534,74648.752509496,39277.6314674228,5608.34733700898
6,3650,1.50069803258317,38.2011118937066,1732.448186217,1616.5000316264,0.520784880398453,0.181119316687507,29.3934480498222,13.9846598075217,5.8437484709971,37.4677311031742,18.0482728133549,7.1118273570749,65.1058399966845,62.2140543817519,28.0778835707259
7,329.679926628972,417.606547145069,8523.11192840102,495586.090146909,21051.0786211705,45.2676673372305,0,3694.052518605,994.109183592519,2214.90999761754,9660.26143865883,5218.15831145923,3104.39903556722,43089.312280447,11902.5750548748,4277.13258645862
8,312.509254891461,193.029586362456,5662.32648165053,381506.099014349,204851.056843435,634.118304080104,23.2801021425497,6387.96099288366,744.500542706544,1851.07193947552,5427.15786182195,4580.26294884372,2482.25124031411,17598.7558048821,11088.2678759985,2883.34200595819
9,1475.51836913665,190.9110422039,2397.66393569466,122360.233077595,9881.17420447245,317.666785461748,16.3529203799879,2474.81915506733,198.95637164232,961.752474344748,2209.60672878351,1169.47518304896,1323.67636505334,4222.32236802448,4416.22851477527,1339.47335808335
10,3650,264.102251399896,3035.67933087564,198516.360137112,103790.706927855,265.20362093215,266.559468735399,2025.55606659568,251.099198484352,847.565575908466,4400.98159250026,1328.81921202023,1161.30822647323,8177.89292173193,4458.35773666996,3143.29383998542
