country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,231385.272690609,274879.28023979,1254938.21226358,83435.8942702179,1231.06845378573,8504.29808023754,16821.2865718687,3404.4227468375,5284.65503135347,12460.0233624357,9962.20598205808,5970.09214559438,22101.5916174142,18192.8863999587,14977.7635631171
2,3650,254891.383545596,194289.752240819,463088.037661791,5126.75461484172,327.685642463138,54.2854603998063,3201.89896233494,785.205558916805,1435.93994679527,3461.00407656316,1340.40326532121,1280.75471386078,8764.89447786007,6333.13730442706,6121.84483930964
3,1743.61730092739,429692.677036925,523240.912706309,2405378.72967498,251144.935546706,9924.59412821015,369.805310587747,36810.2189514305,6758.64515883642,12190.2354841014,24657.7155865354,13635.1165170305,8587.33910785486,42830.3660888868,30662.4549960712,21871.419053592
4,391.890369743887,2344283.62112204,2950342.19551846,14773072.4673097,2522771.00427466,44553.5193680548,6398.34801573664,81101.5014571654,94142.169547203,51306.1971929322,161895.924129062,174813.587265011,32786.0572057141,207247.762296417,394239.712912519,140454.890752348
5,3650,612787.520468746,807034.954331441,4130243.2597236,219124.303072735,5891.84373460667,612.562029774202,62385.6954890994,8781.09089844966,15148.7026476661,37625.019212261,16300.9986096948,21085.6156328823,118395.152945798,65164.3948240032,51064.9551778591
6,3650,523.656793297274,1137.71124068076,3335.44244384388,498.240538338471,0.602330468687318,0.20947530639071,33.9952780781479,16.1740942464174,6.7589445930757,43.3562767201646,20.8847957262762,8.22580944357746,75.3136758048758,72.0217275429341,62.5917852152515
7,3650,1369299.43901433,1127737.30147214,9800228.72457922,26741.4854362316,495.05726710053,0,41044.7316121586,11045.5778384942,24423.6863505896,116052.125569073,62687.5750150341,34625.4895295079,500272.398703757,150363.60566524,72788.6033426102
8,2040.88474220707,300283.328545156,545898.979574466,2388686.56697031,164194.914164595,2202.5475848646,81.2867822452857,22304.7472489759,2599.5613389459,6455.72226615468,19866.2324098378,16766.1546902841,8700.31135248503,62689.9893843754,42075.4494633305,29965.6871192051
9,1695.94372028584,153367.197025209,173625.228738517,645991.896131589,6783.87912406579,878.314202647793,45.3566230789234,6864.18309369715,551.827376887014,2663.7701381475,6229.60469057723,3297.13337261893,3674.23501767402,11773.172688722,12580.3201594531,7074.66051461704
10,3650,213763.920752969,200826.302681432,719479.284172232,43649.3743267907,417.397745560476,420.114970642262,3192.40742596472,395.748584359104,1335.71580340964,7059.53874285635,2131.536002217,1833.16483147775,12969.709707016,7251.19524221691,8925.41748512287
11,2726.641361533,971795.823347374,1885432.27834248,9749416.52194964,2219466.05127257,18084.7757928228,5181.92173051293,56999.8087048138,15536.0402413458,35205.2909880687,118273.999856932,41388.7464554142,33387.5230466893,304516.991579379,167100.345399506,109250.963465345
12,1962.7612818557,416395.027825287,576575.38940796,3128630.15011094,619995.934474729,7947.52447673292,776.004029695498,30582.1416943806,12917.6354398169,16457.6896303992,43220.1415043817,19019.5889497315,10304.6593143021,57931.5958810063,52410.4636852375,32437.8204550663
13,1805.303093021,516397.2487251,597398.818317958,2456152.96863328,193046.206172877,932.680339349761,95.6917900222438,28597.8874027507,2017.67755967027,9011.14199595626,56300.7193375326,27292.4817347736,8040.67629096596,50203.3341201659,82810.6892308699,33995.099773974
14,2689.91472505302,388879.566415744,331992.516361887,2914463.50826306,24287.1281728079,942.522145013698,4941.34374117036,13443.0783962694,3506.96050470965,7688.20548828572,32046.6640490602,7712.3010767491,7431.05921008339,67650.2871641579,52297.0275920156,29946.7819778739
15,3586.85553635686,227643.437420208,240357.106816764,2681409.92460982,19810.1434288523,1295.13969569624,5542.23951853172,15495.0163107744,2218.31680087035,5918.92303909027,28591.3323799335,7680.56527616068,6519.84607034106,49768.5392562238,45704.4088444518,20687.2976800809
16,2047.9392064872,169825.780359658,385755.919939632,1889539.05912638,246881.854750343,2280.69870575864,663.425833414413,27013.6045128172,3361.57207163478,7826.62373475644,18100.7209709791,10398.7090710883,4653.5871819657,33998.5503348112,23300.4403846549,18187.6648817794
17,2187.44076234146,194000.618550776,268439.025875618,1194344.14454144,104555.974793762,984.917068890036,33.7521537295154,6267.42050443531,864.849782449921,3791.53236042502,19671.7566922793,6027.98053026279,3968.1540946605,26560.1056661048,27542.3841314448,10892.3748571409
18,3650,179534.3856438,272984.922361642,1009518.10814666,59732.5200629208,466.599857399139,857.061340025803,10413.4048387956,3095.82688713534,9136.85976183603,8736.41439922515,6718.59906943305,4227.30437770856,21823.5726697147,22293.3661180736,14317.4384394064
19,3650,329307.784329162,284594.423601904,1099000.84230183,168116.652268015,695.26802574213,32.3890823748649,3806.93980767493,722.78657327358,2136.05843701428,11387.674961699,13779.065149153,3890.24101490848,22500.4821285772,23094.4631285815,15516.2272678516
