country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,234570.049660722,138738.20066404,782845.834283279,52737.5322766145,758.54846211633,63063.57924887,28103.347925673,6787.1669791118,12131.816704535,20747.2744777858,20048.9059798795,3602.13906366866,23040.3302319377,15730.0697898262,504350.549344762
2,3650,254891.383545596,194289.752240819,463088.037661791,5126.75461484172,327.685642463138,54.2854603998063,3201.89896233494,785.205558916805,1435.93994679527,3461.00407656316,1340.40326532121,1280.75471386078,8764.89447786007,6333.13730442706,6121.84483930964
3,1834.85164800674,358657.049983064,326918.88674124,1955547.20793413,214373.699795851,8143.1437004542,590.459783930159,48776.6006643549,7949.34116184912,15140.1545612569,31300.8813284649,23808.7529094033,6779.45166705377,48715.8199910407,30341.7664742566,233614.819509668
4,1789.61537298432,617244.958354452,649095.288178633,4506744.15759111,748559.650253181,13065.7547394506,1921.27559240153,25722.4216863164,35429.1261236124,19657.8838087575,65372.0454337087,104840.177960969,9516.57740360033,71025.6549616551,138274.643041008,341422.064215736
5,3650,426077.963474923,294106.532469746,2061308.65525552,109508.990974501,2934.7507364497,307.134627412489,52293.3696821672,12061.9063236669,21614.0266846087,42636.4918848998,35234.1033943623,10303.1245552972,102296.023566468,39654.9506252594,967029.714145972
6,3650,523.656793297274,1137.71124068076,3335.44244384388,498.240538338471,0.602330468687318,0.20947530639071,33.9952780781479,16.1740942464174,6.7589445930757,43.3562767201646,20.8847957262762,8.22580944357746,75.3136758048758,72.0217275429341,62.5917852152515
7,3650,240640.393017401,137842.461430828,1179353.74943995,2793.02405145236,56.3403811194313,0,10426.3837950356,3246.62897164368,10991.5478590252,37494.5736402812,40591.9520097304,3818.78357993912,83853.1336420859,26154.0040319677,749022.331409075
8,2396.10419672591,211950.966732208,284982.278519299,1240626.35662969,79346.7622558393,1113.88069992899,41.2297989229554,18085.8859891063,3964.01735313028,11006.2477707095,26373.9826060549,22015.264520716,4319.99196863757,53795.1064615984,25701.8155173987,603923.17154183
9,1695.94372028584,153367.197025209,173625.228738517,645991.896131589,6783.87912406579,878.314202647793,45.3566230789234,6864.18309369715,551.827376887014,2663.7701381475,6229.60469057723,3297.13337261893,3674.23501767402,11773.172688722,12580.3201594531,7074.66051461704
10,3650,213763.920752969,200826.302681432,719479.284172232,43649.3743267907,417.397745560476,420.114970642262,3192.40742596472,395.748584359104,1335.71580340964,7059.53874285635,2131.536002217,1833.16483147775,12969.709707016,7251.19524221691,8925.41748512287
11,1869.04286294506,233160.589539165,311185.067095973,1963138.38156739,466105.505515869,3746.27208628353,6568.20177558763,23460.4030360245,7428.45295064453,17751.8467202983,55674.6778889717,44639.9046293635,6742.72816127131,81877.2976563426,43781.5977245569,653513.413234753
12,2703.47949669882,547809.021236137,297966.561947958,1225469.31497674,242985.093441489,2837.98973800512,282.766304680917,26919.6680075245,10180.652592453,19781.1160043062,47916.7195150457,32396.8765225377,3678.01575912652,37517.631609231,29603.4645672934,570125.206209015
13,1805.303093021,516397.2487251,597398.818317958,2456152.96863328,193046.206172877,932.680339349761,95.6917900222438,28597.8874027507,2017.67755967027,9011.14199595626,56300.7193375326,27292.4817347736,8040.67629096596,50203.3341201659,82810.6892308699,33995.099773974
14,2584.61744718099,421161.203228894,264632.472770012,2231035.03581676,19597.2694971344,720.12562381117,39791.1504214154,29851.63309153,8962.51670793085,21191.8107731228,70141.1171636439,30772.4704543014,5539.12258159641,88469.7546065658,52073.7296579726,1088520.87850769
