country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,591.757377218433,3096.09826117223,37060.5608344055,21824.8128749887,698.327531565455,3109.12201319347,25039.497329684,3194.06738574467,13993.6565145855,15963.3157401311,15170.2069983162,2633.54746164561,9593.7040972839,10343.4583576468,48901.5679235053
2,3650,512.657336296562,2703.80980272113,24277.157701884,4139.45126909887,6139.23069138269,619.077046748604,113508.893216755,9639.07714975557,78296.008360805,133637.079191771,41848.3001611966,18154.7596976675,66111.9924405665,94741.3829062359,453642.586141733
3,1497.18157613681,1370.43555104049,6449.83361284605,56436.270399616,48526.9116864579,8995.6039791832,201.795501020661,59787.3138261417,3989.61140843724,30872.2706138222,43400.6201295786,20104.5588055605,5802.6437774892,29649.2662538095,22324.9681816226,148680.462455907
4,1456.01572663229,1029.88347930332,5357.8846665063,65818.9653945175,83647.8473403662,1824.38247769015,182.55666037518,11190.9675744228,8996.12486748149,11963.5658869451,22427.8909841107,82046.0125564294,1098.77608601558,19841.6898642276,15123.9948357032,38779.6651878558
5,3650,1141.1691216389,5145.44097993053,71414.6915054304,31026.4528393361,12901.8594119546,826.048084882183,257965.104351216,13177.1227355361,96265.4198431303,179351.16125531,63934.4995636021,35585.4656941417,152246.509786478,132793.175500434,715665.84764878
6,3650,2.37478592946835,18.702973601643,155.835770587618,241.563005074421,838.073460886753,176.513413536096,89474.549153173,15589.9085481482,27209.6497343005,120091.96133939,44470.4692283101,8539.04504641575,45988.0682320252,69414.9760160973,313221.153616167
7,3650,221.800158253809,742.319886093001,6863.82955142408,416.423789442592,316.60972311595,0,45640.5438466536,3866.47349017272,43655.7498053143,129270.2448184,54948.5947693296,15405.5420828388,95494.7167865472,57054.3934336826,436824.80430757
8,1760.93743245288,417.271311878945,2997.52316099749,29107.7911495301,23795.5610984757,623.859448773962,14.7443903505274,18720.8355867016,1652.83281650315,10721.1882747009,16667.4046605086,13736.8266626303,1898.90444326296,16679.5979844915,13100.0680159738,41360.8024960828
9,1283.19389601557,677.614305798331,2797.0909410847,21176.3206131136,2322.47824721204,830.538459595549,28.7701523301921,15655.4549026235,542.140427483411,8825.98728693784,16595.4789087311,16396.2566329159,2858.17976001679,11356.5456819363,13383.727693666,47376.4008759184
10,3650,501.015313842581,2815.94631467392,29393.6235968462,39535.9060234037,4760.52736169155,2900.78052633253,68163.0969388728,3068.55774646629,43874.5948179602,150528.480702041,39127.1545331283,15678.7788394476,119917.4987737,66768.670714062,356518.689319434
11,1463.9509413558,649.432683714444,4356.79039014355,60845.7184733356,112511.288590028,10304.4844876547,1809.20467679717,60708.9006584433,5970.97492944329,57475.0404999888,146390.884650015,38998.4567561033,14412.4288681048,57317.3425561471,70993.5499475885,389994.190318202
12,1933.21382900355,1177.62714555,7050.97785118368,103207.548635538,136217.118562331,15541.505063559,896.034912452167,106994.456953941,14424.6696677688,90458.6848506,172856.679089858,56635.9380969179,14765.4989710537,54033.6064080696,69413.9639180476,404893.70750282
13,1472.79995528686,2066.36717436518,9069.338732977,72918.3599719174,52694.6110526965,3207.49855423474,200.072976556007,182949.261394252,4465.44871915716,88620.8998261667,344067.180298867,153683.314722339,20782.6666455002,84150.9387721688,152929.318165201,707378.706910976
14,1160.76916338134,1258.77281681212,4735.19799910396,52124.430055504,8754.03026637513,1813.17561009678,5845.12277748324,52963.8044328767,5732.45189933091,47321.5966265684,144470.594334716,32192.3974849603,10807.5244246202,74929.1026370902,75999.4083338874,323573.230748547
15,147.868598003065,646.009347400897,3226.8833228268,53265.248919126,8309.89343873903,88.8856902239171,371.727138355348,1104.22463072125,149.070977236518,442.586880738354,2040.69122694759,535.253002874006,440.435281758775,3300.62231019241,3007.73758524276,2621.84657273398
16,1578.32070436246,531.132876375925,4726.39374052726,49195.7852449894,61763.91831015,1625.43951943837,281.389533065459,39667.0765398558,2423.53266141474,19590.8382644154,21447.8595495834,12585.3144283222,2391.86332160057,12438.701295347,11009.5068803326,70015.8464345013
17,179.220236003062,267.634375094166,1496.04692717319,15421.8451251606,16637.6959385994,91.1349368115082,2.32744350932498,927.870623281622,61.5502943210999,801.405254347347,3115.17047975904,856.752915133171,308.802056179329,2663.16001382144,2210.06851455429,5422.16565044033
18,3650,214.641167386895,1233.0660697977,12075.2949309215,7587.40771493629,216.633686440125,247.801911202024,26684.0311045378,3239.19944812401,25067.2585205216,9307.30648213125,54967.9761609593,1496.74192323967,13466.5397419617,20792.9506817533,34571.1166144536
19,3650,727.004624999138,2840.95614099882,36210.8183870011,56735.8851515201,2985.21936009916,84.0358103245116,30296.8470045498,1934.72037365674,26114.3236611292,94236.1071674636,88519.3231096248,12382.7790604817,69595.993367951,64669.3462651474,267676.965773022
20,1658.88434981287,365.09416157535,2184.28788576006,16355.5410473705,22565.7580773192,5656.11419710795,368.82886339986,31316.4084392643,14211.0066615456,16092.8138344199,185815.473140407,31123.9042873943,7235.05969499844,22569.956751076,32241.2773239988,219162.8217799
21,1471.80299783069,314.797775953644,1444.28982970148,17811.8128204664,14892.3581549365,2132.87719212937,81.3079873157423,26498.6138844666,1033.13053393985,15972.4745726751,54877.8405461263,13537.1464265276,2952.54769976485,20137.4458208826,42247.3345936587,101973.180363855
22,1420.27249000492,357.43571679491,2014.39163631078,17565.3437414135,13474.1501732175,1266.43236944168,1642.84188173098,31984.3410302646,1441.92148550965,28870.3769752328,96986.1552764449,25602.3375459328,6573.52605384095,26540.2277535195,28325.7215557309,157232.160039499
23,1547.31203252983,1084.89142124304,6579.57894055653,49131.089803876,59527.8404619192,7357.50990930231,3148.71137907222,57563.5321665244,11684.4405870508,134760.860158511,197249.635648846,46570.5615300302,15075.0132265504,90371.3902592458,113267.787495162,514237.095157051
24,1771.37204382596,545.177208721281,2965.3323078432,34548.8317493837,29058.6479888512,10708.3123498188,552.062200963727,31527.2740966468,5431.6996518071,20038.1582176289,62128.4768098895,20776.7310105489,2604.83947478317,17213.4594951341,16168.4435669069,91121.5515977957
25,1639.25211306709,319.196976448245,962.111951690157,25491.1573285677,2643.80382141275,1914.92449452942,249.429448877614,29345.3035935034,3613.68285212955,11826.5134870288,103132.403292813,21591.7884244982,5402.30798900665,24907.5439399967,47518.161886711,184626.028645328
26,1798.95645857565,645.938419081975,2598.59541292588,21515.7620652701,17483.2215666754,928.42670745413,1888.28595706176,31459.4393810927,3626.76000630484,101375.636720079,100531.89645973,28782.9590536187,7066.10296022774,45141.7480549725,97685.4215792014,238261.082338988
27,2647.44698300769,818.535236818656,4041.76967624483,38282.2407072391,25704.573361735,17874.7192286106,1586.94163707828,61837.0950041243,25557.7422292575,59689.2314140319,168113.81681276,127956.017551109,10118.4093969311,69210.0175057377,88013.7605438489,450907.521908256
28,1658.09129800544,264.536207869351,1368.82358258596,9989.98656821084,1462.74721813528,5005.53548979539,134.215011502364,23251.3985743748,2105.73737592921,16650.8089466195,64570.1967366592,10079.5616293645,3140.50870275582,20616.6416750424,36513.1733522214,119488.192695188
29,1550.08480988992,478.326402209298,3994.99925842992,21611.6956745665,5661.28166944977,7983.3234080447,7938.42178352401,39565.3046098176,8868.94367017027,89876.0640976336,251687.981320824,70877.4009892469,9193.25749449652,78286.9120325648,60986.8676314397,402380.582716118
