country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,3650,43915.50730463,75460.393065393,339640.772927911,32726.6772068955,3537.35830109743,16863.9350462274,43250.154931052,2870.78549739685,19260.8918536106,25082.5335296612,34227.669011092,12299.6964156015,26062.173494594,27438.296906007,73591.3040439698
2,3650,3666.87995451351,11240.4329002724,35854.6945840064,839.750117334382,31.6310816080274,5.24927905592561,309.616258909626,75.9275700097598,139.001372000489,348.694780425607,135.045094412912,124.382222029579,862.788549941055,658.176578068589,371.234182638787
3,2054.22452704199,311596.71621785,369116.34251306,1270685.10517549,197761.671124214,12354.8591387652,351.618016472425,54246.4177736083,5283.01053816547,24580.3164925261,36655.0992271201,22096.0938061396,8743.48209126255,43334.7319783099,32873.8386920902,91469.3834493162
4,2138.91587000218,248471.604472577,240325.62039714,1182154.88974416,299791.204048372,2897.12546398809,422.633380406665,5357.03929086009,6218.4212638473,3369.3792161096,11899.8140477307,12849.2992807651,2180.56142927387,14264.1672958457,31630.1152372837,10541.2872111013
5,3650,188534.230963453,311494.11602301,1599942.954386,123444.28854125,12156.2459070679,931.14611723819,111252.164635126,6244.13998840867,36322.6644409023,54184.431273507,41677.3856315677,32919.3953686437,140642.995033891,89990.0203688731,147716.328818484
6,3650,1522.06042428786,13801.5661513595,39720.9766082954,10393.0531887014,8.59903102620384,2.97528994150216,482.853137523653,229.729321099625,96.3184551191931,612.136949861847,294.867459142878,116.930239401511,1065.09939349215,1013.95876999034,682.819024378938
7,3650,224.213250182596,884.852480785031,3915.64412062274,23.0295165499315,0.194744384513679,0,16.4342383001338,4.42262992668022,9.73139299808647,54.2161102289899,29.2857753387749,14.0327920768833,217.922662412633,78.6052883697318,50.5492168515342
8,2376.96215262933,93258.2751690778,315444.602455854,461236.784052159,61788.4505090697,335.959894860784,12.4294351159387,3410.58412020778,397.494870627687,986.320555874136,3097.52259182633,2614.16165178318,1332.02294945265,9662.16345551875,6676.00438057598,10917.1526249593
9,2045.25111591895,98099.5715462895,328751.563366897,401219.769563833,4631.50891032646,539.596096184022,28.0342768281279,4242.65291339737,341.076570406736,1646.38037116651,4134.35982266896,2188.18631724023,2286.07776264029,7444.35768490666,8709.06338485699,10544.3572391992
10,3650,80476.6960298859,327967.765584543,585653.988773925,85657.8272430219,193.113830436872,194.458392142331,1477.66792068202,183.179935933788,619.565714870615,3412.5178349911,1030.3654230741,852.735500797663,6093.60770894396,3628.51691327902,6266.64390757231
11,2242.25721387359,245746.532498718,496255.839233622,1865836.81970015,591354.207203531,2514.92030195341,723.446336770733,7957.72397744195,2168.98131331131,4910.1130455996,17154.2865980541,6002.9627770195,4673.94708602926,43240.6533766249,25022.5230448124,20742.0095183963
12,2170.94782496132,474273.696227218,454399.27705931,3089637.65222252,888249.071312681,19081.0237191043,1427.31564836509,60707.613987153,14389.1752495925,41527.1168606197,73129.8800526132,47806.9443063242,19176.6862436374,82226.0878514043,76662.9748786614,82837.2936518002
13,3650,238198.241767892,1334865.13675593,2813310.03108705,248351.263051629,1010.09496920354,102.934911538356,30762.5242385133,2170.40000055706,9828.07724750616,69254.7300693942,33572.1013462357,8823.8815136118,56947.7381780193,112289.282010493,62482.6565653053
14,3639.63066271166,210985.015860716,305458.699647024,1296355.28599723,28207.3836023987,3899.47514210638,14452.9710823702,45777.0650001508,3962.04475486549,35924.8000165113,94161.8896704653,36286.6835913934,22054.687154606,135675.377499451,106099.227620821,160444.820456412
15,2024.09620907232,434677.200212747,1458121.2394897,5878438.09926606,60801.4953668584,2386.11344135533,10196.2951523759,28506.8444204284,4081.13232340787,10898.5831623014,52538.9401989842,14113.6745352173,11997.2908716192,91515.4793499164,84017.1454498084,79702.6345758441
16,2295.52826507603,183875.494548641,278024.504847649,1423479.07902105,324953.951067651,6992.05555124147,1405.58951638552,83441.4693130266,4393.23163420644,34378.2622974964,42827.3915836118,33846.4885556672,10322.8062260531,48074.2180599759,37036.878634105,114339.812014704
17,2626.88293418136,62227.0309793727,53656.1925200186,231525.469935186,39377.2542157174,137.534573260865,4.72365694705422,877.133490299226,121.036829701788,529.930412430956,2775.48531194764,850.486902830455,555.330518555299,3724.52642099871,3919.27110162871,1785.82871717374
18,3650,8623.08485742874,57740.3604400298,201382.653408117,21180.1119999216,1998.89890731011,2544.64866567773,32567.6701973079,2581.99277379311,39448.0680510608,15874.5028315295,31781.3175778941,12640.8435649525,48665.9336208842,106316.368441523,51498.0052449452
19,3650,119711.55838284,144293.130496425,602768.49989779,161276.7339057,2843.04650277863,93.2058836357374,12879.3195476725,867.507921741506,9919.74135995047,28375.548185905,59692.5056858664,11318.7285231437,57493.5886754439,42774.1767373421,57575.6610722971
20,2311.4224727731,229515.342743349,243351.993149252,768564.287196609,205665.512074656,989.751196304222,104.957868307017,2888.94878296779,3523.37419596354,972.570760004931,12502.0217346439,3249.6455584101,1662.17924679756,7903.93086514909,9934.0014855074,6447.62641184041
