country,tdur,vlyl_1,vlyl_2,vlyl_3,vlyl_4,gdpl_1,gdpl_2,gdpl_3,gdpl_4,gdpl_5,gdpl_6,gdpl_7,gdpl_8,gdpl_9,gdpl_10,vsyl
1,2743.10463476038,23481.9397285297,16805.5311545528,42344.5426462057,644.015934347381,1224.28007617974,1440.67214317472,2643.56330012165,214.910414782553,606.588812599634,1319.19958165046,1072.29727784056,210.881946664742,2331.10565313878,2047.19932003135,5114.28892917996
2,2207.77354584962,61309.2435062001,35998.1639710197,116545.288308985,4356.29615787842,60.9554806579882,90.4304761523047,5396.54263511139,1421.13089463198,2933.15580102904,9009.27786320829,5074.3111566935,1572.76342803788,3323.0600552352,4527.07755791748,71178.7085062235
3,1995.24262520393,35135.5821048167,31101.0265054042,59439.345063555,1687.80030876626,119.929175486349,241.615089049881,4073.30425978542,123.792250619797,4.95654540773448,1785.6360888846,9365.58163353972,5073.37148519646,2388.6303703547,551.704934772914,34043.7945585651
4,1119.31645046676,71791.3123017942,72150.8791455769,119851.480996192,1918.47387200151,2351.55577523737,16613.7563019423,1411.68941526459,231.7692886768,2249.61911756708,2297.99990042213,2711.31583730775,229.795737050858,8504.55008561512,10185.4540858211,14713.7984655211
5,1582.43074195717,144709.950813347,98103.202742959,412212.114820777,15120.0149624156,3970.88207880283,0,5837.37296783253,820.099784937067,6705.16191512756,11032.29768322,8234.81265780809,3622.24524665819,9543.32296630799,6572.06685304481,41483.2274532512
6,2533.09429030099,116814.660788542,75087.9575092083,173615.054343453,7650.01289856256,2714.82173144855,78.3407173919461,1518.15655465197,39.0192597674013,10367.1703617547,6666.55483322927,6993.91716940576,266.861740263216,3126.61698399623,5993.84977662732,35908.7832775389
7,1062.3858564206,125021.985115032,94649.2825890847,194311.335156802,4121.1879799698,991.132202514528,199.879784986791,9281.8130909197,1012.77566453323,4783.46929890671,7586.63118836317,1703.81604893611,987.209053172526,2885.51022111561,5627.4586837791,47123.9140445292
8,1663.16888898968,105360.301879722,62924.2174619001,89972.4835476958,893.094660904736,335.757689187737,12.7159141624865,817.484482982616,54.3149791144982,5978.49101319491,3715.57881777928,1229.27986735217,118.880157593764,1196.7309655362,1209.6481179815,12477.2862872878
9,1860.39660064174,19077.0758882357,15568.4636073419,30080.5049051906,631.112526066417,1806.17039657496,74.977756120648,2582.91462100239,330.751757269888,898.276975711578,4205.14424312056,814.696767373472,436.16723736539,744.622390550931,1914.54048395551,19780.4350112591
10,2922.69268494658,1025534.16309413,602287.581538358,1991246.26608926,48497.7745708957,47291.0944237856,30653.2103890787,25104.29128326,3409.63969092446,20540.3542167132,15385.9534125931,34652.205102521,64879.0138286657,43330.3712709578,39968.286038705,433966.613633629
11,2308.35632476077,196089.70835075,108907.406586997,176014.390784776,2807.22552725134,12568.4901100205,55104.1997841357,6322.25944278497,159.996895406896,6368.54744548954,16713.0891479912,5063.31536430808,144.437932631545,12043.7754898183,4490.92002627775,291531.982164102
12,3367.60884611988,160510.975046779,117673.351101797,348287.29067439,9478.95552386141,9044.04403091458,3024.97861038872,13892.5796909999,368.717514251481,1664.04181414437,9940.21117647908,1764.7301407797,1127.98522374239,5532.7118223337,14414.4222907917,61457.9025364007
13,1896.617610405,176118.198300514,141904.791884789,443020.594520839,19043.1467757461,13373.3222227724,3938.29899847717,6609.95426504952,1103.75866063897,4520.40934057184,47382.654120406,5399.68893291216,2100.34078114318,3433.60463778983,3155.25195613499,160305.478243229
14,3650,156736.307994562,120891.326318251,181371.849202133,2217.97975962187,2975.42343060494,1502.29319613831,8471.64345591105,401.169901463421,14847.1598716563,10624.5757819315,6552.6350921507,1557.9059417625,4872.21696782321,2890.38467077999,77068.436691966
15,868.657493540199,181345.602796817,118698.134812843,225448.004281556,4475.96193171853,5512.2007100206,2315.84368083775,4705.83612523401,174.341782247826,2591.36859923596,9261.79371238572,6325.6163055492,1427.15192164889,7061.79575970314,6357.83281433486,49145.9379527235
16,1808.9020836817,82025.6533709695,64916.7787182216,177462.000467414,7376.59424465208,3515.18615548979,41462.4955741848,8514.12109088799,897.730018245722,2143.96426687042,5991.2725815927,12004.6646495794,2708.89197409561,3154.7954259322,15651.7246107836,327885.759908266
17,1132.91478194849,188637.68561202,129996.652320547,302483.837591976,5029.04384743782,6977.66317719065,4077.56982971057,7155.45686374457,1411.57369352268,9693.19216309725,11110.1950743615,5628.75995710609,6648.91580462619,18890.2330221288,5091.97425718093,105496.309148163
18,2390.15298194488,144063.434667237,102401.910491989,163642.156430196,1913.18300924802,3349.20950379544,93.0434850925434,1017.58818716851,35.7836165230276,3047.59334075013,9857.13351248564,2072.54795722902,255.474599294394,4022.02735866999,1534.1743110273,9435.69475575549
19,502.884094229555,592615.403964956,290309.998988165,943716.049580469,25387.3260778295,13040.8149720205,40298.5243983683,12847.2784169191,821.509942623555,7684.18440476848,14951.7282691695,6251.66326564198,2446.16993574353,10838.0176643958,7300.54116884698,108156.219184496
20,1751.09719089444,215645.961086313,116627.028653526,205198.887135375,4154.5367575696,3071.41300547512,1006.3520442025,12399.2386077466,912.931682553826,1812.30447234607,2924.20308596396,3172.62883030475,1640.14877594224,4872.64493460558,18047.6133784297,23300.9848204414
21,1280.33932412901,202290.135667687,166894.968267654,699972.024667583,25132.3015641246,12337.5846751234,8507.62359241781,8991.59271699948,353.052334311059,1975.13530784056,7902.12959672574,36564.229903341,5859.77827546068,11967.759162136,5364.01737147531,122712.635417135
22,986.31436766955,46043.6343640679,38866.5584957054,186720.448626626,8684.81953602641,3394.69624589983,2703.47862362658,6752.80584013796,1101.10777404764,1890.74568477081,9864.87330598976,2505.86735067867,252.052790265216,1090.08815955005,3128.56770504737,52058.7767627752
23,3650,29085.7640338334,4750.71752809496,8487.2275234733,169.660640498779,73.0216781907192,13.983468586676,101.257465672036,16.8526357891187,40.0698336041504,135.736849494578,57.7947138878119,36.0145000516078,151.503290058142,129.865484898418,601.709300843356
24,1252.6371905449,125662.971633889,90602.9102337638,231587.649306815,6087.64503107596,4051.90468754751,3458.31750487589,10895.8103367079,266.893890676359,1895.35398969607,24481.5366617095,1524.0024907258,1208.98751072947,4946.48392473215,2931.15527924872,65453.7737281203
25,1487.67852462143,237550.622612071,144051.598606147,313177.353901266,4622.86056116106,8182.21182505191,211.870252479776,8988.1191518564,418.699565553262,2468.44278768671,31242.5340509224,4834.77209189263,5012.58040166266,8880.01933655611,3089.52871124203,125604.818299473
26,744.336832084153,200993.309296105,127623.484677615,578304.042575839,34518.4315486804,5529.00541249353,245.676862845849,22541.6661545579,1406.52376960357,4023.85006937042,24915.8445085042,3827.45165016759,1387.13313370893,8175.71388192801,8824.87113693338,99714.6391552718
27,2020.31620955778,120503.161265696,75652.6224893299,208814.302213561,4096.26690137741,10134.4218285938,8804.53211209318,1639.71131947807,438.979846573308,3549.09803062513,19941.2271606503,2677.78228890073,1005.47135446432,5199.44960392177,8523.67366336981,95180.9003601483
28,1988.08460781605,145329.708134116,100653.862106127,173889.244174079,3000.07713662573,52278.7609015117,0,3560.02551838617,2295.76321093056,8015.34261890677,21096.270781844,3020.6947139759,1649.97748171198,9277.4248285662,25373.2328138511,310435.891755751
29,1896.23893449609,77134.9505580286,63731.8386720857,226809.07287661,6503.51253804413,9722.08619359545,154.936216895551,1871.91284288227,3110.55221155932,1230.17534384961,7237.24626857398,3942.45654932752,826.554126413225,2049.28837372945,7676.37866992815,72316.3345130308
30,1216.15381121413,512203.524889026,322939.631843787,941656.751611315,18685.0180867844,15160.1572161936,8357.111057731,17473.1851051585,644.688311251987,24945.0977175695,33043.1080074947,25576.7525241709,5609.55132180583,29587.5481362144,12986.6975989745,173977.585788917
31,1629.86489166682,1052945.23296575,581899.999917902,2192061.97871695,61284.6201062745,53314.872689634,181648.337727202,10792.6945890167,172.428434715395,1852.37635238652,38270.9700519028,5782.11329490612,379.41322328667,17591.2785933336,9197.11959563016,402890.968998669
32,2728.02514713172,54777.3534986203,36611.7107084142,97004.4337007863,2927.64530503742,2137.03525817124,592.772858164184,6289.15066577776,433.985333984121,622.922146487795,7831.58866680187,1209.56164221416,249.598758085389,1711.4212789561,2282.79018635514,22602.0106961288
33,1433.71351500781,65701.7433877635,46983.9612480493,121140.031908726,3150.6759047173,12611.2523325176,260.82174652176,7312.47027382073,342.900562356862,1454.25006279182,5643.2676263042,6445.72323804086,671.962489612477,5092.85690678956,11020.4455327808,83735.6733712382
34,1339.07528527308,19760.0105657571,13439.5306245992,36105.7801103134,919.741843920663,1562.99368028522,7.30662302495854,1998.76138540296,50.2121912627152,11560.6090685341,4716.74180868718,3449.90005008005,117.030590401812,940.822623400644,1181.31715105137,36051.0864112238
35,3273.20107049139,166735.916465794,94206.9292816204,206527.98871705,3718.28103407309,7522.04716330451,659.036389151418,8728.28714413789,1210.82712274557,1482.78804123269,10615.9621086612,3146.72805055224,140.170453486515,4573.11144694602,5648.46235476241,38069.2231197211
36,850.738861373168,331624.964421174,244514.91711113,411902.622877188,5993.59984950829,3436.18751053056,2813.06856877973,24792.2639389896,5262.68336036274,2574.60157127568,13675.4758533335,1496.24649849363,1048.30278162926,9799.6132498289,10207.7071467653,134494.841960451
37,3650,276034.301661439,132186.451456091,141052.650632459,1874.7210784294,6885.25364394241,12468.2922044974,4694.06643199942,305.312392439523,3442.34089811526,1005.45332085302,7088.5469438906,7854.71784459731,13884.1154508948,2968.66444801436,16329.4378834094
38,2263.76993716023,36115.3485795716,26956.5926360707,102018.420834873,3557.51633496508,16981.0518241432,2399.86649339445,2780.681185866,247.870827245163,2020.75263704151,18220.7548818819,3516.3028495734,571.427117835299,2158.28161047867,1923.2160187606,87486.7041734715
39,1759.55348731126,287185.508092711,154437.753488899,233318.466299009,5925.5366700057,6569.18448103209,6782.40877249305,8395.48902121296,209.92957757904,4097.23829953613,15442.1430569395,6112.37396601759,8780.10339136272,2723.08387855758,7268.0214326508,103396.844606969
40,1067.79954717112,19990.1220689489,12216.1577961635,23910.3660026842,527.820249118756,8.5947660644977,22.4723806882112,1702.6667826749,134.458470277954,1158.92665506883,2036.46039133909,908.404454094235,458.529122468136,873.553268746618,2747.60029951654,23033.332933371
41,1104.6077330735,50906.587705942,29725.9667145531,53422.8839572372,830.41651544041,3118.09623937241,747.375704788234,6290.52785985345,308.539758735511,1134.5236685983,7161.29878626004,1265.93344748954,138.41931538162,1237.46977436006,1833.46963691408,43769.3859871051
42,1615.8898580641,61630.0551511014,46309.7080170816,198858.791031235,8872.28778430876,177.968923889057,36.2724685954235,3476.19791947721,99.1722360794449,1790.66164849615,2971.60034855662,3671.01199429118,97.9755092977899,3962.02875104,8510.43851448258,24920.4399304677
43,744.180427416898,49330.5265896515,31935.9885072038,62802.6932357519,1681.17908533311,3721.56394576674,762.614350620987,3114.1878349516,584.559270306649,1759.56216330615,3544.18980933274,1899.19786404531,750.3171786248,1484.15706884186,1565.19693365553,36565.2464975258
44,1589.11865388103,521165.380003338,313407.4679302,555995.874315744,5827.53659172504,26638.4921092971,30293.7133006404,2585.60341651159,215.65040992415,3727.75257283108,34515.7842429353,4326.86944567654,253.933350338235,21164.1870178446,8874.04343568047,248262.331184922
45,2333.58812346024,91079.4286190237,71276.6093590941,126730.227868825,3004.52714450255,7889.84173768583,0,9649.95897265067,99.3881576355002,913.999525254834,1750.82395236171,31720.8039126649,2745.49227101354,4101.1431826432,6402.83918359686,107311.758748877
46,505.437915268834,30768.6301696818,20419.435272106,32546.2577489929,743.929659249936,3733.13812033754,609.027964964276,729.205186873257,19.2269526617339,182.21352136859,525.095102552515,160.620637733271,94.6840156625869,223.521000270888,1340.63989161528,8705.21877120012
47,1401.68005575881,531901.854928368,277926.178242092,489935.369603416,7881.51492998054,8970.4885029759,14779.5515622922,19253.9955628052,2027.06103727122,2971.27563364856,16456.4923760256,8790.48079015516,890.546375077421,3372.54602382173,4606.89088003825,114271.395975489
